Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,48.38,48.82,49.08,48.07,1875512,48.82,-1.1735876333420119,-1.1870607579897208,-1.1735876333420119,-1.189177927046832,-1.172623843356777
03.01.2014,49.03,48.69,49.12,48.6,1333141,48.69,-1.177569933591378,-1.1671479273708854,-1.177569933591378,-1.1879597975261789,-1.1562826866018057
06.01.2014,48.82,47.86,48.82,47.83,1664844,47.86,-1.2029953890296385,-1.1735813034169706,-1.2029953890296385,-1.1970957689310775,-1.180023612453368
07.01.2014,48.26,48.27,48.31,47.5,1950728,48.27,-1.1904358267047146,-1.1907369728731982,-1.1904358267047146,-1.2126269203194053,-1.1901982949611802
08.01.2014,48.35,47.79,48.43,47.42,1837218,47.79,-1.205139704548528,-1.1879798117105902,-1.205139704548528,-1.208972531757446,-1.1926648846600438
09.01.2014,47.7,47.23,48.13,47.1,1891736,47.23,-1.2222942286996437,-1.2078926423294258,-1.2222942286996437,-1.2181085031623446,-1.2025312434554982
10.01.2014,47.6,47.73,47.83,47.39,1546833,47.73,-1.2069776892790047,-1.2109561547323235,-1.2069776892790047,-1.2272444745672435,-1.1935898557971176
13.01.2014,47.93,48.16,48.3,47.93,1376794,48.16,-1.1938054653772552,-1.200846563802761,-1.1938054653772552,-1.2129314526995687,-1.1769403753297885
14.01.2014,47.79,48.43,48.43,47.49,1783292,48.43,-1.1855345340901102,-1.2051354811668178,-1.1855345340901102,-1.208972531757446,-1.1905066186735382
15.01.2014,48.55,48.9,48.9,48.35,2071765,48.9,-1.1711369870347097,-1.1818527869047948,-1.1711369870347097,-1.1946595098897712,-1.1639907794107545
16.01.2014,48.69,49.2,49.22,48.55,3706175,49.2,-1.1619470633823263,-1.177563869540738,-1.1619470633823263,-1.1849144737245458,-1.1578243051635957
17.01.2014,49.21,49.24,49.31,49.06,2265980,49.24,-1.1607217402286751,-1.1616336050456693,-1.1607217402286751,-1.1821736823030762,-1.14209979583334
20.01.2014,49.21,49.22,49.44,49.11,1191117,49.22,-1.1613344018055007,-1.1616336050456693,-1.1613344018055007,-1.1782147613609535,-1.1405581772715503
21.01.2014,49.34,49.21,49.4,49.06,1401657,49.21,-1.1616407325939135,-1.1576510389219021,-1.1616407325939135,-1.1794328908816067,-1.14209979583334
22.01.2014,49.3,49.3,49.5,49.12,1878025,49.3,-1.1588837554981986,-1.1588764438830614,-1.1588837554981986,-1.1763875670799737,-1.1402498535591925
23.01.2014,48.99,47.4,49.12,46.94,3807263,47.4,-1.2170866052966263,-1.1683733323320444,-1.2170866052966263,-1.1879597975261789,-1.2074644228532254
24.01.2014,47.58,45.57,47.87,45.55,5389498,45.57,-1.2731451395761646,-1.2115688572129033,-1.2731451395761646,-1.2260263450465902,-1.2503214188709806
27.01.2014,45.32,45.55,45.74,44.82,4122234,45.55,-1.2737578011529902,-1.280804237518393,-1.2737578011529902,-1.2908917420213712,-1.2728290498731107
