Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,7.31,7.26,7.4,7.2,1183100,7.26,-1.3518527143937624,-1.34979751967595,-1.3518527143937624,-1.354258489561382,-1.3429752438029359
03.01.2014,7.24,7.5,7.52,7.2,1533500,7.5,-1.326550441887432,-1.357189749521511,-1.326550441887432,-1.3417591927466734,-1.3429752438029359
06.01.2014,7.5,7.39,7.68,7.38,1118900,7.39,-1.3381473167861668,-1.329732895809426,-1.3381473167861668,-1.3250934636603953,-1.3237512566656018
07.01.2014,7.39,7.36,7.56,7.32,1985500,7.36,-1.3413101008494581,-1.341349256995308,-1.3413101008494581,-1.3375927604751041,-1.3301592523780463
08.01.2014,7.41,7.32,7.47,7.32,1712900,7.32,-1.3455271462671798,-1.3392371913251477,-1.3455271462671798,-1.3469672330861355,-1.3301592523780463
09.01.2014,7.3,7.95,7.97,7.25,8071900,7.95,-1.279108680938063,-1.35085355251103,-1.279108680938063,-1.294886829691516,-1.3376352473758986
10.01.2014,7.92,8.36,8.37,7.92,5710600,8.36,-1.2358839654064153,-1.2853795167360578,-1.2358839654064153,-1.2532225069758203,-1.2660792952536
13.01.2014,8.5,8.8,8.94,8.5,5404400,8.8,-1.1894964658114764,-1.2241296123014063,-1.1894964658114764,-1.193850847105954,-1.2041353366999683
14.01.2014,8.9,8.77,8.91,8.65,2325600,8.77,-1.192659249874768,-1.1818882988981982,-1.192659249874768,-1.1969756713096311,-1.1881153474188566
15.01.2014,8.81,8.98,8.98,8.67,2531100,8.98,-1.1705197614317289,-1.19139259441392,-1.1705197614317289,-1.1896844148343844,-1.1859793488480417
16.01.2014,9.13,8.94,9.44,8.91,7968800,8.94,-1.1747368068494506,-1.1575995436913538,-1.1747368068494506,-1.1417704437113343,-1.160347365998263
17.01.2014,8.91,9.07,9.12,8.65,3644300,9.07,-1.161031409241855,-1.180832266063118,-1.161031409241855,-1.1751019018838909,-1.1881153474188566
20.01.2014,9.16,9.01,9.3,8.93,1556500,9.01,-1.1673569773684376,-1.1544314451861133,-1.1673569773684376,-1.1563529566618278,-1.1582113674274481
21.01.2014,9.1,8.95,9.14,8.77,3438700,8.95,-1.1736825454950202,-1.1607676421965945,-1.1736825454950202,-1.173018685748106,-1.1752993559939673
22.01.2014,9.18,9.67,9.68,9.1,8306000,9.67,-1.0977757279760292,-1.1523193795159528,-1.0977757279760292,-1.116771850081917,-1.1400553795755217
23.01.2014,9.71,9.54,9.9,9.42,4908800,9.54,-1.111481125583625,-1.0963496392567023,-1.111481125583625,-1.0938564725882842,-1.1058794024424836
24.01.2014,9.43,9.23,9.45,8.96,3572500,9.23,-1.1441632275709681,-1.125918558638948,-1.1441632275709681,-1.140728835643442,-1.1550073695712257
27.01.2014,9.1,8.7,9.24,8.33,5384700,8.7,-1.200039079355781,-1.1607676421965945,-1.200039079355781,-1.1626026050691822,-1.2222913245518947
28.01.2014,8.4,7.63,8.4,7.44,12384500,7.63,-1.3128450442798367,-1.2346899406522083,-1.3128450442798367,-1.250097682772143,-1.317343260953157
29.01.2014,7.27,7.17,7.48,6.73,11553200,7.17,-1.3613410665836363,-1.3540216510162706,-1.3613410665836363,-1.345925625018243,-1.3931712102170855
30.01.2014,7.3,7.63,7.75,7.22,5608900,7.63,-1.3128450442798367,-1.35085355251103,-1.3128450442798367,-1.3178022071851485,-1.340839245232121
31.01.2014,7.45,7.81,7.85,7.28,4308400,7.81,-1.293868339900089,-1.335013059984827,-1.293868339900089,-1.3073861265062245,-1.3344312495196762
03.02.2014,7.88,7.68,8.28,7.5,4807000,7.68,-1.3075737375076844,-1.2896036480763786,-1.3075737375076844,-1.262596979586852,-1.3109352652407125
04.02.2014,7.68,7.56,7.85,7.47,2618100,7.56,-1.3202248737608497,-1.3107243047779824,-1.3202248737608497,-1.3073861265062245,-1.3141392630969349
05.02.2014,7.54,7.49,7.55,7.33,2169400,7.49,-1.3276047032418625,-1.3255087644691053,-1.3276047032418625,-1.3386343685429962,-1.3290912530926389
06.02.2014,7.74,7.77,7.84,7.64,2072100,7.77,-1.2980853853178107,-1.3043881077675012,-1.2980853853178107,-1.3084277345741169,-1.2959832752450082
07.02.2014,8.05,7.78,8.05,7.62,2500900,7.78,-1.29703112396338,-1.271651089880015,-1.29703112396338,-1.2865539651483766,-1.2981192738158231
10.02.2014,7.75,7.77,7.8,7.64,818400,7.77,-1.2980853853178107,-1.303332074932421,-1.2980853853178107,-1.3125941668456864,-1.2959832752450082
11.02.2014,7.86,7.82,8.09,7.79,3211700,7.82,-1.2928140785456583,-1.291715713746539,-1.2928140785456583,-1.2823875328768073,-1.2799632859638967
12.02.2014,6.5,6.22,7.1,6.13,13661700,6.22,-1.461495895254527,-1.4353361793174457,-1.461495895254527,-1.385506731598154,-1.4572511673415323
13.02.2014,6.25,5.94,6.35,5.9,7433500,5.94,-1.4910152131785788,-1.4617370001944507,-1.4910152131785788,-1.4636273366900834,-1.4818151509059032
14.02.2014,5.84,5.74,5.93,5.51,8229800,5.74,-1.5121004402671874,-1.505034346432739,-1.5121004402671874,-1.5073748755415637,-1.5234671230367935
18.02.2014,5.75,5.6,5.75,5.56,2970600,5.6,-1.5268600992292134,-1.5145386419484606,-1.5268600992292134,-1.5261238207636267,-1.5181271266097565
19.02.2014,5.6,5.86,5.96,5.56,4761100,5.86,-1.4994493040140224,-1.5303791344746636,-1.4994493040140224,-1.5042500513378865,-1.5181271266097565
20.02.2014,5.96,5.97,6.12,5.88,4187400,5.97,-1.4878524291152877,-1.4923619524117764,-1.4878524291152877,-1.487584322251608,-1.4839511494767184
