Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
15.12.2004,2.62,2.68,2.7,2.6,729191000,2.68,-1.476752414327614,-1.5093346817541589,-1.476752414327614,-1.4838710515781517,-1.4999101603830618
16.12.2004,2.66,2.62,2.68,2.62,161165500,2.62,-1.5088999133395529,-1.4879392307908175,-1.5088999133395529,-1.4943169977883575,-1.4889429062504522
17.12.2004,2.62,2.6,2.64,2.58,104191299,2.6,-1.5196157463435325,-1.5093346817541589,-1.5196157463435325,-1.5152088902087688,-1.5108774145156714
20.12.2004,2.58,2.6,2.6,2.56,51910400,2.6,-1.5196157463435325,-1.5307301327175002,-1.5196157463435325,-1.5361007826291802,-1.521844668648281
21.12.2004,2.58,2.58,2.62,2.58,34871990,2.58,-1.530331579347512,-1.5307301327175002,-1.530331579347512,-1.5256548364189744,-1.5108774145156714
22.12.2004,2.6,2.54,2.6,2.52,75238000,2.54,-1.551763245355471,-1.5200324072358296,-1.551763245355471,-1.5361007826291802,-1.5437791769135
23.12.2004,2.52,2.52,2.56,2.52,40200000,2.52,-1.5624790783594507,-1.5628233091625123,-1.5624790783594507,-1.5569926750495915,-1.5437791769135
24.12.2004,2.52,2.56,2.56,2.52,18440900,2.56,-1.5410474123514915,-1.5628233091625123,-1.5410474123514915,-1.5569926750495915,-1.5437791769135
27.12.2004,2.56,2.56,2.56,2.56,0,2.56,-1.5410474123514915,-1.541427858199171,-1.5410474123514915,-1.5569926750495915,-1.521844668648281
28.12.2004,2.54,2.49,2.56,2.49,23276000,2.49,-1.57855282786542,-1.5521255836808416,-1.57855282786542,-1.5569926750495915,-1.5602300581124144
29.12.2004,2.54,2.52,2.54,2.49,14845000,2.52,-1.5624790783594507,-1.5521255836808416,-1.5624790783594507,-1.5674386212597973,-1.5602300581124144
30.12.2004,2.52,2.49,2.54,2.49,16342000,2.49,-1.57855282786542,-1.5628233091625123,-1.57855282786542,-1.5674386212597973,-1.5602300581124144
31.12.2004,2.49,2.49,2.52,2.49,5951700,2.49,-1.57855282786542,-1.5788698973850184,-1.57855282786542,-1.5778845674700028,-1.5602300581124144
03.01.2005,2.49,2.49,2.52,2.47,6659000,2.49,-1.57855282786542,-1.5788698973850184,-1.57855282786542,-1.5778845674700028,-1.571197312245024
04.01.2005,2.49,2.45,2.52,2.43,29597864,2.45,-1.5999844938733792,-1.5788698973850184,-1.5999844938733792,-1.5778845674700028,-1.5931318205102432
05.01.2005,2.45,2.41,2.45,2.37,27106000,2.41,-1.6214161598813384,-1.6002653483483598,-1.6214161598813384,-1.6144453792057227,-1.626033582908072
06.01.2005,2.39,2.37,2.41,2.37,22290000,2.37,-1.6428478258892973,-1.6323585247933718,-1.6428478258892973,-1.635337271626134,-1.626033582908072
07.01.2005,2.37,2.33,2.39,2.25,56092000,2.33,-1.6642794918972565,-1.6430562502750425,-1.6642794918972565,-1.6457832178363399,-1.6918371077037295
10.01.2005,2.33,2.33,2.33,2.22,21125000,2.33,-1.6642794918972565,-1.664451701238384,-1.6642794918972565,-1.677121056466957,-1.7082879889026439
11.01.2005,2.31,2.25,2.33,2.22,29070000,2.25,-1.707142823913175,-1.6751494267200546,-1.707142823913175,-1.677121056466957,-1.7082879889026439
12.01.2005,2.25,2.33,2.33,2.22,26659639,2.33,-1.6642794918972565,-1.7072426031650667,-1.6642794918972565,-1.677121056466957,-1.7082879889026439
13.01.2005,2.37,2.39,2.39,2.33,21776179,2.39,-1.6321319928853177,-1.6430562502750425,-1.6321319928853177,-1.6457832178363399,-1.6479680911732912
14.01.2005,2.35,2.37,2.41,2.35,13575000,2.37,-1.6428478258892973,-1.6537539757567132,-1.6428478258892973,-1.635337271626134,-1.6370008370406817
17.01.2005,2.39,2.39,2.43,2.37,17622000,2.39,-1.6321319928853177,-1.6323585247933718,-1.6321319928853177,-1.6248913254159285,-1.626033582908072
18.01.2005,2.41,2.39,2.41,2.35,7288000,2.39,-1.6321319928853177,-1.6216607993117012,-1.6321319928853177,-1.635337271626134,-1.6370008370406817
19.01.2005,2.39,2.37,2.39,2.37,7806000,2.37,-1.6428478258892973,-1.6323585247933718,-1.6428478258892973,-1.6457832178363399,-1.626033582908072
20.01.2005,2.37,2.35,2.37,2.33,7139000,2.35,-1.653563658893277,-1.6430562502750425,-1.653563658893277,-1.6562291640465454,-1.6479680911732912
21.01.2005,2.35,2.33,2.35,2.33,1648000,2.33,-1.6642794918972565,-1.6537539757567132,-1.6642794918972565,-1.6666751102567512,-1.6479680911732912
24.01.2005,2.33,2.25,2.33,2.22,14073000,2.25,-1.707142823913175,-1.664451701238384,-1.707142823913175,-1.677121056466957,-1.7082879889026439
25.01.2005,2.25,2.25,2.31,2.22,15246230,2.25,-1.707142823913175,-1.7072426031650667,-1.707142823913175,-1.6875670026771625,-1.7082879889026439
26.01.2005,2.25,2.22,2.27,2.2,29486000,2.22,-1.723216573419144,-1.7072426031650667,-1.723216573419144,-1.7084588950975739,-1.7192552430352535
27.01.2005,2.22,2.27,2.29,2.22,19831000,2.27,-1.6964269909091954,-1.7232891913875725,-1.6964269909091954,-1.6980129488873683,-1.7082879889026439
28.01.2005,2.25,2.31,2.31,2.25,14273000,2.31,-1.6749953249012361,-1.7072426031650667,-1.6749953249012361,-1.6875670026771625,-1.6918371077037295
31.01.2005,2.31,2.31,2.35,2.31,26666000,2.31,-1.6749953249012361,-1.6751494267200546,-1.6749953249012361,-1.6666751102567512,-1.6589353453059008
01.02.2005,2.29,2.29,2.33,2.27,8492000,2.29,-1.6857111579052158,-1.6858471522017253,-1.6857111579052158,-1.677121056466957,-1.68086985357112
02.02.2005,2.29,2.31,2.35,2.25,14101000,2.31,-1.6749953249012361,-1.6858471522017253,-1.6749953249012361,-1.6666751102567512,-1.6918371077037295
03.02.2005,2.33,2.33,2.33,2.29,6312000,2.33,-1.6642794918972565,-1.664451701238384,-1.6642794918972565,-1.677121056466957,-1.6699025994385104
04.02.2005,2.33,2.33,2.33,2.31,5945000,2.33,-1.6642794918972565,-1.664451701238384,-1.6642794918972565,-1.677121056466957,-1.6589353453059008
07.02.2005,2.33,2.33,2.35,2.31,8306000,2.33,-1.6642794918972565,-1.664451701238384,-1.6642794918972565,-1.6666751102567512,-1.6589353453059008
08.02.2005,2.33,2.41,2.41,2.31,19984000,2.41,-1.6214161598813384,-1.664451701238384,-1.6214161598813384,-1.635337271626134,-1.6589353453059008
14.02.2005,2.41,2.39,2.43,2.37,9726000,2.39,-1.6321319928853177,-1.6216607993117012,-1.6321319928853177,-1.6248913254159285,-1.626033582908072
15.02.2005,2.41,2.47,2.47,2.39,24776000,2.47,-1.5892686608693996,-1.6216607993117012,-1.5892686608693996,-1.603999432995517,-1.6150663287754625
16.02.2005,2.47,2.49,2.54,2.45,35095000,2.49,-1.57855282786542,-1.589567622866689,-1.57855282786542,-1.5674386212597973,-1.5821645663776336
17.02.2005,2.52,2.47,2.52,2.43,21270911,2.47,-1.5892686608693996,-1.5628233091625123,-1.5892686608693996,-1.5778845674700028,-1.5931318205102432
18.02.2005,2.47,2.45,2.49,2.45,24440000,2.45,-1.5999844938733792,-1.589567622866689,-1.5999844938733792,-1.5935534867853114,-1.5821645663776336
21.02.2005,2.47,2.45,2.47,2.43,6368000,2.45,-1.5999844938733792,-1.589567622866689,-1.5999844938733792,-1.603999432995517,-1.5931318205102432
22.02.2005,2.45,2.43,2.47,2.43,7268000,2.43,-1.6107003268773588,-1.6002653483483598,-1.6107003268773588,-1.603999432995517,-1.5931318205102432
23.02.2005,2.39,2.37,2.41,2.35,18651600,2.37,-1.6428478258892973,-1.6323585247933718,-1.6428478258892973,-1.635337271626134,-1.6370008370406817
24.02.2005,2.37,2.39,2.41,2.37,9154000,2.39,-1.6321319928853177,-1.6430562502750425,-1.6321319928853177,-1.635337271626134,-1.626033582908072
25.02.2005,2.41,2.43,2.43,2.39,15990000,2.43,-1.6107003268773588,-1.6216607993117012,-1.6107003268773588,-1.6248913254159285,-1.6150663287754625
28.02.2005,2.43,2.47,2.49,2.43,35072000,2.47,-1.5892686608693996,-1.6109630738300305,-1.5892686608693996,-1.5935534867853114,-1.5931318205102432
01.03.2005,2.47,2.45,2.47,2.43,24040000,2.45,-1.5999844938733792,-1.589567622866689,-1.5999844938733792,-1.603999432995517,-1.5931318205102432
02.03.2005,2.45,2.41,2.47,2.41,32353000,2.41,-1.6214161598813384,-1.6002653483483598,-1.6214161598813384,-1.603999432995517,-1.604099074642853
03.03.2005,2.41,2.47,2.47,2.41,10937000,2.47,-1.5892686608693996,-1.6216607993117012,-1.5892686608693996,-1.603999432995517,-1.604099074642853
04.03.2005,2.45,2.47,2.49,2.39,50605000,2.47,-1.5892686608693996,-1.6002653483483598,-1.5892686608693996,-1.5935534867853114,-1.6150663287754625
