Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,6.19,6.25,6.34,6.19,504000,6.25,-1.1010598627064836,-1.1034874244247233,-1.1010598627064836,-1.1034836442308833,-1.0971751098929943
05.01.2004,6.29,6.24,6.33,6.19,718400,6.24,-1.1014552433389835,-1.0995351435276322,-1.1014552433389835,-1.103874286805888,-1.0971751098929943
06.01.2004,6.2,6.52,6.54,6.18,986800,6.52,-1.09038458562898,-1.1030921963350142,-1.09038458562898,-1.0956707927307927,-1.0975753127801156
07.01.2004,6.56,6.42,6.57,6.42,768400,6.42,-1.0943383919539813,-1.0888639851054855,-1.0943383919539813,-1.094498865005779,-1.0879704434892044
08.01.2004,6.44,6.36,6.44,6.33,1004800,6.36,-1.0967106757489822,-1.093606722181995,-1.0967106757489822,-1.099577218480838,-1.0915722694732963
09.01.2004,6.32,6.22,6.35,6.22,656000,6.22,-1.102246004603984,-1.0983494592585046,-1.102246004603984,-1.1030930016558789,-1.0959745012316304
12.01.2004,6.22,6.2,6.28,6.16,580000,6.2,-1.1030367658689841,-1.1023017401555961,-1.1030367658689841,-1.1058274996809105,-1.0983757185543581
13.01.2004,6.26,6.22,6.26,6.15,657200,6.22,-1.102246004603984,-1.1007208277967595,-1.102246004603984,-1.1066087848309196,-1.0987759214414796
14.01.2004,6.22,6.34,6.38,6.16,1292400,6.34,-1.0975014370139824,-1.1023017401555961,-1.0975014370139824,-1.1019210739308654,-1.0983757185543581
15.01.2004,6.4,6.23,6.41,6.13,1282000,6.23,-1.1018506239714838,-1.0951876345408316,-1.1018506239714838,-1.1007491462058516,-1.0995763272157222
16.01.2004,6.3,6.33,6.33,6.22,811200,6.33,-1.0978968176464825,-1.0991399154379229,-1.0978968176464825,-1.103874286805888,-1.0959745012316304
20.01.2004,6.34,6.25,6.34,6.14,858000,6.25,-1.1010598627064836,-1.0975590030790865,-1.1010598627064836,-1.1034836442308833,-1.0991761243286007
21.01.2004,6.25,6.45,6.46,6.18,660000,6.45,-1.093152250056481,-1.1011160558864685,-1.093152250056481,-1.0987959333308288,-1.0975753127801156
22.01.2004,6.52,6.5,6.58,6.4,864400,6.5,-1.0911753468939802,-1.090444897464322,-1.0911753468939802,-1.0941082224307745,-1.0887708492634471
23.01.2004,6.5,6.48,6.53,6.35,523200,6.48,-1.0919661081589804,-1.0912353536437402,-1.0919661081589804,-1.0960614353057971,-1.0907718636990535
26.01.2004,6.45,6.46,6.46,6.35,550800,6.46,-1.0927568694239809,-1.093211494092286,-1.0927568694239809,-1.0987959333308288,-1.0907718636990535
27.01.2004,6.5,6.45,6.53,6.45,676800,6.45,-1.093152250056481,-1.0912353536437402,-1.093152250056481,-1.0960614353057971,-1.0867698348278407
28.01.2004,6.43,5.98,6.43,5.82,2204000,5.98,-1.111735139783987,-1.0940019502717042,-1.111735139783987,-1.0999678610558425,-1.1119826167164821
29.01.2004,6.13,6.43,6.43,6.13,3025600,6.43,-1.0939430113214812,-1.1058587929629782,-1.0939430113214812,-1.0999678610558425,-1.0995763272157222
30.01.2004,6.43,6.25,6.43,6.16,1200000,6.25,-1.1010598627064836,-1.0940019502717042,-1.1010598627064836,-1.0999678610558425,-1.0983757185543581
02.02.2004,6.32,6.16,6.32,6.14,1036800,6.16,-1.1046182883989846,-1.0983494592585046,-1.1046182883989846,-1.1042649293808924,-1.0991761243286007
03.02.2004,6.16,6.11,6.2,6.11,842000,6.11,-1.1065951915614853,-1.1046731086938508,-1.1065951915614853,-1.1089526402809469,-1.1003767329899647
04.02.2004,6.1,5.99,6.13,5.98,736400,5.99,-1.1113397591514866,-1.1070444772321055,-1.1113397591514866,-1.1116871383059785,-1.1055793705225414
05.02.2004,5.99,6.01,6.11,5.96,954800,6.01,-1.1105489978864866,-1.1113919862189061,-1.1105489978864866,-1.1124684234559876,-1.106379776296784
06.02.2004,6.01,6.2,6.21,5.99,551200,6.2,-1.1030367658689841,-1.1106015300394878,-1.1030367658689841,-1.1085619977059422,-1.1051791676354201
09.02.2004,6.2,6.09,6.2,6.06,602000,6.09,-1.1073859528264856,-1.1030921963350142,-1.1073859528264856,-1.1089526402809469,-1.1023777474255712
10.02.2004,6.09,6.04,6.17,5.96,640800,6.04,-1.1093628559889863,-1.1074397053218148,-1.1093628559889863,-1.1101245680059604,-1.106379776296784
11.02.2004,5.97,6.13,6.14,5.97,522800,6.13,-1.1058044302964851,-1.1121824423983244,-1.1058044302964851,-1.111296495730974,-1.105979573409663
12.02.2004,6.13,6.14,6.2,6.11,479600,6.14,-1.1054090496639848,-1.1058587929629782,-1.1054090496639848,-1.1089526402809469,-1.1003767329899647
13.02.2004,6.15,6.06,6.17,5.96,573600,6.06,-1.1085720947239859,-1.10506833678356,-1.1085720947239859,-1.1101245680059604,-1.106379776296784
17.02.2004,6.05,6.2,6.22,6.04,574800,6.2,-1.1030367658689841,-1.1090206176806512,-1.1030367658689841,-1.1081713551309378,-1.1031781531998137
18.02.2004,6.2,6.08,6.23,6.07,629600,6.08,-1.1077813334589857,-1.1030921963350142,-1.1077813334589857,-1.1077807125559331,-1.1019775445384499
19.02.2004,6.13,5.96,6.17,5.96,420000,5.96,-1.1125259010489872,-1.1058587929629782,-1.1125259010489872,-1.1101245680059604,-1.106379776296784
20.02.2004,5.98,5.98,6.03,5.86,631200,5.98,-1.111735139783987,-1.1117872143086152,-1.111735139783987,-1.115593564056024,-1.110381805167997
23.02.2004,6.0,5.87,6.0,5.85,795600,5.87,-1.1160843267414884,-1.1109967581291968,-1.1160843267414884,-1.1167654917810377,-1.1107820080551183
24.02.2004,5.88,5.87,5.95,5.82,542400,5.87,-1.1160843267414884,-1.1157394952057067,-1.1160843267414884,-1.1187187046560603,-1.1119826167164821
25.02.2004,5.87,5.94,5.97,5.84,416000,5.94,-1.1133166623139874,-1.1161347232954157,-1.1133166623139874,-1.1179374195060512,-1.1111822109422396
26.02.2004,5.94,5.85,5.94,5.81,2111200,5.85,-1.1168750880064886,-1.1133681266674518,-1.1168750880064886,-1.1191093472310647,-1.1123828196036034
27.02.2004,5.85,5.79,5.88,5.73,779200,5.79,-1.1192473718014895,-1.1169251794748338,-1.1192473718014895,-1.121453202681092,-1.1155844427005739
01.03.2004,5.77,5.87,5.89,5.77,1286800,5.87,-1.1160843267414884,-1.120087004192507,-1.1160843267414884,-1.1210625601060875,-1.1139836311520888
02.03.2004,5.91,5.76,5.93,5.76,988400,5.76,-1.1204335136989898,-1.1145538109365791,-1.1204335136989898,-1.1194999898060694,-1.11438383403921
