Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
02.01.2014,23.91,23.63,23.91,24.34,23.63,8997900
03.01.2014,25.02,24.28,25.02,25.22,24.05,13829600
06.01.2014,25.48,25.1,25.48,25.64,25.08,11271400
07.01.2014,25.37,25.64,25.37,25.83,25.14,11288700
08.01.2014,26.05,24.86,26.05,26.1,24.84,15733900
09.01.2014,27.74,26.62,27.74,27.91,26.59,26049300
10.01.2014,27.67,27.39,27.67,28.12,27.1,12807800
13.01.2014,27.01,27.51,27.01,27.84,26.94,10587800
14.01.2014,27.22,27.1,27.22,27.38,27.07,10600500
15.01.2014,27.19,27.25,27.19,27.75,27.06,11192500
16.01.2014,27.66,27.28,27.66,27.71,27.06,7034200
17.01.2014,28.3,27.62,28.3,28.3,27.5,18276700
21.01.2014,28.9,28.9,28.9,29.04,28.47,10612500
22.01.2014,29.41,28.95,29.41,29.45,28.9,7578800
23.01.2014,29.55,28.9,29.55,29.66,28.87,11394600
24.01.2014,28.66,29.24,28.66,29.39,28.2,13686200
27.01.2014,28.45,28.66,28.45,29.1,27.03,16276300
28.01.2014,30.13,28.58,30.13,30.36,28.3,23937900
29.01.2014,31.09,30.39,31.09,31.49,30.26,22683700
30.01.2014,31.86,31.45,31.86,32.24,31.3,13660500
31.01.2014,31.63,31.53,31.63,32.13,31.11,12791000
03.02.2014,32.02,32.01,32.02,32.51,31.16,21739500
04.02.2014,32.1,32.09,32.1,32.41,31.66,11178900
05.02.2014,31.86,31.88,31.86,32.02,31.49,15465100
06.02.2014,32.68,31.78,32.68,32.92,31.77,13920500
07.02.2014,33.63,32.82,33.63,33.66,32.67,15404700
10.02.2014,33.54,34.03,33.54,34.08,33.35,11107300
11.02.2014,33.12,33.54,33.12,33.6,32.42,11988300
12.02.2014,32.7,32.89,32.7,33.0,32.39,9383300
13.02.2014,33.02,32.12,33.02,33.03,32.11,8409200
14.02.2014,32.44,32.85,32.44,33.17,32.26,7296900
18.02.2014,32.35,32.74,32.35,32.95,32.24,7087200
19.02.2014,32.61,32.29,32.61,33.08,32.16,7258100
20.02.2014,33.62,32.46,33.62,33.63,32.46,9282100
21.02.2014,34.1,33.73,34.1,34.36,33.7,7820900
24.02.2014,34.55,34.13,34.55,34.56,33.96,7018500
25.02.2014,34.88,34.53,34.88,35.02,34.42,8990100
26.02.2014,34.65,34.99,34.65,35.15,34.49,10514100
27.02.2014,34.47,34.77,34.47,34.83,34.26,5657000
28.02.2014,34.82,34.04,34.82,34.86,34.0,7989800
03.03.2014,34.03,34.1,34.03,34.32,33.3,9495500
04.03.2014,35.2,34.48,35.2,35.32,34.48,11739700
05.03.2014,35.69,35.45,35.69,35.85,35.36,8793500
06.03.2014,36.59,36.09,36.59,37.08,36.09,14006200
07.03.2014,36.79,36.97,36.79,37.04,35.93,10536100
10.03.2014,36.73,36.48,36.73,37.6,36.34,11413500
11.03.2014,35.9,36.44,35.9,37.01,35.78,11302500
12.03.2014,35.41,35.8,35.41,35.9,35.1,9412700
13.03.2014,34.64,35.73,34.64,35.81,33.7,11743600
14.03.2014,34.26,33.94,34.26,35.05,33.63,7198600
17.03.2014,35.54,34.52,35.54,35.61,34.44,9235100
18.03.2014,35.21,35.59,35.21,35.86,34.97,5715900
19.03.2014,34.96,35.14,34.96,35.48,34.58,3863100
20.03.2014,34.47,34.51,34.47,34.97,34.2,6952100
21.03.2014,34.04,34.66,34.04,34.71,33.85,14110700
24.03.2014,34.69,34.17,34.69,34.75,33.97,6514000
25.03.2014,35.73,34.77,35.73,36.01,34.75,10418400
26.03.2014,34.6,35.97,34.6,36.07,34.54,7318200
27.03.2014,33.72,34.52,33.72,34.66,33.01,9542200
28.03.2014,33.36,33.72,33.36,34.41,33.33,6792700
31.03.2014,34.5,33.79,34.5,34.76,33.7,8415300
01.04.2014,35.77,34.83,35.77,36.0,34.74,11064900
02.04.2014,35.55,36.05,35.55,36.67,35.33,12511000
03.04.2014,35.2,35.56,35.2,36.24,34.84,7937400
04.04.2014,34.47,35.27,34.47,35.56,34.22,8731000
07.04.2014,33.73,34.67,33.73,35.33,33.43,10569800
08.04.2014,33.92,33.94,33.92,34.15,31.69,17409200
09.04.2014,34.79,34.01,34.79,34.88,33.15,11473300
10.04.2014,33.27,34.6,33.27,35.24,32.62,16311400
