Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,116.24,116.81,117.3,115.82,3366700,116.81,-1.0615793176269563,-1.0695678519203435,-1.0615793176269563,-1.075898364799942,-1.0548665952451752
03.01.2014,117.14,117.62,118.37,117.13,3177400,117.62,-1.0517005365290015,-1.058588769520658,-1.0517005365290015,-1.0629816214198686,-1.0387085149422588
06.01.2014,119.14,118.3,119.45,117.77,4196500,118.3,-1.0434072388171385,-1.034190808632468,-1.0434072388171385,-1.0499441608119442,-1.0308144909774752
07.01.2014,118.44,120.09,120.59,118.37,4238500,120.09,-1.021576352193263,-1.0427300949433345,-1.021576352193263,-1.0361823968369128,-1.0234138435104905
08.01.2014,120.24,120.35,120.85,119.11,4236100,120.35,-1.0184053854210802,-1.0207719301439635,-1.0184053854210802,-1.033043748912783,-1.0142863783012095
09.01.2014,120.94,121.47,121.81,120.12,4052500,121.47,-1.0047458362485997,-1.012232643833097,-1.0047458362485997,-1.0214548950390723,-1.0018286217317853
10.01.2014,122.04,121.28,122.05,120.42,4549500,121.28,-1.0070630811975025,-0.9988137653445924,-1.0070630811975025,-1.0185576815706447,-0.9981282979982931
13.01.2014,120.98,120.25,121.48,119.98,4462400,120.25,-1.019624988025766,-1.011744684615333,-1.019624988025766,-1.0254385635581602,-1.0035554394740818
14.01.2014,120.38,119.66,121.11,117.77,8441600,119.66,-1.026820643393412,-1.0190640728817904,-1.026820643393412,-1.029905100988653,-1.0308144909774752
15.01.2014,119.91,120.18,120.58,119.77,3030800,120.18,-1.020478709849046,-1.024797593690515,-1.020478709849046,-1.036303114064764,-1.0061456660875265
16.01.2014,119.94,119.83,120.89,119.71,3062900,119.83,-1.0247473189654461,-1.024431624277192,-1.0247473189654461,-1.0325608800013784,-1.006885730834225
17.01.2014,119.72,120.05,120.51,119.44,3382700,120.05,-1.0220641932351375,-1.027115399974893,-1.0220641932351375,-1.037148134659722,-1.010216022194368
21.01.2014,120.9,121.08,121.76,120.35,3240600,121.08,-1.0095022864068741,-1.0127206030508606,-1.0095022864068741,-1.022058481178328,-0.9989917068694414
22.01.2014,121.63,123.39,123.56,121.25,4388700,123.39,-0.9813294662386328,-1.0038153473266715,-0.9813294662386328,-1.0003293801651207,-0.9878907356689643
23.01.2014,122.3,120.77,122.98,120.59,4491400,120.77,-1.0132830544814,-0.9956420304291279,-1.0132830544814,-1.0073309793804874,-0.9960314478826474
24.01.2014,120.0,116.79,120.06,116.51,5856800,116.79,-1.0618232381478934,-1.0236996854505462,-1.0618232381478934,-1.042580409913024,-1.0463558506581427
27.01.2014,116.83,117.4,118.34,115.94,5057800,117.4,-1.0543836622593104,-1.0623704534583274,-1.0543836622593104,-1.063343773103422,-1.0533864657517782
28.01.2014,117.61,117.17,118.02,116.61,4606200,117.17,-1.0571887482500875,-1.0528552487119334,-1.0571887482500875,-1.067206724394659,-1.0451224094136453
29.01.2014,112.56,110.92,112.61,109.46,15993400,110.92,-1.133413911042948,-1.114460099954613,-1.133413911042948,-1.1325147446621322,-1.1333134583952122
