Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
02.01.2014,9.15,9.19,9.15,9.19,9.07,4695000
03.01.2014,9.02,9.11,9.02,9.15,9.02,6314000
06.01.2014,9.07,9.07,9.07,9.15,9.07,6053000
07.01.2014,9.07,9.07,9.07,9.15,9.07,5089000
08.01.2014,9.07,9.07,9.07,9.15,9.07,5999000
09.01.2014,9.11,9.07,9.11,9.15,9.07,5790000
10.01.2014,9.07,9.11,9.07,9.15,9.07,8564000
13.01.2014,9.07,9.15,9.07,9.15,9.07,7448000
14.01.2014,9.11,9.15,9.11,9.15,9.07,7109000
15.01.2014,9.15,9.15,9.15,9.15,9.07,7940000
16.01.2014,9.07,9.15,9.07,9.23,9.07,7933000
17.01.2014,9.07,9.07,9.07,9.11,9.02,4507000
20.01.2014,9.02,9.07,9.02,9.07,8.98,3415000
21.01.2014,9.02,9.02,9.02,9.07,8.98,3755000
22.01.2014,9.02,9.02,9.02,9.07,8.98,3739000
23.01.2014,8.94,9.02,8.94,9.07,8.94,6706000
24.01.2014,8.94,8.94,8.94,8.98,8.9,5379000
27.01.2014,8.94,8.9,8.94,8.94,8.81,9839000
05.02.2014,8.81,8.81,8.81,8.86,8.73,14129000
06.02.2014,8.73,8.86,8.73,8.86,8.69,9466000
07.02.2014,8.69,8.73,8.69,8.81,8.69,10320000
10.02.2014,8.69,8.69,8.69,8.77,8.69,4195000
11.02.2014,8.69,8.73,8.69,8.77,8.65,4235000
12.02.2014,8.65,8.69,8.65,8.73,8.65,4238000
13.02.2014,8.77,8.69,8.77,8.77,8.65,6112000
14.02.2014,8.77,8.81,8.77,8.81,8.73,3799000
17.02.2014,8.73,8.77,8.73,8.77,8.69,2353000
18.02.2014,8.73,8.73,8.73,8.73,8.65,3571000
19.02.2014,8.69,8.69,8.69,8.73,8.65,2936000
20.02.2014,8.65,8.69,8.65,8.69,8.65,4796000
21.02.2014,8.69,8.69,8.69,8.73,8.65,5005000
24.02.2014,8.65,8.69,8.65,8.73,8.65,3002000
25.02.2014,8.65,8.65,8.65,8.69,8.6,4448000
26.02.2014,8.65,8.6,8.65,8.65,8.6,6563000
27.02.2014,8.73,8.69,8.73,8.73,8.6,6070000
03.03.2014,8.69,8.65,8.69,8.73,8.6,7478000
04.03.2014,8.56,8.65,8.56,8.65,8.56,5853000
05.03.2014,8.6,8.6,8.6,8.65,8.56,3998000
06.03.2014,8.65,8.6,8.65,8.69,8.6,4915000
07.03.2014,8.65,8.65,8.65,8.69,8.65,4867000
10.03.2014,8.65,8.6,8.65,8.65,8.56,3956000
11.03.2014,8.65,8.65,8.65,8.65,8.56,3395000
12.03.2014,8.6,8.6,8.6,8.65,8.56,3972000
13.03.2014,8.6,8.6,8.6,8.65,8.56,3995000
14.03.2014,8.56,8.56,8.56,8.65,8.56,6744000
17.03.2014,8.6,8.56,8.6,8.65,8.52,5676000
18.03.2014,8.6,8.6,8.6,8.6,8.56,3796000
19.03.2014,8.52,8.6,8.52,8.6,8.52,5720000
20.03.2014,8.39,8.52,8.39,8.52,8.39,9564000
21.03.2014,8.48,8.39,8.48,8.48,8.39,6279000
24.03.2014,8.48,8.39,8.48,8.52,8.39,4718000
25.03.2014,8.44,8.48,8.44,8.48,8.39,4388000
26.03.2014,8.44,8.48,8.44,8.48,8.39,4196000
27.03.2014,8.44,8.48,8.44,8.48,8.39,4359000
28.03.2014,8.44,8.44,8.44,8.48,8.39,4299000
