Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
02.01.2014,30.48,30.47,30.48,30.64,30.21,691600
03.01.2014,30.86,30.5,30.86,30.94,30.5,770600
06.01.2014,30.59,30.62,30.59,30.7,30.39,773400
07.01.2014,30.87,31.0,30.87,31.28,30.76,764200
08.01.2014,30.85,30.9,30.85,31.03,30.55,765600
09.01.2014,30.29,30.51,30.29,30.59,30.12,2509800
10.01.2014,30.87,30.47,30.87,30.94,30.44,1898500
13.01.2014,30.95,31.45,30.95,31.69,30.85,1455100
14.01.2014,31.99,31.56,31.99,32.13,31.44,1347100
15.01.2014,32.62,32.01,32.62,32.78,31.97,1469000
16.01.2014,32.73,32.43,32.73,33.0,32.31,1173900
17.01.2014,32.13,32.51,32.13,32.59,32.0,619100
21.01.2014,32.02,31.31,32.02,32.02,31.26,976500
22.01.2014,32.05,32.14,32.05,32.25,31.73,663300
23.01.2014,31.43,31.35,31.43,31.69,31.18,1184900
24.01.2014,30.35,31.27,30.35,31.27,30.22,1186400
27.01.2014,29.91,29.65,29.91,30.1,29.38,1267100
28.01.2014,30.27,29.84,30.27,30.39,29.73,1591200
29.01.2014,29.5,29.82,29.5,29.88,29.4,1498300
30.01.2014,29.3,29.96,29.3,30.02,29.13,710300
31.01.2014,29.11,29.06,29.11,29.28,28.85,1205800
03.02.2014,28.33,29.08,28.33,29.09,28.32,957900
04.02.2014,29.18,28.95,29.18,29.38,28.49,837100
05.02.2014,29.21,29.02,29.21,29.83,28.77,1123900
06.02.2014,29.89,29.44,29.89,29.98,29.27,709900
07.02.2014,30.7,30.21,30.7,30.99,30.17,878400
10.02.2014,30.21,30.2,30.21,30.35,29.97,1124900
11.02.2014,30.84,29.68,30.84,30.92,29.67,535900
12.02.2014,31.02,30.99,31.02,31.04,30.74,790900
13.02.2014,31.94,31.01,31.94,31.94,30.78,982600
14.02.2014,31.79,31.56,31.79,32.18,31.55,832500
18.02.2014,31.12,31.42,31.12,31.69,30.93,1192500
19.02.2014,31.32,30.78,31.32,31.54,30.78,728900
20.02.2014,31.3,31.81,31.3,31.97,31.27,956900
21.02.2014,31.68,31.42,31.68,32.04,31.42,989800
24.02.2014,32.32,31.83,32.32,32.64,31.8,997000
25.02.2014,32.38,32.47,32.38,32.96,32.28,1972900
26.02.2014,33.89,33.47,33.89,34.15,33.44,2580700
27.02.2014,34.61,34.16,34.61,34.82,33.97,1470300
28.02.2014,34.06,34.09,34.06,34.51,33.91,1561500
03.03.2014,33.73,32.96,33.73,33.8,32.85,1293600
04.03.2014,34.31,34.06,34.31,34.43,33.71,983300
05.03.2014,34.05,34.46,34.05,34.73,33.9,771400
06.03.2014,33.48,34.12,33.48,34.19,33.37,1530500
07.03.2014,33.02,33.47,33.02,33.47,32.91,1166800
10.03.2014,32.6,33.22,32.6,33.3,32.54,980900
11.03.2014,32.52,32.73,32.52,33.07,32.24,785000
12.03.2014,32.46,32.48,32.46,32.63,32.26,631100
13.03.2014,31.49,32.84,31.49,32.84,31.35,972400
14.03.2014,31.5,31.31,31.5,31.86,31.2,849000
17.03.2014,31.66,31.56,31.66,31.97,31.35,759900
18.03.2014,32.34,31.69,32.34,32.43,31.68,856400
19.03.2014,32.07,32.52,32.07,32.72,31.9,759100
20.03.2014,32.25,32.13,32.25,32.46,31.79,556600
21.03.2014,32.19,32.04,32.19,32.89,32.03,760000
24.03.2014,32.15,32.52,32.15,32.54,31.94,724700
25.03.2014,32.86,32.55,32.86,32.92,32.31,711800
26.03.2014,32.71,32.97,32.71,33.64,32.71,895900
27.03.2014,33.63,33.5,33.63,33.86,32.9,1117300
28.03.2014,33.78,33.91,33.78,34.58,33.54,1029400
31.03.2014,33.75,33.85,33.75,34.14,33.72,611900
01.04.2014,34.09,33.93,34.09,34.11,33.78,641000
02.04.2014,34.09,34.24,34.09,34.39,33.93,1167700
03.04.2014,33.76,34.09,33.76,34.09,33.55,802600
04.04.2014,33.51,34.33,33.51,34.7,33.5,1312600
07.04.2014,33.13,33.45,33.13,33.48,32.9,945900
08.04.2014,33.07,33.77,33.07,33.87,32.95,638700
09.04.2014,33.5,32.86,33.5,33.76,32.74,1115200
10.04.2014,33.02,33.61,33.02,33.68,33.0,746300
11.04.2014,32.94,33.0,32.94,33.27,32.78,726000
14.04.2014,32.54,33.05,32.54,33.05,32.44,792700
15.04.2014,32.03,32.39,32.03,32.55,31.51,1230900
16.04.2014,32.8,32.42,32.8,33.18,32.32,1165000
17.04.2014,33.11,32.9,33.11,33.21,32.74,1559000
21.04.2014,33.49,34.56,33.49,34.56,33.21,467900
22.04.2014,32.01,32.88,32.01,32.98,31.93,2169300
23.04.2014,32.6,32.19,32.6,32.74,31.81,1225800
24.04.2014,32.48,32.89,32.48,32.89,32.23,625100
25.04.2014,32.49,32.38,32.49,32.74,32.13,1458300
28.04.2014,32.24,32.43,32.24,32.49,31.66,1510400
29.04.2014,32.93,32.87,32.93,33.42,32.51,1896900
30.04.2014,32.83,33.28,32.83,33.5,32.37,1690700
01.05.2014,32.85,32.95,32.85,33.18,32.66,701400
02.05.2014,33.32,32.94,33.32,33.56,32.7,874500
05.05.2014,32.91,33.05,32.91,33.31,32.64,678000
06.05.2014,33.19,33.01,33.19,33.33,32.86,2205900
07.05.2014,33.39,33.33,33.39,33.59,32.9,1167500
08.05.2014,33.22,33.42,33.22,33.72,33.19,853000
09.05.2014,32.7,33.19,32.7,33.29,32.69,573000
12.05.2014,32.97,32.87,32.97,33.16,32.64,969700
13.05.2014,32.93,32.89,32.93,33.12,32.78,846500
14.05.2014,32.57,32.88,32.57,33.0,32.56,688700
15.05.2014,32.16,32.62,32.16,32.84,32.09,928100
16.05.2014,32.18,32.35,32.18,32.35,32.03,413000
19.05.2014,32.06,31.96,32.06,32.22,31.96,594100
20.05.2014,32.24,32.36,32.24,32.83,32.17,2000300
21.05.2014,32.55,32.68,32.55,32.77,32.28,1248900
22.05.2014,32.83,32.77,32.83,32.89,32.68,1160200
23.05.2014,33.36,33.03,33.36,33.63,32.87,974400
27.05.2014,33.88,33.43,33.88,33.96,33.34,1227300
28.05.2014,34.12,34.07,34.12,34.24,33.96,599700
29.05.2014,34.42,34.6,34.42,34.65,34.29,542200
30.05.2014,34.59,34.3,34.59,34.64,34.21,986300
02.06.2014,34.78,34.45,34.78,34.95,34.39,640200
03.06.2014,34.93,35.0,34.93,35.08,34.79,1105100
04.06.2014,34.97,34.84,34.97,34.98,34.57,564500
05.06.2014,35.04,35.1,35.04,35.29,34.89,942300
06.06.2014,35.07,35.62,35.07,35.66,34.92,1448400
09.06.2014,35.79,35.03,35.79,35.91,35.03,1497500
10.06.2014,36.08,35.61,36.08,36.19,35.55,992300
11.06.2014,35.5,35.96,35.5,36.06,35.4,875300
12.06.2014,34.41,35.37,34.41,35.4,34.21,1311200
13.06.2014,34.69,34.85,34.69,35.0,34.6,549200
16.06.2014,34.58,34.9,34.58,34.9,34.33,484200
17.06.2014,34.89,34.66,34.89,34.99,34.48,459600
18.06.2014,35.71,35.03,35.71,35.78,34.73,887600
19.06.2014,35.07,35.59,35.07,35.61,34.93,382400
20.06.2014,34.52,34.93,34.52,34.95,34.47,388400
23.06.2014,34.9,34.76,34.9,35.05,34.51,920600
24.06.2014,34.53,34.86,34.53,34.95,34.52,674800
25.06.2014,34.57,34.88,34.57,34.99,34.47,625000
26.06.2014,34.49,34.37,34.49,34.6,34.16,391600
27.06.2014,34.31,34.2,34.31,34.43,34.04,516200
30.06.2014,34.86,33.97,34.86,34.86,33.94,620600
01.07.2014,35.28,34.85,35.28,35.48,34.85,501900
02.07.2014,35.38,35.13,35.38,35.67,35.03,599000
03.07.2014,35.69,35.11,35.69,35.83,35.11,395800
07.07.2014,36.31,36.03,36.31,36.44,35.43,998100
08.07.2014,35.5,36.46,35.5,36.46,35.43,675900
09.07.2014,35.76,35.6,35.76,35.93,35.52,659600
10.07.2014,36.5,35.66,36.5,36.55,35.54,728000
11.07.2014,36.63,36.62,36.63,36.65,36.27,778300
14.07.2014,37.89,37.84,37.89,38.62,37.56,1463700
15.07.2014,37.34,37.83,37.34,37.97,36.96,871200
16.07.2014,36.59,37.82,36.59,37.91,36.47,1262900
17.07.2014,36.94,36.98,36.94,37.77,36.77,1214500
18.07.2014,36.77,37.46,36.77,37.55,36.71,814900
21.07.2014,37.41,36.88,37.41,37.42,36.44,849700
22.07.2014,37.71,37.46,37.71,37.99,37.46,692500
23.07.2014,37.61,37.53,37.61,37.62,37.07,600200
24.07.2014,37.79,37.53,37.79,38.03,37.52,821000
25.07.2014,37.41,37.67,37.41,37.75,37.31,523700
28.07.2014,37.37,37.33,37.37,37.45,36.55,954900
29.07.2014,36.7,37.41,36.7,37.57,36.44,859500
30.07.2014,36.92,36.82,36.92,37.09,36.49,832800
31.07.2014,36.4,36.22,36.4,36.77,35.77,1198700
01.08.2014,36.8,36.18,36.8,36.94,36.04,1161800
04.08.2014,36.66,36.88,36.66,36.92,36.09,865700
05.08.2014,35.52,36.59,35.52,36.59,35.37,1387500
06.08.2014,35.56,35.55,35.56,35.69,35.17,896900
07.08.2014,35.75,35.8,35.75,36.1,35.61,921100
08.08.2014,36.57,35.64,36.57,36.61,35.61,616900
11.08.2014,36.87,36.68,36.87,37.26,36.6,576200
12.08.2014,37.14,36.58,37.14,37.35,36.39,796400
13.08.2014,37.36,37.31,37.36,37.39,36.47,1069000
14.08.2014,37.08,37.23,37.08,37.6,37.07,460500
15.08.2014,36.93,37.4,36.93,37.43,36.62,766200
18.08.2014,37.66,37.3,37.66,37.7,37.12,456400
19.08.2014,37.78,37.73,37.78,38.06,37.63,635000
20.08.2014,37.89,37.94,37.89,38.18,37.74,695100
21.08.2014,38.18,38.11,38.18,38.38,37.96,664100
22.08.2014,37.61,38.16,37.61,38.18,37.52,518500
25.08.2014,37.74,37.87,37.74,37.94,37.69,370500
26.08.2014,37.71,38.06,37.71,38.1,37.69,679700
27.08.2014,37.17,37.87,37.17,37.89,37.06,1054200
28.08.2014,36.75,37.42,36.75,37.45,36.68,1483200
29.08.2014,37.07,36.94,37.07,37.12,36.41,1219400
02.09.2014,37.11,36.66,37.11,37.29,36.63,783600
03.09.2014,37.09,37.23,37.09,37.36,36.93,650000
04.09.2014,37.4,37.3,37.4,37.74,37.13,760300
05.09.2014,37.59,37.64,37.59,37.99,37.53,728500
08.09.2014,37.35,37.6,37.35,37.65,37.25,553200
09.09.2014,36.7,36.8,36.7,36.94,36.42,772000
10.09.2014,37.82,36.59,37.82,37.96,36.41,1079700
11.09.2014,38.24,37.82,38.24,38.31,37.8,1395500
12.09.2014,37.74,37.16,37.74,38.27,36.96,1196000
15.09.2014,38.24,37.91,38.24,38.43,37.9,699100
16.09.2014,38.17,38.43,38.17,38.77,38.06,1108600
17.09.2014,38.22,38.37,38.22,38.56,37.96,1379200
18.09.2014,38.24,38.37,38.24,38.51,38.09,893400
19.09.2014,38.01,38.4,38.01,38.43,37.78,864300
22.09.2014,37.07,37.38,37.07,37.52,36.93,725600
23.09.2014,36.93,37.25,36.93,37.5,36.66,1070200
24.09.2014,36.68,36.48,36.68,37.03,36.14,3092700
25.09.2014,36.23,36.56,36.23,36.63,36.21,1031500
26.09.2014,37.32,36.48,37.32,37.42,36.28,711900
29.09.2014,37.1,36.48,37.1,37.43,36.31,944800
30.09.2014,37.61,37.07,37.61,37.69,37.02,1381400
01.10.2014,37.6,37.35,37.6,37.77,37.24,1613300
02.10.2014,36.39,37.42,36.39,37.5,36.36,2009500
03.10.2014,36.56,36.29,36.56,36.63,35.8,1524000
06.10.2014,36.85,36.66,36.85,37.83,36.53,1299900
07.10.2014,36.05,37.16,36.05,37.19,35.98,1081200
08.10.2014,36.8,36.34,36.8,36.85,35.35,1207100
09.10.2014,36.17,36.85,36.17,36.97,36.01,579000
10.10.2014,34.91,36.15,34.91,36.18,34.8,2000100
13.10.2014,33.75,35.0,33.75,35.11,33.71,1210400
14.10.2014,34.8,34.0,34.8,35.06,33.49,1327700
15.10.2014,33.46,33.67,33.46,33.82,32.06,1399800
16.10.2014,33.66,32.67,33.66,34.29,32.66,830700
17.10.2014,34.89,34.25,34.89,35.16,33.9,1166600
20.10.2014,34.26,34.22,34.26,34.8,33.98,851200
21.10.2014,34.82,34.16,34.82,35.33,34.12,692800
22.10.2014,34.07,34.73,34.07,34.96,34.04,729400
23.10.2014,34.49,34.4,34.49,34.96,34.04,1175100
24.10.2014,35.38,34.94,35.38,35.49,34.67,991000
27.10.2014,35.74,34.21,35.74,35.8,33.77,1964000
28.10.2014,36.21,35.47,36.21,36.33,35.46,1258600
29.10.2014,36.25,36.21,36.25,36.5,35.83,645100
30.10.2014,36.39,36.06,36.39,36.78,35.94,602800
31.10.2014,37.05,36.28,37.05,37.13,36.28,756300
03.11.2014,36.6,35.97,36.6,36.68,35.72,1260800
