Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
02.01.2014,37.73,37.7,37.73,38.13,37.5,2228400
03.01.2014,39.95,38.44,39.95,40.15,38.21,7080400
06.01.2014,39.36,40.11,39.36,40.5,39.14,4640000
07.01.2014,38.69,39.58,38.69,39.98,38.45,4528400
08.01.2014,41.02,39.0,41.02,41.06,38.65,7799500
09.01.2014,43.8,44.13,43.8,46.19,43.71,24475700
10.01.2014,45.08,44.07,45.08,45.75,44.01,12481600
13.01.2014,44.6,45.31,44.6,45.9,44.34,5528200
14.01.2014,46.75,44.81,46.75,46.78,44.75,8855400
15.01.2014,46.5,46.5,46.5,46.77,45.51,8506200
16.01.2014,47.21,46.08,47.21,47.24,46.04,4673500
17.01.2014,47.07,47.3,47.07,47.86,46.42,5887000
21.01.2014,47.91,47.55,47.91,47.92,46.89,7026800
22.01.2014,49.18,47.9,49.18,49.2,47.87,6962400
23.01.2014,48.43,48.1,48.43,48.74,47.0,11049800
24.01.2014,46.13,48.09,46.13,48.23,45.68,10894800
27.01.2014,45.27,46.14,45.27,46.97,43.88,7611000
28.01.2014,46.03,45.35,46.03,46.83,45.35,6293800
29.01.2014,45.43,45.54,45.43,46.72,45.1,5199100
30.01.2014,46.43,45.97,46.43,46.75,45.76,4301600
31.01.2014,45.84,46.29,45.84,46.51,45.82,4731400
03.02.2014,43.82,45.91,43.82,45.96,43.25,9528000
04.02.2014,43.97,44.17,43.97,44.37,43.51,5430200
05.02.2014,43.61,43.49,43.61,44.02,42.96,4482100
06.02.2014,45.03,43.64,45.03,45.93,43.64,4084100
07.02.2014,45.54,45.03,45.54,46.01,44.88,3331400
10.02.2014,45.11,45.45,45.11,45.84,44.46,2780500
11.02.2014,44.01,45.43,44.01,45.43,43.3,6444100
12.02.2014,44.49,44.06,44.49,44.72,43.35,4867700
13.02.2014,45.1,43.99,45.1,45.14,43.68,3665800
14.02.2014,44.5,45.02,44.5,45.07,44.18,3373200
18.02.2014,43.66,44.47,43.66,44.81,43.58,5539200
19.02.2014,43.28,43.53,43.28,43.84,43.07,4052600
20.02.2014,45.69,43.33,45.69,45.85,43.33,5218200
21.02.2014,45.6,45.46,45.6,46.73,45.36,4131300
24.02.2014,46.1,45.64,46.1,46.54,45.25,3347800
25.02.2014,47.26,46.89,47.26,48.45,46.65,6162700
26.02.2014,46.81,47.25,46.81,47.54,46.42,3399200
27.02.2014,46.51,46.81,46.51,47.35,46.42,3054000
28.02.2014,44.96,45.22,44.96,45.95,44.74,9394500
03.03.2014,44.01,44.26,44.01,44.26,43.38,4780200
04.03.2014,45.24,44.73,45.24,45.5,44.73,3811700
05.03.2014,47.1,45.42,47.1,47.38,45.36,4926600
06.03.2014,47.98,47.59,47.98,48.85,47.58,6104200
07.03.2014,47.75,48.22,47.75,48.5,46.97,2848000
10.03.2014,46.66,47.71,46.66,49.18,46.41,4580200
11.03.2014,46.2,46.63,46.2,47.13,45.92,2994800
12.03.2014,45.94,45.99,45.94,46.57,45.57,3210000
13.03.2014,44.93,46.18,44.93,46.23,44.5,3632000
14.03.2014,44.4,44.69,44.4,45.43,44.18,4864800
17.03.2014,45.64,44.98,45.64,45.94,44.47,4947700
18.03.2014,45.22,45.64,45.22,46.94,45.16,4338000
19.03.2014,44.67,45.2,44.67,45.5,44.38,3595600
20.03.2014,45.23,44.47,45.23,45.38,44.1,3493100
21.03.2014,44.33,45.43,44.33,45.47,43.84,6295800
24.03.2014,44.45,45.03,44.45,45.26,43.65,4280300
25.03.2014,45.2,44.68,45.2,45.5,44.5,3210900
26.03.2014,44.13,45.48,44.13,45.68,44.13,3311400
27.03.2014,43.89,44.0,43.89,44.08,42.85,3501100
28.03.2014,42.96,44.0,42.96,44.84,42.91,3381400
31.03.2014,44.63,43.26,44.63,44.8,43.26,3105700
01.04.2014,46.9,45.97,46.9,46.92,45.77,6527800
02.04.2014,47.23,47.01,47.23,48.2,46.95,3946300
03.04.2014,46.45,47.03,46.45,47.44,45.75,2967900
04.04.2014,44.88,46.81,44.88,46.97,44.53,3915600
07.04.2014,44.35,44.5,44.35,45.29,43.87,5026900
08.04.2014,43.31,44.23,43.31,44.69,42.77,6329100
09.04.2014,44.52,43.18,44.52,44.62,42.54,9319900
10.04.2014,42.28,44.41,42.28,44.75,42.26,5767000
11.04.2014,41.49,41.97,41.49,42.87,40.88,4168600
14.04.2014,41.12,41.88,41.12,42.0,40.43,4537700
15.04.2014,41.98,41.78,41.98,42.77,40.5,5000900
16.04.2014,43.94,42.27,43.94,44.49,42.19,4613900
17.04.2014,43.55,44.0,43.55,44.03,42.77,3224100
21.04.2014,43.78,43.42,43.78,44.08,42.8,3539300
22.04.2014,45.81,44.05,45.81,45.95,44.04,4664200
23.04.2014,46.06,47.06,46.06,47.49,45.51,4338700
24.04.2014,41.53,44.18,41.53,44.58,40.81,15587900
25.04.2014,39.41,41.52,39.41,41.54,39.25,13220400
28.04.2014,39.2,39.63,39.2,39.82,38.06,11360600
29.04.2014,41.56,39.35,41.56,41.6,39.27,9453000
30.04.2014,40.87,41.66,40.87,42.17,40.49,8674700
01.05.2014,40.92,40.77,40.92,41.88,40.69,3201400
02.05.2014,40.72,41.01,40.72,41.34,40.25,2637700
05.05.2014,40.52,40.26,40.52,41.0,39.75,3337800
06.05.2014,40.09,40.55,40.09,41.05,39.91,2852200
07.05.2014,39.9,40.08,39.9,40.42,38.93,5593100
08.05.2014,40.37,39.77,40.37,41.47,39.71,5041300
09.05.2014,40.16,40.28,40.16,40.47,39.51,3885000
12.05.2014,41.58,40.33,41.58,41.59,40.22,5333300
13.05.2014,42.14,41.55,42.14,42.34,41.31,4172500
14.05.2014,41.89,41.9,41.89,42.21,41.13,3406700
15.05.2014,40.8,41.48,40.8,41.65,40.12,4732500
16.05.2014,40.51,40.61,40.51,41.05,39.56,4289400
19.05.2014,41.24,40.3,41.24,41.75,40.21,3127100
20.05.2014,40.38,41.26,40.38,41.34,40.02,4368400
21.05.2014,41.32,40.43,41.32,41.98,40.43,6504000
22.05.2014,42.0,41.26,42.0,42.36,41.23,3589600
23.05.2014,43.57,42.0,43.57,44.39,41.96,7412100
27.05.2014,43.49,43.81,43.49,44.0,43.27,3643600
28.05.2014,44.89,43.61,44.89,45.42,43.2,4373300
29.05.2014,44.6,44.78,44.6,45.33,43.85,5394100
30.05.2014,44.37,44.61,44.37,45.3,43.77,7028800
02.06.2014,46.7,44.49,46.7,46.82,44.37,7957600
03.06.2014,47.51,46.63,47.51,47.75,46.5,7507000
04.06.2014,46.87,47.4,46.87,48.06,46.28,10944600
