Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,3.32,3.28,3.32,3.25,14487576,3.28,-1.0298745409352608,-0.9997726597203529,-1.0298745409352608,-1.0317252844854596,-1.0202008668751819
03.01.2014,3.3,3.3,3.34,3.25,23068014,3.3,-1.0168097687601851,-1.012874223488269,-1.0168097687601851,-1.0189803781807922,-1.0202008668751819
06.01.2014,3.32,3.19,3.32,3.16,15981089,3.19,-1.0886660157231016,-0.9997726597203529,-1.0886660157231016,-1.0317252844854596,-1.080678606947385
07.01.2014,3.16,3.18,3.2,3.12,8948135,3.18,-1.0951984018106393,-1.1045851698636815,-1.0951984018106393,-1.108194722313463,-1.1075576025350309
08.01.2014,3.19,3.14,3.22,3.14,8615416,3.14,-1.1213279461607908,-1.0849328242118075,-1.1213279461607908,-1.0954498160087958,-1.0941181047412079
09.01.2014,3.14,3.06,3.17,3.06,10919653,3.06,-1.1735870348610937,-1.1176867336315977,-1.1735870348610937,-1.127312081770464,-1.1478760959164998
10.01.2014,3.07,3.11,3.13,3.05,19789016,3.11,-1.1409251044234046,-1.163542206819304,-1.1409251044234046,-1.1528018943797986,-1.1545958448134113
13.01.2014,3.26,3.41,3.42,3.23,95045703,3.41,-0.9449535217972683,-1.0390773510241011,-0.9449535217972683,-0.9680007529621232,-1.0336403646690049
14.01.2014,3.34,3.25,3.36,3.2,64680434,3.25,-1.0494716991978743,-0.9866710959524368,-1.0494716991978743,-1.006235471876125,-1.053799611359739
15.01.2014,3.22,3.16,3.23,3.11,52090697,3.16,-1.108263173985715,-1.0652804785599332,-1.108263173985715,-1.089077362856462,-1.1142773514319424
16.01.2014,3.16,3.21,3.28,3.1,56889651,3.21,-1.0756012435480258,-1.1045851698636815,-1.0756012435480258,-1.0572150970947942,-1.1209971003288537
17.01.2014,3.18,3.12,3.18,3.1,36293187,3.12,-1.1343927183358664,-1.0914836060957653,-1.1343927183358664,-1.1209396286181301,-1.1209971003288537
20.01.2014,3.09,3.11,3.13,3.07,23153750,3.11,-1.1409251044234046,-1.150440643051388,-1.1409251044234046,-1.1528018943797986,-1.1411563470195882
