Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
02.01.2014,61.42,61.26,61.42,61.69,61.15,369100
03.01.2014,60.91,61.24,60.91,61.24,60.69,624700
06.01.2014,60.79,61.17,60.79,61.38,60.68,1249500
07.01.2014,61.21,60.87,61.21,61.39,60.84,968200
08.01.2014,60.97,61.03,60.97,61.34,60.81,695100
09.01.2014,60.9,61.18,60.9,61.36,60.68,713800
10.01.2014,61.06,60.97,61.06,61.48,60.73,560400
13.01.2014,60.77,60.76,60.77,61.16,60.7,712200
14.01.2014,61.33,60.65,61.33,61.65,60.58,647200
15.01.2014,61.16,61.52,61.16,61.52,61.0,874700
16.01.2014,61.08,61.1,61.08,61.22,60.52,962600
17.01.2014,60.95,61.0,60.95,61.28,60.73,502600
21.01.2014,60.98,61.0,60.98,61.09,60.55,661000
22.01.2014,60.79,61.33,60.79,61.33,60.59,658400
23.01.2014,60.05,60.48,60.05,61.08,59.96,1003600
24.01.2014,58.21,59.79,58.21,59.86,58.2,1255000
27.01.2014,57.75,57.98,57.75,58.42,57.26,1516000
28.01.2014,58.08,57.74,58.08,58.26,57.49,931100
29.01.2014,56.94,57.76,56.94,57.87,56.91,885400
30.01.2014,57.46,57.04,57.46,57.58,56.71,681400
31.01.2014,56.8,56.99,56.8,57.25,56.76,666000
03.02.2014,55.8,56.67,55.8,57.1,55.71,973600
04.02.2014,55.11,55.91,55.11,56.08,54.92,1764400
05.02.2014,55.67,55.08,55.67,56.06,54.82,1372400
06.02.2014,56.32,55.7,56.32,56.5,55.7,863300
07.02.2014,56.37,56.44,56.37,57.07,56.17,834400
10.02.2014,55.94,56.29,55.94,56.51,55.68,1042400
11.02.2014,57.28,56.23,57.28,57.33,55.91,1041300
12.02.2014,56.92,56.92,56.92,57.29,56.55,999500
13.02.2014,58.23,57.09,58.23,58.27,56.45,2136400
14.02.2014,59.17,58.14,59.17,59.33,57.72,1650900
18.02.2014,58.94,59.1,58.94,59.4,58.79,929300
19.02.2014,59.01,58.8,59.01,59.23,58.63,1084100
20.02.2014,59.57,58.93,59.57,59.91,58.84,1034500
21.02.2014,59.74,59.57,59.74,59.9,59.46,1491400
24.02.2014,60.12,59.76,60.12,60.77,59.76,1177100
25.02.2014,60.22,60.03,60.22,60.64,59.93,913800
26.02.2014,60.24,60.21,60.24,60.7,60.09,812900
27.02.2014,59.83,60.06,59.83,60.18,59.57,984700
28.02.2014,59.92,59.81,59.92,60.14,59.49,966600
03.03.2014,59.03,59.38,59.03,59.39,58.68,1207900
04.03.2014,59.33,59.72,59.33,59.79,59.11,1282400
05.03.2014,58.99,59.18,58.99,59.3,58.54,1068400
06.03.2014,60.4,59.05,60.4,60.51,58.79,1440700
07.03.2014,60.2,60.42,60.2,60.73,59.87,1015400
10.03.2014,60.63,60.0,60.63,60.66,59.93,942600
11.03.2014,59.54,60.58,59.54,60.67,59.29,1095200
12.03.2014,59.02,59.0,59.02,59.82,58.89,1240400
13.03.2014,58.71,59.14,58.71,59.49,58.69,1071200
14.03.2014,58.83,58.69,58.83,59.3,58.59,774800
17.03.2014,59.08,58.9,59.08,59.46,58.78,836400
18.03.2014,59.49,59.09,59.49,59.54,58.94,740000
19.03.2014,58.81,59.63,58.81,59.63,58.67,534300
20.03.2014,58.92,58.61,58.92,59.18,58.48,645200
21.03.2014,58.97,59.08,58.97,59.5,58.86,1145100
24.03.2014,58.68,59.08,58.68,59.27,58.54,555900
25.03.2014,58.83,59.02,58.83,59.39,58.69,707700
26.03.2014,58.33,59.18,58.33,59.35,58.31,883900
27.03.2014,58.88,58.52,58.88,59.13,58.17,958700
28.03.2014,59.45,59.31,59.45,59.63,59.02,657400
31.03.2014,59.84,59.74,59.84,59.85,59.3,698300
01.04.2014,59.88,59.92,59.88,60.07,59.41,718800
02.04.2014,59.81,59.85,59.81,60.26,59.3,896900
03.04.2014,59.83,59.81,59.83,59.86,59.04,815500
04.04.2014,58.86,59.96,58.86,60.07,58.69,1247300
07.04.2014,58.74,58.73,58.74,59.37,58.33,1079600
08.04.2014,60.21,58.98,60.21,60.62,58.71,2151000
09.04.2014,60.48,60.36,60.48,60.97,59.84,804300
10.04.2014,59.76,60.25,59.76,60.99,59.63,727100
11.04.2014,58.9,59.6,58.9,59.65,58.78,678900
14.04.2014,59.66,59.33,59.66,60.06,59.03,597100
15.04.2014,59.9,59.72,59.9,60.11,59.32,842400
16.04.2014,61.06,60.22,61.06,61.06,60.13,931200
17.04.2014,60.4,61.0,60.4,61.12,60.3,722900
21.04.2014,60.21,60.37,60.21,60.37,59.81,394800
22.04.2014,60.3,60.19,60.3,60.43,59.86,830400
23.04.2014,60.79,60.36,60.79,60.83,60.27,522100
24.04.2014,60.79,60.82,60.79,61.24,60.45,565100
25.04.2014,61.25,60.77,61.25,61.34,60.33,745100
28.04.2014,60.12,61.53,60.12,61.53,59.93,699400
29.04.2014,60.07,60.18,60.07,60.86,60.07,832900
30.04.2014,59.95,60.1,59.95,60.61,59.72,1601500
01.05.2014,56.71,58.44,56.71,58.48,56.52,3519800
02.05.2014,57.5,56.71,57.5,57.59,56.56,1825900
05.05.2014,56.88,57.23,56.88,57.34,56.62,1487200
