Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,207.98,205.63,208.21,203.91,19010184,205.63,-0.5519971376771228,-0.5320074910316913,-0.5519971376771228,-0.5595906478738422,-0.5365180544311108
03.01.2014,204.97,203.65,205.7,202.45,14695260,203.65,-0.5695272968937092,-0.5586378800747783,-0.5695272968937092,-0.5815812263078785,-0.5495821160928613
06.01.2014,203.31,202.85,204.27,202.45,15701167,202.85,-0.5766101895064715,-0.5733244069224609,-0.5766101895064715,-0.59410972318464,-0.5495821160928613
07.01.2014,203.31,204.54,205.73,201.33,21325673,204.54,-0.5616475788620113,-0.5733244069224609,-0.5616475788620113,-0.5813183907090653,-0.5596038620251628
08.01.2014,205.14,208.48,209.9,204.39,21049324,208.48,-0.5267643327441575,-0.5571338381686906,-0.5267643327441575,-0.5447842424740329,-0.5322230204601245
09.01.2014,209.18,205.07,209.77,204.51,21725768,205.07,-0.5569551625060564,-0.5213907246357761,-0.5569551625060564,-0.5459231967355567,-0.5311492619673779
10.01.2014,209.14,211.1,213.04,204.64,38988497,211.1,-0.5035678594373613,-0.5217446168489734,-0.5035678594373613,-0.51727411646492,-0.5299860236002357
13.01.2014,213.25,211.23,213.88,210.27,17541375,211.23,-0.5024168893877875,-0.48538219194296395,-0.5024168893877875,-0.5099147196981509,-0.47960885431554034
14.01.2014,209.04,210.2,211.66,208.35,13849749,210.2,-0.5115361136267188,-0.5226293473819663,-0.5115361136267188,-0.5293645540103263,-0.49678899019948625
15.01.2014,210.96,211.56,212.39,210.48,17555874,211.56,-0.4994951961850229,-0.5056425211485019,-0.4994951961850229,-0.522968887772539,-0.477729776953234
16.01.2014,213.91,216.69,219.41,213.25,30173839,216.69,-0.4540761473056854,-0.47954297042521066,-0.4540761473056854,-0.4614653576502544,-0.4529438517456663
17.01.2014,217.65,223.94,225.0,217.65,49449833,223.94,-0.389887433002528,-0.44645404849127507,-0.389887433002528,-0.41249032440473155,-0.4135727070116239
20.01.2014,222.19,223.84,225.86,221.6,25886575,223.84,-0.39077279457912323,-0.4062872822933962,-0.39077279457912323,-0.40495570390542024,-0.3782281566253814
21.01.2014,223.81,221.0,224.57,219.27,25144904,221.0,-0.415917063354429,-0.39195464765891075,-0.415917063354429,-0.4162576346543872,-0.3990769673595446
22.01.2014,222.42,221.86,225.17,221.0,22087067,221.86,-0.4083029537957096,-0.40425240206751256,-0.4083029537957096,-0.4110009226781236,-0.3835969490891144
23.01.2014,220.53,219.94,222.49,218.15,24339358,219.94,-0.42530189606633895,-0.4209738091410788,-0.42530189606633895,-0.43448090283876767,-0.4090987132918463
24.01.2014,220.4,215.5,220.4,214.34,32590441,215.5,-0.46461195006716915,-0.4221239588339696,-0.46461195006716915,-0.45279178288941935,-0.44319054543655123
27.01.2014,212.82,212.78,217.42,211.39,23133941,212.78,-0.4886937849505606,-0.4891865332348336,-0.4886937849505606,-0.47890011903819557,-0.46958710838323886
28.01.2014,213.58,214.44,218.27,212.45,19459344,214.44,-0.4739967827790791,-0.4824625811840872,-0.4739967827790791,-0.4714531104051552,-0.46010224169731045
29.01.2014,217.62,214.44,221.43,212.49,33807085,214.44,-0.4739967827790791,-0.446719467651173,-0.4739967827790791,-0.4437677606635001,-0.4597443221997281
30.01.2014,214.14,214.34,215.93,212.29,20506133,214.34,-0.4748821443556743,-0.477508090199327,-0.4748821443556743,-0.4919542871125834,-0.46153391968763924
31.01.2014,213.65,213.58,215.63,210.43,27394017,213.58,-0.4816108923377983,-0.4818432698109922,-0.4816108923377983,-0.4945826431007153,-0.47817717632521156
03.02.2014,212.75,208.55,214.77,208.09,34117706,208.55,-0.5261445796405406,-0.4898058446079286,-0.5261445796405406,-0.5021172636000264,-0.4991154669337705
04.02.2014,206.36,207.45,209.18,204.01,29452278,207.45,-0.5358835569830889,-0.5463401256661765,-0.5358835569830889,-0.5510922968455493,-0.5356232556871554
05.02.2014,206.72,207.29,209.08,205.17,23891465,207.29,-0.5373001355056413,-0.5431550957474022,-0.5373001355056413,-0.5519684155082598,-0.5252435902572715
06.02.2014,208.61,213.58,214.18,207.45,31500431,213.58,-0.4816108923377983,-0.5264336886738357,-0.4816108923377983,-0.507286363710019,-0.5048421788950859
07.02.2014,215.23,215.5,216.79,213.08,25688318,215.5,-0.46461195006716915,-0.4678645273897041,-0.46461195006716915,-0.48441966661327235,-0.45446500961039055
10.02.2014,216.76,215.93,217.12,214.41,14062508,215.93,-0.4608048952878094,-0.45432815023491224,-0.4608048952878094,-0.48152847502632723,-0.4425641863157824
11.02.2014,217.69,220.43,221.2,215.33,32098652,220.43,-0.420963624341022,-0.446100156278078,-0.420963624341022,-0.44578283358773463,-0.43433203787139163
12.02.2014,221.82,223.28,224.98,215.23,41268682,223.28,-0.39573081940805677,-0.4095607852654701,-0.39573081940805677,-0.41266554813727374,-0.43522683661534733
13.02.2014,223.18,219.9,224.98,217.52,33461264,219.9,-0.425656040696977,-0.3975284500167662,-0.425656040696977,-0.41266554813727374,-0.414735945378766
14.02.2014,220.17,223.91,225.0,220.17,25877905,223.91,-0.39015304147550656,-0.42415883905985347,-0.39015304147550656,-0.41249032440473155,-0.3910237786639452
17.02.2014,225.17,227.85,228.81,223.64,28364860,227.85,-0.3552697953576528,-0.3799223124102071,-0.3552697953576528,-0.3791102033554575,-0.3599742622486891
18.02.2014,227.92,228.74,229.85,224.67,31792883,228.74,-0.3473900773259547,-0.35559222275290153,-0.3473900773259547,-0.36999856926326724,-0.35075783518594733
19.02.2014,229.14,230.37,230.67,227.92,26874399,230.37,-0.3329586836274518,-0.3447985102503878,-0.3329586836274518,-0.3628143962290403,-0.3216768760073933
20.02.2014,226.16,225.47,229.84,222.95,33156727,225.47,-0.3763414008806203,-0.37116348013357703,-0.3763414008806203,-0.3700861811295382,-0.3661483735819821
21.02.2014,221.2,224.54,225.27,220.4,35102241,224.54,-0.3845752635429564,-0.41504611457002627,-0.3845752635429564,-0.41012480401541285,-0.3889657415528474
24.02.2014,223.28,222.85,228.89,221.59,28271022,222.85,-0.3995378741874165,-0.3966437194837733,-0.3995378741874165,-0.37840930842528914,-0.37831763649977684
25.02.2014,220.96,221.2,222.09,217.83,52771357,221.2,-0.4141463402012386,-0.41716946784920916,-0.4141463402012386,-0.43798537748961014,-0.4119620692725039
26.02.2014,220.33,218.45,222.22,217.82,26373971,218.45,-0.43849378355760865,-0.42274327020706454,-0.43849378355760865,-0.43684642322808637,-0.4120515491468996
27.02.2014,217.62,218.35,220.38,215.63,27654438,218.35,-0.43937914513420384,-0.446719467651173,-0.43937914513420384,-0.45296700662196154,-0.43164764163952524
28.02.2014,217.92,218.02,219.42,216.39,22978142,218.02,-0.44230083833696815,-0.4440652760521943,-0.44230083833696815,-0.46137774578398344,-0.42484717118546345
03.03.2014,213.91,216.06,218.55,213.81,27223668,216.06,-0.45965392523823556,-0.47954297042521066,-0.45965392523823556,-0.4689999781495655,-0.44793297877951543
04.03.2014,223.18,219.77,223.53,218.84,43519662,219.77,-0.4268070107465508,-0.3975284500167662,-0.4268070107465508,-0.42536926874657743,-0.40292460195855334
05.03.2014,217.42,220.0,221.59,217.42,22609879,220.0,-0.4247706791203818,-0.44848892871715895,-0.4247706791203818,-0.44236597080316314,-0.4156307441227217
06.03.2014,221.43,225.14,226.92,221.43,27683182,225.14,-0.3792630940833848,-0.4130112343441424,-0.3792630940833848,-0.39566884608068803,-0.3797493144901056
07.03.2014,224.9,215.14,225.52,213.41,40645783,215.14,-0.46779925174291226,-0.38231108484928783,-0.46779925174291226,-0.4079345073586363,-0.45151217375533753
10.03.2014,211.33,209.94,216.31,207.95,48670961,209.94,-0.5138380537258664,-0.5023690181764281,-0.5138380537258664,-0.48862503619428316,-0.5003681851753083
11.03.2014,210.6,207.42,216.31,206.76,50544799,207.42,-0.5361491654560674,-0.5088275510672766,-0.5361491654560674,-0.48862503619428316,-0.5110162902283789
12.03.2014,205.96,204.97,206.72,201.33,55353311,204.97,-0.5578405240826516,-0.5498790477981483,-0.5578405240826516,-0.5726448159482302,-0.5596038620251628
13.03.2014,206.46,201.79,206.96,201.16,28198830,201.79,-0.5859950222183814,-0.5454553951331836,-0.5859950222183814,-0.5705421311577247,-0.5611250198898873
14.03.2014,200.07,196.69,203.27,195.9,51900519,196.69,-0.6311484626247403,-0.6019896761914318,-0.6311484626247403,-0.6028709098117461,-0.608191433821947
17.03.2014,197.42,203.05,204.87,197.05,41471848,203.05,-0.5748394663532808,-0.6254350353157445,-0.5748394663532808,-0.5888530112083764,-0.5979012482664586
18.03.2014,203.84,206.26,208.02,202.06,37811343,206.26,-0.5464193597445726,-0.5686353350975984,-0.5464193597445726,-0.5612552733329923,-0.5530718311942877
19.03.2014,205.3,199.54,205.53,198.41,37374666,199.54,-0.605915657691775,-0.5557182693159016,-0.605915657691775,-0.5830706280344864,-0.5857319853486638
20.03.2014,198.58,199.57,201.51,197.55,29492499,199.57,-0.6056500492187964,-0.6151721611330263,-0.6056500492187964,-0.6182905982754529,-0.593427254546681
21.03.2014,200.67,201.06,203.65,199.24,50992543,201.06,-0.5924581617275267,-0.5966812929934744,-0.5924581617275267,-0.5995416588934458,-0.578305155773833
24.03.2014,201.66,202.49,205.7,200.86,21326944,202.49,-0.5797974911822142,-0.5879224607168443,-0.5797974911822142,-0.5815812263078785,-0.5638094161217537
25.03.2014,203.94,206.63,207.25,203.88,24206837,206.63,-0.54314352191117,-0.5677506045646056,-0.54314352191117,-0.568001387035864,-0.5367864940542975
26.03.2014,207.95,206.03,209.52,205.04,19491247,206.03,-0.5484556913707417,-0.5322729101915892,-0.5484556913707417,-0.5481134933923332,-0.5264068286244136
27.03.2014,203.98,203.38,205.83,201.82,24275456,203.38,-0.5719177731505165,-0.5673967123514084,-0.5719177731505165,-0.5804422720463545,-0.555219348179781
28.03.2014,206.06,207.45,209.27,205.64,18919576,207.45,-0.5358835569830889,-0.5489943172651555,-0.5358835569830889,-0.5503037900491097,-0.5210380361606807
31.03.2014,208.12,204.51,209.38,203.38,23972192,204.51,-0.5619131873349898,-0.5307688682855011,-0.5619131873349898,-0.5493400595201282,-0.541260487774075
01.04.2014,206.13,204.9,207.29,204.21,21543233,204.9,-0.5584602771862682,-0.5483750058920605,-0.5584602771862682,-0.5676509395707798,-0.5338336581992442
