Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
02.01.2014,4.15,4.15,4.15,4.17,4.14,1110965
03.01.2014,4.15,4.16,4.15,4.16,4.13,1624639
06.01.2014,4.12,4.15,4.12,4.15,4.12,1372676
07.01.2014,4.12,4.15,4.12,4.15,4.1,1662231
08.01.2014,4.09,4.14,4.09,4.14,4.07,1649132
09.01.2014,4.08,4.08,4.08,4.09,4.04,2302479
10.01.2014,3.99,4.06,3.99,4.07,3.96,1844242
13.01.2014,4.0,4.0,4.0,4.01,3.98,613354
14.01.2014,3.9,3.97,3.9,3.98,3.9,1986745
15.01.2014,3.87,3.89,3.87,3.91,3.86,2707390
16.01.2014,3.89,3.91,3.89,3.92,3.87,1198156
17.01.2014,3.93,3.88,3.93,3.93,3.88,1224164
20.01.2014,3.93,3.93,3.93,3.94,3.89,528881
21.01.2014,3.94,3.96,3.94,3.96,3.92,658244
22.01.2014,3.89,3.96,3.89,3.96,3.89,2021121
23.01.2014,3.89,3.92,3.89,3.92,3.88,1404106
24.01.2014,3.89,3.87,3.89,3.91,3.87,1681517
28.01.2014,3.77,3.87,3.77,3.87,3.75,1983127
29.01.2014,3.77,3.81,3.77,3.82,3.75,1120514
30.01.2014,3.68,3.75,3.68,3.77,3.66,1793643
31.01.2014,3.68,3.68,3.68,3.7,3.65,1485416
03.02.2014,3.75,3.68,3.75,3.75,3.67,1329366
04.02.2014,3.67,3.72,3.67,3.72,3.67,1622609
05.02.2014,3.64,3.67,3.64,3.7,3.63,1107152
06.02.2014,3.67,3.63,3.67,3.68,3.63,1262938
07.02.2014,3.68,3.7,3.68,3.7,3.66,1797414
10.02.2014,3.73,3.71,3.73,3.74,3.69,1107643
11.02.2014,3.73,3.7,3.73,3.75,3.7,683603
12.02.2014,3.75,3.75,3.75,3.75,3.72,1035705
13.02.2014,3.75,3.77,3.75,3.77,3.74,505851
14.02.2014,3.8,3.77,3.8,3.8,3.76,1739956
17.02.2014,3.8,3.82,3.8,3.82,3.78,1081661
18.02.2014,3.8,3.79,3.8,3.82,3.78,1903096
19.02.2014,3.75,3.8,3.75,3.81,3.74,1351285
20.02.2014,3.69,3.77,3.69,3.82,3.69,1352938
21.02.2014,3.81,3.73,3.81,3.82,3.72,931957
24.02.2014,3.78,3.85,3.78,3.87,3.78,876120
25.02.2014,3.76,3.65,3.76,3.78,3.64,2079328
26.02.2014,3.92,3.8,3.92,3.92,3.77,1930805
27.02.2014,3.87,3.85,3.87,3.87,3.85,2391919
28.02.2014,3.88,3.87,3.88,3.9,3.85,1481567
03.03.2014,3.91,3.9,3.91,3.91,3.85,936139
04.03.2014,3.93,3.93,3.93,3.99,3.88,1663735
05.03.2014,3.98,3.95,3.98,3.99,3.94,1994125
06.03.2014,3.98,3.94,3.98,3.99,3.94,6528179
07.03.2014,4.05,3.99,4.05,4.08,3.98,1667413
10.03.2014,4.05,4.07,4.05,4.07,4.03,760329
11.03.2014,4.06,4.06,4.06,4.09,4.04,1633996
12.03.2014,4.09,4.06,4.09,4.09,4.04,2149876
13.03.2014,4.06,4.08,4.06,4.1,4.06,937270
14.03.2014,4.02,4.0,4.02,4.07,3.97,1440266
17.03.2014,4.06,4.0,4.06,4.07,3.99,2080537
18.03.2014,4.07,4.06,4.07,4.07,4.03,1309432
19.03.2014,4.11,4.07,4.11,4.12,4.05,5642552
20.03.2014,4.09,4.11,4.09,4.13,4.08,3496638
21.03.2014,4.09,4.13,4.09,4.15,4.08,8134296
24.03.2014,4.13,4.06,4.13,4.14,4.03,1531127
25.03.2014,4.12,4.14,4.12,4.14,4.1,1335589
26.03.2014,4.09,4.15,4.09,4.15,4.08,1371489
27.03.2014,4.06,4.05,4.06,4.08,4.0,1583889
28.03.2014,4.08,4.07,4.08,4.1,4.04,3531637
31.03.2014,4.07,4.08,4.07,4.11,4.04,3428904
01.04.2014,4.01,4.08,4.01,4.08,4.0,3475274
02.04.2014,4.11,4.09,4.11,4.14,4.07,4023079
03.04.2014,4.12,4.14,4.12,4.15,4.09,1762710
04.04.2014,4.15,4.15,4.15,4.18,4.13,1409431
07.04.2014,4.18,4.13,4.18,4.2,4.13,847288
08.04.2014,4.22,4.21,4.22,4.24,4.17,1053318
09.04.2014,4.24,4.23,4.24,4.25,4.22,3789154
10.04.2014,4.29,4.25,4.29,4.29,4.25,2124481
11.04.2014,4.21,4.19,4.21,4.22,4.17,4850386
14.04.2014,4.21,4.19,4.21,4.24,4.16,3174282
15.04.2014,4.28,4.25,4.28,4.29,4.24,3060403
16.04.2014,4.3,4.29,4.3,4.32,4.28,731176
17.04.2014,4.28,4.27,4.28,4.29,4.25,2782720
22.04.2014,4.3,4.3,4.3,4.32,4.29,799334
23.04.2014,4.33,4.32,4.33,4.35,4.3,1124083
24.04.2014,4.34,4.31,4.34,4.35,4.31,692440
28.04.2014,4.33,4.34,4.33,4.35,4.31,768022
29.04.2014,4.29,4.33,4.29,4.36,4.28,1054025
30.04.2014,4.29,4.31,4.29,4.35,4.25,1918869
01.05.2014,4.32,4.3,4.32,4.34,4.28,2423661
02.05.2014,4.32,4.34,4.32,4.34,4.31,1139525
05.05.2014,4.34,4.34,4.34,4.35,4.33,1022222
06.05.2014,4.34,4.33,4.34,4.34,4.31,1195916
07.05.2014,4.27,4.32,4.27,4.32,4.24,566448
08.05.2014,4.28,4.27,4.28,4.3,4.26,625990
09.05.2014,4.29,4.29,4.29,4.29,4.26,388248
12.05.2014,4.23,4.29,4.23,4.3,4.2,475102
13.05.2014,4.28,4.22,4.28,4.28,4.22,884786
14.05.2014,4.32,4.3,4.32,4.32,4.26,546891
15.05.2014,4.35,4.25,4.35,4.36,4.22,1516783
16.05.2014,4.35,4.3,4.35,4.35,4.29,1733980
19.05.2014,4.27,4.3,4.27,4.32,4.27,3479086
20.05.2014,4.3,4.27,4.3,4.31,4.22,1086194
21.05.2014,4.29,4.26,4.29,4.29,4.24,854215
22.05.2014,4.27,4.32,4.27,4.33,4.26,531474
23.05.2014,4.25,4.27,4.25,4.28,4.25,563275
26.05.2014,4.26,4.27,4.26,4.27,4.25,325720
27.05.2014,4.25,4.27,4.25,4.27,4.24,353080
28.05.2014,4.32,4.26,4.32,4.33,4.24,1770351
29.05.2014,4.31,4.29,4.31,4.32,4.29,880545
30.05.2014,4.26,4.34,4.26,4.34,4.26,1274946
02.06.2014,4.29,4.26,4.29,4.3,4.23,1167948
03.06.2014,4.2,4.28,4.2,4.28,4.19,877189
04.06.2014,4.11,4.19,4.11,4.19,4.09,1898150
05.06.2014,4.09,4.09,4.09,4.14,4.04,1556905
06.06.2014,4.04,4.06,4.04,4.06,4.03,1041378
10.06.2014,4.06,4.06,4.06,4.09,4.06,612574
11.06.2014,4.01,4.06,4.01,4.08,4.0,1181023
12.06.2014,4.03,4.0,4.03,4.05,3.99,596662
