Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
06.01.2014,476.72,476.07,479.33,472.16,18883200,476.07,-0.7502132921548474,-0.7493027574651305,-0.7502132921548474,-0.7496965037082733,-0.751227397435558
07.01.2014,474.77,473.14,476.4,471.19,14516600,473.14,-0.753780191270348,-0.7516783637685088,-0.753780191270348,-0.7532233434155489,-0.7524233350860313
08.01.2014,476.4,481.93,481.93,473.14,15605800,481.93,-0.7430794939238459,-0.7496926005508131,-0.7430794939238459,-0.7465668848554008,-0.7500191305309561
09.01.2014,480.95,478.67,480.95,475.42,13795800,478.67,-0.7470481257042323,-0.7441495191762637,-0.7470481257042323,-0.747746510423022,-0.7472080605896374
10.01.2014,475.09,479.65,479.65,474.44,15038000,479.65,-0.7458551014266929,-0.7512885206828264,-0.7458551014266929,-0.7493113198494582,-0.7484163274942394
14.01.2014,471.19,473.14,474.12,467.6,19614200,473.14,-0.753780191270348,-0.7560397332895827,-0.753780191270348,-0.7559677784096062,-0.7568495373181954
15.01.2014,478.02,479.33,480.3,476.07,13311600,479.33,-0.7462446603744609,-0.747719019929545,-0.7462446603744609,-0.7485289151362402,-0.7464066590712792
16.01.2014,480.95,474.77,483.88,474.44,20455800,474.77,-0.7517958753801548,-0.7441495191762637,-0.7517958753801548,-0.7442196707157465,-0.7484163274942394
17.01.2014,475.74,481.61,483.56,475.09,16887400,481.61,-0.7434690528716139,-0.7504966519150335,-0.7434690528716139,-0.7446048545745616,-0.7476149259758811
20.01.2014,481.93,486.49,487.79,479.98,15627200,486.49,-0.737528278918152,-0.7429556247263608,-0.737528278918152,-0.7395132054408499,-0.7415859207070001
21.01.2014,485.19,483.88,487.79,482.58,11946200,483.88,-0.7407056190858847,-0.7389840982909693,-0.7407056190858847,-0.7395132054408499,-0.7383803146335667
22.01.2014,482.26,482.26,483.23,478.67,14860400,482.26,-0.7426777612589601,-0.7425535990442507,-0.7426777612589601,-0.7450020754289646,-0.7432010529978454
23.01.2014,486.49,478.67,486.49,475.42,19746800,478.67,-0.7470481257042323,-0.7374003607553838,-0.7470481257042323,-0.7410780148672861,-0.7472080605896374
24.01.2014,472.16,470.53,473.14,468.25,21829200,470.53,-0.7569575314380808,-0.7548580214361074,-0.7569575314380808,-0.7571474039772274,-0.756048135799837
27.01.2014,457.83,459.14,460.11,456.21,21952200,459.14,-0.7708233952351979,-0.7723156821168311,-0.7708233952351979,-0.7728316092283536,-0.77089255777066
28.01.2014,459.79,453.93,461.42,453.93,19102600,453.93,-0.7771659018535455,-0.7699278932170251,-0.7771659018535455,-0.7712547628063292,-0.7737036277119786
29.01.2014,456.21,458.81,459.46,453.28,23554800,458.81,-0.7712251279000837,-0.7742892627380991,-0.7712251279000837,-0.7736140139415716,-0.7745050292303371
30.01.2014,452.3,452.3,453.28,450.02,16357800,452.3,-0.7791502177437388,-0.7790526579412833,-0.7791502177437388,-0.7810528772149378,-0.7785243660762577
31.01.2014,455.56,451.0,455.88,449.69,15136800,451.0,-0.7807328009690463,-0.775081131505892,-0.7807328009690463,-0.7779232583620653,-0.7789312314625011
03.02.2014,448.39,445.46,450.35,444.81,14669600,445.46,-0.7874770402522797,-0.7838160531444675,-0.7874770402522797,-0.7845797169222132,-0.7849479074772534
04.02.2014,439.27,428.2,440.25,425.6,31921000,428.2,-0.808488875997516,-0.7949265810864213,-0.808488875997516,-0.796737082466064,-0.8086324046582759
05.02.2014,431.46,458.81,464.02,425.92,49603800,458.81,-0.7712251279000837,-0.8044411888963621,-0.7712251279000837,-0.7681251439534569,-0.808237868526161
06.02.2014,462.39,470.53,475.42,456.53,55648200,470.53,-0.7569575314380808,-0.766760418145854,-0.7569575314380808,-0.7544029689831698,-0.7704980216385452
07.02.2014,476.72,484.86,484.86,474.44,37203800,484.86,-0.7395125948083452,-0.7493027574651305,-0.7395125948083452,-0.7430400451481253,-0.7484163274942394
10.02.2014,485.19,486.82,486.82,477.7,26309600,486.82,-0.7371265462532662,-0.7389840982909693,-0.7371265462532662,-0.7406807940128831,-0.7443969906483188
12.02.2014,487.79,499.19,499.19,486.49,38858800,499.19,-0.7220676581786095,-0.7358166232197983,-0.7220676581786095,-0.7257910304705628,-0.7335595762692877
13.02.2014,497.24,492.68,503.1,488.44,37527200,492.68,-0.7299927480222647,-0.7243040695957343,-0.7299927480222647,-0.7210845651956662,-0.7311553717142125
14.02.2014,496.26,496.91,502.12,488.12,36093000,496.91,-0.7248432656814565,-0.7254979640456373,-0.7248432656814565,-0.7222641907632874,-0.7315499078463275
17.02.2014,496.91,502.12,502.45,493.65,26740200,502.12,-0.7185007590631088,-0.7247060952778444,-0.7185007590631088,-0.7218669699088843,-0.7247318303132169
18.02.2014,504.73,515.15,516.12,504.4,37764400,515.15,-0.7026384056586809,-0.7151793048714762,-0.7026384056586809,-0.705412396940128,-0.711477882124982
19.02.2014,513.84,514.17,515.15,505.7,23716000,514.17,-0.7038314299362203,-0.7040809595259498,-0.7038314299362203,-0.7065799855121612,-0.7098750790882651
20.02.2014,509.28,506.68,514.82,502.77,24339200,506.68,-0.7129495440574148,-0.7096362234969268,-0.7129495440574148,-0.7069772063665641,-0.7134875505479422
21.02.2014,514.17,512.21,515.15,507.66,22531200,512.21,-0.7062174784912992,-0.7036789338438397,-0.7062174784912992,-0.7065799855121612,-0.7074585452790613
24.02.2014,513.84,508.96,514.49,504.07,21917400,508.96,-0.710173936554568,-0.7040809595259498,-0.710173936554568,-0.7073744272209672,-0.7118847475112254
25.02.2014,509.94,510.59,513.52,507.33,19218000,510.59,-0.7081896206643749,-0.7088321721327064,-0.7081896206643749,-0.7085420157930005,-0.707865410665305
26.02.2014,504.73,510.26,512.21,503.75,16632200,510.26,-0.7085913533292605,-0.7151793048714762,-0.7085913533292605,-0.7101188622150246,-0.7122792836433403
27.02.2014,509.61,508.96,511.89,504.4,20578400,508.96,-0.710173936554568,-0.7092341978148167,-0.710173936554568,-0.7105040460738398,-0.711477882124982
28.02.2014,507.33,509.28,510.59,504.07,18721400,509.28,-0.7097843776068,-0.7120118298003052,-0.7097843776068,-0.7120688555002761,-0.7118847475112254
03.03.2014,504.4,503.75,506.03,494.3,26755800,503.75,-0.7165164431729156,-0.7155813305535864,-0.7165164431729156,-0.7175577254883908,-0.7239304287948585
04.03.2014,497.89,509.28,510.91,497.56,18572400,509.28,-0.7097843776068,-0.7235122008279415,-0.7097843776068,-0.7116836716414607,-0.719911091948938
05.03.2014,514.49,517.75,523.29,513.84,26977800,517.75,-0.6994732392080658,-0.7032890907581572,-0.6994732392080658,-0.6967818711035528,-0.6998390662275923
06.03.2014,518.08,521.98,524.91,515.8,26053600,521.98,-0.6943237568672576,-0.6989155386406555,-0.6943237568672576,-0.6948318778183015,-0.6974225324183887
07.03.2014,524.59,528.5,532.73,524.59,30731000,528.5,-0.6863864933064847,-0.6909846683663002,-0.6863864933064847,-0.6854189472685082,-0.6865851180393574
10.03.2014,516.45,514.17,519.7,511.56,34127200,514.17,-0.7038314299362203,-0.7009013018583512,-0.7038314299362203,-0.7011031525196343,-0.7026501361689111
11.03.2014,507.98,513.19,514.17,505.38,24487800,513.19,-0.7050244542137597,-0.7112199610325123,-0.7050244542137597,-0.7077596110797824,-0.71026961522038
12.03.2014,504.07,498.86,506.03,493.33,35051000,498.86,-0.7224693908434954,-0.7159833562356965,-0.7224693908434954,-0.7175577254883908,-0.7251263664453318
13.03.2014,490.07,483.88,492.03,482.91,49602000,483.88,-0.7407056190858847,-0.7330389912343099,-0.7407056190858847,-0.7344095193115502,-0.737973449247323
14.03.2014,470.86,472.16,477.05,469.23,53812000,472.16,-0.7549732155478874,-0.756441758971693,-0.7549732155478874,-0.7524409387023308,-0.7548398688952351
17.03.2014,471.19,465.32,474.12,462.39,27311400,465.32,-0.7633000380564285,-0.7560397332895827,-0.7633000380564285,-0.7559677784096062,-0.7632730787191911
18.03.2014,477.37,474.77,478.67,473.79,15270000,474.77,-0.7517958753801548,-0.7485108886973377,-0.7517958753801548,-0.7504909454170793,-0.7492177290125979
19.03.2014,479.98,467.93,479.98,467.6,23168800,467.93,-0.7601226978886957,-0.7453312310297391,-0.7601226978886957,-0.7489140989950551,-0.7568495373181954
20.03.2014,470.21,463.04,473.14,461.09,20293000,463.04,-0.7660756455592754,-0.7572336277394857,-0.7660756455592754,-0.7571474039772274,-0.7648758817559079
24.03.2014,468.91,457.83,470.21,456.21,30145400,457.83,-0.7724181521776232,-0.7588173652750712,-0.7724181521776232,-0.7606742436845028,-0.77089255777066
25.03.2014,464.02,463.37,465.0,456.53,27542600,463.37,-0.7656739128943897,-0.7647746549281584,-0.7656739128943897,-0.7669455183858357,-0.7704980216385452
26.03.2014,466.63,470.53,470.53,465.0,21263800,470.53,-0.7569575314380808,-0.7615949972605598,-0.7569575314380808,-0.7602890598256878,-0.7600551433916289
27.03.2014,473.2,478.54,480.54,466.53,23102600,478.54,-0.7472063840267632,-0.753591031407639,-0.7472063840267632,-0.7482400272421288,-0.7581687675099547
28.03.2014,481.87,479.54,481.87,470.53,17219000,479.54,-0.7459890123149882,-0.7430287203049263,-0.7459890123149882,-0.7466391068289286,-0.7532370658585184
31.03.2014,481.87,486.54,487.21,479.87,21439400,486.54,-0.7374674103325632,-0.7430287203049263,-0.7374674103325632,-0.7402113511849521,-0.7417215425024147
01.04.2014,488.54,484.87,488.54,477.54,22290400,484.87,-0.7395004210912274,-0.7349029284877299,-0.7395004210912274,-0.738610430771752,-0.7445942587143763
02.04.2014,488.54,491.21,494.88,486.21,18465000,491.21,-0.731782284438574,-0.7349029284877299,-0.731782284438574,-0.7309789755689784,-0.7339047953848882
03.04.2014,493.54,493.54,495.88,490.88,12109200,493.54,-0.7289458083501383,-0.7288116302739394,-0.7289458083501383,-0.7297752760101813,-0.7281470337068364
04.04.2014,491.21,493.88,496.21,490.88,9659000,493.88,-0.7285319019681348,-0.7316501752415656,-0.7285319019681348,-0.7293780551557782,-0.7281470337068364
07.04.2014,488.21,489.54,493.21,486.87,8787000,489.54,-0.7338152951972383,-0.7353049541698399,-0.7338152951972383,-0.7329891538321694,-0.7330910646124013
08.04.2014,487.21,484.21,492.21,484.21,13286000,484.21,-0.7403038864209989,-0.736523213812598,-0.7403038864209989,-0.7341928533909666,-0.7363706462106063
09.04.2014,478.54,476.2,480.54,471.53,14894600,476.2,-0.7500550338323165,-0.7470855249153108,-0.7500550338323165,-0.7482400272421288,-0.7520041404456593
10.04.2014,480.2,481.54,489.21,479.2,12684400,481.54,-0.7435542688914382,-0.7450632139083323,-0.7435542688914382,-0.7378039520673579,-0.7425476025290302
11.04.2014,469.87,480.2,483.54,467.53,16752600,480.2,-0.7451855469852166,-0.7576478360180234,-0.7451855469852166,-0.7446289285657376,-0.7569358420970955
14.04.2014,475.54,479.87,485.54,475.2,10532200,479.87,-0.7455872796501024,-0.7507403038435851,-0.7455872796501024,-0.7422215294481433,-0.7474793041804665
15.04.2014,481.87,482.87,486.21,480.87,10455800,482.87,-0.7419351645147774,-0.7430287203049263,-0.7419351645147774,-0.7414150507437492,-0.7404886170895556
16.04.2014,483.87,490.88,490.88,480.2,14453600,490.88,-0.7321840171034597,-0.7405922010194101,-0.7321840171034597,-0.7357937738041668,-0.7413146771161712
17.04.2014,489.88,488.88,492.88,486.87,13288200,488.88,-0.7346187605270097,-0.733270460566434,-0.7346187605270097,-0.7333863746865726,-0.7330910646124013
