Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
01.01.2004,8.5,8.5,8.5,8.5,0,8.5,-1.3096223775922868,-1.3105974452419422,-1.3096223775922868,-1.314378796286075,-1.3024719077521727
02.01.2004,8.51,8.69,8.69,8.49,16198979,8.69,-1.2974956589112754,-1.3099595301915874,-1.2974956589112754,-1.3024554288708845,-1.3031190548679812
05.01.2004,8.68,8.96,8.96,8.65,38811519,8.96,-1.2802629534172065,-1.2991149743355555,-1.2802629534172065,-1.2855116962282456,-1.2927647010150443
06.01.2004,9.0,9.04,9.09,8.98,26534923,9.04,-1.2751569666041491,-1.2787016927242014,-1.2751569666041491,-1.2773536027336416,-1.2714088461933617
07.01.2004,8.98,8.83,9.0,8.83,37120612,8.83,-1.2885601819884247,-1.279977522824911,-1.2885601819884247,-1.2830015136145214,-1.2811160529304901
08.01.2004,8.9,8.87,8.96,8.86,17393441,8.87,-1.2860071885818962,-1.2850808432277494,-1.2860071885818962,-1.2855116962282456,-1.2791746115830644
09.01.2004,8.84,8.79,8.92,8.76,23523010,8.79,-1.2911131753949536,-1.2889083335298785,-1.2911131753949536,-1.28802187884197,-1.2856460827411502
12.01.2004,8.78,8.9,8.91,8.76,16389334,8.9,-1.2840924435269996,-1.2927358238320075,-1.2840924435269996,-1.288649424495401,-1.2856460827411502
13.01.2004,8.94,9.01,9.02,8.92,22546556,9.01,-1.2770717116590455,-1.2825291830263303,-1.2770717116590455,-1.2817464223076591,-1.2752917288882128
14.01.2004,8.98,9.07,9.07,8.9,16974252,9.07,-1.2732422215492525,-1.279977522824911,-1.2732422215492525,-1.2786086940405037,-1.2765860231198303
15.01.2004,9.02,9.01,9.05,8.95,13125224,9.01,-1.2770717116590455,-1.2774258626234918,-1.2770717116590455,-1.279863785347366,-1.2733502875407874
16.01.2004,9.0,9.03,9.07,8.96,14672390,9.03,-1.2757952149557814,-1.2787016927242014,-1.2757952149557814,-1.2786086940405037,-1.2727031404249787
19.01.2004,9.03,9.07,9.1,9.02,26291232,9.07,-1.2732422215492525,-1.2767879475731372,-1.2732422215492525,-1.2767260570802108,-1.2688202577301273
20.01.2004,9.11,9.31,9.35,9.11,32982728,9.31,-1.2579242611100803,-1.2716846271702984,-1.2579242611100803,-1.261037415744434,-1.2629959336878502
