Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
01.01.2014,186.49,184.69,186.66,184.44,5849398,184.69,-1.139703721316368,-1.1359324467617613,-1.139703721316368,-1.1415853666592435,-1.1344320741279
02.01.2014,184.46,181.82,186.19,180.81,6023632,181.82,-1.1464786202171255,-1.1407222504309649,-1.1464786202171255,-1.142684522439255,-1.1430784666803462
03.01.2014,181.12,179.59,181.48,177.67,12833897,179.59,-1.1517427402689335,-1.1486030111477825,-1.1517427402689335,-1.1536994665325624,-1.1505577153345288
06.01.2014,179.14,177.66,179.38,176.63,13315857,177.66,-1.1562986827352966,-1.1532748393571537,-1.1562986827352966,-1.158610588102827,-1.153034918710436
07.01.2014,177.58,174.99,178.7,174.56,17311470,174.99,-1.162601463245757,-1.1569556737039306,-1.162601463245757,-1.1602008560398651,-1.1579655061990213
08.01.2014,175.47,176.43,178.16,175.47,12726430,176.43,-1.159202210835621,-1.1619342381088664,-1.159202210835621,-1.1614637158722187,-1.1557979532451021
09.01.2014,176.72,176.77,177.42,175.6,8309185,176.77,-1.1583996095721167,-1.1589848516130514,-1.1583996095721167,-1.1631943015684072,-1.1554883028231135
10.01.2014,176.29,178.32,182.09,176.21,14839980,178.32,-1.1547406920473176,-1.159999440567612,-1.1547406920473176,-1.1522729026478664,-1.1540353277660909
13.01.2014,180.42,182.95,183.49,180.37,12058586,182.95,-1.1438111513119493,-1.150254667585439,-1.1438111513119493,-1.1489988216010236,-1.144126514262461
14.01.2014,182.55,183.17,183.81,181.29,12075547,183.17,-1.143291821082623,-1.1452289129965703,-1.143291821082623,-1.148250460218888,-1.141935142045312
15.01.2014,183.84,184.0,185.98,183.07,12660424,184.0,-1.1413325297628918,-1.1421851461328891,-1.1413325297628918,-1.1431756345962814,-1.1376953131903935
16.01.2014,184.67,184.14,185.63,183.29,18038361,184.14,-1.1410020468896842,-1.140226753499668,-1.1410020468896842,-1.1439941548579922,-1.1371712893993362
17.01.2014,184.76,183.85,186.37,182.92,15463211,183.85,-1.1416866185556143,-1.1400143976719692,-1.1416866185556143,-1.1422635691618037,-1.1380526021388417
20.01.2014,184.3,180.73,184.73,179.97,16576057,180.73,-1.1490516654442424,-1.1410997719024292,-1.1490516654442424,-1.1460989212452484,-1.1450792847916562
21.01.2014,181.34,179.34,181.53,179.12,9806364,179.34,-1.1523328882568042,-1.1480839191245191,-1.1523328882568042,-1.1535825350666038,-1.147103922166196
22.01.2014,179.43,181.29,181.9,178.32,8517726,181.29,-1.1477297339514119,-1.1525905816901245,-1.1477297339514119,-1.1527172422185097,-1.1490094632245864
23.01.2014,178.83,179.91,181.06,178.83,13767334,179.91,-1.150987350844459,-1.1540062872081156,-1.150987350844459,-1.1546816908466153,-1.1477946807998625
24.01.2014,179.12,180.3,181.75,178.94,11879019,180.3,-1.1500667199833803,-1.1533220295410866,-1.1500667199833803,-1.1530680366163857,-1.147532668904334
27.01.2014,177.88,175.21,178.87,174.62,12345838,175.21,-1.1620821330164308,-1.1562478209449352,-1.1620821330164308,-1.1598032890556054,-1.157822590619642
28.01.2014,176.01,175.56,177.88,175.11,11573795,175.56,-1.1612559258334116,-1.1606601031426744,-1.1612559258334116,-1.1621185320815874,-1.1566554467213779
29.01.2014,176.59,173.84,177.15,173.51,12374165,173.84,-1.165316143989963,-1.159291587808616,-1.165316143989963,-1.1638257314845841,-1.1604665288381586
30.01.2014,172.76,171.43,173.27,170.85,14102043,171.43,-1.1710051705930382,-1.1683285080317936,-1.1710051705930382,-1.1728996132429776,-1.1668024528573067
31.01.2014,171.85,172.71,173.19,171.67,11038353,172.71,-1.1679836128951393,-1.1704756614007468,-1.1679836128951393,-1.1730867035885113,-1.1648492732724565
03.02.2014,171.68,170.58,172.43,170.28,8227762,170.58,-1.1730116737517988,-1.1708767779641776,-1.1730116737517988,-1.1748640618710833,-1.16816015086141
04.02.2014,169.25,170.72,171.78,168.97,12362252,170.72,-1.1726811908785912,-1.176610385312042,-1.1726811908785912,-1.1763841709285463,-1.171280474344524
05.02.2014,170.42,169.82,170.71,167.67,11298451,169.82,-1.1748057236349265,-1.1738497595519592,-1.1748057236349265,-1.1788865043000618,-1.1743769785644085
06.02.2014,170.4,169.53,171.25,167.93,10826505,169.53,-1.1754902953008566,-1.1738969497358922,-1.1754902953008566,-1.1776236444677082,-1.1737576777204315
07.02.2014,170.83,169.24,171.18,168.44,8459052,169.24,-1.1761748669667869,-1.1728823607813317,-1.1761748669667869,-1.1777873485200503,-1.1725428952957078
10.02.2014,169.41,170.8,171.56,168.56,10345205,170.8,-1.1724923435224726,-1.176232863840578,-1.1724923435224726,-1.1768986693787644,-1.1722570641369492
11.02.2014,171.02,167.33,171.43,166.81,12609169,167.33,-1.18068359759412,-1.172434054033968,-1.18068359759412,-1.177202691190257,-1.1764254352021781
12.02.2014,167.9,169.96,170.79,167.78,9828890,169.96,-1.1744752407617187,-1.1797957227275224,-1.1744752407617187,-1.1786994139545282,-1.1741149666688797
13.02.2014,170.17,167.78,170.17,167.29,8657303,167.78,-1.1796213312159527,-1.1744396368511223,-1.1796213312159527,-1.1801493641324157,-1.1752821105671438
14.02.2014,168.71,170.82,171.23,167.9,9218744,170.82,-1.172445131683443,-1.177884520278234,-1.172445131683443,-1.1776704170540915,-1.1738291355101211
17.02.2014,169.91,168.8,170.81,167.7,9058505,168.8,-1.1772135274254394,-1.1750531092422518,-1.1772135274254394,-1.1786526413681444,-1.1743055207747188
18.02.2014,167.71,168.97,169.95,167.71,5741275,168.97,-1.1768122267936871,-1.1802440294748862,-1.1768122267936871,-1.1806638625826338,-1.1742817015114888
19.02.2014,168.94,168.78,170.4,168.32,6130140,168.78,-1.1772607392644692,-1.1773418331630041,-1.1772607392644692,-1.1796114793890058,-1.1728287264544663
20.02.2014,168.59,167.37,169.09,166.88,8041497,167.37,-1.1805891739160608,-1.1781676613818324,-1.1805891739160608,-1.182675083797123,-1.176258700359569
21.02.2014,167.71,168.63,169.56,167.4,6256274,168.63,-1.1776148280571916,-1.1802440294748862,-1.1776148280571916,-1.1815759280171114,-1.1750200986716153
24.02.2014,167.91,168.81,169.35,167.34,6800627,168.81,-1.1771899215059247,-1.1797721276355557,-1.1771899215059247,-1.1820670401741378,-1.1751630142509943
25.02.2014,169.21,168.43,169.56,167.81,7039336,168.43,-1.1780869464474883,-1.1767047656799081,-1.1780869464474883,-1.1815759280171114,-1.17404350887919
26.02.2014,168.52,168.46,169.74,167.95,13608048,168.46,-1.1780161286889437,-1.1783328270255982,-1.1780161286889437,-1.1811549747396601,-1.1737100391939719
28.02.2014,168.46,166.23,169.43,164.81,18949872,166.23,-1.1832802487407519,-1.178474397577397,-1.1832802487407519,-1.1818799498286041,-1.181189287848154
03.03.2014,166.26,166.95,167.65,165.65,11635479,166.95,-1.1815806225356837,-1.1836653178100316,-1.1815806225356837,-1.186042710016733,-1.1791884697368442
04.03.2014,166.86,168.93,169.28,166.78,8997053,168.93,-1.1769066504717467,-1.1822496122920403,-1.1769066504717467,-1.1822307442264801,-1.1764968929918678
05.03.2014,169.47,167.69,169.98,167.31,11827655,167.69,-1.179833784491586,-1.1760912932887786,-1.179833784491586,-1.1805937037030585,-1.175234472040684
06.03.2014,168.18,170.9,171.31,168.17,10172590,170.9,-1.1722562843273243,-1.1791350601524597,-1.1722562843273243,-1.1774833267085576,-1.1731860154029146
07.03.2014,171.43,180.66,181.62,171.43,33597187,180.66,-1.1492169068808464,-1.1714666552633406,-1.1492169068808464,-1.1533720584278782,-1.1654209355899736
10.03.2014,179.77,184.0,187.78,179.41,32869474,184.0,-1.1413325297628918,-1.151788348563263,-1.1413325297628918,-1.138966101821769,-1.1464131635325296
11.03.2014,183.9,181.77,184.48,181.22,12780183,181.77,-1.1465966498146998,-1.14204357558109,-1.1465966498146998,-1.1466835785750418,-1.1421018768879212
12.03.2014,181.62,181.07,183.47,180.3,9431389,181.07,-1.1482490641807381,-1.1474232565494566,-1.1482490641807381,-1.149045594187407,-1.1442932491050701
13.03.2014,181.82,182.77,185.93,181.76,17221827,182.77,-1.1442360578632165,-1.1469513547101262,-1.1442360578632165,-1.14329256606224,-1.1408156366735078
14.03.2014,181.62,184.14,184.93,180.59,16540547,184.14,-1.1410020468896842,-1.1474232565494566,-1.1410020468896842,-1.1456311953814136,-1.1436024904714035
18.03.2014,184.84,186.28,188.85,184.84,19034847,186.28,-1.1359503801135096,-1.139825636936237,-1.1359503801135096,-1.1364637684502532,-1.1334793035987047
19.03.2014,187.02,187.64,189.08,186.03,16376397,187.64,-1.1327399750594922,-1.1346819068875358,-1.1327399750594922,-1.135925883706843,-1.130644811274349
20.03.2014,187.35,188.27,188.58,186.63,29711945,188.27,-1.1312528021300576,-1.1339032688526405,-1.1312528021300576,-1.13709519836643,-1.1292156554805561
21.03.2014,188.47,184.07,189.79,183.31,22050970,184.07,-1.141167288326288,-1.1312606185523901,-1.141167288326288,-1.1342654568902302,-1.1371236508728764
24.03.2014,185.2,188.14,188.84,185.17,28815466,188.14,-1.1315596790837505,-1.1389762136254424,-1.1315596790837505,-1.136487154743445,-1.1326932679121189
25.03.2014,182.66,182.72,183.38,181.3,31299573,182.72,-1.1443540874607905,-1.1449693669849386,-1.1443540874607905,-1.1492560708261326,-1.141911322782082
26.03.2014,183.12,185.19,187.63,183.1,13811011,185.19,-1.1385234253406264,-1.1438839927544786,-1.1385234253406264,-1.139316896219645,-1.1376238554007037
27.03.2014,185.95,187.17,188.04,185.38,55407935,187.17,-1.1338494532766894,-1.1372065817279533,-1.1338494532766894,-1.138358058198784,-1.1321930633842912
28.03.2014,187.02,190.37,191.16,187.02,18667646,190.37,-1.1262955590319426,-1.1346819068875358,-1.1262955590319426,-1.1310615347229622,-1.128286704214591
31.03.2014,190.4,193.41,195.29,189.76,18751896,193.41,-1.119119359499433,-1.126706765802852,-1.119119359499433,-1.1214029956347755,-1.1217602260896038
01.04.2014,194.5,195.87,196.37,193.11,15640608,195.87,-1.1133123032987837,-1.1170327780965785,-1.1133123032987837,-1.118877275970068,-1.1137807729075941
02.04.2014,196.37,199.11,199.9,194.94,26780181,199.11,-1.1056639853759775,-1.1126204958988393,-1.1056639853759775,-1.1106219144733853,-1.109421847736526
03.04.2014,198.82,197.96,200.1,195.41,26550895,197.96,-1.1083786661201833,-1.1068396983670419,-1.1083786661201833,-1.1101541886095505,-1.1083023423647218
04.04.2014,197.82,196.21,198.08,195.65,12513877,196.21,-1.1125097020352792,-1.1091992075636938,-1.1125097020352792,-1.114878219834281,-1.1077306800472047
07.04.2014,196.16,196.19,198.44,194.16,12905249,196.19,-1.112556913874309,-1.1131159928301364,-1.112556913874309,-1.1140363132793787,-1.1112797502684568
09.04.2014,197.41,199.93,200.88,196.82,13438946,199.93,-1.1037282999757612,-1.1101666063343214,-1.1037282999757612,-1.108330057740595,-1.1049438262493088
10.04.2014,200.46,201.37,202.38,199.94,10649501,201.37,-1.100329047565625,-1.1029701032845325,-1.100329047565625,-1.1048221137618348,-1.0975122161215862
11.04.2014,199.96,198.19,201.78,197.53,11691621,198.19,-1.1078357299713422,-1.1041498578828586,-1.1078357299713422,-1.106225291353339,-1.1032526585599873
15.04.2014,197.41,197.22,198.24,194.62,9264526,197.22,-1.110125504164281,-1.1101666063343214,-1.110125504164281,-1.1145040391432133,-1.1101840641598821
16.04.2014,196.68,195.6,199.28,194.94,12381278,195.6,-1.1139496631256842,-1.1118890480478771,-1.1139496631256842,-1.1120718646512728,-1.109421847736526
17.04.2014,196.37,199.3,199.86,196.12,7845800,199.3,-1.1052154729051957,-1.1126204958988393,-1.1052154729051957,-1.1107154596461521,-1.1066111746754002
21.04.2014,201.55,199.4,201.55,198.68,11817203,199.4,-1.1049794137100475,-1.1003982382601818,-1.1049794137100475,-1.1067631760967487,-1.100513443288551
22.04.2014,199.49,201.1,205.46,198.68,19331824,201.1,-1.1009664073925256,-1.105258827205285,-1.1009664073925256,-1.09761913545878,-1.100513443288551
