Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
06.01.2014,104.42,101.77,104.81,101.74,1222750,101.77,-1.2617998985322612,-1.2531415086463153,-1.2617998985322612,-1.2548059138402217,-1.26038282124789
08.01.2014,101.87,99.92,102.5,99.82,1055630,99.92,-1.2669107150852938,-1.2601781356755155,-1.2669107150852938,-1.2611011070194191,-1.2657669373535934
09.01.2014,99.92,101.28,101.61,99.59,1077460,101.28,-1.2631535742679294,-1.2655590857566683,-1.2631535742679294,-1.2635265277681142,-1.2664119095954223
10.01.2014,101.18,101.24,101.41,99.99,1110450,101.24,-1.2632640784096165,-1.2620821641657696,-1.2632640784096165,-1.2640715661386077,-1.2652902187400674
13.01.2014,101.11,102.53,103.03,100.85,1453080,102.53,-1.2597003198402046,-1.262275326476375,-1.2597003198402046,-1.2596567553376121,-1.2628785834010545
14.01.2014,101.77,102.76,103.16,100.72,1213990,102.76,-1.2590649210255032,-1.2604540818335233,-1.2590649210255032,-1.2593024803967914,-1.2632431329290448
15.01.2014,103.19,102.07,103.72,101.84,1238840,102.07,-1.2609711174696072,-1.2565356463898119,-1.2609711174696072,-1.25777637295941,-1.2601023985340514
16.01.2014,102.43,100.81,103.09,100.81,927240,100.81,-1.2644519979327538,-1.2586328371906714,-1.2644519979327538,-1.2594932438264639,-1.2629907524865902
17.01.2014,100.98,101.11,101.94,100.29,1031020,101.11,-1.2636232168700998,-1.2626340564817853,-1.2636232168700998,-1.2626272144568003,-1.2644489505985514
20.01.2014,101.11,101.05,101.51,99.96,840150,101.05,-1.2637889730826306,-1.262275326476375,-1.2637889730826306,-1.2637990469533609,-1.2653743455542192
21.01.2014,101.44,102.53,102.96,101.44,1137020,102.53,-1.2597003198402046,-1.2613647041549492,-1.2597003198402046,-1.2598475187672846,-1.2612240893894062
22.01.2014,102.76,101.51,102.96,101.11,1030490,101.51,-1.262518175453228,-1.2577222148692457,-1.262518175453228,-1.2598475187672846,-1.262149484345074
23.01.2014,101.21,101.67,103.39,100.85,1316780,101.67,-1.262076158886479,-1.2619993803183673,-1.262076158886479,-1.258675686270724,-1.2628785834010545
24.01.2014,101.11,99.76,101.77,99.76,1539310,99.76,-1.2673527316520425,-1.262275326476375,-1.2673527316520425,-1.2630904970717196,-1.2659351909818966
27.01.2014,98.5,98.27,100.25,96.62,2210820,98.27,-1.2714690109298905,-1.2694775212003797,-1.2714690109298905,-1.2672327886874686,-1.2747404641964322
28.01.2014,98.2,98.5,99.29,96.55,1662990,98.5,-1.270833612115189,-1.2703053596744034,-1.270833612115189,-1.2698489728658364,-1.2749367600961192
29.01.2014,98.8,94.67,100.09,94.67,2535280,94.67,-1.2814143836817378,-1.2686496827263563,-1.2814143836817378,-1.2676688193838632,-1.280208707116287
30.01.2014,95.06,95.36,96.16,92.65,3147830,95.36,-1.2795081872376337,-1.2789700690358494,-1.2795081872376337,-1.2783788233640565,-1.285873245935829
31.01.2014,95.56,93.41,95.89,93.35,1680620,93.41,-1.2848952641448843,-1.2775903382458103,-1.2848952641448843,-1.2791146251642223,-1.283910286938958
03.02.2014,94.21,92.42,94.73,92.42,1120330,92.42,-1.2876302416516423,-1.2813156113789161,-1.2876302416516423,-1.2822758477130833,-1.286518218177658
04.02.2014,91.63,91.53,91.86,89.38,2024380,91.53,-1.2900889588041824,-1.2884350222555185,-1.2900889588041824,-1.290097148329662,-1.295043068678355
05.02.2014,91.86,95.66,95.96,90.97,3473040,95.66,-1.2786794061749798,-1.2878003460921004,-1.2786794061749798,-1.2789238617345497,-1.2905843475283192
06.02.2014,95.79,96.62,96.62,94.87,2145450,96.62,-1.2760273067744872,-1.276955662082392,-1.2760273067744872,-1.2771252351119218,-1.2796478616886096
07.02.2014,96.82,97.91,98.8,96.82,2116570,97.91,-1.2724635482050752,-1.2741134166549115,-1.2724635482050752,-1.2711843168735448,-1.2741796187687546
10.02.2014,98.07,96.75,98.5,96.65,927690,96.75,-1.2756681683140036,-1.2706640896798134,-1.2756681683140036,-1.272001874429285,-1.2746563373822806
11.02.2014,96.82,96.09,97.61,95.99,880980,96.09,-1.2774914866518423,-1.2741134166549115,-1.2774914866518423,-1.27442729517798,-1.276507127293616
12.02.2014,97.28,97.01,97.31,95.99,913650,97.01,-1.274949891393037,-1.2728440643280754,-1.274949891393037,-1.27524485273372,-1.276507127293616
13.02.2014,96.82,95.56,96.98,95.33,1205820,95.56,-1.2789556665291977,-1.2741134166549115,-1.2789556665291977,-1.276144166045034,-1.2783579172049515
14.02.2014,96.12,97.91,98.24,96.02,1803510,97.91,-1.2724635482050752,-1.2760450397609664,-1.2724635482050752,-1.2727104243109262,-1.2764230004794646
17.02.2014,98.77,99.49,99.69,98.47,1175300,99.49,-1.268098634608431,-1.2687324665737585,-1.268098634608431,-1.26875889612485,-1.269552643990416
18.02.2014,99.86,98.47,100.68,98.24,1188270,98.47,-1.2709164902214545,-1.265724653451473,-1.2709164902214545,-1.266060956190908,-1.270197616232245
19.02.2014,98.47,96.22,98.53,95.69,1668520,96.22,-1.277132348191359,-1.269560305047782,-1.277132348191359,-1.271920118673711,-1.2773483954351321
20.02.2014,95.53,96.78,96.88,94.83,1271710,96.78,-1.2755852902077385,-1.2776731220932127,-1.2755852902077385,-1.2764166852302805,-1.2797600307741452
21.02.2014,97.44,97.64,97.81,96.29,1115560,97.64,-1.2732094511614638,-1.272402550475263,-1.2732094511614638,-1.2738822568074868,-1.2756658591520997
24.02.2014,97.81,98.3,98.47,97.15,836200,98.3,-1.2713861328236251,-1.2713815496906338,-1.2713861328236251,-1.2720836301848588,-1.273254223813087
25.02.2014,98.8,97.51,98.96,96.49,1011100,97.51,-1.273568589621947,-1.2686496827263563,-1.273568589621947,-1.2707482861771504,-1.2751050137244224
26.02.2014,97.58,97.48,97.81,96.65,843040,97.48,-1.2736514677282125,-1.272016225854052,-1.2736514677282125,-1.2738822568074868,-1.2746563373822806
27.02.2014,97.48,96.19,100.02,94.01,2927220,96.19,-1.2772152262976244,-1.2722921720120597,-1.2772152262976244,-1.267859582813536,-1.2820594970276225
28.02.2014,96.32,98.44,98.44,94.37,2204010,98.44,-1.2709993683277199,-1.2754931474449507,-1.2709993683277199,-1.272165385940433,-1.281049975257803
03.03.2014,95.1,90.47,95.49,87.7,3665590,90.47,-1.2930173185588927,-1.2788596905726464,-1.2930173185588927,-1.2802047019052087,-1.2997541702708453
04.03.2014,90.57,92.36,93.51,89.94,2328030,92.36,-1.287795997864173,-1.2913600515304016,-1.287795997864173,-1.2856005817730924,-1.293472701480858
05.03.2014,92.95,93.28,93.48,91.3,1807940,93.28,-1.2852544026053676,-1.284792532969815,-1.2852544026053676,-1.2856823375286663,-1.2896589525726516
06.03.2014,93.51,93.71,95.33,90.34,2363020,93.71,-1.2840664830822304,-1.283247234484971,-1.2840664830822304,-1.2806407326016036,-1.2923510106255032
07.03.2014,93.35,92.69,95.23,91.6,1399220,92.69,-1.2868843386952538,-1.2836887483377835,-1.2868843386952538,-1.28091325178685,-1.2888176844311354
11.03.2014,90.87,88.65,91.4,88.06,2664550,88.65,-1.2980452570056602,-1.290532213056378,-1.2980452570056602,-1.2913507365817967,-1.2987446485010259
12.03.2014,87.6,83.93,87.6,83.0,2362830,83.93,-1.3110847457247488,-1.2995556524232346,-1.3110847457247488,-1.301706465621169,-1.3129340378212646
13.03.2014,84.23,79.01,85.09,79.01,1768720,79.01,-1.3246767551522733,-1.3088550379480988,-1.3246767551522733,-1.3085466971708597,-1.3241229041034293
14.03.2014,76.99,75.54,76.99,69.52,3765730,75.54,-1.334262989443637,-1.3288335397878666,-1.334262989443637,-1.330620751175838,-1.3507350196467232
17.03.2014,75.67,79.3,79.96,75.54,3955850,79.3,-1.3238756001250411,-1.3324760290735702,-1.3238756001250411,-1.3225269313740127,-1.3338535722736327
18.03.2014,80.49,84.89,85.85,79.04,2970830,84.89,-1.3084326463242562,-1.3191754242575922,-1.3084326463242562,-1.3064755513629853,-1.3240387772892777
19.03.2014,84.92,85.75,87.23,83.37,2804180,85.75,-1.3060568072779815,-1.3069510094578447,-1.3060568072779815,-1.3027147866065816,-1.3118964737800616
20.03.2014,84.26,83.67,85.38,83.04,1592910,83.67,-1.3118030226457154,-1.3087722541006965,-1.3118030226457154,-1.3077563915336445,-1.3128218687357291
21.03.2014,80.13,82.84,83.7,79.77,2356060,82.84,-1.3140959835857247,-1.3201688304264203,-1.3140959835857247,-1.3123347138457881,-1.3219916914782552
24.03.2014,82.74,80.96,86.08,80.63,2481400,80.96,-1.3192896782450227,-1.3129666357024157,-1.3192896782450227,-1.305848757236918,-1.3195800561392421
25.03.2014,81.62,83.27,84.49,80.0,2205540,83.27,-1.3129080640625874,-1.3160572326721036,-1.3129080640625874,-1.3101818122823397,-1.321346719236426
26.03.2014,84.09,84.59,87.2,84.0,2891750,84.59,-1.3092614273869099,-1.3092413625693098,-1.3092614273869099,-1.3027965423621557,-1.3101298106828776
27.03.2014,84.39,84.16,85.78,83.1,1965610,84.16,-1.3104493469100473,-1.3084135240952863,-1.3104493469100473,-1.306666314792658,-1.312653615107426
28.03.2014,84.46,86.04,86.71,84.36,1555790,86.04,-1.3052556522507492,-1.3082203617846808,-1.3052556522507492,-1.3041318863698643,-1.3091202889130582
31.03.2014,86.11,88.06,88.42,86.01,1964450,88.06,-1.2996751930955461,-1.3036672501775513,-1.2996751930955461,-1.2994718083021466,-1.3044933141347195
01.04.2014,88.56,87.7,88.92,86.74,1692020,87.7,-1.3006697303707309,-1.2969065693063593,-1.3006697303707309,-1.2981092123759133,-1.3024462283236968
02.04.2014,87.89,86.61,88.09,84.92,1710300,86.61,-1.3036809682317068,-1.298755408565012,-1.3036809682317068,-1.3003711216134604,-1.3075499217155615
03.04.2014,86.61,84.46,87.04,84.26,1386430,84.46,-1.3096205658473934,-1.302287519387512,-1.3096205658473934,-1.3032325730585501,-1.309400711626897
04.04.2014,84.59,87.99,88.39,83.33,2191800,87.99,-1.2998685753434986,-1.3078616317792706,-1.2998685753434986,-1.2995535640577205,-1.312008642865597
07.04.2014,86.61,87.13,87.93,85.09,2788290,87.13,-1.3022444143897733,-1.302287519387512,-1.3022444143897733,-1.300807152309855,-1.3070732031020356
08.04.2014,86.47,88.32,88.82,86.21,1183570,88.32,-1.2989569161745795,-1.302673844008723,-1.2989569161745795,-1.29838173156116,-1.3039324687070422
09.04.2014,88.23,91.53,91.76,88.09,2049890,91.53,-1.2900889588041824,-1.2978171916277852,-1.2900889588041824,-1.2903696675149088,-1.2986605216868743
10.04.2014,91.89,94.7,95.0,91.53,2075540,94.7,-1.2813315055754724,-1.2877175622446981,-1.2813315055754724,-1.2815400459129174,-1.2890139803308227
11.04.2014,93.45,92.59,95.13,91.86,1406240,92.59,-1.2871605990494717,-1.2834128021797757,-1.2871605990494717,-1.2811857709720968,-1.2880885853751547
14.04.2014,91.56,89.12,92.29,88.59,2188200,89.12,-1.2967468333408356,-1.288628184566124,-1.2967468333408356,-1.2889253158331013,-1.2972584081176806
15.04.2014,88.52,84.26,89.78,83.43,2748330,84.26,-1.3101730865558294,-1.2970169477695626,-1.3101730865558294,-1.2957655473827923,-1.3117282201517582
16.04.2014,84.79,86.74,87.23,83.27,2217840,86.74,-1.3033218297712235,-1.307309739463255,-1.3033218297712235,-1.3027147866065816,-1.3121768964939002
17.04.2014,87.23,86.87,88.49,84.76,1772520,86.87,-1.3029626913107402,-1.3005766532078635,-1.3029626913107402,-1.2992810448724739,-1.3079985980577034
18.04.2014,88.62,88.23,88.89,87.63,787880,88.23,-1.2992055504933755,-1.2967410016115546,-1.2992055504933755,-1.2981909681314874,-1.2999504661705323
21.04.2014,88.19,87.1,88.56,86.9,534960,87.1,-1.3023272924960387,-1.2979275700909882,-1.3023272924960387,-1.2990902814428011,-1.301997551981555
22.04.2014,86.67,87.43,87.83,84.76,1390490,87.43,-1.3014156333271194,-1.3021219516927074,-1.3014156333271194,-1.3010796714951018,-1.3079985980577034
23.04.2014,87.4,87.37,88.49,86.24,1230790,87.37,-1.3015813895396502,-1.3001075447392503,-1.3015813895396502,-1.2992810448724739,-1.3038483418928903
24.04.2014,87.37,84.59,87.83,83.43,1795880,84.59,-1.3092614273869099,-1.3001903285866525,-1.3092614273869099,-1.3010796714951018,-1.3117282201517582
25.04.2014,84.26,81.15,84.26,80.72,1754070,81.15,-1.3187647835720087,-1.3087722541006965,-1.3187647835720087,-1.310808606408407,-1.3193276756967873
28.04.2014,80.63,85.81,85.98,79.11,2076850,85.81,-1.3058910510654507,-1.3187890996363811,-1.3058910510654507,-1.3061212764221646,-1.3238424813895906
29.04.2014,86.18,83.67,87.83,83.53,2319270,83.67,-1.3118030226457154,-1.303474087866946,-1.3118030226457154,-1.3010796714951018,-1.3114477974379197
30.04.2014,83.8,82.24,84.36,81.45,1394100,82.24,-1.3157535457110325,-1.3100416064275324,-1.3157535457110325,-1.3105360872231602,-1.3172805898857647
05.05.2014,80.96,81.39,82.57,80.69,808040,81.39,-1.3181017587218855,-1.3178784773149554,-1.3181017587218855,-1.3154141806390751,-1.319411802510939
06.05.2014,81.78,83.96,84.39,81.48,1083070,83.96,-1.3110018676184834,-1.315615718819291,-1.3110018676184834,-1.3104543314675863,-1.317196463071613
07.05.2014,82.91,89.68,92.52,82.91,2222510,89.68,-1.2951997753572149,-1.3124975272338024,-1.2951997753572149,-1.2882985217070342,-1.3131864182637196
08.05.2014,89.65,92.19,93.02,88.59,2816740,92.19,-1.2882656404663435,-1.2938987561840738,-1.2882656404663435,-1.286935925780801,-1.2972584081176806
12.05.2014,92.52,94.17,95.06,91.5,2372620,94.17,-1.2827956854528275,-1.2859791014492488,-1.2827956854528275,-1.2813765344017694,-1.2890981071449743
13.05.2014,94.5,98.5,99.43,94.17,2874940,98.5,-1.270833612115189,-1.2805153675206935,-1.270833612115189,-1.2694674460064912,-1.2816108206854806
14.05.2014,98.7,101.05,101.81,97.94,3178560,101.05,-1.2637889730826306,-1.268925628884364,-1.2637889730826306,-1.262981489397621,-1.2710388843737612
15.05.2014,100.95,98.8,101.54,98.4,2118100,98.8,-1.2700048310525351,-1.2627168403291875,-1.2700048310525351,-1.263717291197787,-1.2697489398901032
16.05.2014,98.4,101.24,101.77,97.68,2618530,101.24,-1.2632640784096165,-1.2697534673583877,-1.2632640784096165,-1.2630904970717196,-1.2717679834297417
19.05.2014,101.21,102.8,103.66,100.91,3307570,102.8,-1.258954416883816,-1.2619993803183673,-1.258954416883816,-1.2579398844705583,-1.2627103297727515
20.05.2014,102.93,103.56,105.41,102.63,3364770,103.56,-1.2568548381917592,-1.2572531064006323,-1.2568548381917592,-1.253170798728742,-1.2578870590947255
21.05.2014,103.66,102.93,104.35,101.71,1713180,102.93,-1.2585952784233325,-1.2552386994471751,-1.2585952784233325,-1.2560595020923562,-1.2604669480620418
22.05.2014,103.42,101.94,104.09,100.88,1641320,101.94,-1.2613302559300905,-1.255900970226394,-1.2613302559300905,-1.2567680519739974,-1.262794456586903
23.05.2014,102.24,102.6,103.42,100.78,1263480,102.6,-1.2595069375922519,-1.2591571348908863,-1.2595069375922519,-1.25859393051515,-1.2630748793007418
26.05.2014,102.43,102.24,104.32,101.94,884650,102.24,-1.2605014748674366,-1.2586328371906714,-1.2605014748674366,-1.2561412578479303,-1.2598219758202127
27.05.2014,102.76,99.56,102.76,99.36,1773480,99.56,-1.2679052523604786,-1.2577222148692457,-1.2679052523604786,-1.2603925571377779,-1.2670568818372514
28.05.2014,99.76,99.43,101.11,98.27,1782330,99.43,-1.2682643908209619,-1.266000599609481,-1.2682643908209619,-1.2648891236943474,-1.2701134894180934
29.05.2014,99.62,100.72,101.44,99.56,1024820,100.72,-1.26470063225155,-1.2663869242306918,-1.26470063225155,-1.2639898103830336,-1.266496036409574
30.05.2014,100.81,97.31,101.38,97.31,1752350,97.31,-1.274121110330383,-1.2631031649503985,-1.274121110330383,-1.2641533218941816,-1.272805547470945
02.06.2014,97.44,97.68,99.1,97.44,1666850,97.68,-1.2730989470197764,-1.272402550475263,-1.2730989470197764,-1.270366759317805,-1.2724409979429547
03.06.2014,97.15,96.35,97.97,94.54,2764120,96.35,-1.2767732097308755,-1.2732027943334856,-1.2767732097308755,-1.273446226111092,-1.2805732566442773
04.06.2014,96.42,95.86,97.44,95.49,1706790,95.86,-1.2781268854665437,-1.2752172012869427,-1.2781268854665437,-1.2748905777928994,-1.2779092408628097
05.06.2014,96.16,94.64,96.49,94.47,1329090,94.64,-1.2814972617880032,-1.2759346612977633,-1.2814972617880032,-1.2774795100527425,-1.2807695525439644
06.06.2014,95.2,97.31,97.81,94.17,1348960,97.31,-1.274121110330383,-1.2785837444146386,-1.274121110330383,-1.2738822568074868,-1.2816108206854806
09.06.2014,98.14,97.97,100.78,97.48,1814130,97.97,-1.2722977919925442,-1.270470927369208,-1.2722977919925442,-1.2657884370056616,-1.2723288288574193
10.06.2014,98.3,96.95,98.3,96.19,963070,96.95,-1.2751156476055678,-1.2700294135163954,-1.2751156476055678,-1.2725469127997782,-1.2759462818659386
11.06.2014,96.88,96.65,98.04,95.82,816920,96.65,-1.2759444286682218,-1.2739478489601068,-1.2759444286682218,-1.2732554626814194,-1.2769838459071419
16.06.2014,95.86,94.3,96.12,93.41,2377230,94.3,-1.2824365469923442,-1.2767624997717868,-1.2824365469923442,-1.278487831038155,-1.2837420333106548
17.06.2014,94.3,94.67,96.22,94.04,1404850,94.67,-1.2814143836817378,-1.281067259836709,-1.2814143836817378,-1.2782153118529083,-1.2819753702134709
18.06.2014,95.26,96.45,97.11,94.54,1498790,96.45,-1.2764969493766578,-1.278418176719834,-1.2764969493766578,-1.2757898911042131,-1.2805732566442773
19.06.2014,99.61,99.28,100.63,98.36,1929690,99.28,-1.2686787813522888,-1.2664145188464926,-1.2686787813522888,-1.2661972157835315,-1.2698611089756384
20.06.2014,97.93,96.64,98.03,96.34,1563870,96.64,-1.2759720547036435,-1.2710504143010244,-1.2759720547036435,-1.2732827145999441,-1.2755256477951804
23.06.2014,96.91,96.27,97.93,95.93,836053,96.27,-1.2769942180142502,-1.2738650651127046,-1.2769942180142502,-1.2735552337851908,-1.2766753809219193
24.06.2014,96.37,98.53,99.04,96.37,1505130,98.53,-1.2707507340089237,-1.2753551743659468,-1.2707507340089237,-1.270530270828953,-1.2754415209810288
25.06.2014,97.86,96.07,98.87,96.0,1271190,96.07,-1.277546738722686,-1.27124357661163,-1.277546738722686,-1.2709935534438723,-1.276479085022232
26.06.2014,96.54,94.58,96.64,93.97,1590760,94.58,-1.281663018000534,-1.2748860658973333,-1.281663018000534,-1.2770707312748726,-1.282171666113158
27.06.2014,94.58,94.75,95.56,93.47,1078630,94.75,-1.2811933753983633,-1.2802946105942872,-1.2811933753983633,-1.2800139384755362,-1.2835737796823514
30.06.2014,94.95,94.21,95.53,93.27,852750,94.21,-1.2826851813111404,-1.2792736098096582,-1.2826851813111404,-1.2800956942311104,-1.284134625110029
