Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,26.2,25.72,26.22,25.65,1697000,25.72,-0.9451485565109864,-0.9381058144435819,-0.9451485565109864,-0.9415756718120238,-0.9423447365962511
05.01.2004,25.78,26.14,26.15,25.78,1481800,26.14,-0.9392967499273194,-0.9439567200254866,-0.9392967499273194,-0.9425430069132616,-0.9405175581912769
06.01.2004,26.11,26.17,26.21,25.87,1564600,26.17,-0.9388787637427718,-0.9393595799254186,-0.9388787637427718,-0.9417138625407719,-0.9392525885262948
07.01.2004,26.09,26.04,26.17,25.84,2247000,26.04,-0.940690037209145,-0.9396381944769379,-0.940690037209145,-0.9422666254557651,-0.9396742450812888
08.01.2004,26.09,26.08,26.1,25.76,1343200,26.08,-0.9401327222964148,-0.9396381944769379,-0.9401327222964148,-0.9432339605570031,-0.9407986625612729
09.01.2004,26.08,25.63,26.08,25.57,1185400,25.63,-0.9464025150646292,-0.9397775017526976,-0.9464025150646292,-0.9435103420144996,-0.9434691540762353
12.01.2004,25.67,25.99,26.02,25.65,1176400,25.99,-0.9413866808500577,-0.9454891000588425,-0.9413866808500577,-0.9443394863869893,-0.9423447365962511
13.01.2004,26.03,26.1,26.34,25.81,1320400,26.1,-0.9398540648400496,-0.9404740381314957,-0.9398540648400496,-0.9399173830670445,-0.9400959016362829
14.01.2004,26.2,26.35,26.39,26.09,1051400,26.35,-0.9363708466354861,-0.9381058144435819,-0.9363708466354861,-0.9392264294233033,-0.9361604404563386
15.01.2004,26.4,26.39,26.46,26.12,1240200,26.39,-0.9358135317227557,-0.9353196689283892,-0.9358135317227557,-0.9382590943220652,-0.9357387839013446
16.01.2004,26.45,26.31,26.46,26.25,1725600,26.31,-0.9369281615482161,-0.9346231325495911,-0.9369281615482161,-0.9382590943220652,-0.9339116054963704
20.01.2004,26.19,25.23,26.19,25.14,4240200,25.23,-0.951975664191931,-0.9382451217193416,-0.951975664191931,-0.9419902439982687,-0.9495128980311497
21.01.2004,25.26,25.55,25.59,25.16,2375000,25.55,-0.9475171448900896,-0.9512006983649874,-0.9475171448900896,-0.9502816877231647,-0.9492317936611536
22.01.2004,25.42,25.45,25.75,25.39,1415800,25.45,-0.9489104321719151,-0.9489717819528333,-0.9489104321719151,-0.9480706360631924,-0.9459990934061994
23.01.2004,25.59,25.57,25.75,25.44,1584400,25.57,-0.9472384874337246,-0.9466035582649195,-0.9472384874337246,-0.9480706360631924,-0.9452963324812094
