Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
01.01.2004,379.98,379.98,379.98,379.98,0,379.98,-1.521768533902766,-1.521679247855064,-1.521768533902766,-1.5261896557513617,-1.5166695058019066
02.01.2004,379.98,379.98,379.98,379.98,0,379.98,-1.521768533902766,-1.521679247855064,-1.521768533902766,-1.5261896557513617,-1.5166695058019066
05.01.2004,382.46,389.54,389.54,382.46,344000,389.54,-1.5149300360841471,-1.5199058997665806,-1.5149300360841471,-1.5194209058390231,-1.5148781195623124
06.01.2004,389.54,387.41,389.54,386.0,318000,387.41,-1.5164536762885048,-1.514843276997846,-1.5164536762885048,-1.5194209058390231,-1.512321060171924
07.01.2004,387.41,388.12,388.12,382.46,594000,388.12,-1.5159457962203855,-1.516366354186745,-1.5159457962203855,-1.520426305930605,-1.5148781195623124
08.01.2004,388.48,385.29,388.48,384.58,306000,385.29,-1.5179701632524663,-1.51560124029373,-1.5179701632524663,-1.5201714157665418,-1.5133467732607238
09.01.2004,386.0,389.54,389.54,382.46,446000,389.54,-1.5149300360841471,-1.5173745883822132,-1.5149300360841471,-1.5194209058390231,-1.5148781195623124
12.01.2004,389.54,389.54,389.54,389.54,0,389.54,-1.5149300360841471,-1.514843276997846,-1.5149300360841471,-1.5194209058390231,-1.5097640007815352
13.01.2004,389.54,389.54,389.54,382.46,296000,389.54,-1.5149300360841471,-1.514843276997846,-1.5149300360841471,-1.5194209058390231,-1.5148781195623124
14.01.2004,388.48,384.93,388.48,375.73,200000,384.93,-1.5182276799067238,-1.51560124029373,-1.5182276799067238,-1.5201714157665418,-1.5197394217366953
15.01.2004,386.35,379.98,387.77,378.91,382000,379.98,-1.521768533902766,-1.517124317482629,-1.521768533902766,-1.5206741158123327,-1.5174424022843125
16.01.2004,372.89,380.33,382.1,368.29,382000,380.33,-1.5215181704889045,-1.5267490212209296,-1.5215181704889045,-1.5246886358963243,-1.5251135804554783
19.01.2004,380.33,383.87,388.12,375.73,304000,383.87,-1.5189859233887046,-1.5214289769554796,-1.5189859233887046,-1.520426305930605,-1.5197394217366953
20.01.2004,385.64,385.64,389.18,384.58,306000,385.64,-1.5177197998386047,-1.5176320098789287,-1.5177197998386047,-1.5196757960030862,-1.5133467732607238
21.01.2004,385.64,381.04,385.64,379.27,232000,381.04,-1.5210102904207852,-1.5176320098789287,-1.5210102904207852,-1.5221822159497054,-1.5171823623463068
22.01.2004,382.81,401.93,402.99,382.81,1020000,401.93,-1.5060671712334475,-1.5196556288669962,-1.5060671712334475,-1.5098979260983376,-1.514625302955918
23.01.2004,402.29,416.81,417.51,400.16,1712000,416.81,-1.4954231495241324,-1.505726265655845,-1.4954231495241324,-1.499617356147798,-1.5020928226103694
26.01.2004,415.03,413.26,416.1,407.6,598000,413.26,-1.4979625498647284,-1.4966164049109747,-1.4979625498647284,-1.5006156759570446,-1.4967186638915864
27.01.2004,413.26,401.58,413.26,401.58,680000,401.58,-1.506317534647309,-1.4978820606031586,-1.506317534647309,-1.5026264761402077,-1.5010671095215693
28.01.2004,408.66,393.79,410.79,392.37,676000,393.79,-1.511889908915828,-1.50117133528341,-1.511889908915828,-1.5043753058769733,-1.5077197979355466
29.01.2004,394.5,393.43,402.29,392.37,796000,393.43,-1.5121474255700857,-1.5112965808208794,-1.5121474255700857,-1.5103935458617932,-1.5077197979355466
30.01.2004,404.41,400.52,406.89,393.79,1026000,400.52,-1.5070757781292896,-1.504210339064077,-1.5070757781292896,-1.5071366159876554,-1.5066940848467465
02.02.2004,400.87,400.87,410.08,399.45,340000,400.87,-1.506825414715428,-1.5067416504484443,-1.506825414715428,-1.5048780059227642,-1.5026056791547695
03.02.2004,401.22,402.64,407.24,397.68,666000,402.64,-1.5055592911653282,-1.5064913795488601,-1.5055592911653282,-1.5068888061059276,-1.5038842088499638
04.02.2004,409.72,413.97,414.33,407.6,808000,413.97,-1.4974546697966094,-1.5004133719875261,-1.4974546697966094,-1.5018688859303542,-1.4967186638915864
05.02.2004,413.62,419.28,423.53,411.85,1016000,419.28,-1.4936562991463092,-1.4976246391064434,-1.4936562991463092,-1.4953550261820787,-1.493648747956798
06.02.2004,421.41,419.28,423.53,419.28,546000,419.28,-1.4936562991463092,-1.492054323941409,-1.4936562991463092,-1.4953550261820787,-1.4882818125696264
09.02.2004,412.2,408.31,418.58,406.54,944000,408.31,-1.5015034038607706,-1.4986400238990427,-1.5015034038607706,-1.4988597659379443,-1.4974843370423807
10.02.2004,415.39,416.45,422.12,413.62,454000,416.45,-1.4956806661783901,-1.4963589834142597,-1.4956806661783901,-1.4963533459913252,-1.4923702182616037
11.02.2004,416.45,416.45,416.45,416.45,0,416.45,-1.4956806661783901,-1.4956010201183756,-1.4956806661783901,-1.5003678660753168,-1.490326015415615
12.02.2004,412.56,412.56,419.64,412.56,580000,412.56,-1.4984632766924515,-1.4983826024023272,-1.4984632766924515,-1.4981092560104257,-1.4931358914123978
13.02.2004,418.58,417.87,423.53,412.91,1084000,417.87,-1.4946649060421517,-1.4940779429294766,-1.4946649060421517,-1.4953550261820787,-1.4928830748060036
16.02.2004,422.12,425.3,429.2,418.22,1588000,425.3,-1.48935004842789,-1.4915466315451094,-1.48935004842789,-1.4913405060980869,-1.4890474857204203
17.02.2004,422.12,424.6,424.95,417.87,916000,424.6,-1.4898507752556134,-1.4915466315451094,-1.4898507752556134,-1.494349626090497,-1.489300302326815
18.02.2004,421.41,422.47,424.24,418.93,660000,422.47,-1.491374415459971,-1.492054323941409,-1.491374415459971,-1.4948523261362878,-1.4885346291760206
19.02.2004,423.89,438.76,440.89,423.53,1400000,438.76,-1.4797217868548138,-1.4902809758529256,-1.4797217868548138,-1.4830636560483756,-1.4852118966348378
20.02.2004,439.12,444.43,445.49,438.76,898000,444.43,-1.4756658995502563,-1.4793906164224413,-1.4756658995502563,-1.479806726174238,-1.4742107625908774
23.02.2004,444.78,451.16,451.51,444.43,1002000,451.16,-1.470851768763718,-1.4753433784463057,-1.470851768763718,-1.4755443962085182,-1.4701151335672888
24.02.2004,449.74,456.11,458.24,449.74,938000,456.11,-1.4673109147676755,-1.471796682269339,-1.4673109147676755,-1.470779366197008,-1.4662795444817058
25.02.2004,455.05,445.84,456.11,444.43,464000,445.84,-1.4746572926544137,-1.467999715192788,-1.4746572926544137,-1.4722874663343803,-1.4701151335672888
26.02.2004,445.84,451.16,453.28,445.84,530000,451.16,-1.470851768763718,-1.4745854151504216,-1.470851768763718,-1.4742911862352088,-1.4690966438101003
27.02.2004,451.51,459.65,459.65,449.74,806000,459.65,-1.4647786676674757,-1.4705310265771556,-1.4647786676674757,-1.4697810463877612,-1.4662795444817058
01.03.2004,458.24,453.99,458.24,449.74,878000,453.99,-1.468827401731637,-1.465718674708005,-1.468827401731637,-1.470779366197008,-1.4662795444817058
02.03.2004,455.41,457.18,460.01,454.34,834000,457.18,-1.4665455180452989,-1.467742293696073,-1.4665455180452989,-1.4695261562236983,-1.462956811940523
03.03.2004,457.18,456.11,462.13,453.99,1162000,456.11,-1.4673109147676755,-1.4664766380038894,-1.4673109147676755,-1.468025136368661,-1.4632096285469174
04.03.2004,456.11,457.53,460.36,456.11,700000,457.53,-1.4662951546314371,-1.467241751896904,-1.4662951546314371,-1.4692783463419703,-1.4616782822453285
05.03.2004,459.3,458.24,459.3,452.57,530000,458.24,-1.4657872745633178,-1.464960711412121,-1.4657872745633178,-1.470028856269489,-1.4642353416357172
08.03.2004,460.01,460.36,461.78,457.88,1122000,460.36,-1.4642707875993564,-1.4644530190158216,-1.4642707875993564,-1.468272946250389,-1.4603997525501342
09.03.2004,460.01,462.13,462.13,456.47,1164000,462.13,-1.4630046640492564,-1.4644530190158216,-1.4630046640492564,-1.468025136368661,-1.461418242307323
10.03.2004,460.72,466.03,470.99,459.65,922000,466.03,-1.460214900294799,-1.463945326619522,-1.460214900294799,-1.4617520062197782,-1.45912122285494
11.03.2004,451.86,452.57,457.88,448.68,656000,452.57,-1.4698431618678753,-1.470280755677571,-1.4698431618678753,-1.4710342563610708,-1.4670452176325002
12.03.2004,445.49,455.05,456.11,445.49,760000,455.05,-1.4680691582496561,-1.474835686050006,-1.4680691582496561,-1.4722874663343803,-1.4693494604164945
15.03.2004,456.11,460.36,460.72,456.11,864000,460.36,-1.4642707875993564,-1.467241751896904,-1.4642707875993564,-1.4690234561779074,-1.4616782822453285
16.03.2004,460.72,454.7,460.72,451.51,388000,454.7,-1.468319521663518,-1.463945326619522,-1.468319521663518,-1.4690234561779074,-1.4650010147865116
17.03.2004,454.7,463.55,463.55,454.7,908000,463.55,-1.461988903913018,-1.4682499860923726,-1.461988903913018,-1.4670197362770792,-1.4626967720025172
18.03.2004,467.09,463.9,467.8,462.13,786000,463.9,-1.4617385404991565,-1.4593903962470869,-1.4617385404991565,-1.464010616284669,-1.4573298366153455
19.03.2004,460.72,459.3,462.13,456.82,226000,459.3,-1.4650290310813372,-1.463945326619522,-1.4650290310813372,-1.468025136368661,-1.4611654257009288
