Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,19.69,19.4,19.73,19.37,129500,19.4,-1.0911463670638775,-1.0871045269304191,-1.0911463670638775,-1.0899210784122646,-1.087686077112298
05.01.2004,19.43,19.47,19.52,19.37,220200,19.47,-1.0902204715498482,-1.090542853007733,-1.0902204715498482,-1.0926749315576456,-1.087686077112298
06.01.2004,19.37,19.26,19.47,19.11,333700,19.26,-1.0929981580919363,-1.0913363128717286,-1.0929981580919363,-1.0933306108779743,-1.0911549800261906
07.01.2004,19.26,19.72,19.75,19.24,210700,19.72,-1.086913701856886,-1.092790989289054,-1.086913701856886,-1.089658806684133,-1.0894205285692444
08.01.2004,19.73,19.8,19.97,19.63,297800,19.8,-1.0858555355551383,-1.0865755536877555,-1.0858555355551383,-1.0867738176746864,-1.0842171741984057
09.01.2004,19.8,19.42,19.8,19.29,256900,19.42,-1.0908818254884405,-1.085649850513094,-1.0908818254884405,-1.0890031273638043,-1.0887534318550343
12.01.2004,19.46,19.74,19.76,19.37,152600,19.74,-1.0866491602814492,-1.0901461230757352,-1.0866491602814492,-1.0895276708200672,-1.087686077112298
13.01.2004,19.77,19.9,20.0,19.74,186100,19.9,-1.0845328276779531,-1.0860465804450918,-1.0845328276779531,-1.0863804100824892,-1.0827495614271434
14.01.2004,19.9,20.32,20.32,19.9,216500,20.32,-1.078977454593777,-1.0843274174064346,-1.078977454593777,-1.0821840624323849,-1.080614851941671
15.01.2004,20.32,20.51,20.64,20.29,218000,20.51,-1.0764643096271256,-1.078773198358466,-1.0764643096271256,-1.0779877147822805,-1.0754114975708324
16.01.2004,20.62,20.6,20.82,20.52,160500,20.6,-1.0752738725376594,-1.074805899038488,-1.0752738725376594,-1.075627269229097,-1.072342852685466
20.01.2004,20.52,20.39,20.55,20.38,110200,20.39,-1.0780515590797475,-1.0761283321451474,-1.0780515590797475,-1.0791679375588725,-1.0742107234852543
21.01.2004,19.43,19.49,19.66,19.32,1037100,19.49,-1.0899559299744113,-1.090542853007733,-1.0899559299744113,-1.0908390294607249,-1.0883531738265082
22.01.2004,19.51,19.18,19.55,19.18,398700,19.18,-1.094056324393684,-1.0894849065224057,-1.094056324393684,-1.0922815239654482,-1.0902210446262963
23.01.2004,19.16,19.23,19.41,19.07,501300,19.23,-1.0933949704550916,-1.0941134223957132,-1.0933949704550916,-1.094117426062369,-1.0916886573975586
26.01.2004,19.28,19.26,19.31,18.88,300500,19.26,-1.0929981580919363,-1.092526502667722,-1.0929981580919363,-1.0954287847030264,-1.094223624911557
27.01.2004,19.27,19.12,19.31,19.08,355000,19.12,-1.094849949119995,-1.092658745978388,-1.094849949119995,-1.0954287847030264,-1.0915552380547167
28.01.2004,19.07,19.05,19.22,18.92,284900,19.05,-1.0957758446340244,-1.0953036121917066,-1.0957758446340244,-1.0966090074796182,-1.093689947540189
29.01.2004,19.02,18.91,19.17,18.73,237600,18.91,-1.0976276356620833,-1.095964828745036,-1.0976276356620833,-1.0972646867999472,-1.0962249150541872
30.01.2004,18.96,19.0,19.07,18.63,242400,19.0,-1.096437198572617,-1.0967582886090317,-1.096437198572617,-1.0985760454406048,-1.0975591084826075
02.02.2004,18.93,18.98,19.22,18.89,239000,18.98,-1.0967017401480539,-1.0971550185410295,-1.0967017401480539,-1.0966090074796182,-1.094090205568715
03.02.2004,18.98,18.91,19.18,18.87,173600,18.91,-1.0976276356620833,-1.0964938019876997,-1.0976276356620833,-1.0971335509358813,-1.0943570442543988
04.02.2004,18.82,18.66,18.98,18.61,167500,18.66,-1.1009344053550454,-1.0986096949583548,-1.1009344053550454,-1.0997562682171964,-1.0978259471682914
05.02.2004,18.61,18.86,19.17,18.59,287800,18.86,-1.0982889896006758,-1.1013868044823392,-1.0982889896006758,-1.0972646867999472,-1.0980927858539755
06.02.2004,18.91,19.15,19.37,18.91,299000,19.15,-1.0944531367568395,-1.0974195051623614,-1.0944531367568395,-1.0946419695186318,-1.0938233668830308
09.02.2004,19.19,19.0,19.2,19.0,228200,19.0,-1.096437198572617,-1.0937166924637154,-1.096437198572617,-1.0968712792077497,-1.0926225927974527
10.02.2004,19.01,19.16,19.16,18.91,582400,19.16,-1.0943208659691213,-1.096097072055702,-1.0943208659691213,-1.0973958226640128,-1.0938233668830308
11.02.2004,19.22,19.17,19.31,19.06,317200,19.17,-1.0941885951814025,-1.0933199625317176,-1.0941885951814025,-1.0954287847030264,-1.0918220767404005
12.02.2004,19.17,19.15,19.25,19.14,294900,19.15,-1.0944531367568395,-1.0939811790850473,-1.0944531367568395,-1.096215599887421,-1.0907547219976645
13.02.2004,19.16,19.22,19.31,19.13,294800,19.22,-1.0935272412428103,-1.0941134223957132,-1.0935272412428103,-1.0954287847030264,-1.0908881413405065
17.02.2004,19.25,19.37,19.47,19.12,238500,19.37,-1.091543179427033,-1.0929232325997198,-1.091543179427033,-1.0933306108779743,-1.0910215606833484
18.02.2004,19.37,19.3,19.45,19.18,270400,19.3,-1.0924690749410624,-1.0913363128717286,-1.0924690749410624,-1.0935928826061059,-1.0902210446262963
19.02.2004,19.41,19.38,19.63,19.38,283000,19.38,-1.0914109086393144,-1.0908073396290652,-1.0914109086393144,-1.0912324370529223,-1.087552657769456
20.02.2004,19.5,19.45,19.58,19.3,280700,19.45,-1.090485013125285,-1.0896171498330718,-1.090485013125285,-1.091888116373251,-1.088620012512192
23.02.2004,19.43,19.29,19.62,19.29,239100,19.29,-1.0926013457287809,-1.090542853007733,-1.0926013457287809,-1.091363572916988,-1.0887534318550343
24.02.2004,19.34,19.34,19.56,19.21,292600,19.34,-1.0919399917901884,-1.0917330428037264,-1.0919399917901884,-1.0921503881013825,-1.0898207865977703
25.02.2004,19.25,19.29,19.52,19.24,268800,19.29,-1.0926013457287809,-1.0929232325997198,-1.0926013457287809,-1.0926749315576456,-1.0894205285692444
26.02.2004,19.34,19.6,19.8,19.28,258900,19.6,-1.0885009513095079,-1.0917330428037264,-1.0885009513095079,-1.0890031273638043,-1.0888868511978762
27.02.2004,19.71,19.68,19.88,19.6,177800,19.68,-1.08744278500776,-1.0868400403090872,-1.08744278500776,-1.0879540404512782,-1.0846174322269317
01.03.2004,19.72,19.69,19.85,19.56,261100,19.69,-1.0873105142200414,-1.0867077969984213,-1.0873105142200414,-1.0883474480434756,-1.0851511095982997
02.03.2004,19.69,19.7,19.91,19.69,313100,19.7,-1.087178243432323,-1.0871045269304191,-1.087178243432323,-1.087560632859081,-1.0834166581413536
03.03.2004,19.77,20.17,20.23,19.77,325700,20.17,-1.080961516409554,-1.0860465804450918,-1.080961516409554,-1.0833642852089767,-1.0823493033986173
04.03.2004,20.08,20.29,20.33,20.04,149900,20.29,-1.0793742669569324,-1.081947037814448,-1.0793742669569324,-1.0820529265683192,-1.0787469811418828
05.03.2004,20.23,20.39,20.47,20.11,124400,20.39,-1.0780515590797475,-1.0799633881544592,-1.0780515590797475,-1.0802170244713984,-1.0778130457419888
08.03.2004,20.36,20.15,20.37,20.1,160200,20.15,-1.081226057984991,-1.0782442251158022,-1.081226057984991,-1.081528383112056,-1.0779464650848307
09.03.2004,20.15,19.94,20.15,19.75,224900,19.94,-1.0840037445270794,-1.0810213346397866,-1.0840037445270794,-1.0844133721215026,-1.0826161420843012
10.03.2004,19.99,19.58,20.02,19.54,127000,19.58,-1.0887654928849448,-1.0831372276104414,-1.0887654928849448,-1.0861181383543577,-1.0854179482839839
11.03.2004,19.58,19.03,19.58,18.98,395800,19.03,-1.0960403862094614,-1.0885592033477443,-1.0960403862094614,-1.091888116373251,-1.0928894314831368
12.03.2004,19.11,19.24,19.24,18.97,198500,19.24,-1.0932626996673733,-1.094774638949043,-1.0932626996673733,-1.096346735751487,-1.0930228508259787
15.03.2004,19.26,18.97,19.3,18.93,148300,18.97,-1.0968340109357724,-1.092790989289054,-1.0968340109357724,-1.0955599205670923,-1.0935565281973467
16.03.2004,19.05,19.23,19.31,19.05,152700,19.23,-1.0933949704550916,-1.0955680988130383,-1.0933949704550916,-1.0954287847030264,-1.0919554960832427
17.03.2004,19.41,19.7,19.8,19.41,181700,19.7,-1.087178243432323,-1.0908073396290652,-1.087178243432323,-1.0890031273638043,-1.08715239974093
18.03.2004,19.59,19.59,19.65,19.44,288300,19.59,-1.0886332220972263,-1.0884269600370784,-1.0886332220972263,-1.0909701653247905,-1.086752141712404
19.03.2004,19.53,19.5,19.77,19.49,138700,19.5,-1.0898236591866928,-1.089220419901074,-1.0898236591866928,-1.0893965349560015,-1.0860850449981938
22.03.2004,19.46,19.44,19.51,19.19,224300,19.44,-1.0906172839130035,-1.0901461230757352,-1.0906172839130035,-1.0928060674217113,-1.0900876252834544
23.03.2004,19.49,19.44,19.62,19.41,206100,19.44,-1.0906172839130035,-1.0897493931437376,-1.0906172839130035,-1.091363572916988,-1.08715239974093
24.03.2004,19.45,19.37,19.51,19.28,227400,19.37,-1.091543179427033,-1.0902783663864013,-1.091543179427033,-1.0928060674217113,-1.0888868511978762
25.03.2004,19.4,19.82,19.83,19.34,189300,19.82,-1.0855909939797013,-1.0909395829397308,-1.0855909939797013,-1.0886097197716071,-1.088086335140824
26.03.2004,19.71,19.69,19.79,19.64,225300,19.69,-1.0873105142200414,-1.0868400403090872,-1.0873105142200414,-1.0891342632278702,-1.0840837548555635
29.03.2004,19.69,19.92,19.99,19.69,204100,19.92,-1.0842682861025164,-1.0871045269304191,-1.0842682861025164,-1.0865115459465549,-1.0834166581413536
