Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
01.01.2014,4.39,4.39,4.39,4.39,0,4.39,-0.659742126203647,-0.6594780136347413,-0.659742126203647,-0.6797923558784038,-0.6321655575022529
02.01.2014,4.25,4.11,4.25,4.11,1300,4.11,-0.7877108891111513,-0.7235934459040361,-0.7877108891111513,-0.7430465828591304,-0.7623252944049858
03.01.2014,4.11,4.21,4.21,4.04,2705,4.21,-0.7420077595013284,-0.7877088781733307,-0.7420077595013284,-0.7611192191393381,-0.7948652286306692
06.01.2014,4.21,4.21,4.21,4.21,0,4.21,-0.7420077595013284,-0.7419121408381203,-0.7420077595013284,-0.7611192191393381,-0.7158396740825812
07.01.2014,4.46,4.46,4.46,4.46,316,4.46,-0.6277499354767707,-0.6274202975000939,-0.6277499354767707,-0.6481652423880402,-0.5996256232765694
08.01.2014,4.35,4.35,4.35,4.35,10,4.35,-0.6780233780475763,-0.6777967085688257,-0.6780233780475763,-0.6978649921586114,-0.6507598056312148
09.01.2014,4.35,4.35,4.35,4.35,126,4.35,-0.6780233780475763,-0.6777967085688257,-0.6780233780475763,-0.6978649921586114,-0.6507598056312148
10.01.2014,4.35,4.26,4.35,4.0,2852,4.26,-0.7191561946964169,-0.6777967085688257,-0.7191561946964169,-0.6978649921586114,-0.8134594767596312
13.01.2014,4.27,4.03,4.27,3.86,2433,4.03,-0.8242733927990098,-0.7144340984369941,-0.8242733927990098,-0.7340102647190268,-0.8785393452109979
14.01.2014,4.03,4.03,4.03,4.03,2433,4.03,-0.8242733927990098,-0.8243462680414991,-0.8242733927990098,-0.8424460824002724,-0.7995137906629096
15.01.2014,4.06,4.07,4.07,4.06,1700,4.07,-0.8059921409550805,-0.8106072468409362,-0.8059921409550805,-0.8243734461200647,-0.7855681045661885
16.01.2014,4.07,4.07,4.07,4.07,1700,4.07,-0.8059921409550805,-0.8060275731074149,-0.8059921409550805,-0.8243734461200647,-0.7809195425339477
17.01.2014,3.86,3.81,3.86,3.76,6274,3.81,-0.9248202779406206,-0.9022007215113572,-0.9248202779406206,-0.9192547865911551,-0.9250249655334026
20.01.2014,3.82,3.82,3.82,3.82,150,3.82,-0.9202499649796384,-0.9205194164454416,-0.9202499649796384,-0.9373274228713627,-0.8971335933399597
21.01.2014,3.81,3.81,3.81,3.81,910,3.81,-0.9248202779406206,-0.9250990901789624,-0.9248202779406206,-0.9418455819414145,-0.9017821553722001
22.01.2014,3.79,3.79,3.79,3.75,727,3.79,-0.9339609038625852,-0.9342584376460046,-0.9339609038625852,-0.9508819000815184,-0.9296735275656429
23.01.2014,3.79,3.54,3.82,3.54,6000,3.54,-1.0482187278871429,-0.9342584376460046,-1.0482187278871429,-0.9373274228713627,-1.0272933302426928
24.01.2014,3.79,4.0,4.0,3.79,850,4.0,-0.8379843316819567,-0.9342584376460046,-0.8379843316819567,-0.8560005596104282,-0.9110792794366811
27.01.2014,4.03,3.82,4.03,3.72,2105,3.82,-0.9202499649796384,-0.8243462680414991,-0.9202499649796384,-0.8424460824002724,-0.9436192136623642
28.01.2014,3.82,3.82,3.82,3.82,1500,3.82,-0.9202499649796384,-0.9205194164454416,-0.9202499649796384,-0.9373274228713627,-0.8971335933399597
29.01.2014,3.82,3.82,3.82,3.82,1500,3.82,-0.9202499649796384,-0.9205194164454416,-0.9202499649796384,-0.9373274228713627,-0.8971335933399597
30.01.2014,3.82,3.82,3.82,3.82,1500,3.82,-0.9202499649796384,-0.9205194164454416,-0.9202499649796384,-0.9373274228713627,-0.8971335933399597
31.01.2014,3.82,3.82,3.82,3.82,2000,3.82,-0.9202499649796384,-0.9205194164454416,-0.9202499649796384,-0.9373274228713627,-0.8971335933399597
03.02.2014,3.81,3.82,3.82,3.81,1000,3.82,-0.9202499649796384,-0.9250990901789624,-0.9202499649796384,-0.9373274228713627,-0.9017821553722001
04.02.2014,3.82,3.82,3.82,3.82,1000,3.82,-0.9202499649796384,-0.9205194164454416,-0.9202499649796384,-0.9373274228713627,-0.8971335933399597
05.02.2014,3.82,3.82,3.82,3.82,1000,3.82,-0.9202499649796384,-0.9205194164454416,-0.9202499649796384,-0.9373274228713627,-0.8971335933399597
06.02.2014,3.82,3.82,3.82,3.82,1000,3.82,-0.9202499649796384,-0.9205194164454416,-0.9202499649796384,-0.9373274228713627,-0.8971335933399597
07.02.2014,3.58,3.55,3.68,3.53,8578,3.55,-1.0436484149261607,-1.0304315860499467,-1.0436484149261607,-1.0005816498520894,-1.0319418922749335
10.02.2014,3.77,3.89,3.89,3.55,752,3.89,-0.8882577742527621,-0.9434177851130467,-0.8882577742527621,-0.9057003093809992,-1.0226447682104525
11.02.2014,3.75,3.69,3.75,3.62,4136,3.69,-0.9796640334724083,-0.9525771325800888,-0.9796640334724083,-0.9689545363617261,-0.990104833984769
