Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
05.01.2004,75.15,75.8,76.0,75.1,8943,75.8,0.00295067670853513,-0.02581019990309175,0.00295067670853513,-0.02377084772149757,0.005002974889736337
06.01.2004,75.9,75.67,76.0,75.2,8972,75.67,-0.0023239994665293045,0.00457659854678486,-0.0023239994665293045,-0.02377084772149757,0.009132832050177299
07.01.2004,75.4,74.04,75.45,73.5,7638,74.04,-0.06846032381541627,-0.015681267086466215,-0.06846032381541627,-0.04563728764578005,-0.061074739677313174
08.01.2004,73.95,75.13,75.25,73.9,4284,75.13,-0.02423419280910567,-0.07442907742289444,-0.02423419280910567,-0.053588720345519286,-0.0445553110355505
09.01.2004,75.13,74.17,75.49,74.15,7221,74.17,-0.06318564764035184,-0.02662051452842221,-0.06318564764035184,-0.04404700110583254,-0.03423066813444898
12.01.2004,74.25,74.26,74.7,73.1,4030,74.26,-0.05953394874992234,-0.062274358042943914,-0.05953394874992234,-0.07545516026980177,-0.07759416831907584
13.01.2004,73.9,74.31,74.4,73.8,4871,74.31,-0.057505227144128375,-0.07645486398621944,-0.057505227144128375,-0.08738230931941034,-0.04868516819599146
14.01.2004,74.3,73.57,74.4,73.5,10782,73.57,-0.08753030690988119,-0.06024857147961892,-0.08753030690988119,-0.08738230931941034,-0.061074739677313174
15.01.2004,73.0,74.49,75.1,72.3,4492,74.49,-0.05020182936326997,-0.1129190221260716,-0.05020182936326997,-0.05955229487032386,-0.1106330256026006
16.01.2004,75.0,74.72,75.1,74.05,8415,74.72,-0.04086970997661702,-0.031887559593067306,-0.04086970997661702,-0.05955229487032386,-0.03836052529488994
20.01.2004,74.6,75.27,75.3,73.35,7502,75.27,-0.01855377231288221,-0.04809385209966839,-0.01855377231288221,-0.05160086217058462,-0.06726952541797432
21.01.2004,75.27,75.66,75.8,75.1,4698,75.66,-0.0027297437876883292,-0.020948312151111884,-0.0027297437876883292,-0.03172228042123681,0.005002974889736337
22.01.2004,75.65,75.82,75.9,75.2,7113,75.82,0.0037621653508526022,-0.0055523342698406775,0.0037621653508526022,-0.027746564071366907,0.009132832050177299
23.01.2004,75.55,75.94,76.0,75.55,6559,75.94,0.00863109720475859,-0.009603907396491237,0.00863109720475859,-0.02377084772149757,0.023587332111719195
26.01.2004,75.99,75.64,76.18,75.0,13629,75.64,-0.0035412324300058014,0.008223014360769615,-0.0035412324300058014,-0.016614558291732088,0.0008731177292959625
27.01.2004,75.22,73.76,75.25,73.41,17625,73.76,-0.07982116480786318,-0.022974098714436876,-0.07982116480786318,-0.053588720345519286,-0.06479161112170986
28.01.2004,73.11,70.76,73.3,70.76,28471,70.76,-0.20154446115550825,-0.10846229168675639,-0.20154446115550825,-0.13111518916797585,-0.17423282587338565
29.01.2004,70.56,68.66,70.6,67.76,15191,68.66,-0.2867507685988601,-0.21177740641633674,-0.2867507685988601,-0.23845953061445416,-0.29812854068660394
30.01.2004,70.0,70.73,71.6,69.8,10753,70.73,-0.20276169411898473,-0.23446621592557804,-0.20276169411898473,-0.19870236711575853,-0.21387945461361582
02.02.2004,70.65,68.64,70.73,68.4,12170,68.64,-0.2875622572411776,-0.2081309906023514,-0.2875622572411776,-0.23329109935962333,-0.27169745485978397
03.02.2004,68.1,68.9,69.1,67.2,7103,68.9,-0.27701290489104813,-0.31144610533193234,-0.27701290489104813,-0.29809527586249757,-0.3212557407850714
04.02.2004,69.25,69.25,69.9,68.7,8769,69.25,-0.2628118536504898,-0.26485301437545467,-0.2628118536504898,-0.26628954506354063,-0.2593078833784623
05.02.2004,69.5,68.5,69.7,68.4,10308,68.5,-0.29324267773740104,-0.25472408155882914,-0.29324267773740104,-0.2742409777632799,-0.27169745485978397
06.02.2004,68.3,69.07,69.25,67.51,11741,69.07,-0.2701152514313488,-0.3033429590786318,-0.2701152514313488,-0.292131701337693,-0.30845318358770546
09.02.2004,68.7,67.96,69.2,67.8,12737,67.96,-0.3151528710799774,-0.28713666657203074,-0.3151528710799774,-0.2941195595126277,-0.296476597822428
10.02.2004,67.5,64.96,67.9,64.96,11720,64.96,-0.4368761674276225,-0.3357555440918334,-0.4368761674276225,-0.3458038720609319,-0.41376454117894146
11.02.2004,65.5,64.94,66.5,64.2,8865,64.94,-0.4376876560699399,-0.4167870066248377,-0.4376876560699399,-0.40146390095910595,-0.44515145559828967
12.02.2004,67.0,66.42,67.4,65.5,3735,66.42,-0.37763749653843487,-0.3560134097250845,-0.37763749653843487,-0.3656824538102797,-0.3914633125125619
13.02.2004,66.1,66.35,67.3,66.05,6163,66.35,-0.3804777067865469,-0.39247756786493665,-0.3804777067865469,-0.36965817016014957,-0.3687490981301387
17.02.2004,66.4,67.2,67.25,66.4,4492,67.2,-0.3459894394880471,-0.38032284848498554,-0.3459894394880471,-0.37164602833508426,-0.3542945980685962
18.02.2004,67.3,66.4,67.35,66.3,5734,66.4,-0.3784489851807524,-0.34385869034513394,-0.3784489851807524,-0.36767031198521494,-0.35842445522903715
19.02.2004,66.8,67.89,68.0,66.62,7146,67.89,-0.31799308132808884,-0.36411655597838505,-0.31799308132808884,-0.34182815571106256,-0.3452089123156269
20.02.2004,68.14,67.69,68.8,67.25,531,67.69,-0.3261079677512653,-0.30982547608127203,-0.3261079677512653,-0.31002242491210613,-0.31919081220485124
23.02.2004,67.8,68.7,68.85,67.8,502,68.7,-0.2851277913142246,-0.3236008247118829,-0.2851277913142246,-0.3080345667371715,-0.296476597822428
24.02.2004,69.0,69.0,70.0,68.5,47,69.0,-0.2729554616794602,-0.2749819471920802,-0.2729554616794602,-0.2623138287136713,-0.26756759769934363
25.02.2004,69.4,69.1,69.4,68.8,55,69.1,-0.26889801846787226,-0.2587756546854791,-0.26889801846787226,-0.28616812681288845,-0.25517802621802194
26.02.2004,68.35,71.5,71.6,68.35,40,71.5,-0.171519381389756,-0.3013171725153068,-0.171519381389756,-0.19870236711575853,-0.27376238344000475
27.02.2004,72.0,72.1,73.05,71.9,19,72.1,-0.14717472212022722,-0.15343475339257376,-0.14717472212022722,-0.14105448004264975,-0.1271524542443627
01.03.2004,71.65,71.75,72.05,71.65,7,71.75,-0.16137577336078557,-0.16761525933584928,-0.16137577336078557,-0.18081164354134538,-0.13747709714546422
02.03.2004,70.6,69.9,70.6,69.9,9,69.9,-0.23643847277516647,-0.210156777165677,-0.23643847277516647,-0.23845953061445416,-0.20974959745317487
03.03.2004,68.0,68.5,68.5,67.2,9,68.5,-0.29324267773740104,-0.31549767845858234,-0.29324267773740104,-0.32194957396171475,-0.3212557407850714
04.03.2004,68.05,67.6,68.05,67.6,10,67.6,-0.3297596666416948,-0.31347189189525737,-0.3297596666416948,-0.3398402975361279,-0.3047363121433093
05.03.2004,67.6,68.0,68.0,67.6,5,68.0,-0.3135298937953419,-0.33170397096518345,-0.3135298937953419,-0.34182815571106256,-0.3047363121433093
08.03.2004,65.75,65.75,65.75,65.75,0,65.75,-0.4048223660560757,-0.4066580738082122,-0.4048223660560757,-0.4312817735831277,-0.38113866961146037
09.03.2004,63.7,62.85,63.7,62.83,14955,62.85,-0.5224882191921325,-0.48971532290454145,-0.5224882191921325,-0.5127839587554536,-0.5017304986963262
10.03.2004,65.03,64.63,65.7,63.75,8377,64.63,-0.45026573002586334,-0.43582940032009365,-0.45026573002586334,-0.4332696317580624,-0.46373581282027254
11.03.2004,65.1,65.93,66.45,64.75,5357,65.93,-0.3975189682752167,-0.4329932991314388,-0.3975189682752167,-0.40345175913404063,-0.42243724121586645
12.03.2004,65.25,64.62,65.75,64.55,11276,64.62,-0.4506714743470218,-0.4269159394414632,-0.4506714743470218,-0.4312817735831277,-0.4306969555367478
15.03.2004,64.1,65.43,65.5,62.97,5173,65.43,-0.4178061843331575,-0.47350903039794096,-0.4178061843331575,-0.44122106445780157,-0.4959486986717093
16.03.2004,65.9,65.79,66.3,65.15,5477,65.79,-0.4031993887714402,-0.4005807141182366,-0.4031993887714402,-0.4094153336588452,-0.4059178125741038
17.03.2004,65.17,66.1,66.4,65.0,5889,66.1,-0.3906213148155173,-0.43015719794278334,-0.3906213148155173,-0.4054396173089753,-0.41211259831476493
18.03.2004,67.1,67.75,67.79,66.9,3911,67.75,-0.3236735018243123,-0.3519618365984345,-0.3236735018243123,-0.35017716004578836,-0.33364531226639316
19.03.2004,67.9,67.92,68.35,67.11,5348,67.92,-0.31677584836461237,-0.31954925158523234,-0.31677584836461237,-0.3279131484865193,-0.3249726122294681
22.03.2004,68.5,67.0,68.85,66.8,10536,67.0,-0.3541043259112236,-0.29523981282533124,-0.3541043259112236,-0.3080345667371715,-0.3377751694268341
23.03.2004,66.8,64.86,67.0,64.6,5763,64.86,-0.44093361063921044,-0.36411655597838505,-0.44093361063921044,-0.3815853192097582,-0.42863202695652763
24.03.2004,64.05,65.26,65.95,64.0,8186,65.26,-0.42470383779285753,-0.4755348169612659,-0.42470383779285753,-0.42333034088338845,-0.453411169919171
25.03.2004,65.0,64.2,65.8,63.76,5901,64.2,-0.4677127358356922,-0.4370448722580888,-0.4677127358356922,-0.429293915408193,-0.46332282710422856
26.03.2004,64.62,64.9,65.05,64.01,5740,64.9,-0.4393106333545749,-0.4524408501393594,-0.4393106333545749,-0.45911178803221475,-0.45299818420312676
29.03.2004,64.75,65.55,65.7,64.3,4874,65.55,-0.4129372524792521,-0.4471738050747143,-0.4129372524792521,-0.4332696317580624,-0.4410215984378493
30.03.2004,65.55,65.1,65.65,64.85,12235,65.1,-0.431195746931399,-0.4147612200615127,-0.431195746931399,-0.435257489932997,-0.41830738405542606
31.03.2004,63.55,62.1,64.45,62.1,15199,62.1,-0.5529190432790437,-0.49579268259451703,-0.5529190432790437,-0.4829660861314319,-0.5318784559675426
01.04.2004,61.4,61.53,62.45,60.3,6937,61.53,-0.5760464695850963,-0.5829015048174966,-0.5760464695850963,-0.5624804131288231,-0.6062158848554737
02.04.2004,61.9,62.62,63.15,61.72,6894,62.62,-0.5318203385787855,-0.5626436391842455,-0.5318203385787855,-0.5346503986797364,-0.547571913177217
05.04.2004,62.8,62.18,62.82,61.15,5815,62.18,-0.5496730887097733,-0.5261794810443936,-0.5496730887097733,-0.5477702626343058,-0.5711120989917284
06.04.2004,61.88,61.72,62.25,61.08,7892,61.72,-0.568337327483079,-0.5634539538095754,-0.568337327483079,-0.5704318458285623,-0.5740029990040368
07.04.2004,62.05,61.68,62.3,61.4,9808,61.68,-0.5699603047677142,-0.5565662794942702,-0.5699603047677142,-0.5684439876536277,-0.560787456090627
08.04.2004,62.2,61.71,62.75,61.7,11300,61.71,-0.5687430718042377,-0.5504889198042947,-0.5687430718042377,-0.5505532640792146,-0.5483978846093049
12.04.2004,61.5,58.76,61.7,58.71,13450,58.76,-0.6884376465460887,-0.5788499316908463,-0.6884376465460887,-0.5922982857528448,-0.6718806137064792
13.04.2004,58.95,57.37,59.0,56.76,13576,57.37,-0.7448361071871643,-0.6821650464204266,-0.7448361071871643,-0.6996426271993231,-0.7524128283350712
14.04.2004,57.9,60.37,60.37,57.9,11619,60.37,-0.6231128108395193,-0.724706564250254,-0.6231128108395193,-0.6451753132061102,-0.7053324567060483
15.04.2004,61.9,61.4,62.3,60.9,11626,61.4,-0.581321145760161,-0.5626436391842455,-0.581321145760161,-0.5684439876536277,-0.58143674189283
16.04.2004,61.8,61.99,62.9,61.6,5976,61.99,-0.5573822308117907,-0.5666952123108958,-0.5573822308117907,-0.5445896895544102,-0.5525277417697456
19.04.2004,62.0,62.21,62.5,61.4,3695,62.21,-0.5484558557462968,-0.5585920660575953,-0.5484558557462968,-0.5604925549538885,-0.560787456090627
20.04.2004,61.75,61.5,61.85,61.1,7142,61.5,-0.5772637025485728,-0.5687209988742208,-0.5772637025485728,-0.5863347112280406,-0.5731770275719487
21.04.2004,61.6,63.45,63.97,61.05,3431,63.45,-0.49814355992260345,-0.574798358564196,-0.49814355992260345,-0.502049524610806,-0.5752419561521691
22.04.2004,64.4,64.48,64.55,62.4,2294,64.48,-0.4563518948432453,-0.46135431101798985,-0.4563518948432453,-0.47899036978156256,-0.5194888844862209
23.04.2004,64.6,63.95,65.0,63.5,932,63.95,-0.4778563438646626,-0.45325116476468985,-0.4778563438646626,-0.4610996462071494,-0.47406045572137406
26.04.2004,64.7,64.18,65.9,64.1,332,64.18,-0.4685242244780097,-0.4491995916380393,-0.4685242244780097,-0.42531819905832313,-0.4492813127587307
27.04.2004,63.2,64.85,64.9,63.2,134,64.85,-0.4413393549603694,-0.5099731885377925,-0.4413393549603694,-0.46507536255701876,-0.48645002720269576
28.04.2004,65.5,60.0,65.5,57.0,50,60.0,-0.6381253507223954,-0.4167870066248377,-0.6381253507223954,-0.44122106445780157,-0.7425011711500137
29.04.2004,59.85,60.32,61.0,58.5,6,60.32,-0.6251415324453132,-0.6457008882805748,-0.6251415324453132,-0.6201283002019319,-0.6805533137434046
30.04.2004,61.25,59.5,61.25,59.5,11,59.5,-0.6584125667803362,-0.5889788645074718,-0.6584125667803362,-0.610189009327258,-0.6392547421389985
03.05.2004,61.2,61.5,61.5,61.0,20,61.5,-0.5772637025485728,-0.5910046510707968,-0.5772637025485728,-0.6002497184525841,-0.5773068847323893
04.05.2004,60.8,60.6,60.8,60.6,8,60.6,-0.6137806914528663,-0.6072109435773979,-0.6137806914528663,-0.6280797329016711,-0.5938263133741517
05.05.2004,60.5,61.93,61.93,60.15,0,61.93,-0.5598166967387438,-0.6193656629573484,-0.5598166967387438,-0.583154138148145,-0.6124106705961345
06.05.2004,61.93,63.75,63.75,61.93,14573,63.75,-0.48597123028783906,-0.5614281672462503,-0.48597123028783906,-0.5107961005805189,-0.5388992131402917
07.05.2004,62.75,64.75,64.75,62.6,10614,64.75,-0.4453967981719574,-0.5282052676077186,-0.4453967981719574,-0.4710389370818233,-0.5112291701653395
10.05.2004,65.5,64.54,65.75,64.3,6849,64.54,-0.4539174289162923,-0.4167870066248377,-0.4539174289162923,-0.4312817735831277,-0.4410215984378493
11.05.2004,64.7,64.15,64.7,62.4,5371,64.15,-0.46974145744148615,-0.4491995916380393,-0.46974145744148615,-0.473026795256758,-0.5194888844862209
12.05.2004,63.9,63.15,64.25,62.1,8530,63.15,-0.5103158895573682,-0.4816121766512412,-0.5103158895573682,-0.49091751883117113,-0.5318784559675426
13.05.2004,63.76,65.34,65.6,63.2,9601,65.34,-0.421457883223587,-0.48728437902855154,-0.421457883223587,-0.43724534810793225,-0.48645002720269576
14.05.2004,65.5,64.97,66.19,63.65,5232,64.97,-0.43647042310646345,-0.4167870066248377,-0.43647042310646345,-0.4137886216437017,-0.4678656699807132
17.05.2004,64.5,64.21,64.5,63.5,6808,64.21,-0.46730699151453375,-0.45730273789133985,-0.46730699151453375,-0.4809782279564972,-0.47406045572137406
18.05.2004,63.9,62.94,64.7,62.65,6330,62.94,-0.5188365203017034,-0.4816121766512412,-0.5188365203017034,-0.473026795256758,-0.5091642415851193
