Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
05.01.2004,32.4,33.78,33.95,32.27,105704,33.78,-1.6606695264348381,-1.7257091647251335,-1.6606695264348381,-1.6897188224518807,-1.6942032320534315
06.01.2004,33.76,33.7,34.35,33.3,103405,33.7,-1.6642939611897156,-1.6640296958715344,-1.6642939611897156,-1.6717342568721008,-1.6470554388879397
07.01.2004,33.68,33.62,33.89,33.05,81675,33.62,-1.6679183959445936,-1.6676578999217462,-1.6679183959445936,-1.692416507288848,-1.6584990780057776
08.01.2004,33.65,33.98,34.0,33.4,92709,33.98,-1.6516084395476442,-1.6690184764405755,-1.6516084395476442,-1.6874707517544083,-1.6424779832408045
09.01.2004,34.13,34.31,34.7,34.05,104687,34.31,-1.6366576461837739,-1.647249252139305,-1.6366576461837739,-1.655997761989793,-1.6127245215344264
12.01.2004,34.35,34.72,34.82,33.75,99677,34.72,-1.6180824180650262,-1.6372716910012228,-1.6180824180650262,-1.650602392315859,-1.6264568884758315
13.01.2004,34.8,34.43,35.2,34.34,120128,34.43,-1.6312209940514575,-1.6168630432187823,-1.6312209940514575,-1.6335170550150677,-1.599449900157734
14.01.2004,34.3,34.5,34.74,34.12,126272,34.5,-1.6280496136409395,-1.6395393185326055,-1.6280496136409395,-1.654199305431815,-1.6095203025814317
15.01.2004,34.57,33.44,35.41,33.27,102443,33.44,-1.6760733741430682,-1.6272941298631407,-1.6760733741430682,-1.6240751580856834,-1.64842867558208
16.01.2004,33.5,35.07,35.3,33.4,60351,35.07,-1.6022255160124363,-1.6758213590347224,-1.6022255160124363,-1.629020913620123,-1.6424779832408045
20.01.2004,34.92,36.2,36.37,34.92,127162,36.2,-1.5510303750997898,-1.6114207371434643,-1.5510303750997898,-1.5809122006942111,-1.5729006574043505
21.01.2004,34.79,34.58,34.98,34.28,88518,34.58,-1.624425178886062,-1.6173165687250586,-1.624425178886062,-1.643408566083947,-1.6021963735460152
22.01.2004,34.59,34.93,34.95,33.75,117574,34.93,-1.6085682768334724,-1.6263870788505876,-1.6085682768334724,-1.6447574085024304,-1.6264568884758315
23.01.2004,34.97,34.94,35.25,34.65,100558,34.94,-1.6081152224891127,-1.6091531096120821,-1.6081152224891127,-1.6312689843175954,-1.5852597876516155
26.01.2004,34.79,34.47,34.79,34.17,75617,34.47,-1.6294087766740186,-1.6173165687250586,-1.6294087766740186,-1.6519512347343426,-1.6072315747578638
27.01.2004,34.45,34.12,34.98,33.9,85977,34.12,-1.6452656787266084,-1.6327364359384582,-1.6452656787266084,-1.643408566083947,-1.619590705005129
28.01.2004,34.14,33.62,34.63,33.35,102307,33.62,-1.6679183959445936,-1.6467957266330286,-1.6679183959445936,-1.6591450609662546,-1.644766711064372
29.01.2004,33.62,32.81,33.8,32.41,112227,32.81,-1.7046157978377294,-1.670379052959405,-1.7046157978377294,-1.6964630345442986,-1.6877947941474425
30.01.2004,32.87,33.05,33.35,32.71,96096,33.05,-1.6937424935730967,-1.7043934659301399,-1.6937424935730967,-1.716695670821551,-1.674062427206037
02.02.2004,33.2,34.98,35.1,32.56,114741,34.98,-1.6063030051116738,-1.6894271242230163,-1.6063030051116738,-1.6380131964100129,-1.6809286106767396
03.02.2004,34.85,34.1,35.19,34.07,96805,34.1,-1.6461717874153277,-1.6145954156873996,-1.6461717874153277,-1.6339666691545625,-1.611809030404999
04.02.2004,34.09,33.1,34.45,32.95,103750,33.1,-1.6914772218512981,-1.6490633541644109,-1.6914772218512981,-1.6672381154771556,-1.6630765336529125
05.02.2004,33.19,33.08,33.3,32.2,114237,33.08,-1.6923833305400175,-1.6898806497292929,-1.6923833305400175,-1.7189437415190238,-1.697407451006426
06.02.2004,33.11,32.48,33.44,32.32,85112,32.48,-1.7195665912015998,-1.6935088537795047,-1.7195665912015998,-1.7126491435661007,-1.691914504229864
09.02.2004,32.35,32.83,33.0,32.25,73771,32.83,-1.7037096891490102,-1.7279767922565157,-1.7037096891490102,-1.7324321657038588,-1.6951187231828586
10.02.2004,32.9,33.87,34.28,32.82,99999,33.87,-1.656592037335601,-1.7030328894113103,-1.656592037335601,-1.6748815558485621,-1.6690272259941883
11.02.2004,34.0,34.0,34.4,33.3,100720,34.0,-1.6507023308589248,-1.6531450837208992,-1.6507023308589248,-1.6694861861746282,-1.6470554388879397
12.02.2004,34.0,33.98,34.25,33.65,86634,33.98,-1.6516084395476442,-1.6531450837208992,-1.6516084395476442,-1.6762303982670457,-1.6310343441229667
13.02.2004,33.96,34.56,34.65,33.95,86634,34.56,-1.6253312875747812,-1.654959185746005,-1.6253312875747812,-1.6582458326872658,-1.617301977181561
