Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,1204.3,1225.0,1227.3,1204.3,209,1225.0,-0.9109917865879942,-0.9697808056622478,-0.9109917865879942,-0.9198801644344193,-0.9545858192668377
03.01.2014,1221.7,1238.4,1239.0,1221.7,142,1238.4,-0.8730634956735203,-0.9204996581815689,-0.8730634956735203,-0.886943460277851,-0.905041060474747
06.01.2014,1232.8,1237.8,1247.0,1221.9,127,1237.8,-0.8747617773562583,-0.8890616847887224,-0.8747617773562583,-0.8644226369229324,-0.9044715804886309
07.01.2014,1239.3,1229.4,1242.4,1226.3,73,1229.4,-0.8985377209145847,-0.8706520607298481,-0.8985377209145847,-0.8773721103520103,-0.8919430207940796
08.01.2014,1227.5,1225.3,1227.5,1218.6,189,1225.3,-0.9101426457466255,-0.9040726090213428,-0.9101426457466255,-0.9193171438505462,-0.9138680002595451
09.01.2014,1225.8,1229.3,1229.3,1225.8,7,1229.3,-0.8988207678617081,-0.9088874337752023,-0.8988207678617081,-0.9142499585956897,-0.8933667207593695
10.01.2014,1235.0,1246.7,1246.8,1234.0,58,1246.7,-0.8495705990623166,-0.8828307351072571,-0.8495705990623166,-0.8649856575068056,-0.8700180413286142
13.01.2014,1250.6,1250.9,1252.7,1245.5,46,1250.9,-0.837682627283153,-0.8386476373659592,-0.837682627283153,-0.848376550282553,-0.8372729421269451
14.01.2014,1251.0,1245.2,1251.3,1242.0,37,1245.2,-0.8538163032691607,-0.8375147374238744,-0.8538163032691607,-0.852317694369664,-0.8472388418839749
15.01.2014,1243.1,1238.1,1243.2,1238.1,68,1238.1,-0.8739126365148896,-0.8598895112800449,-0.8739126365148896,-0.8751200280165187,-0.8583437016132368
16.01.2014,1239.3,1240.0,1242.8,1239.0,48,1240.0,-0.8685347445195536,-0.8706520607298481,-0.8685347445195536,-0.8762460691842648,-0.8557810416757146
17.01.2014,1239.7,1251.7,1254.3,1239.7,101,1251.7,-0.8354182517061697,-0.8695191607877633,-0.8354182517061697,-0.8438723856115695,-0.8537878617243085
21.01.2014,1256.4,1242.3,1257.5,1240.0,224,1242.3,-0.8620246647357261,-0.8222205882057324,-0.8620246647357261,-0.834864056269602,-0.8529336417451346
22.01.2014,1241.7,1239.0,1242.0,1239.0,58,1239.0,-0.8713652139907829,-0.8638546610773404,-0.8713652139907829,-0.8784981515197565,-0.8557810416757146
23.01.2014,1235.2,1262.6,1264.2,1235.2,40,1262.6,-0.8045661344697699,-0.8822642851362147,-0.8045661344697699,-0.8160028667098577,-0.8666011614119181
24.01.2014,1258.3,1264.5,1269.4,1258.3,38,1264.5,-0.7991882424744338,-0.8168393134808312,-0.7991882424744338,-0.8013643315291605,-0.8008262230155224
27.01.2014,1259.8,1263.6,1264.4,1254.4,92,1263.6,-0.8017356649985404,-0.812590938698014,-0.8017356649985404,-0.8154398461259845,-0.8119310827447836
28.01.2014,1257.9,1251.0,1258.4,1251.0,20,1251.0,-0.8373995803360303,-0.8179722134229154,-0.8373995803360303,-0.8323304636421734,-0.8216122425087556
29.01.2014,1262.2,1262.2,1262.2,1262.2,137028,1262.2,-0.8056983222582612,-0.8057935390455063,-0.8056983222582612,-0.8216330725485873,-0.7897213632862605
30.01.2014,1267.0,1242.2,1267.7,1237.5,45276,1242.2,-0.8623077116828488,-0.7921987397404917,-0.8623077116828488,-0.8061500064920808,-0.8600521415715845
31.01.2014,1243.6,1240.1,1254.5,1238.4,5820,1240.1,-0.8682516975724308,-0.8584733863524392,-0.8682516975724308,-0.8433093650276964,-0.8574894816340622
