Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,729.35,729.35,729.35,729.35,0,729.35,-0.9325028137926022,-0.9318345978516531,-0.9325028137926022,-0.9341285985274097,-0.9301711507458021
03.01.2014,730.3,730.3,730.3,730.3,0,730.3,-0.9310201011874155,-0.9303557317948442,-0.9310201011874155,-0.9326515786236508,-0.9286865015093119
06.01.2014,737.6,737.6,737.6,737.6,0,737.6,-0.9196266253791383,-0.9189918136741018,-0.9196266253791383,-0.9213018467316072,-0.9172781442183852
07.01.2014,740.8,740.8,740.8,740.8,0,740.8,-0.9146322250248251,-0.9140103701143244,-0.9146322250248251,-0.9163266217926292,-0.9122772204744174
08.01.2014,737.4,737.4,737.4,737.4,0,737.4,-0.9199387754012829,-0.9193031538965879,-0.9199387754012829,-0.9216127982902933,-0.9175907019523832
09.01.2014,735.6,735.6,735.6,735.6,0,735.6,-0.9227481256005841,-0.9221052158989627,-0.9227481256005841,-0.9244113623184684,-0.920403721558365
10.01.2014,745.15,745.15,745.15,745.15,0,745.15,-0.9078429620431805,-0.9072387202752518,-0.9078429620431805,-0.909563425391206,-0.9054790897599612
13.01.2014,739.1,739.1,739.1,739.1,0,739.1,-0.9172855002130539,-0.9166567620054561,-0.9172855002130539,-0.9189697100414612,-0.9149339612134002
14.01.2014,738.0,738.0,738.0,738.0,0,738.0,-0.9190023253348492,-0.9183691332291296,-0.9190023253348492,-0.920679943614235,-0.9166530287503892
15.01.2014,743.1,743.1,743.1,743.1,0,743.1,-0.9110424997701623,-0.9104299575557342,-0.9110424997701623,-0.9127506788677388,-0.9086828065334405
16.01.2014,743.0,743.0,743.0,743.0,0,743.0,-0.9111985747812347,-0.9105856276669773,-0.9111985747812347,-0.9129061546470818,-0.9088390854004395
17.01.2014,747.65,747.65,747.65,747.65,0,747.65,-0.9039410867663732,-0.9033469674941756,-0.9039410867663732,-0.9056765309076296,-0.9015721180849863
21.01.2014,747.15,747.15,747.15,747.15,0,747.15,-0.9047214618217346,-0.9041253180503909,-0.9047214618217346,-0.9064539098043448,-0.9023535124199813
22.01.2014,747.95,747.95,747.95,747.95,0,747.95,-0.9034728617331562,-0.9028799571604464,-0.9034728617331562,-0.9052101035696002,-0.9011032814839892
23.01.2014,745.0,745.0,745.0,745.0,0,745.0,-0.9080770745597888,-0.9074722254421164,-0.9080770745597888,-0.9097966390602206,-0.9057135080604596
24.01.2014,733.9,733.9,733.9,733.9,0,733.9,-0.9254014007888131,-0.9247516077900946,-0.9254014007888131,-0.9270544505673005,-0.923060462297348
27.01.2014,721.65,721.65,721.65,721.65,0,721.65,-0.9445205896451686,-0.9438211964173677,-0.9445205896451686,-0.9461002335368256,-0.9422046235047248
28.01.2014,715.6,715.6,715.6,715.6,0,715.6,-0.9539631278150421,-0.953239238147572,-0.9539631278150421,-0.9555065181870808,-0.9516594949581638
