Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,2.79,2.69,2.8,2.69,45070,2.69,1.125928562879831,1.2906473936915395,1.125928562879831,1.241389142509048,1.1993882430850749
03.01.2014,2.7,2.65,2.71,2.65,45556,2.65,1.060742622125261,1.1437464511775897,1.060742622125261,1.096179383073468,1.1331405576327518
06.01.2014,2.65,2.65,2.67,2.64,49807,2.65,1.060742622125261,1.062134816447617,1.060742622125261,1.0316417122132102,1.1165786362696715
07.01.2014,2.66,2.68,2.69,2.66,55907,2.68,1.109632077691189,1.0784571433936119,1.109632077691189,1.0639105476433393,1.149702478995833
08.01.2014,2.67,2.66,2.68,2.65,53498,2.66,1.0770391073139038,1.094779470339606,1.0770391073139038,1.047776129928275,1.1331405576327518
09.01.2014,2.67,2.64,2.69,2.63,46693,2.64,1.0444461369366187,1.094779470339606,1.0444461369366187,1.0639105476433393,1.1000167149065905
10.01.2014,2.64,2.67,2.68,2.63,48853,2.67,1.093335592502546,1.045812489501623,1.093335592502546,1.047776129928275,1.1000167149065905
13.01.2014,2.68,2.63,2.68,2.62,53530,2.63,1.0281496517479758,1.1111017972856008,1.0281496517479758,1.047776129928275,1.0834547935435102
14.01.2014,2.63,2.62,2.64,2.6,46256,2.62,1.0118531665593336,1.029490162555628,1.0118531665593336,0.9832384590680171,1.0503309508173486
15.01.2014,2.61,2.63,2.64,2.6,42084,2.63,1.0281496517479758,0.9968455086636393,1.0281496517479758,0.9832384590680171,1.0503309508173486
16.01.2014,2.62,2.6,2.63,2.59,62722,2.6,0.9792601961820484,1.013167835609634,0.9792601961820484,0.9671040413529522,1.0337690294542676
17.01.2014,2.59,2.62,2.64,2.59,41834,2.62,1.0118531665593336,0.9642008547716504,1.0118531665593336,0.9832384590680171,1.0337690294542676
21.01.2014,2.62,2.62,2.67,2.61,38845,2.62,1.0118531665593336,1.013167835609634,1.0118531665593336,1.0316417122132102,1.066892872180429
22.01.2014,2.63,2.68,2.68,2.62,27697,2.68,1.109632077691189,1.029490162555628,1.109632077691189,1.047776129928275,1.0834547935435102
23.01.2014,2.67,2.66,2.67,2.66,24389,2.66,1.0770391073139038,1.094779470339606,1.0770391073139038,1.0316417122132102,1.149702478995833
24.01.2014,2.66,2.66,2.67,2.64,23858,2.66,1.0770391073139038,1.0784571433936119,1.0770391073139038,1.0316417122132102,1.1165786362696715
27.01.2014,2.66,2.62,2.67,2.61,24974,2.62,1.0118531665593336,1.0784571433936119,1.0118531665593336,1.0316417122132102,1.066892872180429
28.01.2014,2.63,2.63,2.65,2.62,20116,2.63,1.0281496517479758,1.029490162555628,1.0281496517479758,0.9993728767830813,1.0834547935435102
29.01.2014,2.63,2.66,2.66,2.62,17692,2.66,1.0770391073139038,1.029490162555628,1.0770391073139038,1.015507294498146,1.0834547935435102
30.01.2014,2.66,2.66,2.69,2.65,22302,2.66,1.0770391073139038,1.0784571433936119,1.0770391073139038,1.0639105476433393,1.1331405576327518
31.01.2014,2.68,2.63,2.68,2.62,54950,2.63,1.0281496517479758,1.1111017972856008,1.0281496517479758,1.047776129928275,1.0834547935435102
03.02.2014,2.64,2.61,2.64,2.59,53483,2.61,0.9955566813706906,1.045812489501623,0.9955566813706906,0.9832384590680171,1.0337690294542676
04.02.2014,2.61,2.6,2.62,2.6,45723,2.6,0.9792601961820484,0.9968455086636393,0.9792601961820484,0.9509696236378882,1.0503309508173486
