Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
05.01.2004,6.2,6.23,6.23,6.15,5,6.23,-1.7141317018526885,-1.7179062089109398,-1.7141317018526885,-1.7108222574777368,-1.7281015189919104
06.01.2004,6.3,6.32,6.32,6.26,9,6.32,-1.7019095691637967,-1.7043365899602336,-1.7019095691637967,-1.6987554690393345,-1.7129739940044317
07.01.2004,6.25,6.25,6.25,6.25,9,6.25,-1.7114156723662681,-1.7111213994355867,-1.7114156723662681,-1.7081407489358698,-1.7143492235487479
08.01.2004,6.24,6.26,6.26,6.24,2,6.26,-1.710057657623058,-1.7124783613306573,-1.710057657623058,-1.7067999946649361,-1.715724453093064
09.01.2004,6.49,6.49,6.49,6.49,30,6.49,-1.6788233185292236,-1.6785543139538919,-1.6788233185292236,-1.6759626464334634,-1.6813437144851577
12.01.2004,6.66,6.61,6.67,6.61,2,6.61,-1.6625271416107013,-1.6554859617376916,-1.6625271416107013,-1.6518290695566589,-1.664840959953363
13.01.2004,6.51,6.59,6.59,6.51,7,6.59,-1.6652431710971216,-1.6758403901637509,-1.6652431710971216,-1.6625551037241275,-1.6785932553965253
14.01.2004,6.42,6.42,6.42,6.42,126,6.42,-1.6883294217316949,-1.6880530472193862,-1.6883294217316949,-1.6853479263299986,-1.6909703212953715
15.01.2004,6.25,6.2,6.25,6.2,6,6.2,-1.7182057460823192,-1.7111213994355867,-1.7182057460823192,-1.7081407489358698,-1.7212253712703292
16.01.2004,6.32,6.32,6.32,6.32,6,6.32,-1.7019095691637967,-1.7016226661700924,-1.7019095691637967,-1.6987554690393345,-1.704722616738534
20.01.2004,6.36,6.32,6.36,6.32,3,6.32,-1.7019095691637967,-1.6961948185898101,-1.7019095691637967,-1.6933924519556003,-1.704722616738534
21.01.2004,6.2,6.2,6.2,6.2,3,6.2,-1.7182057460823192,-1.7179062089109398,-1.7182057460823192,-1.7148445202905378,-1.7212253712703292
22.01.2004,6.28,6.34,6.34,6.28,40,6.34,-1.6991935396773765,-1.7070505137503746,-1.6991935396773765,-1.6960739604974673,-1.710223534915799
23.01.2004,6.32,6.36,6.36,6.26,156,6.36,-1.6964775101909562,-1.7016226661700924,-1.6964775101909562,-1.6933924519556003,-1.7129739940044317
