Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,10452.74,10409.85,10527.03,10384.3,168890000,10409.85,-0.9679208356634892,-0.9629321015196232,-0.9679208356634892,-0.9620510695691081,-0.9629504306182085
05.01.2004,10411.85,10544.07,10544.07,10411.85,221290000,10544.07,-0.9531843296827791,-0.9674221620925294,-0.9531843296827791,-0.9601886109616081,-0.9599103256066526
06.01.2004,10543.85,10538.66,10549.18,10499.85,191460000,10538.66,-0.9537783134210867,-0.9529274691205647,-0.9537783134210867,-0.959630091977786,-0.9501996453519552
07.01.2004,10535.46,10529.03,10539.46,10466.29,225490000,10529.03,-0.9548356264340074,-0.9538487605905253,-0.9548356264340074,-0.9606924803384025,-0.9539029456854511
08.01.2004,10530.07,10592.44,10592.59,10530.07,237770000,10592.44,-0.9478736100114413,-0.9544406272202137,-0.9478736100114413,-0.954885413095651,-0.9468649094735808
09.01.2004,10589.25,10458.89,10589.25,10448.67,223250000,10458.89,-0.9625365542352817,-0.9479421732044495,-0.9625365542352817,-0.9552504724705952,-0.9558472887091758
12.01.2004,10461.55,10485.18,10491.63,10444.15,197960000,10485.18,-0.9596500787306409,-0.9619646905720246,-0.9596500787306409,-0.9659202617466615,-0.9563460645586217
13.01.2004,10485.18,10427.18,10509.85,10367.41,197310000,10427.18,-0.9660181114148996,-0.9593699209134826,-0.9660181114148996,-0.963928830066576,-0.9648142191352749
14.01.2004,10428.67,10538.37,10548.51,10428.67,186280000,10538.37,-0.9538101535845078,-0.9655751868214049,-0.9538101535845078,-0.959703322451203,-0.9580542614943344
15.01.2004,10534.52,10553.85,10592.74,10477.18,260090000,10553.85,-0.9521105476198127,-0.9539519803738103,-0.9521105476198127,-0.9548690182135428,-0.9527012490039324
16.01.2004,10556.37,10600.51,10600.74,10542.52,254170000,10600.51,-0.9469875751189937,-0.9515526694538298,-0.9469875751189937,-0.9539946245011014,-0.9454910689148195
20.01.2004,10601.4,10528.66,10616.96,10519.49,224300000,10528.66,-0.9548762500907865,-0.9466080026013483,-0.9548762500907865,-0.9522217912491265,-0.9480323980769296
21.01.2004,10522.77,10623.62,10643.55,10490.96,214920000,10623.62,-0.9444502434753175,-0.9552422276648753,-0.9444502434753175,-0.9493155251473995,-0.9511806447549582
22.01.2004,10624.22,10623.18,10660.88,10607.4,219720000,10623.18,-0.9444985526887842,-0.9441021776496799,-0.9444985526887842,-0.9474213697678233,-0.9383316491997654
23.01.2004,10625.25,10568.29,10643.48,10523.85,234260000,10568.29,-0.9505251270687662,-0.9439890751211865,-0.9505251270687662,-0.9493231760923833,-0.947551278009765
26.01.2004,10568.0,10702.51,10705.18,10561.85,186170000,10702.51,-0.935788621088056,-0.9502755991563757,-0.935788621088056,-0.9425794145851789,-0.9433580297179639
27.01.2004,10701.1,10609.92,10701.77,10609.92,206560000,10609.92,-0.9459544167128062,-0.9356601170763111,-0.9459544167128062,-0.942952124905107,-0.9380535706288354
28.01.2004,10610.07,10468.37,10658.43,10437.78,247660000,10468.37,-0.9614957102724062,-0.9456559648129624,-0.9614957102724062,-0.9476891528422583,-0.9570489853906946
29.01.2004,10467.41,10510.29,10522.59,10417.85,273970000,10510.29,-0.9568931597530248,-0.9613212140506934,-0.9568931597530248,-0.9625363580795132,-0.959248233771105
30.01.2004,10510.22,10488.07,10510.81,10438.96,208990000,10488.07,-0.9593327750330978,-0.9566203215800131,-0.9593327750330978,-0.9638239028210832,-0.9569187739963704
02.02.2004,10487.78,10499.18,10568.96,10434.67,224800000,10499.18,-0.9581129673930613,-0.9590844193852469,-0.9581129673930613,-0.9574681535237749,-0.9573921696587868
03.02.2004,10499.48,10505.18,10528.96,10457.11,183810000,10505.18,-0.9574542053912414,-0.9577996625081865,-0.9574542053912414,-0.9618401220859818,-0.9549159461938389
04.02.2004,10503.11,10470.74,10524.22,10447.18,227760000,10470.74,-0.9612354992816875,-0.9574010584514574,-0.9612354992816875,-0.9623582003606033,-0.9560117081816701
05.02.2004,10469.33,10495.55,10522.52,10453.55,187810000,10495.55,-0.9585115184041624,-0.9611103821529193,-0.9585115184041624,-0.962544009024497,-0.9553087873495972
06.02.2004,10494.89,10593.03,10593.4,10464.52,182880000,10593.03,-0.947808831747929,-0.9583036825138026,-0.947808831747929,-0.9547968807322663,-0.9540982627769377
09.02.2004,10592.0,10579.03,10618.51,10564.44,160720000,10579.03,-0.9493459430855087,-0.9476402004342003,-0.9493459430855087,-0.9520523774673408,-0.9430722267422859
10.02.2004,10578.74,10613.85,10626.66,10559.26,160590000,10613.85,-0.9455229276016142,-0.9490962582282022,-0.9455229276016142,-0.9511615888727912,-0.9436438326936419
11.02.2004,10605.48,10737.7,10746.88,10572.59,277850000,10737.7,-0.9319249819473826,-0.9461599848185784,-0.9319249819473826,-0.9380216373590783,-0.9421728853323338
12.02.2004,10735.18,10694.07,10735.29,10688.36,197560000,10694.07,-0.9367152796372827,-0.9319178508908221,-0.9367152796372827,-0.9392884152499776,-0.9293978233654437
13.02.2004,10696.22,10627.85,10734.69,10604.14,244990000,10627.85,-0.9439858162640344,-0.9361959814831536,-0.9439858162640344,-0.9393539947784108,-0.9386913857637463
17.02.2004,10628.88,10714.88,10735.25,10628.74,169730000,10714.88,-0.9344304734276376,-0.9435904710644575,-0.9344304734276376,-0.9392927872185399,-0.9359768092380013
18.02.2004,10706.68,10671.99,10720.51,10646.96,164370000,10671.99,-0.9391395238039798,-0.9350473868734054,-0.9391395238039798,-0.9409038576337131,-0.933966257030722
