Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,4476.9,4510.2,4518.0,4476.9,578018400,4510.2,-1.8019479427445773,-1.8342995034685425,-1.8019479427445773,-1.8361743021025922,-1.790230925164679
05.01.2004,4510.2,4513.3,4515.2,4494.9,1405558400,4513.3,-1.7988762067734174,-1.8013019704943711,-1.7988762067734174,-1.8389543815540914,-1.772442774837877
06.01.2004,4513.3,4505.2,4522.9,4489.9,2059454200,4505.2,-1.8069023556012858,-1.7982301280853639,-1.8069023556012858,-1.8313091630624694,-1.7773839277064332
07.01.2004,4505.2,4473.0,4512.1,4466.2,2138137700,4473.0,-1.8388087743984893,-1.8062565550250276,-1.8388087743984893,-1.8420323266611078,-1.8008049923033889
08.01.2004,4473.0,4494.2,4520.1,4473.0,2147189600,4494.2,-1.8178020638860448,-1.838164079402454,-1.8178020638860448,-1.8340892425139677,-1.7940850244021525
09.01.2004,4494.2,4466.3,4495.8,4445.1,2147016700,4466.3,-1.8454476876264787,-1.8171566409924715,-1.8454476876264787,-1.8582163606109057,-1.821656657408695
12.01.2004,4466.3,4449.6,4466.3,4443.4,1758017200,4449.6,-1.8619954265678853,-1.8448032226735334,-1.8619954265678853,-1.8875064834034845,-1.8233366493840049
13.01.2004,4449.6,4440.1,4477.9,4436.6,1921308400,4440.1,-1.8714088109956317,-1.8613515350059253,-1.8714088109956317,-1.875989011390132,-1.8300566172852404
14.01.2004,4440.1,4461.4,4464.5,4431.1,2142098400,4461.4,-1.8503030122260535,-1.8707652456141723,-1.8503030122260535,-1.8892936773365911,-1.8354918854406521
15.01.2004,4461.4,4456.1,4474.0,4443.3,2145902200,4456.1,-1.855554689854164,-1.849658715513577,-1.855554689854164,-1.8798612649118625,-1.8234354724413755
16.01.2004,4456.1,4487.9,4491.7,4456.1,2145911800,4487.9,-1.824044624085498,-1.8549105751160722,-1.824044624085498,-1.8622871912363153,-1.8107861210978717
19.01.2004,4487.9,4518.1,4526.3,4487.7,1412471000,4518.1,-1.7941199704309772,-1.8233994175010986,-1.7941199704309772,-1.8279333522999344,-1.7795580349685978
20.01.2004,4518.1,4499.3,4527.5,4498.5,1823723400,4499.3,-1.8127485627722018,-1.7934737269359338,-1.8127485627722018,-1.8267418896778636,-1.7688851447725165
21.01.2004,4499.3,4511.2,4511.2,4486.9,1993172600,4511.2,-1.8009570601732354,-1.8121029647712017,-1.8009570601732354,-1.8429259236276616,-1.7803486194275668
22.01.2004,4511.2,4476.8,4531.4,4476.8,1931583400,4476.8,-1.8350434206273905,-1.8003110535882398,-1.8350434206273905,-1.8228696361561332,-1.7903297482220497
23.01.2004,4476.8,4460.8,4483.0,4438.6,2118088600,4460.8,-1.850897541768858,-1.834398595159155,-1.850897541768858,-1.87092529524633,-1.828080156137818
26.01.2004,4460.8,4445.5,4482.5,4432.9,1708534500,4445.5,-1.8660580451103868,-1.8502532656572555,-1.8660580451103868,-1.8714217380055262,-1.8337130704079727
27.01.2004,4445.5,4447.0,4479.5,4444.8,2131948500,4447.0,-1.8645717212533741,-1.8654142943210639,-1.8645717212533741,-1.8744003945607037,-1.8219531265808087
28.01.2004,4447.0,4468.1,4474.2,4426.8,2133549300,4468.1,-1.8436640989980633,-1.863927918961867,-1.8436640989980633,-1.8796626878081841,-1.8397412769076105
29.01.2004,4468.1,4411.5,4468.1,4410.2,1879774000,4411.5,-1.8997480525360053,-1.843019572242497,-1.8997480525360053,-1.8857192894703778,-1.8561459044312172
30.01.2004,4411.5,4390.7,4436.2,4390.7,2147265900,4390.7,-1.9203584100199134,-1.8991054691295268,-1.9203584100199134,-1.9173923375070994,-1.8754164006185858
02.02.2004,4390.7,4381.4,4411.6,4366.9,2081688400,4381.4,-1.9295736179333915,-1.9197165407770573,-1.9295736179333915,-1.9418173212595544,-1.898936288272913
03.02.2004,4381.4,4390.6,4392.1,4357.4,1961984400,4390.6,-1.920457498277047,-1.9289320680040785,-1.920457498277047,-1.961178588868208,-1.9083244787231695
04.02.2004,4390.6,4398.5,4409.3,4369.1,1798125000,4398.5,-1.9126295259634478,-1.91981563246767,-1.9126295259634478,-1.9441009579518573,-1.8967621810107476
05.02.2004,4398.5,4384.4,4404.0,4378.4,2028225900,4384.4,-1.9266009702193665,-1.9119873889092334,-1.9266009702193665,-1.9493632511993377,-1.887571636675234
06.02.2004,4384.4,4402.7,4407.5,4384.1,1960593100,4402.7,-1.9084678191638127,-1.9259593172856846,-1.9084678191638127,-1.945888151884964,-1.8819387224050794
09.02.2004,4402.7,4434.4,4436.8,4402.7,1955365800,4434.4,-1.8770568416522802,-1.9078255379034823,-1.8770568416522802,-1.9167966061960635,-1.8635576337340511
10.02.2004,4434.4,4405.0,4434.4,4400.8,2001321900,4405.0,-1.9061887892497265,-1.8764134719791212,-1.9061887892497265,-1.919179531440206,-1.865435271824102
11.02.2004,4404.9,4396.1,4416.0,4377.3,2115607400,4396.1,-1.9150076441346675,-1.9056455207099936,-1.9150076441346675,-1.9374486249786276,-1.8886586903063158
12.02.2004,4396.0,4377.7,4416.4,4370.2,2142919700,4377.7,-1.9332398834473559,-1.9144646811745616,-1.9332398834473559,-1.937051470771271,-1.8956751273796657
13.02.2004,4377.7,4412.0,4423.9,4377.7,2140553700,4412.0,-1.8992526112503345,-1.9325984605567639,-1.8992526112503345,-1.9296048293833272,-1.8882633980768317
16.02.2004,4412.0,4408.1,4412.9,4389.9,1449314900,4408.1,-1.9031170532785668,-1.8986100106764612,-1.9031170532785668,-1.9405265700856449,-1.876206985077555
17.02.2004,4408.1,4461.5,4465.0,4397.3,2145028500,4461.5,-1.850203923968919,-1.902474586610373,-1.850203923968919,-1.888797234577395,-1.8688940788320914
18.02.2004,4461.5,4442.9,4468.9,4442.9,2145857100,4442.9,-1.8686343397958756,-1.8495596238229637,-1.8686343397958756,-1.8849249810556645,-1.8238307646708605
19.02.2004,4442.9,4515.6,4517.3,4442.9,2139312200,4515.6,-1.7965971768593314,-1.8679906782770055,-1.7965971768593314,-1.8368693219654668,-1.8238307646708605
20.02.2004,4515.6,4515.0,4549.6,4499.2,2105202700,4515.0,-1.7971917064021368,-1.7959510192012618,-1.7971917064021368,-1.8047991197213888,-1.7681933833709187
