Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,2011.08,2006.68,2022.37,1999.77,1666780000,2006.68,-0.8809169894851312,-0.8797835927842841,-0.8809169894851312,-0.8798852657061903,-0.8795392398790023
05.01.2004,2020.78,2047.36,2047.36,2020.78,2362910000,2047.36,-0.8717288919642286,-0.8775926401029848,-0.8717288919642286,-0.8742802539191852,-0.8747560856681885
06.01.2004,2044.55,2057.37,2061.54,2039.63,2273220000,2057.37,-0.8694680056273496,-0.8722236766767492,-0.8694680056273496,-0.8710998190596521,-0.8704646788679103
07.01.2004,2056.75,2077.68,2078.09,2047.02,2294280000,2077.68,-0.8648807327500257,-0.8694680454693418,-0.8648807327500257,-0.867387816455613,-0.8687822652735309
08.01.2004,2089.6,2100.25,2100.25,2078.05,2683950000,2100.25,-0.8597830100104294,-0.8620481696362817,-0.8597830100104294,-0.8624175458993892,-0.8617179494638423
09.01.2004,2083.64,2086.92,2113.33,2077.09,2482760000,2086.92,-0.8627937607467528,-0.8633943632425234,-0.8627937607467528,-0.8594838302461668,-0.8619365038685249
12.01.2004,2093.54,2111.78,2112.52,2085.15,2284010000,2111.78,-0.8571788122617566,-0.8611582362791353,-0.8571788122617566,-0.8596655052980866,-0.8601015575125439
13.01.2004,2113.11,2096.44,2114.91,2080.29,2385700000,2096.44,-0.8606435471676231,-0.8567379327767614,-0.8606435471676231,-0.8591294517498296,-0.8612079891862496
14.01.2004,2104.29,2111.13,2111.73,2094.32,2099970000,2111.13,-0.8573256230628528,-0.8587301186168707,-0.8573256230628528,-0.8598426945462552,-0.8580139076261487
15.01.2004,2101.86,2109.08,2121.61,2088.1,2235590000,2109.08,-0.8577886417432325,-0.8592789861442477,-0.8577886417432325,-0.8576267074932096,-0.8594299580398215
16.01.2004,2126.12,2140.46,2140.47,2119.35,2614390000,2140.46,-0.8507010679918577,-0.853799345726895,-0.8507010679918577,-0.8533965945559181,-0.8523155568457266
20.01.2004,2149.03,2147.98,2149.85,2130.2,2574190000,2147.98,-0.8490025799545621,-0.8486246317136406,-0.8490025799545621,-0.85129275259665,-0.8498454367511368
21.01.2004,2139.33,2142.45,2150.11,2120.2,2421860000,2142.45,-0.850251601077733,-0.8508155843949399,-0.850251601077733,-0.8512344371478856,-0.8521220451332472
22.01.2004,2146.32,2119.01,2152.12,2119.01,2353370000,2119.01,-0.855545824428027,-0.8492367432359417,-0.855545824428027,-0.8507836138708996,-0.8523929615307182
23.01.2004,2124.76,2123.87,2138.41,2108.45,2253910000,2123.87,-0.8544481313613704,-0.8541065308450977,-0.8544481313613704,-0.8538586323422818,-0.8547970599822269
26.01.2004,2120.56,2153.83,2153.83,2115.34,1946050000,2153.83,-0.8476812827446978,-0.8550551907689593,-0.8476812827446978,-0.8504000776501802,-0.8532284768069528
27.01.2004,2148.05,2116.04,2152.75,2116.04,2151260000,2116.04,-0.8562166368576504,-0.8488459856958749,-0.8562166368576504,-0.8506423110527398,-0.853069114220205
28.01.2004,2125.02,2077.37,2128.0,2073.15,2319550000,2077.37,-0.86495075020901,-0.8540478042783826,-0.86495075020901,-0.8561934931947317,-0.8628334875710764
