Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
06.01.2014,16147.54,15908.88,16164.01,15864.44,192700000,15908.88,-1.2340395770418742,-1.196679250639362,-1.2340395770418742,-1.2070889864556755,-1.226773872129609
07.01.2014,15835.41,15814.37,15935.37,15784.25,165900000,15814.37,-1.2491586969245703,-1.2466471236634151,-1.2491586969245703,-1.2434637588226716,-1.239681797915746
08.01.2014,15943.68,16121.45,16121.45,15906.57,206700000,16121.45,-1.2000339552720638,-1.2293145327163282,-1.2000339552720638,-1.2138599377850112,-1.2199923418469063
09.01.2014,16002.88,15880.33,16004.56,15838.44,217400000,15880.33,-1.2386068278370386,-1.2198373979230566,-1.2386068278370386,-1.232456190155455,-1.230959008311671
10.01.2014,15785.15,15912.06,15922.14,15754.7,237500000,15912.06,-1.2335308604909592,-1.254693083033514,-1.2335308604909592,-1.2455685446799818,-1.2444383661534357
14.01.2014,15657.2,15422.4,15661.71,15383.69,214500000,15422.4,-1.3118636109063766,-1.2751761809524178,-1.3118636109063766,-1.2870008485967803,-1.3041586498036992
15.01.2014,15649.07,15808.73,15808.73,15636.57,185800000,15808.73,-1.250060948920533,-1.2764776861191292,-1.250060948920533,-1.2636111572330828,-1.2634533714298586
16.01.2014,15845.15,15747.2,15941.08,15710.14,214200000,15747.2,-1.2599041342594632,-1.2450878788511437,-1.2599041342594632,-1.242555344064906,-1.2516110457023852
17.01.2014,15695.46,15734.46,15783.37,15621.8,180100000,15734.46,-1.2619421999382863,-1.2690512624187935,-1.2619421999382863,-1.267645727856014,-1.2658308507148224
20.01.2014,15724.14,15641.68,15727.26,15574.23,142200000,15641.68,-1.276784565219384,-1.2644599748196206,-1.276784565219384,-1.2765723744511512,-1.2734880402602335
21.01.2014,15710.89,15795.96,15894.68,15705.84,154300000,15795.96,-1.2521038138121003,-1.2665811240765605,-1.2521038138121003,-1.2499372082961369,-1.2523032028401877
22.01.2014,15749.01,15820.96,15870.53,15631.41,185300000,15820.96,-1.2481044698583663,-1.2604786176860279,-1.2481044698583663,-1.2537792777182106,-1.2642839599952216
23.01.2014,15900.63,15695.89,15958.58,15690.45,206900000,15695.89,-1.2681123877901073,-1.236206266717179,-1.2681123877901073,-1.239771235788041,-1.2547804815264159
24.01.2014,15473.57,15391.56,15485.02,15288.32,221000000,15391.56,-1.316797201607703,-1.3045729083525617,-1.316797201607703,-1.3151107966790254,-1.3195100512530555
27.01.2014,15091.45,15005.73,15109.68,14933.55,223900000,15005.73,-1.378519876714472,-1.365745252055349,-1.378519876714472,-1.3748243510012277,-1.3766162344572925
28.01.2014,15038.64,14980.16,15088.12,14952.83,183100000,14980.16,-1.3826104057103512,-1.3741994326031988,-1.3826104057103512,-1.3782543723983254,-1.3735127950115171
29.01.2014,15164.34,15383.91,15383.91,15159.92,164800000,15383.91,-1.3180210008575457,-1.3540765298411332,-1.3180210008575457,-1.3311965788432443,-1.3401781853213928
30.01.2014,15112.7,15007.06,15112.7,14853.83,221200000,15007.06,-1.3783071116161334,-1.3623434089074264,-1.3783071116161334,-1.3743438934585914,-1.3894485058585997
31.01.2014,15132.23,14914.53,15143.88,14764.57,217400000,14914.53,-1.3931094834576938,-1.3592169149460651,-1.3931094834576938,-1.369383407968726,-1.4038164003051714
03.02.2014,14788.56,14619.13,14846.93,14615.05,202800000,14619.13,-1.4403657316150162,-1.4142339236353172,-1.4403657316150162,-1.4166257481295876,-1.427884152687553
04.02.2014,14353.33,14008.47,14355.92,14008.47,294300000,14008.47,-1.5380553067665066,-1.483908473906866,-1.5380553067665066,-1.4947414627023605,-1.5255233798150614
05.02.2014,14213.1,14180.38,14245.06,13995.86,280200000,14180.38,-1.5105542180030496,-1.5063574369484285,-1.5105542180030496,-1.5123783909065471,-1.5275531708633612
06.02.2014,14233.42,14155.12,14308.07,14155.12,192900000,14155.12,-1.514595155133902,-1.5031044744653326,-1.514595155133902,-1.5023540101908175,-1.5019176020804685
07.02.2014,14387.11,14462.41,14471.95,14356.59,186100000,14462.41,-1.4654368189921843,-1.4785007439521916,-1.4654368189921843,-1.4762820293672374,-1.4694876256727747
10.02.2014,14647.83,14718.34,14725.92,14568.3,149800000,14718.34,-1.4244947350690176,-1.4367629300450662,-1.4244947350690176,-1.435877459134356,-1.435409349476453
12.02.2014,14821.73,14800.06,14874.79,14769.04,165100000,14800.06,-1.4114216795530516,-1.4089238465898304,-1.4114216795530516,-1.4121934477528184,-1.403096878815409
13.02.2014,14785.84,14534.74,14787.62,14488.32,148400000,14534.74,-1.4538659170652408,-1.4146693595582511,-1.4538659170652408,-1.4260614888096372,-1.448283472239581
14.02.2014,14538.2,14313.03,14678.71,14243.17,204200000,14313.03,-1.489333698984536,-1.45431323895362,-1.489333698984536,-1.4433881878058306,-1.4877444774331392
17.02.2014,14343.73,14393.11,14427.95,14214.6,149000000,14393.11,-1.4765230004319352,-1.4854453065760453,-1.4765230004319352,-1.4832820730347838,-1.4923432982301206
18.02.2014,14514.47,14843.24,14900.24,14469.49,206500000,14843.24,-1.4045140126761622,-1.4581120972077475,-1.4045140126761622,-1.4081445588587491,-1.4513144766360513
19.02.2014,14729.48,14766.53,14805.66,14679.19,153900000,14766.53,-1.4167855996637997,-1.4236918480202243,-1.4167855996637997,-1.4231914709059434,-1.417559743659958
20.02.2014,14701.14,14449.18,14731.48,14428.73,172000000,14449.18,-1.4675532718125004,-1.4282287061290304,-1.4675532718125004,-1.4349929081618207,-1.4578754824353148
21.02.2014,14618.61,14865.67,14888.81,14618.61,138700000,14865.67,-1.4009258012808719,-1.4414406644818802,-1.4009258012808719,-1.409962979293296,-1.4273111109641627
24.02.2014,14803.64,14837.68,14982.53,14658.14,159500000,14837.68,-1.4054034667714725,-1.4118198156508148,-1.4054034667714725,-1.3950528862814215,-1.4209480942996662
25.02.2014,15002.51,15051.6,15094.54,14957.49,139500000,15051.6,-1.3711818804281606,-1.3799833663883492,-1.3711818804281606,-1.3772330023904698,-1.3727626898342706
