Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,556.91,560.85,564.5,556.91,1153200000,560.85,-1.1793586632930064,-1.186610955929273,-1.1793586632930064,-1.1803419374905968,-1.1771675356653535
05.01.2004,560.85,568.92,569.45,560.85,1578200000,568.92,-1.1637844582028383,-1.1790079348618516,-1.1637844582028383,-1.1708583923720308,-1.1695075539878432
06.01.2004,568.93,569.89,572.67,568.07,1494500000,569.89,-1.1619124657694473,-1.1634159525713028,-1.1619124657694473,-1.1646892983757116,-1.1554707347716955
07.01.2004,569.89,574.62,574.62,567.84,1704900000,574.62,-1.1527840902952842,-1.1615634398239107,-1.1527840902952842,-1.1609533563593069,-1.1559178910625145
08.01.2004,574.62,579.62,580.22,574.62,1868400000,579.62,-1.143134644762342,-1.152435955141448,-1.143134644762342,-1.1502244972352729,-1.1427365012722817
09.01.2004,579.62,575.2,581.9,573.74,1720700000,575.2,-1.1516647546134628,-1.1427874512487814,-1.1516647546134628,-1.1470058394980627,-1.1444473601241112
12.01.2004,575.2,583.01,583.01,575.2,1510200000,583.01,-1.1365923206910074,-1.1513167286898986,-1.1365923206910074,-1.1448792263502632,-1.1416088897563028
13.01.2004,583.01,581.16,583.18,575.04,1595900000,581.16,-1.140162615538196,-1.1362457656095537,-1.140162615538196,-1.1445535288411408,-1.1419199550020902
14.01.2004,581.16,586.12,586.12,581.16,1514600000,586.12,-1.1305903655695175,-1.1398157120498402,-1.1305903655695175,-1.138920877801023,-1.1300217093507294
15.01.2004,586.12,586.36,587.31,579.3,1695000000,586.36,-1.1301271921839362,-1.130244396188315,-1.1301271921839362,-1.1366409952371659,-1.1336378428330058
16.01.2004,586.36,590.41,591.99,586.35,1721100000,590.41,-1.1223111413022533,-1.129781268001467,-1.1223111413022533,-1.1276747343977944,-1.1199315304405069
20.01.2004,590.41,597.98,597.98,590.16,1698200000,597.98,-1.107701880765379,-1.1219659798484072,-1.107701880765379,-1.1161986868704796,-1.112524289275199
21.01.2004,597.98,597.48,598.75,591.51,1757600000,597.48,-1.108666825318673,-1.10735814495491,-1.108666825318673,-1.1147234687409249,-1.1098996762638693
22.01.2004,597.48,591.73,600.61,591.53,1693700000,591.73,-1.1197636876815564,-1.1083229953441767,-1.1197636876815564,-1.111159954817585,-1.1098607931081461
23.01.2004,591.73,596.14,596.14,589.92,1480600000,596.14,-1.1112528767215017,-1.1194187748207431,-1.1112528767215017,-1.1197238834398051,-1.1129908871438798
26.01.2004,596.14,601.5,601.5,592.46,1842550000,601.5,-1.1009086711101879,-1.1109087943874114,-1.1009086711101879,-1.109454832563944,-1.1080527263670077
27.01.2004,601.5,595.17,601.5,594.93,1673100000,595.17,-1.1131248691548925,-1.1005655982144729,-1.1131248691548925,-1.109454832563944,-1.1032506566351679
28.01.2004,595.17,583.91,598.46,582.84,1842000000,583.91,-1.134855420495078,-1.1127806041425887,-1.134855420495078,-1.1152790703741338,-1.1267555242699636
29.01.2004,583.91,579.86,586.8,573.34,1921900000,579.86,-1.142671471376761,-1.1345090349088738,-1.142671471376761,-1.1376180877645332,-1.1452250232385792
30.01.2004,579.86,580.76,583.55,577.23,1635000000,580.76,-1.1409345711808314,-1.1423243230619335,-1.1409345711808314,-1.1438446577918742,-1.1376622494503776
02.02.2004,580.76,580.54,585.07,576.03,1599200000,580.54,-1.141359146784281,-1.1405875923612536,-1.141359146784281,-1.1409325388867793,-1.139995238793782
03.02.2004,580.54,579.15,581.19,578.29,1476900000,579.15,-1.1440416926424388,-1.141012126532531,-1.1440416926424388,-1.148366105565574,-1.1356014421970375
04.02.2004,579.15,564.03,579.15,564.03,1634800000,564.03,-1.1732216159340554,-1.1436944106146922,-1.1732216159340554,-1.1522744756750438,-1.1633251322278226
05.02.2004,564.03,569.54,570.9,564.03,1566600000,569.54,-1.1625879269567534,-1.1728714863861158,-1.1625879269567534,-1.1680803842059866,-1.1633251322278226
06.02.2004,569.54,584.07,584.35,569.54,1477600000,584.07,-1.1345466382380236,-1.1622388350963975,-1.1345466382380236,-1.142311963631298,-1.1526128228260255
09.02.2004,584.07,585.49,588.03,583.58,1303500000,585.49,-1.131806195706668,-1.1342002827843083,-1.131806195706668,-1.135261570492647,-1.1253168475081978
10.02.2004,585.49,592.83,592.83,584.69,1403900000,592.83,-1.1176408096643091,-1.1314601076787911,-1.1176408096643091,-1.1260654055291892,-1.123158832365549
11.02.2004,592.83,597.07,597.08,590.14,1699300000,597.07,-1.1094580798523743,-1.1172961039643565,-1.1094580798523743,-1.1179229678011278,-1.1125631724309224
12.02.2004,597.07,592.75,597.07,592.13,1464300000,592.75,-1.1177952007928362,-1.1091141726633753,-1.1177952007928362,-1.117942126478135,-1.1086942984364438
13.02.2004,592.75,585.14,594.81,584.86,1329200000,585.14,-1.1324816568939742,-1.1174504800266392,-1.1324816568939742,-1.1222719874817633,-1.1228283255419003
17.02.2004,585.14,594.48,594.48,585.14,1396500000,594.48,-1.1144564926384384,-1.1321355029512776,-1.1144564926384384,-1.1229042238230007,-1.1222839613617726
18.02.2004,594.48,591.48,595.41,590.4,1382400000,591.48,-1.1202461599582036,-1.1141120976797765,-1.1202461599582036,-1.1211224668613309,-1.1120576914065181
19.02.2004,591.48,582.59,596.0,582.41,1562800000,582.59,-1.1374028741157745,-1.1199012000153765,-1.1374028741157745,-1.1199921049179058,-1.127591512118017
20.02.2004,582.59,579.89,583.7,575.47,1479600000,579.89,-1.1426135747035633,-1.1370562399365376,-1.1426135747035633,-1.143557277636766,-1.141083967154037
23.02.2004,579.89,570.2,581.86,570.18,1380400000,570.2,-1.161314200146405,-1.1422664320385776,-1.161314200146405,-1.1470824742060914,-1.1513685618428768
24.02.2004,570.2,571.87,575.91,566.21,1543600000,571.87,-1.1580912853384022,-1.1609652325825652,-1.1580912853384022,-1.1584818870253777,-1.1590868682539717
25.02.2004,571.87,579.04,579.09,571.56,1360700000,579.04,-1.1442539804441636,-1.1577426322824147,-1.1442539804441636,-1.1523894277370867,-1.1486856240979622
26.02.2004,579.04,583.86,583.86,576.58,1383900000,583.86,-1.1349519149504073,-1.143906677700331,-1.1349519149504073,-1.143250738804651,-1.1389259520113881
27.02.2004,584.18,585.56,587.06,582.21,1540400000,585.56,-1.131671103469207,-1.1339880156986697,-1.131671103469207,-1.1371199621623458,-1.127980343675251
01.03.2004,585.56,594.77,594.77,585.56,1497100000,594.77,-1.1138968247975278,-1.1313250286242937,-1.1138968247975278,-1.122348622189792,-1.1214674150915813
02.03.2004,594.77,591.06,596.22,590.96,1476000000,591.06,-1.1210567133829707,-1.113552484454002,-1.1210567133829707,-1.1195706140237474,-1.110968963046263
03.03.2004,591.06,591.32,592.93,585.58,1334500000,591.32,-1.1205549422152576,-1.1207116743423606,-1.1205549422152576,-1.1258738187591175,-1.1214285319358577
04.03.2004,591.32,598.38,598.39,589.52,1265800000,598.38,-1.1069299251227436,-1.1202099521399418,-1.1069299251227436,-1.1154131811131842,-1.1137685502583479
05.03.2004,598.38,599.54,603.16,594.36,1398200000,599.54,-1.1046912537591012,-1.1065862646434967,-1.1046912537591012,-1.1062744921807484,-1.1043588265732847
08.03.2004,599.54,592.51,603.11,592.37,1254400000,592.51,-1.1182583741784176,-1.1043478117403982,-1.1182583741784176,-1.1063702855657842,-1.1082277005677632
09.03.2004,592.51,585.95,593.24,584.31,1499400000,585.95,-1.1309184467176374,-1.1179136082134873,-1.1309184467176374,-1.125279899771894,-1.1238976123242939
10.03.2004,585.95,575.01,589.78,574.58,1648400000,575.01,-1.1520314335437147,-1.1305724453206656,-1.1520314335437147,-1.1319088020163866,-1.1428142675837283
