Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,49.48,48.12,49.59,48.03,1499492,48.12,-0.8507721703510044,-0.765762822668417,-0.8507721703510044,-0.7938921879560986,-0.81943679814943
03.01.2014,48.17,48.37,48.68,48.01,826285,48.37,-0.8348406532515872,-0.8492714055903003,-0.8348406532515872,-0.8515553277065806,-0.820719935895675
06.01.2014,48.38,47.8,48.69,47.73,987242,47.8,-0.8711645122382583,-0.8358845335188533,-0.8711645122382583,-0.8509216668302019,-0.838683864343103
07.01.2014,47.86,48.12,48.39,47.47,1231698,48.12,-0.8507721703510044,-0.8690329786481508,-0.8507721703510044,-0.8699314931215693,-0.855364655044286
08.01.2014,48.28,48.64,48.76,48.23,1435898,48.64,-0.8176346147842165,-0.8422592345052566,-0.8176346147842165,-0.8464860406955493,-0.8066054206869817
09.01.2014,48.46,48.3,49.03,48.12,1297442,48.3,-0.839301478039424,-0.8307847727297307,-0.839301478039424,-0.8293771970333182,-0.8136626782913284
10.01.2014,48.23,47.89,48.49,47.82,1964388,47.89,-0.8654291660824679,-0.8454465849984586,-0.8654291660824679,-0.86359488435778,-0.832909744485001
13.01.2014,48.09,48.47,48.51,47.97,1077464,48.47,-0.8284680464118203,-0.8543711663794229,-0.8284680464118203,-0.8623275626050224,-0.8232862113881647
14.01.2014,48.0,48.45,48.46,47.87,1071799,48.45,-0.8297425677797734,-0.8601083972671861,-0.8297425677797734,-0.8654958669869168,-0.829701900119389
15.01.2014,48.79,48.94,49.4,48.73,1541638,48.94,-0.7985167942649161,-0.8097482594745998,-0.7985167942649161,-0.8059317446072983,-0.7745269770308604
16.01.2014,48.92,49.25,49.29,48.66,1371889,49.25,-0.7787617130616387,-0.8014611481922753,-0.7787617130616387,-0.8129020142474664,-0.7790179591427173
17.01.2014,49.39,49.66,50.04,49.38,1779656,49.66,-0.7526340250185948,-0.7715000535561797,-0.7526340250185948,-0.7653774485190474,-0.7328250002779022
20.01.2014,49.6,49.61,49.87,49.29,834723,49.61,-0.755820328438478,-0.7581131814847327,-0.755820328438478,-0.7761496834174891,-0.7385991201360043
21.01.2014,49.61,49.49,49.85,49.32,939655,49.49,-0.7634674566461981,-0.7574757113860925,-0.7634674566461981,-0.7774170051702467,-0.7366744135166369
22.01.2014,49.74,49.38,49.83,49.11,1081848,49.38,-0.7704773241699416,-0.749188600103768,-0.7704773241699416,-0.7786843269230048,-0.7501473598522079
23.01.2014,49.25,48.75,49.41,48.45,1679626,48.75,-0.810624747260473,-0.7804246349371444,-0.810624747260473,-0.8052980837309196,-0.7924909054782879
24.01.2014,48.66,47.21,48.89,46.99,2827352,47.21,-0.9087628925928826,-0.8180353707569243,-0.9087628925928826,-0.8382484493026232,-0.8861599609541624
27.01.2014,47.31,46.33,47.4,46.33,2596691,46.33,-0.964841832782831,-0.904093834073369,-0.964841832782831,-0.9326639198830826,-0.9285035065802429
28.01.2014,46.69,46.96,47.17,46.42,2214005,46.96,-0.9246944096922997,-0.9436169801890699,-0.9246944096922997,-0.9472381200397976,-0.9227293867221408
