Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
30.09.2022,79.23,79.62,79.23,80.19,79.23,5079137
03.10.2022,78.56,79.23,78.56,79.44,77.79,2403446
04.10.2022,84.02,79.43,84.02,84.02,78.75,1599630
05.10.2022,84.44,83.65,84.44,86.09,83.09,1321304
06.10.2022,87.13,86.15,87.13,89.99,85.8,2217065
07.10.2022,88.47,87.13,88.47,89.34,86.15,880174
10.10.2022,83.84,87.78,83.84,88.18,83.82,846094
11.10.2022,80.29,83.54,80.29,83.54,79.23,1123986
12.10.2022,83.4,81.4,83.4,83.67,80.9,9901667
13.10.2022,83.19,83.04,83.19,84.52,82.13,428569
14.10.2022,84.04,84.5,84.04,86.76,83.15,429830
17.10.2022,86.72,84.9,86.72,87.24,84.52,339747
18.10.2022,88.47,87.97,88.47,89.2,87.05,409208
19.10.2022,89.66,88.55,89.66,89.72,87.82,370590
20.10.2022,90.28,89.7,90.28,90.99,89.34,310989
21.10.2022,92.28,89.8,92.28,92.28,88.47,501026
24.10.2022,91.81,93.74,91.81,94.7,90.64,550487
25.10.2022,94.12,92.01,94.12,95.08,91.74,460671
26.10.2022,95.81,94.83,95.81,95.81,93.35,269652
27.10.2022,95.33,95.56,95.33,96.09,93.18,433145
28.10.2022,95.96,93.35,95.96,97.1,91.58,560826
31.10.2022,99.4,97.0,99.4,101.8,96.9,588243
01.11.2022,99.83,100.84,99.83,102.52,99.02,452231
02.11.2022,98.63,100.79,98.63,100.84,97.29,489465
03.11.2022,95.2,97.0,95.2,97.1,93.41,452700
04.11.2022,96.04,96.04,96.04,98.44,94.81,361874
07.11.2022,96.04,95.08,96.04,98.39,95.08,333079
08.11.2022,95.75,97.38,95.75,97.58,94.89,246929
09.11.2022,97.43,95.94,97.43,97.86,94.73,239631
10.11.2022,97.38,98.39,97.38,98.44,95.91,366895
11.11.2022,95.56,98.39,95.56,100.12,95.56,424886
14.11.2022,96.76,97.0,96.76,98.44,96.18,193391
15.11.2022,100.84,97.0,100.84,101.03,97.0,340962
16.11.2022,100.84,100.79,100.84,102.14,99.45,408578
17.11.2022,102.04,102.23,102.04,102.71,100.51,310967
18.11.2022,102.81,102.76,102.81,103.53,101.03,242920
21.11.2022,104.59,103.53,104.59,105.12,103.05,239185
22.11.2022,106.32,104.97,106.32,107.71,104.73,352650
23.11.2022,103.68,105.69,103.68,106.12,102.23,361428
24.11.2022,103.15,103.87,103.15,104.44,102.91,139609
25.11.2022,103.0,103.87,103.0,104.59,102.86,177693
28.11.2022,100.84,102.19,100.84,102.19,99.55,246088
29.11.2022,102.23,101.32,102.23,102.71,100.55,184455
30.11.2022,104.49,102.62,104.49,104.49,102.33,1875288
01.12.2022,103.39,104.4,103.39,104.4,102.09,394158
02.12.2022,102.76,103.39,102.76,103.87,101.99,202643
05.12.2022,101.51,103.68,101.51,103.82,100.79,314934
06.12.2022,100.84,102.28,100.84,103.05,100.51,256994
07.12.2022,101.32,100.65,101.32,102.67,99.88,254065
08.12.2022,97.34,101.8,97.34,101.8,96.42,463136
09.12.2022,97.38,97.77,97.38,97.96,95.89,290889
12.12.2022,98.15,97.0,98.15,99.4,96.52,240855
13.12.2022,99.74,98.25,99.74,101.32,98.11,256470
14.12.2022,97.53,99.26,97.53,99.35,97.38,200140
15.12.2022,93.87,97.48,93.87,98.97,93.43,513009
16.12.2022,89.93,94.7,89.93,95.52,89.3,3615659
19.12.2022,93.04,91.56,93.04,94.31,91.53,453553
20.12.2022,89.24,91.53,89.24,92.2,88.91,428456
21.12.2022,90.72,89.34,90.72,90.72,88.16,333290
22.12.2022,88.24,91.24,88.24,91.62,87.4,322635
23.12.2022,88.47,88.38,88.47,89.32,87.7,204385
27.12.2022,90.68,89.57,90.68,92.31,89.18,250908
28.12.2022,89.28,91.26,89.28,91.66,88.86,307152
29.12.2022,91.62,89.18,91.62,91.66,88.91,187746
30.12.2022,91.0,91.72,91.0,91.72,90.28,116065
02.01.2023,91.67,91.62,91.67,92.58,91.0,189008
03.01.2023,90.52,91.91,90.52,93.21,90.52,465823
04.01.2023,91.29,91.38,91.29,91.77,89.7,448572
05.01.2023,92.1,91.62,92.1,92.15,90.85,310572
06.01.2023,91.96,92.2,91.96,92.25,90.04,325291
09.01.2023,95.9,92.39,95.9,96.33,91.05,480397
10.01.2023,97.1,95.75,97.1,97.67,94.6,469619
11.01.2023,98.73,97.77,98.73,99.21,96.52,521883
12.01.2023,100.65,98.63,100.65,101.61,98.15,559626
13.01.2023,100.65,100.65,100.65,100.65,100.65,0
16.01.2023,99.31,101.13,99.31,101.61,97.19,479892
17.01.2023,102.38,99.31,102.38,102.38,98.54,573345
18.01.2023,100.46,101.8,100.46,102.19,100.36,366354
19.01.2023,100.07,99.79,100.07,100.94,98.25,452507
20.01.2023,98.63,101.23,98.63,101.23,97.29,500706
23.01.2023,100.17,99.31,100.17,100.46,99.02,279689
24.01.2023,98.73,100.07,98.73,100.94,97.58,389089
25.01.2023,99.98,98.35,99.98,100.17,97.67,412194
26.01.2023,100.84,100.07,100.84,101.71,100.07,465346
27.01.2023,100.84,100.84,100.84,100.84,100.84,0
30.01.2023,102.76,102.76,102.76,103.24,100.46,579698
31.01.2023,104.68,102.47,104.68,104.68,101.9,564704
01.02.2023,105.16,105.26,105.16,106.89,103.72,574512
02.02.2023,113.71,106.32,113.71,113.81,106.03,875608
03.02.2023,110.16,111.21,110.16,112.27,109.29,548902
06.02.2023,106.8,108.53,106.8,109.77,105.93,473779
07.02.2023,108.14,107.28,108.14,109.01,105.84,261116
08.02.2023,109.29,109.01,109.29,110.45,106.8,402401
09.02.2023,109.97,110.06,109.97,110.73,109.49,375664
10.02.2023,109.01,109.49,109.01,110.45,108.62,359651
13.02.2023,109.29,109.29,109.29,110.06,107.57,224309
14.02.2023,109.68,110.06,109.68,110.54,108.72,271234
15.02.2023,110.45,109.77,110.45,110.64,109.1,210834
16.02.2023,110.35,110.64,110.35,111.02,107.95,249481
17.02.2023,109.58,109.97,109.58,110.25,108.53,316663
20.02.2023,109.97,110.25,109.97,110.54,109.49,157896
21.02.2023,108.81,109.49,108.81,110.25,108.43,180455
22.02.2023,109.01,108.05,109.01,109.29,106.89,267829
23.02.2023,109.68,109.39,109.68,110.25,108.43,232184
24.02.2023,106.12,109.87,106.12,109.87,105.93,536045
27.02.2023,108.33,107.76,108.33,109.2,106.89,346989
28.02.2023,109.58,107.66,109.58,110.16,106.99,426939
01.03.2023,108.72,109.87,108.72,110.25,108.53,273861
02.03.2023,107.66,108.05,107.66,108.72,107.47,356562
03.03.2023,110.16,107.85,110.16,110.73,107.76,519714
06.03.2023,110.45,109.87,110.45,110.73,109.58,395790
07.03.2023,111.41,110.16,111.41,112.75,109.97,347210
08.03.2023,113.33,111.02,113.33,113.71,110.93,407705
09.03.2023,111.41,113.04,111.41,113.42,110.06,520674
10.03.2023,109.58,109.29,109.58,109.58,107.18,603948
13.03.2023,104.59,109.58,104.59,112.08,102.96,666452
14.03.2023,110.45,106.12,110.45,110.45,104.78,767053
15.03.2023,108.43,110.45,108.43,112.08,107.47,618461
16.03.2023,110.83,110.35,110.83,111.5,107.95,423757
17.03.2023,110.06,111.41,110.06,112.37,108.33,1214764
20.03.2023,108.24,107.57,108.24,109.2,106.51,375139
21.03.2023,109.97,109.97,109.97,110.25,109.01,399084
22.03.2023,110.83,110.45,110.83,113.04,110.16,411365
23.03.2023,110.54,110.64,110.54,111.21,108.91,281331
24.03.2023,107.95,110.45,107.95,110.93,107.28,425194
27.03.2023,111.12,109.58,111.12,112.27,109.58,344569
28.03.2023,111.21,111.79,111.21,111.98,110.83,146398
29.03.2023,113.14,112.27,113.14,113.14,110.93,394331
30.03.2023,112.37,113.52,112.37,114.29,111.98,347775
31.03.2023,113.33,112.66,113.33,113.33,111.5,332958
03.04.2023,112.85,113.33,112.85,114.14,112.56,238364
04.04.2023,113.23,113.09,113.23,113.57,112.75,272589
05.04.2023,113.23,113.42,113.23,113.42,112.42,331991
06.04.2023,113.23,112.8,113.23,113.42,112.08,160040
11.04.2023,113.86,114.05,113.86,115.01,113.62,205350
12.04.2023,113.9,114.1,113.9,115.34,113.9,267911
13.04.2023,113.95,114.0,113.95,114.53,113.52,201078
14.04.2023,114.19,114.43,114.19,114.91,113.81,205994
17.04.2023,112.61,114.77,112.61,114.91,112.42,335952
