Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
21.10.2015,55.91,51.25,56.81,51.25,22498800,51.25,-1.2218023197007564,-1.1773065508247456,-1.2218023197007564,-1.1749556307648512,-1.2159719590606977
22.10.2015,53.18,52.88,54.23,51.9,4545100,52.88,-1.2061640557362918,-1.203507344081242,-1.2061640557362918,-1.199553956760793,-1.2096931199562484
23.10.2015,53.83,52.54,54.05,52.43,1967600,52.54,-1.2094260249067936,-1.1972690599725524,-1.2094260249067936,-1.2012701190395796,-1.204573451148005
26.10.2015,53.11,51.27,53.11,50.82,1466300,51.27,-1.221610439161315,-1.2041791592929472,-1.221610439161315,-1.2102322998287987,-1.2201256526221025
27.10.2015,51.06,50.18,51.24,46.0,5949200,50.18,-1.2320679285608649,-1.2238537476357374,-1.2320679285608649,-1.228061319058415,-1.2666856595197107
28.10.2015,50.34,48.33,50.47,46.68,2411300,48.33,-1.2498168784591834,-1.2307638469561322,-1.2498168784591834,-1.2354026799176692,-1.2601170278412097
29.10.2015,48.33,47.54,48.89,47.3,1362800,47.54,-1.2573961597671142,-1.2500545408922341,-1.2573961597671142,-1.2504667710314628,-1.2541279813108124
30.10.2015,48.05,46.99,48.27,46.27,1355100,46.99,-1.2626728746017493,-1.252741801739054,-1.2626728746017493,-1.2563779966583946,-1.2640775263532469
02.11.2015,47.39,49.46,49.55,46.49,890200,49.46,-1.238975627980751,-1.259076059449416,-1.238975627980751,-1.2441741760092455,-1.2619523808102027
03.11.2015,49.47,48.81,51.25,48.57,1022400,48.81,-1.2452117455125926,-1.239113550301609,-1.2452117455125926,-1.2279659767095938,-1.2418600956759653
04.11.2015,49.35,49.8,50.36,49.15,753300,49.8,-1.2357136588102495,-1.2402652335216748,-1.2357136588102495,-1.2364514457547056,-1.2362574392443026
05.11.2015,49.81,48.21,50.18,48.09,820200,48.21,-1.250968161695831,-1.2358504478447558,-1.250968161695831,-1.238167608033492,-1.2464967768607893
06.11.2015,48.64,48.86,48.86,48.27,513500,48.86,-1.2447320441639897,-1.2470793592403975,-1.2447320441639897,-1.2507527980779276,-1.2447580214164802
09.11.2015,49.22,49.57,49.99,48.46,442800,49.57,-1.237920285013824,-1.2415128903434127,-1.237920285013824,-1.2399791126611002,-1.2429226684474872
10.11.2015,50.04,50.32,50.32,49.47,376800,50.32,-1.2307247647847759,-1.2336430550062967,-1.2307247647847759,-1.2368328151499914,-1.2331663184544202
11.11.2015,50.32,50.64,50.78,49.42,471500,50.64,-1.2276546761537155,-1.2309557941594764,-1.2276546761537155,-1.2324470671042034,-1.2336493060778393
12.11.2015,50.63,50.43,50.69,49.63,379300,50.43,-1.2296694218178488,-1.2279806125076398,-1.2296694218178488,-1.2333051482435966,-1.231620758059479
13.11.2015,50.27,47.9,50.27,47.08,1337000,47.9,-1.253942310057171,-1.231435662167837,-1.253942310057171,-1.2373095268940986,-1.2562531268538564
16.11.2015,48.41,46.14,48.41,45.5,1297500,46.14,-1.2708277975280038,-1.2492867520788566,-1.2708277975280038,-1.255043203774894,-1.2715155357539023
17.11.2015,46.85,45.64,47.31,45.48,897300,45.64,-1.2756248110140358,-1.264258633939712,-1.2756248110140358,-1.2655308621452568,-1.27170873080327
18.11.2015,46.02,44.06,46.1,43.99,1102000,44.06,-1.2907833736298973,-1.2722244428785,-1.2907833736298973,-1.2770672863526558,-1.2861017619811612
19.11.2015,44.22,44.36,44.6,42.71,2163800,44.36,-1.2879051655382783,-1.2894996911794867,-1.2879051655382783,-1.2913686386758778,-1.2984662451406919
20.11.2015,44.61,44.8,45.18,44.37,542500,44.8,-1.28368379367057,-1.2857567207142728,-1.28368379367057,-1.2858387824442317,-1.2824310560431755
23.11.2015,44.82,42.86,45.0,42.85,1389000,42.86,-1.3022962059963743,-1.283741275079158,-1.3022962059963743,-1.2875549447230186,-1.2971138797951185
24.11.2015,42.86,43.13,43.29,41.61,1036600,43.13,-1.299705818713917,-1.3025521010068988,-1.299705818713917,-1.3038584863714915,-1.309091972855914
25.11.2015,43.33,42.55,43.64,42.4,868900,42.55,-1.3052703543577142,-1.298041341728308,-1.3052703543577142,-1.3005215041627396,-1.3014607684058908
27.11.2015,42.48,42.92,43.26,42.31,285300,42.92,-1.3017205643780505,-1.3061990978704405,-1.3017205643780505,-1.304144513417956,-1.3023301461280454
30.11.2015,43.14,43.19,43.68,42.75,566400,43.19,-1.299130177095593,-1.2998648401600787,-1.299130177095593,-1.3001401347674537,-1.2980798550419568
01.12.2015,43.33,44.39,44.97,43.27,667100,44.39,-1.287617344729116,-1.298041341728308,-1.287617344729116,-1.287840971769483,-1.2930567837583973
02.12.2015,44.62,43.99,44.85,43.66,614800,43.99,-1.2914549555179418,-1.2856607471126007,-1.2914549555179418,-1.2889850799553406,-1.2892894802957278
