Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
02.01.2014,30.92,30.72,30.92,31.01,30.46,14763300
03.01.2014,29.88,30.9,29.88,30.92,29.45,41426900
06.01.2014,30.51,30.13,30.51,30.65,29.93,25063500
07.01.2014,30.36,30.73,30.36,30.92,30.28,14156900
08.01.2014,30.52,30.45,30.52,30.84,30.36,11342400
09.01.2014,30.58,30.87,30.58,30.92,30.42,9790600
10.01.2014,30.23,30.66,30.23,30.72,30.08,14596000
13.01.2014,29.89,30.33,29.89,30.69,29.78,20993200
14.01.2014,30.22,30.03,30.22,30.33,29.88,17389100
15.01.2014,29.74,29.93,29.74,30.03,29.42,89207600
16.01.2014,29.45,29.68,29.45,29.87,29.27,36091300
17.01.2014,29.15,29.5,29.15,29.53,28.94,28003300
21.01.2014,28.95,29.37,28.95,29.45,28.62,30786600
22.01.2014,29.3,29.0,29.3,29.31,28.79,16902000
23.01.2014,29.01,28.95,29.01,29.07,28.63,20556300
24.01.2014,27.81,28.75,27.81,28.78,27.71,39564500
27.01.2014,27.76,27.79,27.76,28.15,27.23,33915300
28.01.2014,27.8,28.06,27.8,28.09,27.73,15926700
29.01.2014,27.45,27.23,27.45,27.91,27.19,17523300
30.01.2014,27.82,27.85,27.82,27.99,27.55,15481800
31.01.2014,27.25,27.35,27.25,27.82,27.09,27201000
03.02.2014,26.62,27.39,26.62,27.42,26.36,38974100
04.02.2014,27.05,26.78,27.05,27.17,26.62,20948700
05.02.2014,26.61,27.06,26.61,27.06,26.4,29446400
06.02.2014,26.6,26.0,26.6,27.05,25.95,53685400
07.02.2014,27.27,27.16,27.27,27.54,26.75,31248000
10.02.2014,26.35,27.12,26.35,27.12,26.14,43268400
11.02.2014,26.62,26.6,26.62,26.99,26.57,23772400
12.02.2014,26.85,26.8,26.85,26.92,26.53,23300900
13.02.2014,26.58,26.56,26.58,26.6,26.25,30500900
14.02.2014,27.15,26.71,27.15,27.25,26.62,22767300
18.02.2014,27.42,27.51,27.42,27.55,27.18,24555900
19.02.2014,27.21,27.35,27.21,27.73,27.18,23060900
20.02.2014,27.57,27.33,27.57,27.64,27.18,18637700
21.02.2014,27.71,27.7,27.71,27.75,27.29,51722400
24.02.2014,27.6,27.71,27.6,27.8,27.52,22000200
25.02.2014,27.26,27.69,27.26,27.79,27.18,22504100
26.02.2014,27.81,27.15,27.81,28.04,27.14,26657500
27.02.2014,27.77,27.61,27.77,27.83,27.16,28750100
28.02.2014,27.34,27.74,27.34,27.76,27.1,44345100
03.03.2014,27.34,26.96,27.34,27.63,26.96,24013200
04.03.2014,27.89,27.58,27.89,27.93,27.51,17884600
05.03.2014,28.33,28.35,28.33,28.73,28.19,28489000
06.03.2014,28.35,28.6,28.35,28.73,28.35,19105200
07.03.2014,28.46,28.65,28.46,28.7,28.28,17547800
10.03.2014,28.01,28.36,28.01,28.36,27.76,17552600
11.03.2014,26.57,27.94,26.57,28.03,26.44,41033400
12.03.2014,26.32,26.25,26.32,26.62,25.95,46300500
13.03.2014,25.74,26.46,25.74,26.55,25.58,39628600
14.03.2014,25.97,25.79,25.97,26.33,25.57,31908600
17.03.2014,26.38,26.01,26.38,26.43,25.68,29696400
18.03.2014,26.79,26.42,26.79,26.85,26.28,21329700
19.03.2014,26.6,26.88,26.6,27.43,26.36,14690900
20.03.2014,26.86,26.5,26.86,26.87,26.21,14456100
21.03.2014,26.67,26.96,26.67,27.05,26.5,24010100
24.03.2014,26.77,26.43,26.77,26.79,26.12,21461500
25.03.2014,26.29,26.76,26.29,26.8,26.05,24817600
26.03.2014,26.07,26.42,26.07,26.47,26.05,16997000
27.03.2014,26.29,26.12,26.29,26.66,25.99,16382900
28.03.2014,26.46,26.39,26.46,26.68,26.33,19175400
31.03.2014,26.22,26.31,26.22,26.5,25.86,24292600
01.04.2014,26.16,26.28,26.16,26.77,26.15,46569800
02.04.2014,26.57,26.4,26.57,26.7,26.19,41863900
03.04.2014,27.0,26.62,27.0,27.05,26.46,20578700
04.04.2014,26.52,27.11,26.52,27.2,26.4,20368900
07.04.2014,25.99,26.41,25.99,26.46,25.77,24348100
08.04.2014,26.31,26.02,26.31,26.36,25.79,20615600
09.04.2014,25.61,25.83,25.61,26.09,25.6,33165400
10.04.2014,25.37,25.68,25.37,25.95,25.37,34302100
11.04.2014,24.33,25.14,24.33,25.21,24.15,45760200
14.04.2014,24.8,24.6,24.8,25.05,24.49,18759700
15.04.2014,25.41,25.0,25.41,25.48,24.6,23450900
16.04.2014,25.88,25.67,25.88,25.89,25.38,18140700
17.04.2014,25.89,25.77,25.89,25.97,25.75,12351100
21.04.2014,25.89,25.86,25.89,26.06,25.71,9909400
22.04.2014,26.08,25.93,26.08,26.24,25.9,12291600
23.04.2014,26.2,26.12,26.2,26.37,25.98,16063900
24.04.2014,26.03,27.05,26.03,27.2,25.54,33352400
25.04.2014,25.69,25.56,25.69,25.96,25.56,16031100
28.04.2014,25.72,25.85,25.72,25.86,25.54,20175900
29.04.2014,25.89,25.67,25.89,25.98,25.61,12087700
30.04.2014,26.27,25.78,26.27,26.31,25.78,14037800
01.05.2014,26.59,26.41,26.59,26.97,26.31,19572600
02.05.2014,26.64,26.69,26.64,26.92,26.56,11396700
05.05.2014,26.47,26.54,26.47,26.58,26.38,8449100
06.05.2014,26.47,26.72,26.47,26.77,26.47,10114500
07.05.2014,26.72,26.63,26.72,26.75,26.37,9269700
08.05.2014,26.55,26.65,26.55,26.99,26.46,10251500
09.05.2014,26.08,26.51,26.08,26.59,26.02,16803500
12.05.2014,26.53,26.19,26.53,26.62,26.19,9498900
13.05.2014,26.78,26.54,26.78,26.81,26.36,9048300
14.05.2014,26.62,26.74,26.62,26.75,26.51,10495300
15.05.2014,26.18,26.37,26.18,26.47,25.77,18088600
16.05.2014,25.9,25.71,25.9,26.4,25.51,21485200
19.05.2014,26.09,25.78,26.09,26.17,25.75,9006100
20.05.2014,25.19,26.02,25.19,26.13,25.11,24894200
21.05.2014,25.49,25.25,25.49,25.61,25.22,12392400
22.05.2014,25.46,25.44,25.46,25.67,25.38,8428000
23.05.2014,25.62,25.51,25.62,25.67,25.45,8267100
27.05.2014,25.86,25.84,25.86,25.89,25.73,8995100
28.05.2014,26.35,25.97,26.35,26.37,25.87,12575800
29.05.2014,26.25,26.36,26.25,26.4,26.09,10880900
30.05.2014,26.34,26.13,26.34,26.39,26.05,14172100
02.06.2014,26.56,26.31,26.56,26.59,26.12,11556900
03.06.2014,26.86,26.76,26.86,27.19,26.47,17795900
04.06.2014,27.82,27.05,27.82,28.1,26.93,33252200
05.06.2014,27.63,28.16,27.63,28.22,27.55,25094500
06.06.2014,28.08,27.71,28.08,28.23,27.46,17642800
