Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
06.01.2014,1001.61,995.78,1006.26,988.79,19078200,995.78,0.11474263081496386,0.1356442368904228,0.11474263081496386,0.1196036307244792,0.12190856955116405
07.01.2014,989.96,985.3,993.45,984.14,12099600,985.3,0.07295225701158148,0.0892600063806614,0.07295225701158148,0.0690546533029093,0.10318590878930517
08.01.2014,988.79,996.95,996.95,987.63,12299400,996.95,0.11940815918805169,0.0846016759346164,0.11940815918805169,0.08286584931973173,0.11723797030734559
09.01.2014,994.62,992.29,996.95,987.63,12880500,992.29,0.10082579831746342,0.10781369858456587,0.10082579831746342,0.08286584931973173,0.11723797030734559
10.01.2014,981.81,993.45,994.62,975.98,21109800,993.45,0.10545145037967019,0.05681095241889657,0.10545145037967019,0.07367153882853264,0.07033065893623666
14.01.2014,963.17,958.51,963.87,953.39,27338400,958.51,-0.03387637983885844,-0.017403816396721755,-0.03387637983885844,-0.047669683319264494,-0.020625234958471853
15.01.2014,971.32,966.67,971.79,961.77,19813200,966.67,-0.0013373101598891394,0.01504523756504308,-0.0013373101598891394,-0.01641691976119788,0.013115818199458907
16.01.2014,971.33,974.35,986.47,965.73,17296800,974.35,0.02928769659678822,0.015085052355180177,0.02928769659678822,0.041511182389360475,0.029060277686977658
17.01.2014,970.16,964.57,970.86,958.51,13676400,964.57,-0.009711335444917674,0.010426721909135172,-0.009711335444917674,-0.020086751845667647,-1.0176227134653051e-05
20.01.2014,969.0,968.06,972.26,960.14,10689000,968.06,0.004205497052582314,0.005808206253227717,0.004205497052582314,-0.014562273438938761,0.006552820986162128
21.01.2014,971.32,961.77,974.82,961.77,15254400,961.77,-0.020876702491623142,0.01504523756504308,-0.020876702491623142,-0.004460370066634116,0.013115818199458907
22.01.2014,961.77,959.91,964.57,951.53,20082900,959.91,-0.028293696315505934,-0.02297788701592047,-0.028293696315505934,-0.04490744411589982,-0.028114299263215497
23.01.2014,963.17,953.86,963.64,953.39,18281700,953.86,-0.05241886439856519,-0.017403816396721755,-0.05241886439856519,-0.048577276200370036,-0.020625234958471853
24.01.2014,942.91,930.56,943.37,927.3,28410000,930.56,-0.14533066875150513,-0.09806858121455586,-0.14533066875150513,-0.1285638314177959,-0.1256734541578054
27.01.2014,907.27,913.09,920.78,905.87,26568600,913.09,-0.214994583860769,-0.23996849326330252,-0.214994583860769,-0.21770523656637286,-0.211958748808695
28.01.2014,913.09,905.17,920.55,904.47,20379600,905.17,-0.24657662207859254,-0.21679628540349014,-0.24657662207859254,-0.2186128294474784,-0.21759567893054493
29.01.2014,925.9,932.66,934.29,920.31,17463600,932.66,-0.13695664346647615,-0.1657935392378213,-0.13695664346647615,-0.1643940199414383,-0.15381784098047085
30.01.2014,910.76,909.13,927.07,904.24,22155600,909.13,-0.23078560296968076,-0.22607313150544261,-0.23078560296968076,-0.19288454429614021,-0.2185217460219918
31.01.2014,917.05,906.8,919.38,898.65,17110200,906.8,-0.2400767834049749,-0.20102962850918527,-0.2400767834049749,-0.22322971497310173,-0.2410292027228073
03.02.2014,899.12,886.54,913.79,885.14,21243900,886.54,-0.32086618925006316,-0.2724175472250669,-0.32086618925006316,-0.2452881680399697,-0.2954255783986599
04.02.2014,861.85,830.4,866.27,829.24,34640400,830.4,-0.5447317985365023,-0.42080727006616647,-0.5447317985365023,-0.43280474938837027,-0.5205001454068138
05.02.2014,839.72,843.68,852.53,835.06,24991200,843.68,-0.4917760576864149,-0.5089174006396446,-0.4917760576864149,-0.48702355889441035,-0.4970666216145519
06.02.2014,850.2,833.2,850.2,832.73,17550900,833.2,-0.5335664314897969,-0.46719150057592784,-0.5335664314897969,-0.496217869385609,-0.5064480838887734
07.02.2014,850.2,857.19,859.98,847.17,15937800,857.19,-0.4379031616860619,-0.46719150057592784,-0.4379031616860619,-0.4576254416586024,-0.44830717606054926
10.02.2014,875.36,864.64,875.59,860.22,13267500,864.64,-0.40819531007965015,-0.367017488590898,-0.40819531007965015,-0.3960275074235743,-0.39576293456758993
12.02.2014,887.24,893.06,895.62,880.48,20970000,893.06,-0.2948668345555926,-0.3197175179079825,-0.2948668345555926,-0.316988005647302,-0.3141885029471034
13.02.2014,894.92,874.19,894.92,869.53,14059800,874.19,-0.37011343318820894,-0.2891397590826635,-0.37011343318820894,-0.31975024485066667,-0.35827734925728755
14.02.2014,875.12,864.88,892.13,861.38,19674600,864.88,-0.407238278618504,-0.36797304355418925,-0.407238278618504,-0.3307597411040764,-0.39109233532377147
17.02.2014,864.88,872.79,874.89,858.82,11695800,872.79,-0.3756961167115619,-0.40874338865461485,-0.3756961167115619,-0.398789746626939,-0.40139986468943983
18.02.2014,873.03,890.03,896.09,868.6,17429700,890.03,-0.30694935675256274,-0.37629433469285045,-0.30694935675256274,-0.3151333593250429,-0.3620218814096592
19.02.2014,884.21,874.43,884.67,869.07,16645800,874.43,-0.3691564017270632,-0.33178139931953404,-0.3691564017270632,-0.3601973188999324,-0.36012948344018086
20.02.2014,868.84,850.67,874.43,848.1,27676200,850.67,-0.463902516380533,-0.3929767317603095,-0.463902516380533,-0.40060493238915007,-0.4445626439081772
21.02.2014,861.85,861.61,865.11,853.23,16479900,861.61,-0.4202778322766203,-0.42080727006616647,-0.4202778322766203,-0.43738217435394555,-0.4239073213902554
24.02.2014,865.57,857.19,874.66,846.94,18263400,857.19,-0.4379031616860619,-0.4059961681351524,-0.4379031616860619,-0.39969733950804454,-0.44923324315199564
25.02.2014,859.98,864.18,868.6,859.75,16107000,864.18,-0.4100296203801804,-0.42825263582181056,-0.4100296203801804,-0.42361043889717115,-0.39765533253706825
26.02.2014,872.33,863.01,872.33,862.31,13749600,863.01,-0.4146951487532678,-0.3790813700024496,-0.4146951487532678,-0.40889164999924316,-0.3873478031713999
27.02.2014,861.85,861.61,868.14,853.69,12409500,861.61,-0.4202778322766203,-0.42080727006616647,-0.4202778322766203,-0.4254256246593823,-0.4220551872073617
28.02.2014,861.38,849.5,863.24,842.51,23000400,849.5,-0.46856804475362035,-0.4226785652026119,-0.46856804475362035,-0.44476129908293355,-0.46707010060899273
03.03.2014,840.18,863.94,863.94,839.02,22459800,863.94,-0.41098665184132616,-0.5070859202933368,-0.41098665184132616,-0.4419990598795689,-0.4811221621270331
04.03.2014,857.65,858.35,869.07,854.86,16011600,858.35,-0.4332775096238556,-0.43752948192376306,-0.4332775096238556,-0.421755792574912,-0.4173443241769586
05.03.2014,878.15,869.3,881.88,868.37,14749800,869.3,-0.38961294920906236,-0.3559091621426377,-0.38961294920906236,-0.37120681515334214,-0.362947948501106
