Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
03.01.2022,9.93,11.06,9.93,11.2,9.4,23323315
04.01.2022,10.52,10.21,10.52,10.79,10.07,11315628
05.01.2022,11.17,10.71,11.17,11.21,10.62,9073446
06.01.2022,10.41,10.9,10.41,11.05,10.41,8844542
07.01.2022,10.11,10.25,10.11,10.69,10.03,11941139
10.01.2022,9.98,9.92,9.98,10.31,9.91,6880124
11.01.2022,9.97,9.98,9.97,10.15,9.9,4472971
12.01.2022,10.54,10.08,10.54,10.55,10.02,5804326
13.01.2022,10.88,10.56,10.88,11.16,10.51,7510382
14.01.2022,10.51,10.81,10.51,10.93,10.47,4406227
17.01.2022,10.46,10.66,10.46,10.76,10.38,3165422
18.01.2022,10.21,10.44,10.21,10.46,10.21,2435262
19.01.2022,10.26,10.21,10.26,10.44,10.11,2413549
20.01.2022,10.21,10.27,10.21,10.42,10.21,1535035
21.01.2022,10.14,10.11,10.14,10.25,10.07,1777164
24.01.2022,9.41,10.08,9.41,10.11,9.41,4229589
25.01.2022,9.14,9.55,9.14,9.57,9.08,3251441
26.01.2022,9.45,9.13,9.45,9.61,8.99,3546202
27.01.2022,9.45,9.27,9.45,9.66,9.19,2484688
28.01.2022,9.24,9.43,9.24,9.47,9.2,1984383
31.01.2022,9.3,9.56,9.3,9.57,9.22,1481754
01.02.2022,9.36,9.38,9.36,9.42,9.22,3182466
02.02.2022,9.15,9.38,9.15,9.41,9.15,2785789
03.02.2022,8.88,9.13,8.88,9.13,8.88,2319627
04.02.2022,8.6,8.94,8.6,8.95,8.57,3367791
07.02.2022,8.59,8.68,8.59,8.77,8.55,3275204
08.02.2022,8.28,8.63,8.28,8.96,8.11,6011852
09.02.2022,8.85,8.32,8.85,8.85,8.15,6081895
10.02.2022,8.79,8.81,8.79,8.9,8.59,4204295
11.02.2022,8.46,8.6,8.46,8.66,8.43,3316128
14.02.2022,8.12,8.33,8.12,8.33,7.96,3910261
15.02.2022,8.28,8.1,8.28,8.33,8.02,2468105
16.02.2022,8.23,8.41,8.23,8.44,8.18,2299262
17.02.2022,7.94,8.2,7.94,8.23,7.93,3404051
18.02.2022,7.91,7.96,7.91,8.02,7.79,2313680
21.02.2022,7.71,7.96,7.71,7.97,7.71,2369088
22.02.2022,7.91,7.38,7.91,8.0,7.04,3062742
23.02.2022,7.6,7.94,7.6,7.96,7.6,1845591
24.02.2022,7.22,7.15,7.22,7.38,7.08,4104613
25.02.2022,7.37,7.32,7.37,7.37,7.04,3075358
28.02.2022,7.31,7.17,7.31,7.34,7.07,2532581
01.03.2022,6.79,7.37,6.79,7.38,6.79,3306233
02.03.2022,6.88,6.73,6.88,6.93,6.55,3447231
03.03.2022,6.75,6.95,6.75,6.97,6.7,1906095
04.03.2022,6.22,6.61,6.22,6.66,6.07,3684492
07.03.2022,6.02,5.77,6.02,6.22,5.62,5966204
08.03.2022,6.28,6.02,6.28,6.49,5.98,3779682
09.03.2022,6.52,6.48,6.52,6.54,6.32,4270764
10.03.2022,6.02,6.52,6.02,6.54,5.97,5312212
11.03.2022,6.33,6.04,6.33,6.62,6.04,4433079
14.03.2022,6.6,6.47,6.6,6.61,6.4,2581341
15.03.2022,6.42,6.58,6.42,6.58,6.34,2670255
16.03.2022,6.57,6.62,6.57,6.67,6.51,2826765
17.03.2022,6.8,6.65,6.8,6.89,6.63,3556258
18.03.2022,6.6,6.83,6.6,6.86,6.51,4400032
21.03.2022,6.46,6.51,6.46,6.59,6.4,2303616
22.03.2022,6.52,6.47,6.52,6.52,6.39,2735170
23.03.2022,6.41,6.63,6.41,6.74,6.41,2749560
24.03.2022,6.42,6.48,6.42,6.52,6.39,1556296
25.03.2022,6.15,6.46,6.15,6.46,6.14,3912970
28.03.2022,6.19,6.17,6.19,6.33,6.17,3017576
29.03.2022,6.45,6.28,6.45,6.51,6.17,4427308
30.03.2022,6.19,6.46,6.19,6.48,6.18,4370928
31.03.2022,5.84,6.25,5.84,6.25,5.84,5857735
01.04.2022,5.89,5.89,5.89,6.02,5.83,2974965
04.04.2022,5.84,5.91,5.84,5.93,5.76,2524391
05.04.2022,5.59,5.87,5.59,5.9,5.54,4549813
06.04.2022,5.36,5.57,5.36,5.69,5.29,4125758
07.04.2022,5.25,5.42,5.25,5.48,5.25,2522173
08.04.2022,5.38,5.35,5.38,5.46,5.25,2794856
11.04.2022,5.71,5.37,5.71,5.77,5.34,4160054
12.04.2022,5.61,5.65,5.61,5.71,5.56,2825138
13.04.2022,5.94,5.6,5.94,5.95,5.52,3445946
14.04.2022,5.85,5.94,5.85,5.95,5.76,2815887
19.04.2022,6.02,5.88,6.02,6.12,5.85,2951736
20.04.2022,6.01,6.06,6.01,6.06,5.96,1758895
21.04.2022,6.02,6.04,6.02,6.11,6.0,1800303
22.04.2022,5.79,5.97,5.79,6.05,5.79,2997914
25.04.2022,5.6,5.69,5.6,5.78,5.57,1805442
26.04.2022,5.64,5.67,5.64,5.96,5.52,4118445
27.04.2022,5.53,5.62,5.53,5.67,5.47,2732328
28.04.2022,5.52,5.61,5.52,5.68,5.47,1663580
29.04.2022,5.55,5.56,5.55,5.63,5.51,1099010
02.05.2022,5.48,5.51,5.48,5.53,5.36,1773043
03.05.2022,5.65,5.51,5.65,5.68,5.45,1785095
04.05.2022,5.47,5.67,5.47,5.68,5.47,1422123
05.05.2022,5.3,5.59,5.3,5.61,5.28,2009709
06.05.2022,5.36,5.28,5.36,5.45,5.27,1944723
09.05.2022,5.23,5.37,5.23,5.37,5.17,2313101
10.05.2022,5.14,5.31,5.14,5.35,5.14,1768139
11.05.2022,5.32,5.15,5.32,5.32,5.12,1860265
12.05.2022,5.3,5.24,5.3,5.34,5.13,1936176
13.05.2022,5.36,5.34,5.36,5.41,5.28,2716530
16.05.2022,5.32,5.36,5.32,5.43,5.3,1002502
17.05.2022,5.49,5.36,5.49,5.59,5.35,3413741
18.05.2022,5.62,5.55,5.62,5.68,5.46,2097766
19.05.2022,5.53,5.51,5.53,5.56,5.41,1569339
20.05.2022,5.49,5.58,5.49,5.64,5.47,1773866
23.05.2022,5.55,5.51,5.55,5.57,5.45,1355091
24.05.2022,5.48,5.56,5.48,5.57,5.41,1233973
25.05.2022,5.62,5.48,5.62,5.64,5.39,1984827
26.05.2022,5.79,5.65,5.79,5.81,5.55,2495941
27.05.2022,5.85,5.71,5.85,5.87,5.71,1583023
30.05.2022,5.96,5.91,5.96,5.99,5.88,1510660
31.05.2022,5.82,5.96,5.82,5.99,5.8,1710248
01.06.2022,5.84,5.82,5.84,5.94,5.8,1985267
02.06.2022,5.98,5.9,5.98,5.99,5.85,1792655
03.06.2022,5.99,6.0,5.99,6.11,5.94,2831477
06.06.2022,6.28,6.05,6.28,6.3,6.02,3321010
07.06.2022,6.18,6.25,6.18,6.27,6.06,2320257
08.06.2022,6.21,6.21,6.21,6.27,6.11,1704261
09.06.2022,5.8,6.18,5.8,6.18,5.8,4583558
10.06.2022,5.37,5.79,5.37,5.79,5.33,4779877
13.06.2022,4.99,5.3,4.99,5.37,4.93,4636137
14.06.2022,5.01,5.06,5.01,5.16,4.91,2818082
15.06.2022,5.23,5.14,5.23,5.36,5.06,3602352
16.06.2022,5.13,5.18,5.13,5.2,5.06,2452422
17.06.2022,5.23,5.11,5.23,5.23,5.05,4765434
20.06.2022,5.35,5.25,5.35,5.37,5.14,1265113
21.06.2022,5.32,5.35,5.32,5.49,5.32,1367658
22.06.2022,5.22,5.22,5.22,5.29,5.08,1789692
23.06.2022,5.02,5.27,5.02,5.27,5.02,1778269
24.06.2022,5.1,5.02,5.1,5.13,4.93,1933194
27.06.2022,5.14,5.17,5.14,5.28,5.11,1761818
28.06.2022,5.21,5.16,5.21,5.25,5.11,1556955
29.06.2022,5.2,5.15,5.2,5.23,5.11,1305635
30.06.2022,4.95,5.12,4.95,5.22,4.87,3072185
01.07.2022,4.99,4.89,4.99,5.05,4.85,1535360
04.07.2022,5.05,4.96,5.05,5.06,4.9,985438
05.07.2022,4.66,5.02,4.66,5.09,4.66,3762380
06.07.2022,4.67,4.73,4.67,4.8,4.5,3036596
07.07.2022,5.01,4.77,5.01,5.06,4.74,3052499
08.07.2022,5.18,4.97,5.18,5.18,4.92,2393460
11.07.2022,4.95,5.11,4.95,5.16,4.95,1794145
12.07.2022,5.03,4.91,5.03,5.05,4.86,1560900
13.07.2022,4.86,5.03,4.86,5.03,4.8,1981838
14.07.2022,4.67,4.9,4.67,4.9,4.65,2312800
15.07.2022,4.93,4.75,4.93,4.95,4.64,1947099
18.07.2022,5.02,5.0,5.02,5.1,4.93,1625180
19.07.2022,5.28,5.04,5.28,5.28,4.94,2254990
20.07.2022,5.25,5.29,5.25,5.37,5.17,2033903
21.07.2022,5.29,5.09,5.29,5.34,5.06,2301198
22.07.2022,5.28,5.26,5.28,5.34,5.17,1162846
25.07.2022,5.3,5.23,5.3,5.32,5.17,1157899
26.07.2022,5.14,5.25,5.14,5.3,5.13,1532624
27.07.2022,5.4,5.14,5.4,5.41,5.14,2599217
28.07.2022,5.76,5.57,5.76,5.77,5.46,4041376
29.07.2022,5.85,5.79,5.85,5.89,5.74,2682369
01.08.2022,5.66,5.86,5.66,5.91,5.66,1641881
02.08.2022,5.82,5.6,5.82,5.85,5.59,1444990
03.08.2022,5.78,5.71,5.78,5.9,5.69,1112997
04.08.2022,5.66,5.78,5.66,5.86,5.61,2138183
05.08.2022,5.68,5.72,5.68,5.72,5.63,1418521
08.08.2022,5.7,5.7,5.7,5.77,5.64,695578
09.08.2022,5.64,5.74,5.64,5.75,5.6,947624
10.08.2022,5.86,5.6,5.86,5.87,5.57,1266112
11.08.2022,5.97,5.9,5.97,5.98,5.84,1462457
12.08.2022,5.92,5.98,5.92,5.99,5.91,935810
16.08.2022,5.95,5.95,5.95,6.0,5.89,1170223
17.08.2022,5.77,5.95,5.77,6.01,5.76,1665740
18.08.2022,5.81,5.76,5.81,5.89,5.76,836698
19.08.2022,5.65,5.74,5.65,5.75,5.65,830988
22.08.2022,5.44,5.62,5.44,5.64,5.42,1339835
23.08.2022,5.45,5.4,5.45,5.51,5.4,1460627
24.08.2022,5.46,5.45,5.46,5.48,5.33,1306839
25.08.2022,5.35,5.47,5.35,5.51,5.33,1508487
26.08.2022,5.08,5.32,5.08,5.36,5.08,2664968
29.08.2022,5.09,4.99,5.09,5.14,4.97,1228962
30.08.2022,5.07,5.16,5.07,5.18,5.03,1032447
31.08.2022,4.97,5.11,4.97,5.12,4.95,1569176
01.09.2022,4.86,4.92,4.86,4.96,4.83,1226903
02.09.2022,5.06,4.89,5.06,5.09,4.85,1536086
05.09.2022,4.85,4.94,4.85,4.94,4.84,1295189
06.09.2022,4.93,4.88,4.93,4.96,4.85,951917
07.09.2022,4.97,4.91,4.97,4.98,4.88,743828
08.09.2022,4.88,5.0,4.88,5.0,4.79,1462223
09.09.2022,4.98,4.92,4.98,5.01,4.88,1113895
12.09.2022,5.13,5.01,5.13,5.16,5.01,1218078
13.09.2022,5.01,5.13,5.01,5.21,5.01,1415013
14.09.2022,4.96,4.95,4.96,5.01,4.9,1232509
15.09.2022,4.98,4.94,4.98,5.02,4.93,748112
16.09.2022,4.9,4.89,4.9,4.94,4.84,1585033
19.09.2022,5.0,4.83,5.0,5.03,4.79,1118182
20.09.2022,4.86,5.02,4.86,5.06,4.85,1049480
21.09.2022,5.06,4.79,5.06,5.06,4.78,1032448
22.09.2022,4.89,4.96,4.89,5.04,4.87,1010793
23.09.2022,4.65,4.91,4.65,4.91,4.65,2075592
26.09.2022,4.75,4.64,4.75,4.8,4.61,1054669
27.09.2022,4.73,4.8,4.73,4.82,4.68,891838
28.09.2022,4.82,4.64,4.82,4.84,4.64,1348230
29.09.2022,4.64,4.78,4.64,4.79,4.58,1754522
30.09.2022,4.78,4.66,4.78,4.83,4.64,1635754
03.10.2022,4.86,4.74,4.86,4.86,4.65,1105812
04.10.2022,5.06,4.92,5.06,5.09,4.9,1707922
05.10.2022,5.01,5.0,5.01,5.05,4.93,1313665
06.10.2022,5.04,5.02,5.04,5.13,4.99,1022230
07.10.2022,5.06,5.0,5.06,5.12,4.99,1005472
10.10.2022,5.06,5.01,5.06,5.14,4.97,734627
11.10.2022,5.07,5.0,5.07,5.08,4.97,1042121
12.10.2022,4.94,5.09,4.94,5.11,4.93,960763
13.10.2022,5.1,4.92,5.1,5.1,4.87,1007357
14.10.2022,5.03,5.16,5.03,5.18,5.02,1003543
17.10.2022,5.11,5.03,5.11,5.13,4.99,601405
18.10.2022,5.25,5.16,5.25,5.33,5.12,1822628
19.10.2022,5.24,5.27,5.24,5.29,5.16,578241
20.10.2022,5.27,5.21,5.27,5.29,5.13,1039336
21.10.2022,5.28,5.23,5.28,5.33,5.14,815597
24.10.2022,5.42,5.33,5.42,5.43,5.21,1632705
25.10.2022,5.42,5.44,5.42,5.45,5.34,1178589
26.10.2022,5.45,5.43,5.45,5.49,5.37,981454
27.10.2022,5.5,5.44,5.5,5.53,5.4,1401317
28.10.2022,5.39,5.4,5.39,5.45,5.35,1086736
31.10.2022,5.37,5.45,5.37,5.45,5.32,561510
01.11.2022,5.42,5.37,5.42,5.5,5.37,771072
02.11.2022,5.35,5.42,5.35,5.5,5.35,710760
03.11.2022,5.28,5.38,5.28,5.38,5.15,1446118
04.11.2022,5.48,5.29,5.48,5.5,5.28,1097994
07.11.2022,5.7,5.45,5.7,5.76,5.45,1966146
08.11.2022,5.79,5.69,5.79,5.85,5.65,1345223
09.11.2022,6.03,5.91,6.03,6.09,5.89,3310511
10.11.2022,6.11,5.92,6.11,6.12,5.8,2465306
11.11.2022,6.17,6.17,6.17,6.24,6.13,1940924
14.11.2022,6.11,6.22,6.11,6.25,6.1,1230545
15.11.2022,6.09,6.13,6.09,6.18,6.04,1148359
16.11.2022,6.06,6.04,6.06,6.16,5.98,1220830
17.11.2022,5.97,6.09,5.97,6.14,5.94,1183007
18.11.2022,6.14,6.01,6.14,6.14,5.96,1114284
21.11.2022,6.08,6.09,6.08,6.13,6.05,548307
22.11.2022,6.05,6.03,6.05,6.13,6.0,421479
23.11.2022,6.08,6.09,6.08,6.1,5.99,540433
24.11.2022,6.09,6.05,6.09,6.14,6.05,341527
25.11.2022,6.15,6.07,6.15,6.17,6.04,709890
28.11.2022,6.24,6.15,6.24,6.25,6.1,1390641
29.11.2022,6.24,6.26,6.24,6.31,6.2,1153771
30.11.2022,6.31,6.27,6.31,6.31,6.24,986833
01.12.2022,6.38,6.34,6.38,6.41,6.34,1118846
02.12.2022,6.35,6.37,6.35,6.37,6.24,855642
05.12.2022,6.39,6.34,6.39,6.44,6.28,1182469
06.12.2022,6.2,6.37,6.2,6.41,6.19,1219252
07.12.2022,6.09,6.17,6.09,6.23,6.01,1305794
08.12.2022,6.09,6.09,6.09,6.11,6.05,718598
09.12.2022,6.14,6.14,6.14,6.14,6.02,1010763
12.12.2022,6.08,6.08,6.08,6.13,6.04,568662
13.12.2022,6.17,6.06,6.17,6.25,6.04,1194931
14.12.2022,6.03,6.13,6.03,6.21,5.99,1169428
15.12.2022,5.74,5.96,5.74,6.02,5.74,1882389
16.12.2022,5.77,5.74,5.77,5.82,5.72,911894
19.12.2022,5.86,5.76,5.86,5.91,5.76,795631
20.12.2022,5.71,5.77,5.71,5.79,5.67,1305048
21.12.2022,5.71,5.76,5.71,5.76,5.68,1142347
22.12.2022,5.46,5.7,5.46,5.71,5.46,2220991
23.12.2022,5.56,5.49,5.56,5.59,5.46,1270112
27.12.2022,5.54,5.62,5.54,5.62,5.5,708248
28.12.2022,5.44,5.54,5.44,5.55,5.4,892336
29.12.2022,5.51,5.41,5.51,5.51,5.38,792824
30.12.2022,5.46,5.46,5.46,5.48,5.44,475168
02.01.2023,5.64,5.46,5.64,5.64,5.46,683671
03.01.2023,5.7,5.65,5.7,5.74,5.64,1139125
04.01.2023,5.79,5.73,5.79,5.79,5.62,2305811
05.01.2023,5.77,5.75,5.77,5.79,5.66,1652373
06.01.2023,5.91,5.81,5.91,5.91,5.78,1735246
09.01.2023,6.07,5.94,6.07,6.12,5.92,1604373
10.01.2023,6.12,6.04,6.12,6.12,6.01,1003317
11.01.2023,6.44,6.13,6.44,6.44,6.12,3181061
12.01.2023,6.72,6.44,6.72,6.77,6.41,4637628
13.01.2023,6.91,6.8,6.91,6.94,6.64,2733666
16.01.2023,6.82,6.96,6.82,7.03,6.81,2146613
17.01.2023,6.67,6.82,6.67,6.85,6.65,2130259
18.01.2023,6.78,6.71,6.78,6.84,6.67,1305558
