Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
02.01.2014,27.64,28.34,27.64,28.53,27.64,4223204
03.01.2014,27.67,27.57,27.67,28.01,27.53,2951003
06.01.2014,27.59,27.79,27.59,27.98,27.56,2615652
07.01.2014,27.97,27.59,27.97,28.05,27.49,2917977
08.01.2014,27.89,28.06,27.89,28.07,27.77,2885136
09.01.2014,27.86,27.82,27.86,28.52,27.77,4521219
10.01.2014,27.84,27.94,27.84,28.26,27.75,3570333
13.01.2014,28.18,27.98,28.18,28.28,27.94,3109802
14.01.2014,28.53,28.06,28.53,28.53,27.84,3515046
15.01.2014,29.36,28.69,29.36,29.52,28.62,5679255
16.01.2014,29.38,29.33,29.38,29.5,29.05,3255976
17.01.2014,29.63,29.51,29.63,29.78,29.46,6048790
20.01.2014,29.57,29.5,29.57,29.68,29.34,2081982
21.01.2014,29.39,29.65,29.39,29.77,29.37,3315596
22.01.2014,29.58,29.56,29.58,29.73,29.26,3076602
23.01.2014,29.26,29.48,29.26,29.97,29.08,4460600
24.01.2014,28.17,29.27,28.17,29.6,28.11,6789132
27.01.2014,27.94,28.25,27.94,28.3,27.71,5167990
28.01.2014,28.17,28.13,28.17,28.39,27.96,4092720
29.01.2014,27.7,28.49,27.7,28.65,27.05,7210630
30.01.2014,28.02,27.69,28.02,28.14,27.24,4220704
31.01.2014,27.85,28.0,27.85,28.01,27.2,6561068
03.02.2014,27.21,27.85,27.21,28.03,27.05,4966892
04.02.2014,27.21,26.79,27.21,27.35,26.35,6165513
05.02.2014,27.29,27.25,27.29,27.5,27.03,6076501
06.02.2014,28.01,28.25,28.01,28.47,27.77,10204050
07.02.2014,28.48,28.24,28.48,28.65,28.15,5957447
10.02.2014,28.33,28.74,28.33,28.85,28.3,3161333
11.02.2014,29.38,28.69,29.38,29.38,28.62,5821283
12.02.2014,29.79,29.56,29.79,30.01,29.55,5439262
13.02.2014,29.88,29.65,29.88,29.9,29.36,4301915
14.02.2014,30.04,29.92,30.04,30.11,29.78,3972125
17.02.2014,29.92,30.04,29.92,30.09,29.87,2225996
18.02.2014,29.88,30.03,29.88,30.03,29.57,2956022
19.02.2014,29.68,29.85,29.68,29.92,29.51,3064525
20.02.2014,29.71,29.09,29.71,29.71,28.87,4034353
21.02.2014,30.09,29.98,30.09,30.09,29.71,3951003
24.02.2014,30.35,29.85,30.35,30.35,29.85,4610259
25.02.2014,30.11,30.34,30.11,30.34,29.88,3648568
26.02.2014,30.19,30.19,30.19,30.35,29.98,2791733
27.02.2014,30.05,30.23,30.05,30.4,29.65,3950494
28.02.2014,30.27,30.16,30.27,30.27,29.82,3664049
03.03.2014,29.31,29.36,29.31,29.65,29.15,5617619
04.03.2014,30.5,29.61,30.5,30.5,29.44,5499767
05.03.2014,30.9,30.41,30.9,31.11,30.34,5367486
06.03.2014,30.99,31.09,30.99,31.2,30.81,3343365
07.03.2014,30.23,31.01,30.23,31.04,30.21,4928269
10.03.2014,29.83,30.08,29.83,30.47,29.61,3953054
11.03.2014,30.25,30.0,30.25,30.43,29.92,3521951
12.03.2014,29.66,30.01,29.66,30.08,29.28,4525237
13.03.2014,29.01,29.72,29.01,30.18,28.98,4587452
14.03.2014,28.87,28.55,28.87,28.98,28.09,7007517
17.03.2014,29.36,28.64,29.36,29.36,28.64,3697439
18.03.2014,29.57,29.37,29.57,29.87,29.1,4906590
19.03.2014,29.56,29.59,29.56,29.89,29.37,4519548
20.03.2014,29.52,29.27,29.52,29.56,28.98,4705869
21.03.2014,29.55,29.53,29.55,29.76,29.4,12185945
24.03.2014,28.95,29.55,28.95,29.63,28.95,3716833
25.03.2014,29.34,29.13,29.34,29.58,28.99,3810683
26.03.2014,30.17,29.5,30.17,30.17,29.44,4468653
27.03.2014,30.09,30.22,30.09,30.22,29.95,4837210
28.03.2014,30.86,30.25,30.86,30.92,30.23,4811592
31.03.2014,30.75,31.04,30.75,31.13,30.67,3438699
01.04.2014,31.27,30.92,31.27,31.36,30.81,3536831
02.04.2014,31.15,31.38,31.15,31.43,31.08,3099175
03.04.2014,31.29,31.26,31.29,31.47,31.02,3849268
04.04.2014,31.89,31.36,31.89,31.95,31.26,4871235
07.04.2014,31.35,31.53,31.35,31.69,31.25,4765005
08.04.2014,31.34,31.53,31.34,31.61,30.82,5028042
09.04.2014,31.57,31.49,31.57,31.75,31.39,6657800
10.04.2014,31.37,31.94,31.37,32.06,31.3,6727504
11.04.2014,30.84,31.05,30.84,31.21,30.59,5489158
14.04.2014,30.87,30.44,30.87,30.89,30.22,4500512
15.04.2014,29.83,30.78,29.83,30.96,29.81,5334331
16.04.2014,30.45,30.14,30.45,30.47,30.07,4437479
17.04.2014,31.37,30.53,31.37,31.43,30.46,5435261
22.04.2014,32.04,31.75,32.04,32.07,31.53,3869499
23.04.2014,31.63,32.05,31.63,32.06,31.52,3160056
24.04.2014,31.59,31.75,31.59,32.05,30.99,3919115
25.04.2014,30.9,31.18,30.9,31.38,30.72,3249745
28.04.2014,31.23,31.0,31.23,31.38,30.87,2720810
29.04.2014,31.6,31.49,31.6,31.73,31.14,3480005
30.04.2014,31.11,31.0,31.11,31.25,30.58,5895110
02.05.2014,30.88,31.25,30.88,31.33,30.83,4318070
05.05.2014,30.72,30.77,30.72,31.01,30.29,2687303
06.05.2014,30.38,30.9,30.38,30.95,30.12,3835386
07.05.2014,30.21,30.19,30.21,30.58,30.0,4090118
08.05.2014,30.3,30.32,30.3,30.44,29.96,4967168
09.05.2014,30.08,30.22,30.08,30.29,29.93,3944512
12.05.2014,30.43,30.16,30.43,30.57,30.0,3998966
13.05.2014,30.99,30.68,30.99,31.11,30.59,5023492
14.05.2014,31.11,31.0,31.11,31.26,30.95,3079188
15.05.2014,30.77,31.15,30.77,31.62,30.6,4972437
16.05.2014,30.4,30.77,30.4,30.92,30.18,4897612
19.05.2014,30.78,30.43,30.78,30.9,30.07,3430075
20.05.2014,30.98,30.78,30.98,31.17,30.78,2583044
21.05.2014,31.31,30.89,31.31,31.35,30.77,2747559
22.05.2014,31.48,31.37,31.48,31.56,31.26,2763760
23.05.2014,31.77,31.55,31.77,31.84,31.41,2492058
26.05.2014,32.45,31.99,32.45,32.49,31.94,2965937
27.05.2014,32.43,32.46,32.43,32.58,32.28,3153161
28.05.2014,32.3,32.52,32.3,32.52,32.08,2693940
29.05.2014,32.47,32.27,32.47,32.47,32.27,1714275
30.05.2014,32.49,32.54,32.49,32.63,32.45,3592922
02.06.2014,32.32,32.63,32.32,32.79,32.07,2759788
03.06.2014,32.49,32.43,32.49,32.54,32.17,2880702
04.06.2014,32.31,32.48,32.31,32.48,31.96,3117640
05.06.2014,32.78,32.36,32.78,32.91,32.2,5463058
06.06.2014,32.75,32.78,32.75,32.98,32.56,3453495
09.06.2014,32.68,32.88,32.68,32.91,32.41,1844545
10.06.2014,32.67,32.76,32.67,32.86,32.49,2787457
11.06.2014,32.48,32.7,32.48,32.76,32.27,2822267
12.06.2014,32.4,32.55,32.4,32.61,32.26,2456871
13.06.2014,32.22,32.35,32.22,32.35,31.62,4359747
16.06.2014,32.19,32.15,32.19,32.4,32.05,2483025
17.06.2014,32.47,32.4,32.47,32.79,32.18,3331620
18.06.2014,32.46,32.63,32.46,32.68,32.43,3071618
19.06.2014,32.68,32.81,32.68,32.91,32.63,3909778
20.06.2014,32.67,32.68,32.67,33.01,32.59,8815292
23.06.2014,32.38,32.81,32.38,32.81,32.32,2445721
24.06.2014,32.19,32.23,32.19,32.29,32.02,2809594
25.06.2014,32.03,32.03,32.03,32.33,31.91,2998377
26.06.2014,31.77,32.16,31.77,32.22,31.45,3232790
27.06.2014,31.86,31.77,31.86,31.98,31.63,2079781
30.06.2014,31.89,31.87,31.89,32.06,31.63,2842321
01.07.2014,32.26,31.97,32.26,32.26,31.87,2754672
02.07.2014,32.5,32.42,32.5,32.68,32.37,3148764
03.07.2014,32.84,32.6,32.84,32.9,32.48,3274265
04.07.2014,32.84,32.77,32.84,32.88,32.62,2038032
07.07.2014,32.3,32.76,32.3,32.94,32.24,2612724
08.07.2014,31.77,32.31,31.77,32.43,31.73,3545168
09.07.2014,31.78,31.84,31.78,31.97,31.59,3076291
10.07.2014,31.26,31.83,31.26,31.85,31.08,3755583
11.07.2014,31.09,31.37,31.09,31.46,30.96,3526642
14.07.2014,31.52,31.26,31.52,31.58,31.16,2858777
15.07.2014,31.37,31.54,31.37,31.75,31.18,2662589
16.07.2014,31.59,31.48,31.59,31.62,31.26,3454410
17.07.2014,31.03,31.59,31.03,31.59,30.95,3100049
18.07.2014,30.49,30.58,30.49,30.58,30.19,8333212
21.07.2014,30.23,30.56,30.23,30.58,29.92,3371370
22.07.2014,30.81,30.49,30.81,30.86,30.37,4394740
23.07.2014,30.57,31.43,30.57,31.61,30.35,5857561
24.07.2014,30.91,30.66,30.91,31.03,30.3,3564472
25.07.2014,30.37,30.96,30.37,30.96,30.21,3708145
28.07.2014,29.41,30.41,29.41,30.45,29.21,7564232
29.07.2014,29.79,29.47,29.79,29.93,29.0,5131563
30.07.2014,29.4,29.79,29.4,29.95,29.31,3203136
31.07.2014,28.85,29.46,28.85,29.46,28.7,6111786
01.08.2014,28.37,28.68,28.37,28.77,27.94,7902296
04.08.2014,28.52,28.33,28.52,28.81,28.29,4933424
05.08.2014,28.17,28.7,28.17,28.77,27.98,4034843
06.08.2014,27.89,27.84,27.89,27.97,27.3,5660386
07.08.2014,27.48,27.86,27.48,28.22,27.39,4468900
08.08.2014,27.63,26.92,27.63,27.77,26.62,5849414
11.08.2014,28.3,28.07,28.3,28.46,28.0,4535238
12.08.2014,27.9,28.35,27.9,28.42,27.82,3328962
13.08.2014,28.28,28.21,28.28,28.43,27.98,3203427
14.08.2014,28.47,28.14,28.47,28.74,28.02,3078554
15.08.2014,27.84,28.58,27.84,28.75,27.66,5508748
18.08.2014,28.43,28.28,28.43,28.52,28.22,3185262
19.08.2014,28.72,28.66,28.72,28.9,28.52,2630168
20.08.2014,28.59,28.7,28.59,28.7,28.26,2593483
21.08.2014,29.0,28.66,29.0,29.11,28.55,2722553
22.08.2014,28.74,28.94,28.74,29.07,28.54,3433239
25.08.2014,29.31,29.23,29.31,29.35,29.04,2781804
26.08.2014,29.6,29.27,29.6,29.65,29.18,2933237
27.08.2014,29.44,29.6,29.44,29.66,29.18,2952249
28.08.2014,28.98,29.33,28.98,29.37,28.57,3932200
29.08.2014,29.02,29.01,29.02,29.27,28.64,3480813
01.09.2014,28.85,29.0,28.85,29.07,28.56,1807685
02.09.2014,28.82,29.04,28.82,29.24,28.76,2333815
03.09.2014,29.32,28.95,29.32,29.58,28.84,4604476
04.09.2014,29.9,29.32,29.9,30.06,28.94,6264843
05.09.2014,30.38,30.21,30.38,30.65,30.03,5302167
08.09.2014,30.28,30.51,30.28,30.58,30.12,2469223
09.09.2014,30.05,30.28,30.05,30.44,29.9,2747890
10.09.2014,29.69,29.7,29.69,29.81,29.44,4662078
11.09.2014,29.47,29.84,29.47,29.87,29.17,4283161
12.09.2014,29.35,29.51,29.35,29.51,29.07,2636767
15.09.2014,29.4,29.23,29.4,29.59,29.17,2531546
16.09.2014,29.38,29.4,29.38,29.44,29.09,2515143
17.09.2014,29.47,29.64,29.47,29.67,29.42,2927380
18.09.2014,29.78,29.5,29.78,29.81,29.32,3497996
19.09.2014,29.72,29.84,29.72,30.25,29.66,8065944
22.09.2014,29.25,29.48,29.25,29.56,29.09,3165367
23.09.2014,28.51,29.23,28.51,29.23,28.35,6011022
24.09.2014,28.69,28.56,28.69,28.74,28.14,3911121
25.09.2014,28.35,28.7,28.35,29.18,28.22,4526948
26.09.2014,28.45,28.31,28.45,28.64,28.04,3851029
29.09.2014,28.22,28.38,28.22,28.62,28.05,3217881
30.09.2014,28.31,27.97,28.31,28.4,27.66,5894644
01.10.2014,28.09,28.15,28.09,28.56,27.89,4074768
02.10.2014,27.6,28.07,27.6,28.53,27.57,6101256
06.10.2014,27.51,28.29,27.51,28.3,27.26,5876045
07.10.2014,27.23,27.35,27.23,27.6,27.04,6584455
08.10.2014,26.97,27.06,26.97,27.17,26.71,5823446
09.10.2014,26.9,27.27,26.9,27.45,26.74,5149695
10.10.2014,26.11,26.66,26.11,26.74,26.01,8013823
13.10.2014,26.43,25.83,26.43,26.71,25.69,5196570
14.10.2014,27.41,26.2,27.41,27.7,26.14,10977779
15.10.2014,26.61,27.74,26.61,27.78,26.45,8374234
16.10.2014,27.03,26.85,27.03,27.31,26.05,10064952
17.10.2014,27.67,27.2,27.67,27.73,27.12,9755783
20.10.2014,27.21,27.68,27.21,27.8,27.12,5054964
21.10.2014,27.67,27.07,27.67,27.8,26.9,5398734
22.10.2014,27.87,27.96,27.87,28.07,27.54,5107228
23.10.2014,28.15,27.78,28.15,28.33,27.31,5879689
24.10.2014,28.06,28.16,28.06,28.51,27.9,4814464
27.10.2014,27.73,28.34,27.73,28.35,27.37,4103533
28.10.2014,28.16,27.87,28.16,28.23,27.86,3529061
29.10.2014,28.21,28.42,28.21,28.57,28.17,3426208
30.10.2014,28.26,28.52,28.26,28.7,27.61,4991541
31.10.2014,28.92,28.7,28.92,29.08,28.48,6223532
03.11.2014,28.79,28.9,28.79,29.08,28.65,3005706
04.11.2014,28.51,28.72,28.51,29.06,28.42,3608042
05.11.2014,29.14,28.83,29.14,29.27,28.76,4031471
06.11.2014,29.36,28.95,29.36,29.78,28.89,5017123
07.11.2014,29.07,29.57,29.07,29.6,28.83,4301999
10.11.2014,29.31,28.95,29.31,29.32,28.77,2682335
11.11.2014,29.1,29.24,29.1,29.36,28.84,3246817
12.11.2014,28.44,28.97,28.44,29.07,28.35,4638703
13.11.2014,28.51,28.57,28.51,28.8,28.23,2872211
14.11.2014,28.49,28.61,28.49,28.61,28.19,3435257
17.11.2014,28.61,28.16,28.61,28.67,28.08,3325254
18.11.2014,29.16,28.76,29.16,29.24,28.68,3796791
19.11.2014,29.25,29.14,29.25,29.38,28.97,2952528
20.11.2014,29.33,29.36,29.33,29.36,28.89,3467658
21.11.2014,30.1,29.46,30.1,30.12,29.34,8809006
24.11.2014,30.49,30.13,30.49,30.74,29.86,4616580
25.11.2014,30.87,30.48,30.87,30.97,30.38,4775631
26.11.2014,30.95,30.98,30.95,31.11,30.8,3804179
27.11.2014,31.29,30.98,31.29,31.31,30.93,3138127
28.11.2014,31.61,31.32,31.61,31.61,31.25,4122976
01.12.2014,31.69,31.33,31.69,31.75,31.2,3359185
02.12.2014,31.63,31.72,31.63,31.9,31.32,3360316
03.12.2014,31.8,31.75,31.8,31.92,31.54,3468504
04.12.2014,31.5,31.94,31.5,32.61,31.44,6972440
05.12.2014,32.63,31.8,32.63,32.63,31.73,5703464
08.12.2014,32.2,32.44,32.2,32.73,32.2,2963192
09.12.2014,31.69,31.77,31.69,32.43,31.61,5473747
10.12.2014,31.72,31.82,31.72,32.11,31.53,3801264
11.12.2014,31.85,31.71,31.85,32.08,31.59,5847807
12.12.2014,31.04,31.63,31.04,31.73,30.98,4576617
15.12.2014,30.11,30.98,30.11,31.4,30.11,5919281
16.12.2014,31.3,30.38,31.3,31.32,29.9,9760437
17.12.2014,31.31,30.92,31.31,31.51,30.76,4927665
18.12.2014,32.15,31.76,32.15,32.15,31.65,7399721
19.12.2014,32.19,32.3,32.19,32.58,31.79,9748372
22.12.2014,32.36,32.45,32.36,32.63,32.21,3819767
23.12.2014,32.66,32.43,32.66,32.66,32.28,2596337
29.12.2014,32.65,32.54,32.65,32.66,31.95,2411136
30.12.2014,32.15,32.49,32.15,32.57,32.15,1758688
02.01.2015,32.05,32.45,32.05,32.63,31.78,3340677
05.01.2015,30.85,31.82,30.85,32.1,30.76,5442930
06.01.2015,31.05,30.96,31.05,31.72,30.57,5207271
07.01.2015,31.3,31.35,31.3,31.77,31.12,4080666
08.01.2015,32.67,31.8,32.67,32.71,31.61,6023382
09.01.2015,32.36,32.44,32.36,33.12,32.17,6455253
12.01.2015,33.1,32.54,33.1,33.22,32.35,5307722
13.01.2015,33.69,33.01,33.69,33.96,32.99,5790045
14.01.2015,33.24,33.15,33.24,33.89,33.05,5842125
15.01.2015,34.0,33.66,34.0,34.19,32.65,7425872
16.01.2015,34.68,33.87,34.68,34.83,33.75,7600995
19.01.2015,34.84,34.94,34.84,35.18,34.7,4503751
20.01.2015,34.93,34.96,34.93,35.18,34.57,5512611
21.01.2015,34.93,34.93,34.93,35.14,34.45,7078382
22.01.2015,36.02,34.97,36.02,36.23,34.7,8518271
23.01.2015,37.14,36.25,37.14,37.45,36.23,10994212
26.01.2015,37.79,36.91,37.79,37.9,36.9,5754913
27.01.2015,36.66,37.46,36.66,37.76,36.49,7378619
28.01.2015,37.25,37.06,37.25,37.28,36.67,5372473
29.01.2015,37.43,37.01,37.43,37.55,36.7,4813045
30.01.2015,37.52,37.76,37.52,37.76,37.18,5804450
02.02.2015,37.86,37.6,37.86,37.92,37.3,4903039
03.02.2015,38.3,38.09,38.3,39.09,37.95,7305549
04.02.2015,38.52,38.46,38.52,38.63,37.87,5373657
05.02.2015,38.59,38.09,38.59,39.48,37.9,7238995
06.02.2015,38.39,38.67,38.39,38.7,38.16,4076757
09.02.2015,37.59,38.14,37.59,38.14,37.19,6021755
10.02.2015,38.3,37.62,38.3,38.42,37.42,5017272
11.02.2015,38.43,38.46,38.43,38.53,38.12,2929755
12.02.2015,38.76,38.56,38.76,39.1,38.42,5344879
13.02.2015,38.78,38.93,38.78,39.15,38.59,4774465
16.02.2015,38.62,38.58,38.62,38.8,38.49,2089851
17.02.2015,38.43,38.28,38.43,38.69,37.91,3544043
18.02.2015,38.99,38.79,38.99,39.02,38.57,3027995
19.02.2015,39.2,38.79,39.2,39.26,38.55,3906769
20.02.2015,39.52,39.07,39.52,39.76,39.01,7803325
23.02.2015,39.61,39.92,39.61,39.97,39.42,3166671
24.02.2015,39.73,39.63,39.73,39.82,39.19,3541597
25.02.2015,39.64,39.87,39.64,39.93,39.32,4038765
26.02.2015,39.88,39.65,39.88,39.9,39.37,3596870
27.02.2015,40.33,39.84,40.33,40.33,39.75,5353306
02.03.2015,40.41,40.46,40.41,40.59,40.15,3969374
03.03.2015,39.91,40.42,39.91,40.73,39.88,3725742
04.03.2015,41.02,40.15,41.02,41.02,39.93,4626227
05.03.2015,41.56,41.2,41.56,41.73,41.15,4791539
06.03.2015,41.92,41.73,41.92,42.2,41.46,4000835
09.03.2015,42.02,41.8,42.02,42.07,41.53,3299946
10.03.2015,41.35,41.99,41.35,42.09,41.08,5049587
11.03.2015,42.92,41.8,42.92,42.95,41.66,5603827
12.03.2015,43.19,43.03,43.19,43.42,42.78,4950014
13.03.2015,43.4,43.52,43.4,43.56,42.7,4394639
16.03.2015,44.66,43.54,44.66,44.79,43.48,5786383
17.03.2015,42.76,44.25,42.76,44.52,42.57,8374499
18.03.2015,41.92,42.95,41.92,43.13,41.37,8207737
19.03.2015,42.07,41.94,42.07,42.34,41.5,6153251
20.03.2015,42.66,42.27,42.66,42.86,42.09,10283070
23.03.2015,41.35,42.61,41.35,42.62,41.25,5879944
24.03.2015,41.23,41.17,41.23,41.59,40.42,8973340
25.03.2015,40.84,41.28,40.84,41.87,40.76,5398178
26.03.2015,41.36,40.21,41.36,41.36,39.46,8189061
27.03.2015,41.25,41.85,41.25,42.21,40.9,5724744
30.03.2015,42.36,41.62,42.36,42.37,41.53,4685613
31.03.2015,41.83,42.35,41.83,42.36,41.43,5955255
01.04.2015,42.03,41.82,42.03,42.22,41.34,8700626
