Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
06.01.2014,946.06,944.38,948.57,931.8,5407300,944.38,1.6221565342797988,1.6286942236285809,1.6221565342797988,1.5995477489688419,1.6065113891520488
07.01.2014,941.03,948.57,956.12,940.19,4177900,948.57,1.640380090974844,1.6068144374777606,1.640380090974844,1.632162640897676,1.6432464388374293
08.01.2014,913.35,910.83,935.99,906.64,16471900,910.83,1.4762376017932217,1.4864103657770233,1.4762376017932217,1.5452039952649035,1.4963500244221135
09.01.2014,907.48,914.19,918.38,899.93,6868800,914.19,1.4908512415295825,1.4608766988375967,1.4908512415295825,1.4691313797858614,1.4669707415390505
10.01.2014,914.19,910.83,914.19,905.8,4341900,910.83,1.4762376017932217,1.4900642465656297,1.4762376017932217,1.4510311947286676,1.4926721410209551
14.01.2014,900.77,898.25,912.51,891.54,6856000,898.25,1.4215234387326807,1.4316891511095637,1.4215234387326807,1.4437738412928471,1.4302356918536705
15.01.2014,905.8,900.77,909.15,895.74,6698200,900.77,1.4324836685349511,1.4535689372603842,1.4324836685349511,1.4292591344212071,1.4486251088594628
16.01.2014,909.99,975.41,993.86,905.8,28069500,975.41,1.7571152369641054,1.4717948426225986,1.7571152369641054,1.7951939020094905,1.4926721410209551
17.01.2014,1006.44,1073.54,1082.77,994.7,38332100,1073.54,2.183911804621567,1.89133865460006,2.183911804621567,2.1792720531873235,1.8819148009768878
20.01.2014,1059.28,1033.28,1067.67,1031.61,15175000,1033.28,2.008809085637674,2.1211851556357155,2.008809085637674,2.114042269329656,2.043522748996836
21.01.2014,1008.12,988.83,1021.54,988.83,13246600,988.83,1.8154828099587368,1.898646416177272,1.8154828099587368,1.9147674395710967,1.8562134014949832
22.01.2014,1002.25,978.77,1021.54,972.06,25020800,978.77,1.7717288767004662,1.8731127492378454,1.7717288767004662,1.9147674395710967,1.7827870864504272
23.01.2014,967.02,972.9,994.7,967.02,38955500,972.9,1.7461985001372409,1.719867249020469,1.7461985001372409,1.7988225787274006,1.760719786043477
24.01.2014,964.51,960.32,971.22,958.64,14034800,960.32,1.6914843370767005,1.708949105235467,1.6914843370767005,1.6973924247553442,1.7240285206843013
27.01.2014,937.67,950.25,956.12,931.8,18861400,950.25,1.647686910843024,1.5921989143233357,1.647686910843024,1.632162640897676,1.6065113891520488
28.01.2014,959.48,949.41,962.83,949.41,8967800,949.41,1.6440335009089337,1.6870693190846469,1.6440335009089337,1.6611488561086,1.683615587597763
29.01.2014,956.12,968.7,983.8,953.61,29247800,968.7,1.7279314504667904,1.672453795930222,1.7279314504667904,1.751736178459282,1.702005004603555
30.01.2014,956.12,961.99,967.03,945.22,61345400,961.99,1.6987476639694747,1.672453795930222,1.6987476639694747,1.67929223969815,1.6652699549181753
31.01.2014,967.86,935.99,970.38,935.15,19142700,935.99,1.585665927914303,1.7235211298090751,1.585665927914303,1.6937637480374341,1.6211791384304783
03.02.2014,926.77,910.83,935.99,909.15,8748300,910.83,1.4762376017932217,1.544785461233089,1.4762376017932217,1.5452039952649035,1.5073398902993846
04.02.2014,872.25,876.45,885.67,862.19,15226500,876.45,1.3267087523479602,1.3076311986202203,1.3267087523479602,1.3278289804491508,1.3017286944441477
05.02.2014,926.77,942.7,942.7,890.7,16065200,942.7,1.6148497144116187,1.544785461233089,1.6148497144116187,1.5741902104758279,1.4265578084525126
06.02.2014,941.03,935.99,949.41,915.86,14544000,935.99,1.585665927914303,1.6068144374777606,1.585665927914303,1.6031764256867516,1.5367191731824477
07.02.2014,946.9,935.99,946.9,930.12,6695300,935.99,1.585665927914303,1.6323481044171873,1.585665927914303,1.5923335940653776,1.5991556223497323
10.02.2014,944.38,938.51,944.38,930.12,5670300,938.51,1.5966261577165735,1.6213864620513687,1.5966261577165735,1.5814475639116476,1.5991556223497323
12.02.2014,942.7,946.9,951.93,938.51,8157800,946.9,1.6331167640820692,1.6140787004741566,1.6331167640820692,1.6140624558404817,1.635890672035112
13.02.2014,943.54,928.44,944.38,925.93,4370800,928.44,1.5528287314828977,1.6177325812627623,1.5528287314828977,1.5814475639116476,1.5808099896701442
14.02.2014,927.61,909.15,933.48,901.61,5046900,909.15,1.468930781925041,1.548439342021695,1.468930781925041,1.5343611636435297,1.4743265083413675
17.02.2014,909.15,929.28,930.12,889.86,5578400,929.28,1.5564821414169874,1.4681409618339922,1.5564821414169874,1.5198464567718895,1.422879925051354
18.02.2014,931.8,941.86,944.38,924.25,6361400,941.86,1.6111963044775284,1.566665247383909,1.6111963044775284,1.5814475639116476,1.5734542228678277
19.02.2014,937.67,941.03,941.03,927.61,3612500,941.03,1.6075863875188439,1.5921989143233357,1.6075863875188439,1.5669760555723635,1.5881657564724614
20.02.2014,935.99,915.03,935.99,911.67,4712200,915.03,1.4945046514636722,1.5848911527461236,1.4945046514636722,1.5452039952649035,1.5183735405028598
21.02.2014,934.32,930.12,934.32,923.41,4087200,930.12,1.5601355513510777,1.577626889749728,1.5601355513510777,1.5379898403614398,1.569776339466669
24.02.2014,930.12,922.57,934.32,911.67,6832700,922.57,1.5272983549196724,1.559357485806697,1.5272983549196724,1.5379898403614398,1.5183735405028598
25.02.2014,928.44,935.15,936.83,920.9,5079600,935.15,1.5820125179802127,1.5520497242294848,1.5820125179802127,1.5488326719828138,1.5587864735893981
26.02.2014,925.93,925.09,933.48,922.57,3128300,925.09,1.5382585847219428,1.5411315804444825,1.5382585847219428,1.5343611636435297,1.566098456065511
27.02.2014,922.57,915.03,925.09,912.51,4478300,915.03,1.4945046514636722,1.5265160572900582,1.4945046514636722,1.4981175949967855,1.5220514239040184
28.02.2014,912.51,944.38,945.22,908.32,16637100,944.38,1.6221565342797988,1.482756484988417,1.6221565342797988,1.5850762406295578,1.5037057912244307
03.03.2014,931.8,935.15,937.67,913.35,6714900,935.15,1.5820125179802127,1.566665247383909,1.5820125179802127,1.5524613487007235,1.5257293073051768
04.03.2014,926.77,941.03,942.7,920.9,6548200,941.03,1.6075863875188439,1.544785461233089,1.6075863875188439,1.5741902104758279,1.5587864735893981
05.03.2014,947.73,961.15,964.51,946.9,19002500,961.15,1.6950942540353844,1.6359584866249768,1.6950942540353844,1.6684062095444199,1.6726257217204918
06.03.2014,962.83,968.7,973.73,958.64,13220100,968.7,1.7279314504667904,1.701641343658255,1.7279314504667904,1.7082352563767182,1.7240285206843013
07.03.2014,972.9,967.86,983.8,965.35,9846300,967.86,1.7242780405327,1.7454444145407122,1.7242780405327,1.751736178459282,1.7534078035673646
10.03.2014,967.86,958.64,972.9,956.96,4135000,958.64,1.6841775172085198,1.7235211298090751,1.6841775172085198,1.704649778191164,1.7166727538819846
11.03.2014,953.61,951.09,961.15,944.38,4464300,951.09,1.6513403207771145,1.6615356521452203,1.6513403207771145,1.6538915026727798,1.6615920715170167
12.03.2014,941.86,932.64,943.54,929.28,5588800,932.64,1.5710957811533481,1.6104248196855502,1.5710957811533481,1.5778188871937375,1.5954777389485737
13.03.2014,932.64,923.41,938.51,922.57,3977500,923.41,1.530951764853762,1.5703191281725155,1.530951764853762,1.5560900254186336,1.566098456065511
14.03.2014,901.61,898.25,909.99,897.41,9039700,898.25,1.4215234387326807,1.4353430318981701,1.4215234387326807,1.4328878111391172,1.4559370913355751
17.03.2014,897.41,886.51,900.77,880.64,4862700,886.51,1.37046268560623,1.417073627955139,1.37046268560623,1.393058764306819,1.3825107762910198
18.03.2014,902.44,891.54,904.12,889.86,3446100,891.54,1.392339652235365,1.4389534141059597,1.392339652235365,1.4075302726461032,1.422879925051354
19.03.2014,893.22,878.96,894.9,873.93,4068800,878.96,1.3376254891748247,1.398847722592925,1.3376254891748247,1.3677012258138048,1.3531314934079566
20.03.2014,877.28,855.48,883.15,851.28,5507500,855.48,1.2355039829219234,1.3295109847710405,1.2355039829219234,1.3169429502954206,1.2539599945552922
24.03.2014,855.48,881.48,885.67,853.8,6003600,881.48,1.3485857189770951,1.2346840785905466,1.3485857189770951,1.3278289804491508,1.2649936447587673
25.03.2014,889.03,884.83,896.57,880.64,6752400,884.83,1.36315586573805,1.3806218172307105,1.36315586573805,1.3749153807172692,1.3825107762910198
26.03.2014,900.77,889.86,904.96,885.67,5738000,889.86,1.385032832367185,1.4316891511095637,1.385032832367185,1.4111589493640133,1.4045342923717659
27.03.2014,878.86,883.94,887.32,869.54,4843600,883.94,1.3592849909269307,1.3363837605400857,1.3592849909269307,1.3349567382879028,1.3339101742042834
28.03.2014,882.24,894.94,894.94,878.86,2685000,894.94,1.4071272638733494,1.351086280856144,1.4071272638733494,1.3678740199432295,1.3747171662266604
31.03.2014,905.95,914.42,917.8,903.41,4219600,914.42,1.4918515799639163,1.4542214159726357,1.4918515799639163,1.466625864909209,1.4822076870581353
01.04.2014,921.19,916.96,922.04,905.1,3241400,916.96,1.5028987957169988,1.520513253137348,1.5028987957169988,1.4849420426281834,1.4896072381866567
02.04.2014,923.73,960.99,969.45,923.73,12009400,960.99,1.6943983664288913,1.5315618926647998,1.6943983664288913,1.6897462845283195,1.5711774379052057
03.04.2014,963.53,954.21,965.22,953.37,3917600,954.21,1.6649101291037351,1.7046862443154265,1.6649101291037351,1.6714733053417012,1.7009541807746527
04.04.2014,955.91,950.83,956.75,948.29,2909900,950.83,1.6502095034165627,1.6715403257330703,1.6502095034165627,1.6348841484361083,1.678711743062885
07.04.2014,941.51,939.82,946.59,932.2,2532600,939.82,1.602323737494738,1.6089023693569642,1.602323737494738,1.5909944395623397,1.60826276220022
08.04.2014,935.59,923.73,938.13,922.04,3349200,923.73,1.532343540066749,1.5831512095134541,1.532343540066749,1.5544484811891028,1.5637778867766845
09.04.2014,905.1,897.48,907.64,891.56,5236800,897.48,1.4181744796264315,1.4505240366032126,1.4181744796264315,1.4227361560354403,1.430323260506079
