Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
06.01.2014,653.76,659.64,662.57,653.76,26417600,659.64,-0.17732759347455856,-0.2088445132054276,-0.17732759347455856,-0.1960863663821555,-0.17471121886665164
07.01.2014,659.64,658.17,664.78,651.56,18171800,658.17,-0.184795940839337,-0.17897965224172915,-0.184795940839337,-0.1848711304424345,-0.18591016287253306
08.01.2014,667.72,686.82,692.69,666.25,35795700,686.82,-0.03923937485233099,-0.13794086370657868,-0.03923937485233099,-0.04323437248875795,-0.11113175948780794
09.01.2014,686.82,684.61,692.69,680.94,22857600,684.61,-0.05046729844155569,-0.04093085615442878,-0.05046729844155569,-0.04323437248875795,-0.03635335610308282
10.01.2014,684.61,691.96,692.69,683.14,23162800,691.96,-0.013125561617664096,-0.052155574305751004,-0.013125561617664096,-0.04323437248875795,-0.025154412097201984
14.01.2014,683.88,689.02,692.69,680.2,21004800,689.02,-0.028062256347220964,-0.055863286636278285,-0.028062256347220964,-0.04323437248875795,-0.040120273632333815
15.01.2014,694.9,691.96,697.1,688.28,13774600,691.96,-0.013125561617664096,0.00010793238072112597,-0.013125561617664096,-0.0208546482832507,0.0010103934438112669
16.01.2014,697.83,704.44,715.46,696.36,22567300,704.44,0.0502791833567803,0.014989572282700446,0.0502791833567803,0.07231808106212716,0.042141060519956926
17.01.2014,697.83,703.71,706.65,694.16,11211900,703.71,0.04657041221644813,0.014989572282700446,0.04657041221644813,0.027609380325047426,0.030942116514075507
20.01.2014,707.38,706.65,709.59,700.04,9852400,706.65,0.06150710694600442,0.0634945760587751,0.06150710694600442,0.042529196462052644,0.06087383958433975
21.01.2014,706.65,705.91,708.85,700.04,15144800,705.91,0.05774753072155815,0.05978686372824782,0.05774753072155815,0.03877386859083366,0.06087383958433975
22.01.2014,707.38,703.71,709.59,698.57,15249600,703.71,0.04657041221644813,0.0634945760587751,0.04657041221644813,0.042529196462052644,0.05339090881677412
23.01.2014,705.18,686.08,705.91,680.2,22584600,686.08,-0.04299895107677725,0.05232064848732307,-0.04299895107677725,0.023854052453828448,-0.040120273632333815
24.01.2014,694.16,684.61,699.3,680.94,20070100,684.61,-0.05046729844155569,-0.0036505705296763463,-0.05046729844155569,-0.00969016001746504,-0.03635335610308282
27.01.2014,669.92,666.98,672.12,663.31,17888000,666.98,-0.14003666173478108,-0.1267669361351272,-0.14003666173478108,-0.1476223377738574,-0.12609762102294034
28.01.2014,669.92,662.57,670.65,655.23,13009500,662.57,-0.1624417038291158,-0.1267669361351272,-0.1624417038291158,-0.15508224584236,-0.16722828809908544
29.01.2014,668.45,671.39,674.33,663.31,10137900,671.39,-0.11763161964044634,-0.13423315137605138,-0.11763161964044634,-0.1364071018341358,-0.12609762102294034
30.01.2014,661.11,655.23,661.84,647.88,14195400,655.23,-0.19973263556889329,-0.1715134370008044,-0.19973263556889329,-0.19979094657943913,-0.20464294193691587
31.01.2014,662.57,650.09,663.31,647.88,11199600,650.09,-0.2258464488035602,-0.16409801233974983,-0.2258464488035602,-0.1923310385109371,-0.20464294193691587
03.02.2014,644.21,641.27,651.56,639.8,10194000,641.27,-0.2706565329922302,-0.25734951698150227,-0.2706565329922302,-0.25195955538502146,-0.24577360901306153
04.02.2014,628.05,611.16,629.52,605.28,24268100,611.16,-0.42363064125989996,-0.3394270940518032,-0.42363064125989996,-0.36380742873862293,-0.42149522132352446
05.02.2014,621.44,625.11,628.05,614.09,14911700,625.11,-0.3527575489206772,-0.37299966734602835,-0.3527575489206772,-0.37126733680712554,-0.3766485410090636
06.02.2014,629.52,635.4,649.35,629.52,17116500,635.4,-0.30047911736722926,-0.33196087881087843,-0.30047911736722926,-0.2631747913247425,-0.29810322009508805
07.02.2014,640.54,649.35,653.76,639.8,9704900,649.35,-0.22960602502800645,-0.275989659793879,-0.22960602502800645,-0.24079506711923523,-0.24577360901306153
10.02.2014,658.17,650.09,662.57,650.09,7668200,650.09,-0.2258464488035602,-0.1864458674826539,-0.2258464488035602,-0.1960863663821555,-0.19339309364009868
12.02.2014,661.11,663.31,673.59,659.64,16154200,663.31,-0.1586821276046701,-0.1715134370008044,-0.1586821276046701,-0.14016242970535478,-0.14477949579638738
