Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
01.01.2004,14.59,14.59,14.59,14.59,0,14.59,-0.6728476946377897,-0.6730028487181595,-0.6728476946377897,-0.6754318312910412,-0.6713630871917189
02.01.2004,14.62,15.18,15.18,14.62,3675,15.18,-0.66659415050127,-0.6726848923808827,-0.66659415050127,-0.6692573308665473,-0.6710400193313623
05.01.2004,15.2,15.06,15.29,15.06,5381,15.06,-0.667866057783274,-0.6665377365268638,-0.667866057783274,-0.6681061528213027,-0.6663016907127983
06.01.2004,15.22,14.88,15.22,14.88,3800,14.88,-0.66977391870628,-0.666325765635346,-0.66977391870628,-0.6688387206682765,-0.6682400978749381
07.01.2004,14.94,15.51,15.53,14.94,8886,15.51,-0.663096405475759,-0.6692933581165964,-0.663096405475759,-0.6655944916316779,-0.6675939621542248
08.01.2004,15.53,16.08,16.16,15.41,14890,16.08,-0.65705484588624,-0.6630402168168186,-0.65705484588624,-0.6590013810089133,-0.6625325656753043
09.01.2004,16.08,16.14,16.21,16.08,4070,16.14,-0.656418892245238,-0.6572110173000765,-0.656418892245238,-0.6584781182610747,-0.6553173834606728
12.01.2004,15.86,15.45,16.14,15.36,5087,15.45,-0.663732359116761,-0.6595426971067733,-0.663732359116761,-0.6592106861080486,-0.663071012109232
13.01.2004,15.45,14.97,15.46,14.97,9697,14.97,-0.6688199882447771,-0.66388810038289,-0.6688199882447771,-0.6663270594786518,-0.6672708942938682
14.01.2004,15.21,14.84,15.21,14.84,1730,14.84,-0.6701978878002813,-0.6664317510811049,-0.6701978878002813,-0.6689433732178441,-0.6686708550220802
15.01.2004,14.91,14.91,14.91,14.81,11377,14.91,-0.6694559418857791,-0.6696113144538732,-0.6694559418857791,-0.672082949704875,-0.6689939228824369
16.01.2004,14.91,15.22,15.41,14.91,29840,15.22,-0.6661701814072687,-0.6696113144538732,-0.6661701814072687,-0.6668503222264903,-0.6679170300145815
19.01.2004,15.22,14.91,15.23,14.72,22028,14.91,-0.6694559418857791,-0.666325765635346,-0.6694559418857791,-0.6687340681187087,-0.6699631264635069
20.01.2004,14.97,14.97,15.03,14.81,14353,14.97,-0.6688199882447771,-0.6689754017793196,-0.6688199882447771,-0.6708271191100627,-0.6689939228824369
