Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
02.01.2014,3.64,3.6,3.64,3.64,3.56,55784
03.01.2014,3.58,3.61,3.58,3.61,3.49,13832
06.01.2014,3.56,3.56,3.56,3.58,3.56,9424
07.01.2014,3.48,3.53,3.48,3.53,3.48,698440
08.01.2014,3.41,3.48,3.41,3.48,3.41,19304
09.01.2014,3.54,3.5,3.54,3.54,3.49,99864
10.01.2014,3.51,3.52,3.51,3.52,3.51,1976
13.01.2014,3.56,3.54,3.56,3.58,3.54,17480
14.01.2014,3.6,3.55,3.6,3.6,3.55,4864
15.01.2014,3.66,3.61,3.66,3.66,3.61,22952
16.01.2014,3.66,3.66,3.66,3.66,3.66,0
17.01.2014,3.85,3.89,3.85,3.89,3.85,1216
21.01.2014,3.9,3.89,3.9,3.9,3.85,4560
22.01.2014,3.9,3.9,3.9,3.9,3.9,0
23.01.2014,3.99,3.97,3.99,4.01,3.97,11400
24.01.2014,3.86,3.82,3.86,3.89,3.82,760
27.01.2014,3.95,3.96,3.95,3.97,3.93,13528
28.01.2014,3.94,3.94,3.94,3.95,3.94,1368
29.01.2014,3.88,3.75,3.88,3.88,3.69,122360
30.01.2014,3.88,3.88,3.88,3.88,3.88,0
31.01.2014,3.83,3.8,3.83,3.84,3.77,1672
03.02.2014,3.73,3.78,3.73,3.78,3.73,1216
04.02.2014,3.73,3.73,3.73,3.73,3.73,0
05.02.2014,3.73,3.73,3.73,3.73,3.73,760
06.02.2014,3.79,3.79,3.79,3.79,3.79,456
07.02.2014,3.84,3.84,3.84,3.84,3.84,4256
10.02.2014,3.81,3.81,3.81,3.81,3.81,4104
11.02.2014,3.79,3.79,3.79,3.79,3.79,304
12.02.2014,3.81,3.81,3.81,3.81,3.81,3040
13.02.2014,3.81,3.81,3.81,3.81,3.81,0
14.02.2014,3.81,3.81,3.81,3.81,3.81,0
18.02.2014,3.93,3.93,3.93,3.93,3.93,1824
19.02.2014,3.93,3.93,3.93,3.93,3.93,0
20.02.2014,4.02,3.93,4.02,4.02,3.9,5320
21.02.2014,4.04,4.03,4.04,4.04,4.03,2736
24.02.2014,4.01,4.01,4.01,4.01,4.01,152
25.02.2014,4.0,4.0,4.0,4.0,4.0,152
