Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
06.01.2014,941.07,932.2,946.99,929.24,61246500,932.2,-0.901110020458353,-0.8863573974986564,-0.901110020458353,-0.8869363992437721,-0.8967011447904838
07.01.2014,927.76,927.76,938.12,926.28,39457000,927.76,-0.9081552420641975,-0.9074545097854794,-0.9081552420641975,-0.9008352845246527,-0.9014572181161744
08.01.2014,933.68,932.2,935.16,926.28,35920500,932.2,-0.901110020458353,-0.8980709707367949,-0.901110020458353,-0.9054734694661867,-0.9014572181161744
09.01.2014,933.68,927.76,938.12,926.28,43265000,927.76,-0.9081552420641975,-0.8980709707367949,-0.9081552420641975,-0.9008352845246527,-0.9014572181161744
10.01.2014,926.28,930.72,933.68,924.8,39079500,930.72,-0.9034584276603012,-0.9098003945476505,-0.9034584276603012,-0.9077925619369537,-0.9038352547790197
14.01.2014,917.4,909.11,917.55,904.67,82537500,909.11,-0.9377483463319899,-0.9238757031206773,-0.9377483463319899,-0.9330675359595696,-0.9361797669567734
15.01.2014,920.21,922.58,922.73,915.03,45836500,922.58,-0.9163746672710159,-0.9194216921870956,-0.9163746672710159,-0.924950712311885,-0.9195335103168565
16.01.2014,926.72,926.43,935.9,922.73,40351000,926.43,-0.9102656350227051,-0.9091029693480861,-0.9102656350227051,-0.9043139232308032,-0.9071612925439451
17.01.2014,926.28,917.4,926.57,916.66,40383500,917.4,-0.9245940924778344,-0.9098003945476505,-0.9245940924778344,-0.9189336075228679,-0.9169144564246687
20.01.2014,920.21,918.29,921.69,917.55,28926500,918.29,-0.9231818746334197,-0.9194216921870956,-0.9231818746334197,-0.9265803448589104,-0.9154844208639037
21.01.2014,919.03,932.2,936.49,919.03,56541000,932.2,-0.901110020458353,-0.9212920597677456,-0.901110020458353,-0.9033894201512406,-0.9131063842010584
22.01.2014,932.2,938.12,941.52,925.98,56273000,938.12,-0.8917163916505606,-0.9004168554989659,-0.8917163916505606,-0.8955076396593772,-0.9019392525748592
23.01.2014,939.6,925.69,941.37,925.69,44186000,925.69,-0.9114398386236789,-0.8886874316881102,-0.9114398386236789,-0.8957426828151981,-0.9024052192182545
24.01.2014,912.67,912.96,917.1,910.0,73025000,912.96,-0.9316393140836787,-0.9313730240159946,-0.9316393140836787,-0.9337726654270324,-0.9276156214074724
27.01.2014,894.76,893.58,899.2,892.54,69105500,893.58,-0.9623907543362158,-0.9597613997528088,-0.9623907543362158,-0.9618211486883358,-0.955670026902931
28.01.2014,892.99,890.47,897.13,888.84,54930000,890.47,-0.9673255829835528,-0.9625669511237838,-0.9673255829835528,-0.9650647442386654,-0.9616151185600441
29.01.2014,901.72,907.93,909.41,895.94,37424500,907.93,-0.9396207250470567,-0.9487294011415175,-0.9396207250470567,-0.945822544548788,-0.9502069697045026
30.01.2014,888.99,887.51,895.65,884.55,74316500,887.51,-0.9720223973874491,-0.9689071802107329,-0.9720223973874491,-0.9673838367094324,-0.9685082113192377
31.01.2014,896.39,876.26,896.54,870.94,54251000,876.26,-0.9898734656455008,-0.9571777563998771,-0.9898734656455008,-0.9659892473182279,-0.9903765079282404
03.02.2014,870.05,862.8,875.82,861.47,43884500,862.8,-1.0112312770902454,-0.9989281649374365,-1.0112312770902454,-0.9984565419089656,-1.0055927290073923
04.02.2014,818.41,813.82,834.54,813.82,90448500,813.82,-1.088950861381745,-1.0807805224499485,-1.088950861381745,-1.063140418390899,-1.0821558688618367
05.02.2014,858.21,862.65,870.05,844.6,103574500,862.65,-1.011469291333686,-1.0176952430348056,-1.011469291333686,-1.0074978686362128,-1.0326991334007707
06.02.2014,873.01,855.99,873.45,854.96,48563000,855.99,-1.0220371237424526,-0.9942363954130943,-1.0220371237424526,-1.0021702237709371,-1.0160528767608537
07.02.2014,871.53,873.01,873.45,858.21,38187500,873.01,-0.9950304409200491,-0.9965822801752654,-0.9950304409200491,-1.0021702237709371,-1.0108308367917678
10.02.2014,885.14,886.92,887.07,879.22,35481000,886.92,-0.9729585867449826,-0.9750096507069212,-0.9729585867449826,-0.9808283052223923,-0.9770723568685384
12.02.2014,890.62,890.77,893.43,887.66,41762500,890.77,-0.9668495544966715,-0.9663235368578011,-0.9668495544966715,-0.9708624754155829,-0.9635111207642046
