Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
02.01.2014,10.01,9.99,10.01,10.17,9.77,92826000
03.01.2014,9.97,10.0,9.97,10.15,9.91,70425000
06.01.2014,9.8,10.0,9.8,10.03,9.68,80416500
07.01.2014,9.96,9.84,9.96,10.03,9.68,75511500
08.01.2014,10.09,9.92,10.09,10.25,9.92,92448000
09.01.2014,9.84,10.17,9.84,10.23,9.79,80730000
10.01.2014,9.71,9.9,9.71,9.93,9.48,111691500
13.01.2014,9.29,9.72,9.29,9.8,9.19,94741500
14.01.2014,10.75,9.37,10.75,10.8,9.11,414105000
15.01.2014,10.94,11.23,10.94,11.48,10.81,306984000
16.01.2014,11.4,10.83,11.4,11.51,10.83,179391000
17.01.2014,11.33,11.35,11.33,11.55,11.2,138093000
21.01.2014,11.78,11.42,11.78,11.82,11.39,146020500
22.01.2014,11.9,11.85,11.9,12.02,11.65,105339000
23.01.2014,12.1,11.82,12.1,12.16,11.56,118011000
24.01.2014,11.64,11.86,11.64,12.03,11.57,114964500
27.01.2014,11.31,11.68,11.31,11.86,10.98,130746000
28.01.2014,11.89,11.43,11.89,11.93,11.4,91401000
29.01.2014,11.68,11.69,11.68,11.94,11.54,89032500
30.01.2014,12.19,11.87,12.19,12.32,11.8,128475000
31.01.2014,12.09,11.92,12.09,12.4,11.9,97632000
03.02.2014,11.81,12.19,11.81,12.33,11.68,101473500
04.02.2014,11.92,12.05,11.92,12.11,11.75,70294500
05.02.2014,11.63,11.89,11.63,12.04,11.29,109020000
06.02.2014,11.89,11.75,11.89,12.01,11.73,87624000
07.02.2014,12.44,12.07,12.44,12.44,11.97,133927500
10.02.2014,13.1,12.62,13.1,13.29,12.62,194560500
11.02.2014,13.11,13.26,13.11,13.48,12.85,160648500
12.02.2014,13.02,13.05,13.02,13.22,12.95,77605500
13.02.2014,13.31,12.89,13.31,13.51,12.88,120439500
14.02.2014,13.22,13.21,13.22,13.46,13.13,92370000
18.02.2014,13.58,13.68,13.58,13.73,13.42,139992000
19.02.2014,12.91,13.58,12.91,13.58,12.89,242535000
20.02.2014,14.0,14.33,14.0,14.35,13.75,270034500
21.02.2014,13.97,14.11,13.97,14.27,13.95,117282000
24.02.2014,14.51,13.92,14.51,14.56,13.89,124176000
25.02.2014,16.53,15.33,16.53,17.28,15.23,490225500
26.02.2014,16.87,17.24,16.87,17.67,16.5,369069000
27.02.2014,16.84,17.42,16.84,17.46,16.56,269187000
28.02.2014,16.32,16.64,16.32,16.85,16.17,218847000
03.03.2014,16.7,15.82,16.7,16.78,15.67,196339500
04.03.2014,16.99,17.23,16.99,17.33,16.86,131184000
05.03.2014,16.84,17.11,16.84,17.13,16.79,89035500
06.03.2014,16.86,16.94,16.86,17.17,16.63,110416500
07.03.2014,16.41,16.86,16.41,16.99,16.29,117184500
10.03.2014,15.92,16.18,15.92,16.2,15.74,115921500
11.03.2014,15.63,15.77,15.63,16.31,15.5,132151500
12.03.2014,16.1,15.43,16.1,16.5,15.41,146316000
13.03.2014,15.85,16.25,15.85,16.28,15.6,93544500
14.03.2014,15.4,15.69,15.4,15.8,15.22,124345500
17.03.2014,15.6,15.66,15.6,15.86,15.37,88689000
18.03.2014,16.0,15.8,16.0,16.1,15.67,93634500
19.03.2014,15.72,16.09,15.72,16.1,15.57,76069500
20.03.2014,15.66,15.74,15.66,15.95,15.56,57268500
21.03.2014,15.26,15.73,15.26,15.75,15.17,123253500
24.03.2014,14.68,15.32,14.68,15.33,14.02,169932000
25.03.2014,14.7,14.94,14.7,15.14,14.53,117981000
26.03.2014,14.2,14.8,14.2,14.84,14.09,103609500
27.03.2014,13.82,14.16,13.82,14.24,13.53,142435500
28.03.2014,14.16,14.19,14.16,14.45,14.02,145272000
31.03.2014,13.9,14.43,13.9,14.45,13.76,125700000
01.04.2014,14.46,13.93,14.46,14.54,13.91,110571000
02.04.2014,15.35,14.67,15.35,15.39,14.54,161734500
03.04.2014,15.03,15.35,15.03,15.72,14.8,163855500
04.04.2014,14.15,15.07,14.15,15.22,14.08,170184000
07.04.2014,13.83,13.72,13.83,14.41,13.57,147832500
08.04.2014,14.36,14.0,14.36,14.43,13.76,103339500
09.04.2014,14.46,14.45,14.46,14.56,14.06,77368500
10.04.2014,13.61,14.45,13.61,14.5,13.59,108172500
11.04.2014,13.59,13.37,13.59,13.8,13.24,136008000
14.04.2014,13.21,13.84,13.21,13.9,12.96,115545000
15.04.2014,12.93,13.27,12.93,13.29,12.29,204889500
16.04.2014,13.27,13.13,13.27,13.33,12.72,108033000
17.04.2014,13.21,13.31,13.21,13.49,12.94,88902000
21.04.2014,13.63,13.14,13.63,13.75,12.93,78873000
22.04.2014,14.58,13.76,14.58,14.62,13.67,147070500
23.04.2014,13.87,14.42,13.87,14.45,13.8,109434000
24.04.2014,13.86,14.05,13.86,14.19,13.55,82428000
25.04.2014,13.32,13.47,13.32,13.78,13.18,104950500
28.04.2014,13.23,13.33,13.23,13.59,12.7,105630000
29.04.2014,13.79,13.21,13.79,13.81,13.04,86686500
30.04.2014,13.86,13.57,13.86,13.88,13.42,66609000
01.05.2014,13.85,13.81,13.85,14.27,13.71,81598500
02.05.2014,14.06,13.91,14.06,14.09,13.77,61302000
05.05.2014,14.44,13.97,14.44,14.51,13.9,77205000
06.05.2014,13.82,14.44,13.82,14.58,13.79,84550500
07.05.2014,13.42,13.98,13.42,14.01,13.15,152689500
08.05.2014,11.91,12.13,11.91,12.96,11.87,300849000
09.05.2014,12.15,11.99,12.15,12.23,11.81,127428000
12.05.2014,12.31,12.26,12.31,12.48,11.99,105034500
13.05.2014,12.68,12.25,12.68,12.76,12.2,106458000
14.05.2014,12.71,12.6,12.71,12.9,12.47,81100500
15.05.2014,12.57,12.67,12.57,12.84,12.35,90606000
16.05.2014,12.77,12.6,12.77,12.8,12.51,67315500
19.05.2014,13.07,12.71,13.07,13.13,12.67,68575500
20.05.2014,13.02,13.13,13.02,13.29,12.87,83191500
21.05.2014,13.3,13.08,13.3,13.32,12.99,79281000
22.05.2014,13.66,13.36,13.66,13.79,13.3,93217500
23.05.2014,13.82,13.64,13.82,13.85,13.5,60102000
27.05.2014,14.1,13.9,14.1,14.26,13.85,80116500
28.05.2014,14.02,14.0,14.02,14.18,13.68,82426500
29.05.2014,14.02,14.04,14.02,14.17,13.85,55387500
30.05.2014,13.85,14.02,13.85,14.32,13.8,83716500
02.06.2014,13.65,13.82,13.65,13.96,13.44,70021500
03.06.2014,13.66,13.57,13.66,13.87,13.51,57912000
04.06.2014,13.6,13.62,13.6,13.75,13.36,51411000
05.06.2014,13.79,13.63,13.79,13.95,13.6,60819000
06.06.2014,13.88,13.98,13.88,14.05,13.81,46107000
09.06.2014,13.69,13.86,13.69,14.0,13.61,42085500
10.06.2014,13.49,13.63,13.49,13.8,13.44,52720500
11.06.2014,13.63,13.43,13.63,13.67,13.28,59662500
12.06.2014,13.57,13.67,13.57,13.99,13.51,89905500
13.06.2014,13.76,13.65,13.76,13.79,13.44,53164500
16.06.2014,14.97,13.78,14.97,15.03,13.75,198696000
17.06.2014,15.44,14.94,15.44,15.7,14.86,199573500
18.06.2014,15.14,15.43,15.14,15.45,15.07,104103000
19.06.2014,15.19,15.26,15.19,15.69,15.13,131896500
20.06.2014,15.31,15.23,15.31,15.42,15.08,73558500
23.06.2014,15.81,15.3,15.81,15.93,15.21,116866500
24.06.2014,15.5,15.93,15.5,16.13,15.44,121138500
25.06.2014,15.79,15.54,15.79,15.84,15.35,87024000
26.06.2014,15.71,15.81,15.71,16.03,15.61,76821000
27.06.2014,15.94,15.65,15.94,16.0,15.63,84525000
30.06.2014,16.0,15.97,16.0,16.3,15.93,72429000
01.07.2014,15.98,16.16,15.98,16.23,15.91,65041500
02.07.2014,15.3,16.04,15.3,16.16,15.14,120411000
03.07.2014,15.28,15.42,15.28,15.46,14.93,77500500
07.07.2014,14.84,15.17,14.84,15.32,14.69,88405500
08.07.2014,14.6,14.58,14.6,14.73,14.28,117543000
09.07.2014,14.87,14.75,14.87,14.95,14.61,61731000
10.07.2014,14.63,14.48,14.63,14.81,14.4,72958500
11.07.2014,14.54,14.71,14.54,14.77,14.51,49534500
14.07.2014,15.11,14.67,15.11,15.25,14.36,108048000
15.07.2014,14.64,15.12,14.64,15.18,14.54,85777500
16.07.2014,14.48,14.79,14.48,14.99,14.45,60667500
17.07.2014,14.36,14.41,14.36,14.7,14.24,69741000
18.07.2014,14.67,14.4,14.67,14.75,14.4,63805500
21.07.2014,14.7,14.48,14.7,14.88,14.45,57333000
22.07.2014,14.64,14.81,14.64,14.89,14.61,40950000
23.07.2014,14.83,14.67,14.83,14.98,14.63,46249500
24.07.2014,14.9,14.88,14.9,15.01,14.72,48682500
25.07.2014,14.9,14.85,14.9,15.13,14.78,46306500
28.07.2014,14.99,14.95,14.99,15.47,14.76,97714500
29.07.2014,15.0,15.11,15.0,15.22,14.99,50736000
30.07.2014,15.26,14.79,15.26,15.31,14.74,73917000
31.07.2014,14.89,15.28,14.89,15.43,14.77,116236500
01.08.2014,15.55,15.07,15.55,15.83,15.07,178437000
04.08.2014,15.9,15.63,15.9,16.03,15.55,89395500
05.08.2014,15.9,15.83,15.9,16.2,15.71,80829000
06.08.2014,16.6,15.93,16.6,16.76,15.91,138739500
07.08.2014,16.83,16.67,16.83,17.11,16.61,112183500
