Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,112.04,109.66,112.12,109.2,1112625,109.66,0.7027111667320937,0.821936350363959,0.7027111667320937,0.7617448875344344,0.7466682191113592
03.01.2014,109.8,109.66,110.24,109.31,651593,109.66,0.7027111667320937,0.7022931058928266,0.7027111667320937,0.6619029368368097,0.75260064039595
06.01.2014,109.47,108.7,109.83,107.78,571867,108.7,0.6513332964739412,0.6846670921984189,0.6513332964739412,0.6401288943974344,0.6700860534375495
07.01.2014,108.81,109.39,109.8,108.02,582459,109.39,0.6882611407219884,0.6494150648096034,0.6882611407219884,0.6385356717799191,0.6830295180584747
08.01.2014,109.5,109.47,109.61,108.68,470813,109.47,0.6925426299101678,0.6862694570797288,0.6925426299101678,0.6284452618689891,0.7186240457660206
09.01.2014,109.39,109.09,110.51,108.79,735762,109.09,0.6722055562663158,0.6803941191815929,0.6722055562663158,0.6762419403944477,0.7245564670506115
10.01.2014,109.55,110.51,111.52,109.36,726654,110.51,0.7482019893565004,0.688940065215245,0.7482019893565004,0.7298804351841284,0.7552971955253093
13.01.2014,110.87,110.81,111.82,110.48,678455,110.81,0.764257573812173,0.7594441199928766,0.764257573812173,0.7458126613592809,0.8157000304229621
14.01.2014,107.2,108.19,109.12,106.41,1447059,108.19,0.6240388028992973,0.5634214828459775,0.6240388028992973,0.6024226257829065,0.596200442893099
15.01.2014,109.22,110.87,111.44,108.6,1057387,110.87,0.7674686907033076,0.6713140515208372,0.7674686907033076,0.725631841537421,0.7143095575590448
16.01.2014,111.3,110.67,111.77,110.1,750736,110.67,0.756764967732859,0.7824113499583167,0.756764967732859,0.743157290330089,0.7952062114398295
17.01.2014,111.17,111.22,111.77,110.4,939455,111.22,0.7862002059015922,0.7754677688059745,0.7862002059015922,0.743157290330089,0.8113855422159871
20.01.2014,110.51,111.19,111.33,110.4,394277,111.19,0.7845946474560249,0.740215741417159,0.7845946474560249,0.7197900252731984,0.8113855422159871
21.01.2014,111.3,110.81,111.74,110.59,529022,110.81,0.764257573812173,0.7824113499583167,0.764257573812173,0.7415640677125737,0.8216324517075531
22.01.2014,111.36,110.1,111.52,109.53,681195,110.1,0.7262593572670804,0.7856160797209364,0.7262593572670804,0.7298804351841284,0.7644654829651317
23.01.2014,109.44,108.43,110.7,108.32,770801,108.43,0.6368832704638359,0.683064727317109,0.6368832704638359,0.6863323503053778,0.6992088488346315
24.01.2014,108.68,105.72,109.17,105.48,1303107,105.72,0.49184782421425816,0.6424714836572611,0.49184782421425816,0.6050779968120985,0.5460445174870129
27.01.2014,105.42,105.34,106.11,102.91,1097010,105.34,0.4715107505704062,0.4683478332215958,0.4715107505704062,0.4425692898255399,0.4074415838379346
28.01.2014,106.16,106.95,107.36,105.83,959744,106.95,0.5576757204825167,0.5078728336272373,0.5576757204825167,0.5089535655553432,0.564920403392529
29.01.2014,108.29,104.85,108.35,103.07,1271702,104.85,0.4452866292928069,0.6216407402002337,0.4452866292928069,0.5615299119333471,0.4160705602518848
30.01.2014,105.37,104.0,105.42,102.8,1020011,104.0,0.399795806668401,0.4656772250860796,0.399795806668401,0.40592516962268865,0.40150916255334373
31.01.2014,104.19,102.85,104.19,101.32,1144086,102.85,0.33824939958832173,0.4026508730878937,0.33824939958832173,0.340603042304562,0.32169113072430255
03.02.2014,102.91,101.46,103.95,101.16,927266,101.46,0.26385852494370454,0.33428330481867546,0.26385852494370454,0.32785726136444004,0.3130621543103524
04.02.2014,99.11,100.31,101.38,97.98,1413674,100.31,0.20231211786362605,0.13131708651943405,0.20231211786362605,0.19137119046396409,0.14156124808308904
05.02.2014,100.36,100.97,103.13,100.17,1165395,100.97,0.23763440366610597,0.19808228990734245,0.23763440366610597,0.2843091764856887,0.2596703627490347
06.02.2014,102.09,102.06,103.15,100.97,1433836,102.06,0.29596969385505056,0.2904853313962079,0.29596969385505056,0.2853713248973661,0.3028152448187864
07.02.2014,102.83,102.8,103.43,101.79,911579,102.8,0.33557346884570977,0.3300103318018494,0.33557346884570977,0.3002414026608421,0.34703874894028247
10.02.2014,103.62,103.76,104.3,102.69,871178,103.76,0.38695133910386303,0.37220594034300786,0.38695133910386303,0.34644485856878465,0.3955767412687529
11.02.2014,103.1,106.49,106.52,103.07,1133596,106.49,0.5330571576504847,0.3444316157336374,0.5330571576504847,0.4643433322649152,0.4160705602518848
12.02.2014,107.2,108.49,109.42,107.17,1285064,108.49,0.6400943873549698,0.5634214828459775,0.6400943873549698,0.6183548519580592,0.6371880808593636
13.02.2014,108.21,109.33,109.33,107.23,892165,109.33,0.6850500238308538,0.6173677671834069,0.6850500238308538,0.6135751841055131,0.6404239470145952
14.02.2014,109.25,110.54,110.78,108.84,883370,110.54,0.7498075478020677,0.672916416402147,0.7498075478020677,0.690580943952085,0.7272530221799708
17.02.2014,110.48,110.84,111.03,109.88,422484,110.84,0.7658631322577403,0.7386133765358491,0.7658631322577403,0.7038577990980457,0.7833413688706479
18.02.2014,110.73,110.54,110.84,108.84,850179,110.54,0.7498075478020677,0.7519664172134308,0.7498075478020677,0.6937673891871158,0.7272530221799708
19.02.2014,110.02,109.99,111.03,108.87,778356,109.99,0.7203723096333337,0.7140437816890984,0.7203723096333337,0.7038577990980457,0.7288709552575866
20.02.2014,107.8,108.29,108.81,107.34,1350125,108.29,0.629390664384522,0.5954687804721731,0.629390664384522,0.5859593254019152,0.646356368299186
21.02.2014,109.36,109.94,109.99,108.68,1223782,109.94,0.7176963788907217,0.6787917543002829,0.7176963788907217,0.648626081690849,0.7186240457660206
24.02.2014,102.09,102.77,103.04,101.16,4410283,102.77,0.3339679104001424,0.2904853313962079,0.3339679104001424,0.2795295086331434,0.3130621543103524
25.02.2014,103.62,103.97,104.66,102.8,1618272,103.97,0.39819024822283366,0.37220594034300786,0.39819024822283366,0.36556352997896796,0.40150916255334373
26.02.2014,104.66,103.37,104.9,103.37,1055226,103.37,0.3660790793114884,0.4277545895617472,0.3660790793114884,0.3783093109190907,0.43224989102804234
27.02.2014,103.65,103.02,104.11,101.87,888358,103.02,0.34734756411320306,0.3738083052243177,0.34734756411320306,0.3363544486578547,0.3513532371472576
28.02.2014,103.56,103.37,103.73,102.58,791539,103.37,0.3660790793114884,0.3690012105803881,0.3660790793114884,0.3161736288359947,0.38964431998416205
03.03.2014,100.72,100.2,102.17,99.87,1289910,100.2,0.1964250702298794,0.21731066848306005,0.1964250702298794,0.2333260527252001,0.24349103197287789
04.03.2014,101.62,102.36,103.07,101.21,1068495,102.36,0.31202527831072313,0.2653816149223544,0.31202527831072313,0.281122731250658,0.3157587094397117
05.03.2014,102.61,101.51,102.96,101.51,825534,101.51,0.2665344556863173,0.3182596560055776,0.2665344556863173,0.27528091498643537,0.33193804021586926
06.03.2014,102.17,101.87,102.55,101.08,897130,101.87,0.2858011570331246,0.29475830441303397,0.2858011570331246,0.25350687254706006,0.3087476661033773
07.03.2014,101.92,100.39,102.28,100.23,829536,100.39,0.20659360705180538,0.28140526373545227,0.20659360705180538,0.23916786898942277,0.2629062289042662
10.03.2014,99.74,97.85,100.31,97.19,1487252,97.85,0.07065632532710892,0.16496674902693964,0.07065632532710892,0.13454625043925286,0.09895567703920871
11.03.2014,98.42,99.13,99.65,98.31,949734,99.13,0.13916015233797946,0.09446269424930873,0.13916015233797946,0.0994953528539169,0.1593585119368616
12.03.2014,98.78,98.7,99.63,96.7,1227029,98.7,0.11614714795151555,0.11369107282502632,0.11614714795151555,0.0984332044422395,0.07252943677148596
