Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,8.28,8.38,8.44,8.25,1413200,8.38,-1.1506984515483833,-1.1517750896824566,-1.1506984515483833,-1.1504564414872953,-1.1517834485877
05.01.2004,8.44,8.57,8.63,8.36,1963200,8.57,-1.148192257796196,-1.149664616520305,-1.148192257796196,-1.1479768920107185,-1.1503157001585398
06.01.2004,8.57,8.77,8.77,8.52,2076800,8.77,-1.145554159109683,-1.1479498570760571,-1.145554159109683,-1.1461498555542935,-1.1481807933524883
07.01.2004,8.77,8.92,9.09,8.46,3908500,8.92,-1.143575585094798,-1.145311765623368,-1.143575585094798,-1.1419737722253216,-1.1489813834047575
08.01.2004,8.97,9.82,9.93,8.97,9087100,9.82,-1.1317041410054893,-1.1426736741706787,-1.1317041410054893,-1.1310115534867713,-1.1421763679604684
09.01.2004,9.8,9.8,10.02,9.54,4484500,9.8,-1.1319679508741405,-1.1317255946420184,-1.1319679508741405,-1.1298370300504978,-1.1345707624639103
12.01.2004,9.85,9.89,9.92,9.65,1414700,9.89,-1.1307808064652096,-1.131066071778846,-1.1307808064652096,-1.1311420560908014,-1.1331030140347496
13.01.2004,9.85,9.7,9.99,9.67,2000600,9.7,-1.133287000217397,-1.131066071778846,-1.133287000217397,-1.130228537862589,-1.1328361506839932
14.01.2004,9.62,9.26,9.69,9.14,5400200,9.26,-1.1390908173277257,-1.1340998769494386,-1.1390908173277257,-1.1341436159834999,-1.1399080294790387
15.01.2004,9.2,9.28,9.48,9.15,2951200,9.28,-1.1388270074590745,-1.139639869000086,-1.1388270074590745,-1.1368841706681374,-1.1397745978036604
16.01.2004,9.28,9.2,9.32,9.16,3061300,9.2,-1.1398822469336796,-1.1385846324190103,-1.1398822469336796,-1.1389722123326231,-1.1396411661282824
20.01.2004,9.23,8.63,9.39,8.54,8371400,8.63,-1.147400828190242,-1.1392441552821826,-1.147400828190242,-1.1380586941044109,-1.1479139300017318
21.01.2004,8.67,8.76,8.82,8.63,3060000,8.76,-1.1456860640440083,-1.1466308113497126,-1.1456860640440083,-1.1454973425341415,-1.1467130449233278
22.01.2004,8.76,8.67,8.88,8.63,3307500,8.67,-1.1468732084529394,-1.1454436701960022,-1.1468732084529394,-1.1447143269099593,-1.1467130449233278
23.01.2004,8.7,8.63,8.78,8.61,2255000,8.63,-1.147400828190242,-1.146235097631809,-1.147400828190242,-1.146019352950263,-1.1469799082740844
26.01.2004,8.48,8.73,8.74,8.4,2250100,8.73,-1.1460817788469853,-1.1491369982297672,-1.1460817788469853,-1.1465413633663846,-1.1497819734570267
27.01.2004,8.74,8.87,9.16,8.74,3685900,8.87,-1.1442351097664263,-1.1457074793412714,-1.1442351097664263,-1.141060253997109,-1.1452452964941675
28.01.2004,8.87,8.56,8.93,8.55,4748200,8.56,-1.1483241627305214,-1.1439927198970232,-1.1483241627305214,-1.1440618138898075,-1.1477804983263535
29.01.2004,8.57,8.38,8.61,8.08,3634900,8.38,-1.1506984515483833,-1.1479498570760571,-1.1506984515483833,-1.1482378972187792,-1.1540517870691298
30.01.2004,8.4,8.39,8.54,8.13,2714000,8.39,-1.1505665466140576,-1.1501922348108429,-1.1505665466140576,-1.1491514154469917,-1.1533846286922387
02.02.2004,8.39,8.34,8.51,8.31,2259600,8.34,-1.1512260712856859,-1.1503241393834773,-1.1512260712856859,-1.1495429232590828,-1.1509828585354307
03.02.2004,8.35,8.73,8.74,8.32,2890200,8.73,-1.1460817788469853,-1.1508517576740154,-1.1460817788469853,-1.1465413633663846,-1.1508494268600526
04.02.2004,8.67,8.54,8.77,8.48,2931100,8.54,-1.148587972599173,-1.1466308113497126,-1.148587972599173,-1.1461498555542935,-1.148714520054001
05.02.2004,8.59,8.74,8.77,8.59,1626300,8.74,-1.14594987391266,-1.1476860479307882,-1.14594987391266,-1.1461498555542935,-1.1472467716248407
06.02.2004,8.74,9.01,9.04,8.74,1302800,9.01,-1.142388440685867,-1.1457074793412714,-1.142388440685867,-1.1426262852454734,-1.1452452964941675
09.02.2004,9.01,9.06,9.17,8.89,1680200,9.06,-1.1417289160142388,-1.1421460558801406,-1.1417289160142388,-1.1409297513930787,-1.1432438213634941
10.02.2004,9.06,8.94,9.06,8.92,2370900,8.94,-1.1433117752261468,-1.1414865330169683,-1.1433117752261468,-1.1423652800374127,-1.1428435263373595
11.02.2004,8.93,9.09,9.16,8.93,1809200,9.09,-1.1413332012112618,-1.1432012924612165,-1.1413332012112618,-1.141060253997109,-1.1427100946619813
12.02.2004,9.1,9.02,9.27,9.01,1617700,9.02,-1.1422565357515415,-1.1409589147264307,-1.1422565357515415,-1.1396247253527751,-1.1416426412589555
13.02.2004,9.01,9.16,9.2,9.0,1022300,9.16,-1.1404098666709823,-1.1421460558801406,-1.1404098666709823,-1.1405382435809877,-1.1417760729343338
17.02.2004,9.09,9.38,9.61,9.01,3761900,9.38,-1.137507958115818,-1.141090819299065,-1.137507958115818,-1.1351876368157428,-1.1416426412589555
18.02.2004,9.12,8.97,9.22,8.93,4287700,8.97,-1.1429160604231698,-1.1406951055811616,-1.1429160604231698,-1.140277238372927,-1.1427100946619813
19.02.2004,9.24,8.7,9.33,8.64,6201700,8.7,-1.1464774936499624,-1.1391122507095481,-1.1464774936499624,-1.138841709728593,-1.1465796132479495
20.02.2004,8.64,8.51,8.77,8.43,2011500,8.51,-1.1489836874021497,-1.147026525067616,-1.1489836874021497,-1.1461498555542935,-1.1493816784308921
23.02.2004,8.55,8.15,8.7,8.08,3584100,8.15,-1.1537322650378732,-1.148213666221326,-1.1537322650378732,-1.1470633737825058,-1.1540517870691298
24.02.2004,8.15,8.35,8.37,7.94,2994600,8.35,-1.1510941663513603,-1.1534898491267045,-1.1510941663513603,-1.1513699597155078,-1.155919830524425
25.02.2004,8.35,8.26,8.48,8.21,1423600,8.26,-1.1522813107602912,-1.1508517576740154,-1.1522813107602912,-1.1499344310711739,-1.152317175289213
26.02.2004,8.21,8.4,8.45,8.09,2312500,8.4,-1.150434641679732,-1.1526984216908975,-1.150434641679732,-1.150325938883265,-1.1539183553937515
27.02.2004,8.48,8.44,8.57,8.36,2472000,8.44,-1.1499070219424294,-1.1491369982297672,-1.1499070219424294,-1.1487599076349004,-1.1503157001585398
01.03.2004,8.44,8.57,8.67,8.35,1721300,8.57,-1.148192257796196,-1.149664616520305,-1.148192257796196,-1.147454881594597,-1.150449131833918
02.03.2004,8.57,8.96,8.97,8.57,3851300,8.96,-1.1430479653574952,-1.1479498570760571,-1.1430479653574952,-1.1435398034736861,-1.1475136349755972
03.03.2004,8.94,8.98,9.12,8.82,3248600,8.98,-1.142784155488844,-1.143069387888582,-1.142784155488844,-1.1415822644132305,-1.1441778430911418
04.03.2004,9.0,9.25,9.35,8.9,3922800,9.25,-1.1392227222620515,-1.1422779604527753,-1.1392227222620515,-1.1385807045205323,-1.1431103896881158
05.03.2004,9.16,9.0,9.16,8.43,1241800,9.0,-1.1425203456201927,-1.1401674872906238,-1.1425203456201927,-1.141060253997109,-1.1493816784308921
08.03.2004,9.05,8.74,9.06,8.74,1399700,8.74,-1.14594987391266,-1.141618437589603,-1.14594987391266,-1.1423652800374127,-1.1452452964941675
09.03.2004,8.78,8.51,8.8,8.45,1721900,8.51,-1.1489836874021497,-1.1451798610507333,-1.1489836874021497,-1.1457583477422022,-1.1491148150801358
10.03.2004,8.51,8.44,8.66,8.33,1273500,8.44,-1.1499070219424294,-1.1487412845118639,-1.1499070219424294,-1.1475853841986274,-1.1507159951846744
11.03.2004,8.21,8.24,8.56,8.16,1685600,8.24,-1.1525451206289425,-1.1526984216908975,-1.1525451206289425,-1.148890410238931,-1.152984333666104
12.03.2004,8.31,8.42,8.44,8.31,1368700,8.42,-1.1501708318110806,-1.1513793759645532,-1.1501708318110806,-1.1504564414872953,-1.1509828585354307
15.03.2004,8.38,8.32,8.39,8.24,1356600,8.32,-1.1514898811543373,-1.150456043956112,-1.1514898811543373,-1.151108954507447,-1.1519168802630784
16.03.2004,8.48,8.57,8.63,8.42,2568500,8.57,-1.148192257796196,-1.1491369982297672,-1.148192257796196,-1.1479768920107185,-1.1495151101062704
17.03.2004,8.57,8.81,8.86,8.4,1199400,8.81,-1.1450265393723802,-1.1479498570760571,-1.1450265393723802,-1.14497533211802,-1.1497819734570267
