Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,83.06,83.05,83.77,82.66,901900,83.05,-2.214861604366698,-2.2130872035768325,-2.214861604366698,-2.217347184741427,-2.2017912815754057
03.01.2014,82.7,84.12,84.49,82.7,737600,84.12,-2.1812314890059277,-2.2243938477719087,-2.1812314890059277,-2.1949016649579414,-2.20052146309516
06.01.2014,84.67,85.37,85.39,84.12,1414000,85.37,-2.1419439710611026,-2.1625213781488526,-2.1419439710611026,-2.166844765228584,-2.1554429070464587
07.01.2014,85.38,85.01,85.79,84.52,984200,85.01,-2.153258776229212,-2.1402221632085636,-2.153258776229212,-2.154375032015536,-2.142744722244008
08.01.2014,84.72,85.22,85.82,84.38,889800,85.22,-2.1466584732144818,-2.1609510108995367,-2.1466584732144818,-2.1534398020245575,-2.147189086924866
09.01.2014,83.9,84.92,85.51,83.9,624300,84.92,-2.1560874775212397,-2.1867050337883214,-2.1560874775212397,-2.1631038452646694,-2.1624269086878067
10.01.2014,85.24,85.56,85.77,84.91,638100,85.56,-2.1359722683334894,-2.144619191506649,-2.1359722683334894,-2.1549985186761886,-2.130363992061618
13.01.2014,85.22,84.87,85.83,84.58,651300,84.87,-2.1576589782390325,-2.145247338406375,-2.1576589782390325,-2.1531280586942314,-2.1408399945236405
14.01.2014,85.13,85.51,85.74,84.9,642200,85.51,-2.137543769051282,-2.148073999455144,-2.137543769051282,-2.155933748667167,-2.1306814466816792
15.01.2014,85.67,86.15,86.4,85.56,786600,86.15,-2.117428559863532,-2.13111403316253,-2.117428559863532,-2.1353586888656384,-2.109729441757635
16.01.2014,86.71,86.29,86.8,86.01,892800,86.29,-2.1130283578537115,-2.098450394376754,-2.1130283578537115,-2.122888955652591,-2.0954439838548775
17.01.2014,86.38,85.61,86.56,85.46,898500,85.61,-2.134400767615696,-2.1088148182222404,-2.134400767615696,-2.1303707955804194,-2.112903987958248
21.01.2014,86.04,85.79,86.39,85.51,792800,85.79,-2.1287433650316414,-2.11949331551759,-2.1287433650316414,-2.1356704321959645,-2.1113167148579413
22.01.2014,86.07,85.63,86.48,85.41,1153700,85.63,-2.1337721673285794,-2.1185510951680007,-2.1337721673285794,-2.132864742223029,-2.1144912610585544
23.01.2014,85.15,84.75,85.29,84.61,1134900,84.75,-2.161430579961736,-2.1474458525554176,-2.161430579961736,-2.1699621985318456,-2.1398876306634564
24.01.2014,83.57,83.95,84.38,83.57,1204800,83.95,-2.186574591446424,-2.197069457633808,-2.186574591446424,-2.1983308415915292,-2.1729029111498295
27.01.2014,83.48,83.15,84.45,83.15,973600,83.15,-2.211718602931112,-2.199896118682577,-2.211718602931112,-2.196148638279246,-2.1862360051924026
28.01.2014,82.89,82.56,83.95,82.54,1482500,82.56,-2.2302623114010696,-2.2184264522245076,-2.2302623114010696,-2.211735804795555,-2.2056007370161406
29.01.2014,85.25,82.62,87.65,82.23,1855400,82.62,-2.2283765105397175,-2.1443051180567854,-2.2283765105397175,-2.096390772574864,-2.2154418302380403
30.01.2014,80.19,85.81,86.59,80.19,2720200,85.81,-2.128114764744524,-2.3032262836875796,-2.128114764744524,-2.1294355655894406,-2.2802025727305413
31.01.2014,85.2,86.75,87.14,85.2,1584800,86.75,-2.098570551250016,-2.1458754853061013,-2.098570551250016,-2.1122896824215003,-2.121157808079841
03.02.2014,86.75,86.6,87.42,86.48,1407900,86.6,-2.103285053403395,-2.0971941005773007,-2.103285053403395,-2.103560869172367,-2.0805236167119974
04.02.2014,87.0,87.77,87.86,86.45,1474400,87.77,-2.066511936607039,-2.0893422643307202,-2.066511936607039,-2.0898441626380144,-2.0814759805721814
05.02.2014,87.54,88.52,88.73,87.27,1428300,88.52,-2.0429394258401437,-2.0723822980381055,-2.0429394258401437,-2.0627224928996357,-2.055444701727157
06.02.2014,88.62,89.2,89.28,88.56,864600,89.2,-2.0215670160781585,-2.038462365452877,-2.0215670160781585,-2.045576609731695,-2.0144930557392517
07.02.2014,89.42,89.78,90.0,89.05,901600,89.78,-2.0033376077517597,-2.0133364894638186,-2.0033376077517597,-2.0231310899482096,-1.9989377793562493
10.02.2014,90.1,90.84,91.16,89.68,1070900,90.84,-1.9700217925345482,-1.991979494873119,-1.9700217925345482,-1.9869688636303713,-1.9789381382923885
11.02.2014,90.63,91.07,91.93,90.37,1258100,91.07,-1.9627928892327007,-1.9753336020303678,-1.9627928892327007,-1.9629646271952543,-1.9570337695081605
12.02.2014,91.03,90.51,91.27,90.35,1444000,90.51,-1.980393697271982,-1.9627706640358384,-1.980393697271982,-1.9835396869967832,-1.9576686787482833
13.02.2014,90.3,90.15,90.95,90.08,996900,90.15,-1.9917085024400916,-1.9856980258758543,-1.9917085024400916,-1.9935154735672211,-1.9662399534899377
14.02.2014,90.19,90.61,90.65,90.15,582700,90.61,-1.977250695836396,-1.9891528338243498,-1.977250695836396,-2.0028677734770066,-1.9640177711495086
18.02.2014,90.43,90.96,91.15,90.26,691800,90.96,-1.9662501908118453,-1.9816150710276321,-1.9662501908118453,-1.9872806069606972,-1.9605257703288346
19.02.2014,90.88,90.16,91.19,89.99,673300,90.16,-1.9913942022965332,-1.967481765783787,-1.9913942022965332,-1.9860336336393927,-1.9690970450704894
20.02.2014,90.45,90.54,90.84,89.76,737600,90.54,-1.979450796841306,-1.9809869241279057,-1.979450796841306,-1.9969446502008092,-1.9763985013318983
21.02.2014,90.44,90.37,91.02,89.78,623000,90.37,-1.9847938992818024,-1.9813009975777691,-1.9847938992818024,-1.991333270254938,-1.975763592091776
24.02.2014,90.45,90.77,91.46,90.28,694600,90.77,-1.9722218935394586,-1.9809869241279057,-1.9722218935394586,-1.9776165637205856,-1.959890861088712
25.02.2014,90.5,90.77,91.13,90.35,766000,90.77,-1.9722218935394586,-1.9794165568785898,-1.9722218935394586,-1.98790409362135,-1.9576686787482833
26.02.2014,91.25,90.21,91.27,89.94,694100,90.21,-1.9898227015787402,-1.9558610481388474,-1.9898227015787402,-1.9835396869967832,-1.9706843181707956
27.02.2014,90.3,89.42,90.43,89.17,723800,89.42,-2.0146524129198693,-1.9856980258758543,-2.0146524129198693,-2.009726126744183,-1.995128323915514
28.02.2014,89.64,90.59,90.94,89.29,1131000,90.59,-1.9778792961235132,-2.0064268735668276,-1.9778792961235132,-1.9938272168975475,-1.9913188684747785
03.03.2014,90.39,90.62,91.01,90.23,689200,90.62,-1.9769363956928374,-1.9828713648270853,-1.9769363956928374,-1.991645013585264,-1.9614781341890184
