Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
02.01.2014,26.34,26.27,26.34,26.55,26.07,2607000
03.01.2014,26.4,26.33,26.4,26.55,26.28,1158300
06.01.2014,26.25,26.47,26.25,26.58,26.13,1945600
07.01.2014,26.19,26.29,26.19,26.36,26.03,2203400
08.01.2014,26.19,26.08,26.19,26.22,25.86,2398700
09.01.2014,26.15,26.28,26.15,26.33,25.95,1725700
10.01.2014,26.38,26.26,26.38,26.55,26.18,1752900
13.01.2014,26.2,26.23,26.2,26.5,26.1,2013800
14.01.2014,26.44,26.27,26.44,26.58,26.27,1483400
15.01.2014,26.55,26.48,26.55,26.72,26.43,1316900
16.01.2014,26.56,26.49,26.56,26.74,26.43,1570500
17.01.2014,26.5,26.6,26.5,26.76,26.4,2297900
21.01.2014,26.37,26.7,26.37,26.7,26.26,2294400
22.01.2014,26.55,26.4,26.55,26.65,26.29,1614300
23.01.2014,26.28,26.41,26.28,26.52,26.15,1300600
24.01.2014,25.47,26.14,25.47,26.25,25.47,2035700
27.01.2014,25.86,25.5,25.86,26.0,25.5,4674800
28.01.2014,26.65,25.91,26.65,26.71,25.85,4006500
29.01.2014,26.9,26.61,26.9,27.09,26.33,3657000
30.01.2014,26.72,27.43,26.72,27.43,26.6,4987700
31.01.2014,26.54,26.5,26.54,26.75,26.18,2785500
03.02.2014,26.21,26.48,26.21,26.54,26.11,3642100
04.02.2014,26.78,26.39,26.78,26.86,26.2,2365000
05.02.2014,26.72,26.55,26.72,26.86,26.29,2707200
06.02.2014,25.85,25.5,25.85,26.31,25.5,6715900
07.02.2014,26.32,25.98,26.32,26.35,25.94,3145400
10.02.2014,26.32,26.21,26.32,26.49,26.19,3016600
11.02.2014,26.56,26.3,26.56,26.71,26.29,4085600
12.02.2014,26.68,26.58,26.68,26.88,26.58,2693800
13.02.2014,26.82,26.52,26.82,27.0,26.48,1521800
14.02.2014,27.01,26.79,27.01,27.07,26.67,2185800
18.02.2014,27.24,27.08,27.24,27.25,26.59,2006500
19.02.2014,27.24,27.15,27.24,27.39,27.02,2737200
20.02.2014,27.35,27.28,27.35,27.4,27.12,1793900
21.02.2014,27.44,27.35,27.44,27.46,27.19,2310300
24.02.2014,27.45,27.43,27.45,27.89,27.43,1783600
25.02.2014,27.86,27.45,27.86,27.89,27.45,2429900
26.02.2014,27.63,27.97,27.63,28.02,27.56,2096700
27.02.2014,27.82,27.58,27.82,28.0,27.56,1677500
28.02.2014,27.95,27.87,27.95,28.06,27.7,2007100
03.03.2014,27.62,27.79,27.62,27.89,27.45,3110200
04.03.2014,27.99,27.87,27.99,28.01,27.77,1780000
05.03.2014,27.64,28.01,27.64,28.06,27.57,2244600
06.03.2014,28.06,27.87,28.06,28.44,27.83,3665500
07.03.2014,28.09,28.21,28.09,28.34,28.01,2134100
10.03.2014,28.01,28.11,28.01,28.16,27.87,1617800
11.03.2014,27.81,28.04,27.81,28.14,27.69,1785200
12.03.2014,27.45,27.63,27.45,27.74,27.39,2188700
13.03.2014,27.24,27.56,27.24,27.66,27.2,1883800
14.03.2014,27.23,27.16,27.23,27.44,27.16,1421300
17.03.2014,27.19,27.39,27.19,27.51,27.13,1356500
18.03.2014,28.29,27.27,28.29,28.3,27.2,2842000
19.03.2014,27.58,28.11,27.58,28.28,27.47,2021700
20.03.2014,27.77,27.47,27.77,27.8,27.34,1345800
21.03.2014,28.0,27.95,28.0,28.13,27.78,2278000
24.03.2014,27.3,28.0,27.3,28.11,27.08,2006300
25.03.2014,27.33,27.47,27.33,27.6,27.2,1714200
26.03.2014,26.52,27.42,26.52,27.44,26.52,1957400
27.03.2014,26.33,26.51,26.33,26.7,26.16,2137100
