Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,48.34,47.34,48.38,47.08,3659600,47.34,-1.4219164011431475,-1.3936624349611135,-1.4219164011431475,-1.4022465018071786,-1.4204432728534997
03.01.2014,47.4,47.09,47.73,46.87,3206100,47.09,-1.4288830317028742,-1.4198518231327177,-1.4288830317028742,-1.4201375223730657,-1.4263782018548832
06.01.2014,47.3,47.11,47.56,47.07,2993500,47.11,-1.428325701258096,-1.4226379282573565,-1.428325701258096,-1.4248167123672206,-1.4207258885202323
07.01.2014,47.23,48.1,48.1,47.15,3655200,48.1,-1.400737844241578,-1.4245882018446037,-1.400737844241578,-1.4099534029740222,-1.418464963186372
08.01.2014,47.97,47.6,48.15,47.54,5108000,47.6,-1.4146711053610317,-1.403971023922277,-1.4146711053610317,-1.4085771706228003,-1.407442952183803
09.01.2014,47.83,47.44,47.96,47.15,2570900,47.44,-1.419129748919257,-1.4078715710967713,-1.419129748919257,-1.4138068535574442,-1.418464963186372
10.01.2014,47.3,47.49,47.65,47.3,1739400,47.49,-1.4177364228073115,-1.4226379282573565,-1.4177364228073115,-1.422339494135021,-1.414225728185384
13.01.2014,47.47,47.32,47.71,47.26,2503200,47.32,-1.4224737315879257,-1.4179015495454708,-1.4224737315879257,-1.4206880153135544,-1.4153561908523142
14.01.2014,47.5,48.19,48.41,47.43,2609800,48.19,-1.3982298572400766,-1.417065718008079,-1.3982298572400766,-1.4014207623964456,-1.410551724517861
15.01.2014,48.32,49.1,49.23,48.2,2660700,49.1,-1.3728713220026711,-1.3942196559860414,-1.3728713220026711,-1.3788505518364036,-1.3887903181794556
16.01.2014,49.23,48.73,49.37,48.42,1886700,48.73,-1.3831819352310668,-1.368866099351829,-1.3831819352310668,-1.3749971012529818,-1.3825727735113398
17.01.2014,49.15,49.06,49.41,48.34,3598000,49.06,-1.3739859828922274,-1.3710949834515398,-1.3739859828922274,-1.3738961153720042,-1.3848336988452001
21.01.2014,49.24,49.16,49.39,48.67,1683800,49.16,-1.371199330668337,-1.3685874888393648,-1.371199330668337,-1.3744466083124929,-1.3755073818430263
22.01.2014,49.17,48.76,49.57,48.59,4640600,48.76,-1.3823459395638997,-1.370537762426612,-1.3823459395638997,-1.3694921718480935,-1.3777683071768867
23.01.2014,48.94,48.38,49.55,47.95,7065200,48.38,-1.3929352180146841,-1.3769458042132812,-1.3929352180146841,-1.3700426647885824,-1.395855709847769
24.01.2014,48.47,47.17,48.51,47.17,5264400,47.17,-1.4266537099237617,-1.3900404982990833,-1.4266537099237617,-1.3986682976940015,-1.417899731852907
27.01.2014,47.13,46.82,47.38,46.55,3326800,46.82,-1.4364069927073793,-1.4273743069692424,-1.4364069927073793,-1.42977114883162,-1.4354219031903241
28.01.2014,46.8,46.93,47.48,46.8,2423300,46.93,-1.4333416752610995,-1.4365684538805503,-1.4333416752610995,-1.427018684129176,-1.428356511522011
29.01.2014,46.5,46.58,46.88,46.38,3394300,46.58,-1.443094958044717,-1.4449267692544665,-1.443094958044717,-1.4435334723438407,-1.4402263695247772
30.01.2014,46.75,47.21,47.48,46.73,2676000,47.21,-1.4255390490342055,-1.4379615064428695,-1.4255390490342055,-1.427018684129176,-1.4303348211891387
31.01.2014,46.71,46.9,47.29,46.57,2692000,46.9,-1.4341776709282668,-1.4390759484927251,-1.4341776709282668,-1.43224836706382,-1.4348566718568592
03.02.2014,46.9,45.58,47.02,45.49,3179900,45.58,-1.470961480283624,-1.4337823487559116,-1.470961480283624,-1.4396800217604189,-1.465379163863973
04.02.2014,45.8,45.66,45.83,45.24,3039600,45.66,-1.4687321585045114,-1.4644295051269376,-1.4687321585045114,-1.4724343517195044,-1.4724445555322863
05.02.2014,45.52,45.68,45.78,45.31,3206900,45.68,-1.4681748280597333,-1.472230599475926,-1.4681748280597333,-1.4738105840707263,-1.4704662458651585
06.02.2014,45.78,46.62,46.72,45.65,2721500,46.62,-1.4419802971551607,-1.4649867261518654,-1.4419802971551607,-1.4479374158677514,-1.4608573131962526
07.02.2014,46.81,47.3,47.41,46.13,3009500,47.3,-1.423031062032704,-1.4362898433680862,-1.423031062032704,-1.4289454094208869,-1.4472917611930907
10.02.2014,47.29,47.85,47.86,47.29,2431200,47.85,-1.407704474801305,-1.4229165387698204,-1.407704474801305,-1.4165593182598883,-1.4145083438521164
11.02.2014,47.97,48.46,48.59,47.81,2496800,48.46,-1.3907058962355716,-1.403971023922277,-1.3907058962355716,-1.396466325932046,-1.3998123291820246
12.02.2014,48.53,48.35,48.67,48.26,1366300,48.35,-1.3937712136818514,-1.3883688352243,-1.3937712136818514,-1.3942643541700908,-1.3870946241790605
13.02.2014,48.19,49.27,49.37,48.06,2900700,49.27,-1.368134013222057,-1.3978415926480718,-1.368134013222057,-1.3749971012529818,-1.3927469375137111
14.02.2014,49.14,49.58,49.6,49.02,1711300,49.58,-1.359495391327996,-1.3713735939640037,-1.359495391327996,-1.36866643243736,-1.3656158335073876
18.02.2014,49.66,49.17,49.76,49.1,1919300,49.17,-1.3709206654459476,-1.3568858473158822,-1.3709206654459476,-1.3642624889134496,-1.3633549081735274
19.02.2014,48.92,49.25,49.7,48.69,2236900,49.25,-1.368691343666835,-1.3775030252382088,-1.368691343666835,-1.365913967734916,-1.3749421505095616
20.02.2014,49.29,50.42,50.59,49.29,2636600,50.42,-1.336087512647314,-1.3671944362770456,-1.336087512647314,-1.341417031883163,-1.3579852105056094
21.02.2014,50.47,49.49,50.58,49.43,2107900,49.49,-1.3620033783294974,-1.3343183958063085,-1.3620033783294974,-1.3416922783534078,-1.3540285911713537
24.02.2014,49.56,49.39,50.03,49.37,1406300,49.39,-1.3647900305533882,-1.359671952440521,-1.3647900305533882,-1.3568308342168502,-1.355724285171749
25.02.2014,49.23,49.08,49.48,48.93,1968200,49.08,-1.3734286524474495,-1.368866099351829,-1.3734286524474495,-1.3719693900802932,-1.3681593745079805
26.02.2014,49.08,48.71,49.25,48.5,1555400,48.71,-1.383739265675845,-1.373045257038787,-1.383739265675845,-1.3783000588959147,-1.3803118481774796
27.02.2014,48.77,49.88,49.92,48.75,1636200,49.88,-1.3511354346563236,-1.3816821829251669,-1.3511354346563236,-1.3598585453895389,-1.3732464565091662
28.02.2014,49.99,50.17,50.17,49.32,11710100,50.17,-1.3430541432070406,-1.3476917004045743,-1.3430541432070406,-1.3529773836334285,-1.3571373635054116
03.03.2014,49.62,49.41,49.86,48.93,2232800,49.41,-1.36423270010861,-1.3580002893657377,-1.36423270010861,-1.3615100242110054,-1.3681593745079805
04.03.2014,49.84,49.44,50.16,49.14,2912200,49.44,-1.3633967044414428,-1.3518708580915324,-1.3633967044414428,-1.3532526301036731,-1.3622244455065973
05.03.2014,49.51,49.25,49.51,48.8,3293400,49.25,-1.368691343666835,-1.3610650050028403,-1.368691343666835,-1.37114365066956,-1.3718333781755037
06.03.2014,49.26,49.51,49.62,49.15,2542100,49.51,-1.3614460478847195,-1.3680302678144372,-1.3614460478847195,-1.3681159394968714,-1.361941829839865
07.03.2014,49.52,49.33,49.55,48.33,3121700,49.33,-1.3664620218877226,-1.3607863944903764,-1.3664620218877226,-1.3700426647885824,-1.3851163145119327
10.03.2014,49.27,49.4,49.64,49.06,2257100,49.4,-1.364511365330999,-1.3677516573019732,-1.364511365330999,-1.3675654465563825,-1.3644853708404576
11.03.2014,49.39,49.64,49.86,49.28,1930300,49.64,-1.3578233999936613,-1.364408331152407,-1.3578233999936613,-1.3615100242110054,-1.3582678261723418
12.03.2014,49.51,50.06,50.1,49.45,2186200,50.06,-1.3461194606533204,-1.3610650050028403,-1.3461194606533204,-1.3549041089251395,-1.3534633598378887
13.03.2014,50.13,49.69,50.19,49.54,2190000,49.69,-1.356430073881716,-1.3437911532300801,-1.356430073881716,-1.3524268906929398,-1.350919818837296
14.03.2014,49.58,49.53,50.14,49.49,1227800,49.53,-1.360888717439941,-1.3591147314155934,-1.360888717439941,-1.3538031230441618,-1.3523328971709585
17.03.2014,49.57,49.49,49.88,49.39,1926800,49.49,-1.3620033783294974,-1.359393341928057,-1.3620033783294974,-1.3609595312705165,-1.3551590538382838
18.03.2014,49.67,49.68,50.01,49.51,1279800,49.68,-1.356708739104105,-1.3566072368034183,-1.356708739104105,-1.3573813271573392,-1.3517676658374935
19.03.2014,49.79,48.92,50.02,48.73,1469600,48.92,-1.3778872960056745,-1.3532639106538518,-1.3778872960056745,-1.3571060806870947,-1.3738116878426314
20.03.2014,48.81,49.25,49.49,48.58,1223800,49.25,-1.368691343666835,-1.3805677408753114,-1.368691343666835,-1.3716941436100487,-1.3780509228436193
21.03.2014,49.57,48.94,49.68,48.74,3586200,48.94,-1.3773299655608964,-1.359393341928057,-1.3773299655608964,-1.3664644606754048,-1.3735290721758986
24.03.2014,49.17,49.23,49.61,48.35,1745800,49.23,-1.3692486741116134,-1.370537762426612,-1.3692486741116134,-1.3683911859671158,-1.3845510831784675
25.03.2014,49.33,48.93,49.65,48.58,1828500,48.93,-1.3776086307832853,-1.3660799942271902,-1.3776086307832853,-1.3672902000861382,-1.3780509228436193
26.03.2014,49.19,48.75,49.43,48.75,1312300,48.75,-1.3826246047862887,-1.3699805414016843,-1.3826246047862887,-1.3733456224315153,-1.3732464565091662
27.03.2014,48.81,49.92,50.02,48.69,2612100,49.92,-1.3500207737667673,-1.3805677408753114,-1.3500207737667673,-1.3571060806870947,-1.3749421505095616
28.03.2014,49.92,49.55,50.16,49.43,1432700,49.55,-1.3603313869951632,-1.3496419739918215,-1.3603313869951632,-1.3532526301036731,-1.3540285911713537
