Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
01.01.2014,152.07,149.84,152.07,152.61,148.99,4944090
02.01.2014,148.81,152.3,148.81,156.14,147.78,9278583
03.01.2014,151.0,147.52,151.0,151.76,146.04,7211775
06.01.2014,149.12,151.09,149.12,151.76,147.6,4924864
07.01.2014,146.58,148.59,146.58,151.09,145.01,6468312
08.01.2014,144.88,146.17,144.88,148.68,144.25,5991976
09.01.2014,141.97,144.21,141.97,145.91,140.94,4675079
10.01.2014,139.92,142.42,139.92,144.74,139.42,4754295
13.01.2014,143.98,141.08,143.98,144.83,139.65,5366499
14.01.2014,140.5,142.91,140.5,144.03,139.74,4832212
15.01.2014,142.91,141.08,142.91,143.4,140.59,3885416
16.01.2014,144.92,143.58,144.92,145.64,141.48,5003916
17.01.2014,138.89,145.15,138.89,146.8,137.99,7238988
20.01.2014,139.29,138.57,139.29,140.18,136.61,5304650
21.01.2014,140.59,139.92,140.59,141.17,138.66,4123487
22.01.2014,142.11,141.26,142.11,142.69,139.33,4471196
23.01.2014,142.42,141.84,142.42,142.96,140.23,3645971
24.01.2014,136.83,141.26,136.83,141.26,136.21,5405551
27.01.2014,124.85,133.61,124.85,134.1,123.64,6500869
28.01.2014,126.28,125.16,126.28,129.28,123.91,8473262
29.01.2014,126.15,128.52,126.15,129.05,125.25,4462907
30.01.2014,120.38,122.93,120.38,124.58,119.58,7466170
31.01.2014,122.93,122.48,122.93,123.73,121.05,5462190
03.02.2014,119.93,121.77,119.93,123.2,119.08,6524018
04.02.2014,119.89,117.65,119.89,121.01,116.45,7479935
05.02.2014,123.47,118.91,123.47,125.07,118.73,7322678
06.02.2014,120.96,122.8,120.96,124.63,119.84,7434184
07.02.2014,123.33,122.21,123.33,124.49,122.21,4033070
10.02.2014,126.95,128.11,126.95,130.44,126.46,7470522
11.02.2014,125.57,125.88,125.57,127.53,124.49,3590777
12.02.2014,125.3,126.15,125.3,128.03,124.0,3900737
13.02.2014,127.85,125.25,127.85,129.41,125.25,8274700
14.02.2014,129.63,127.85,129.63,130.53,126.42,8633646
17.02.2014,127.44,130.08,127.44,132.23,126.77,5503531
18.02.2014,127.35,127.58,127.35,128.47,125.3,5914011
19.02.2014,127.35,127.35,127.35,127.35,127.35,0
20.02.2014,128.43,127.18,128.43,131.38,126.64,5777776
21.02.2014,127.31,129.1,127.31,129.41,125.75,4757965
24.02.2014,127.67,127.4,127.67,128.65,126.1,2762669
25.02.2014,126.55,128.34,126.55,129.19,125.83,2991045
26.02.2014,125.3,126.64,125.3,127.04,123.6,4639976
28.02.2014,126.19,126.51,126.19,126.95,123.87,4441772
03.03.2014,124.4,125.88,124.4,126.73,123.64,3866220
04.03.2014,125.03,122.75,125.03,125.88,121.86,5128310
05.03.2014,129.41,126.95,129.41,130.3,125.34,5667795
06.03.2014,136.03,129.63,136.03,137.1,129.63,8721037
07.03.2014,149.21,137.14,149.21,150.15,136.97,14164958
10.03.2014,153.42,147.52,153.42,155.43,147.16,9418139
11.03.2014,159.45,153.73,159.45,166.92,149.88,20555512
12.03.2014,160.17,160.61,160.17,163.34,157.93,12520561
13.03.2014,150.51,160.93,150.51,162.4,149.03,12573778
14.03.2014,156.41,148.41,156.41,157.22,145.24,13516204
18.03.2014,155.25,157.8,155.25,160.03,152.12,10330068
19.03.2014,155.52,156.28,155.52,159.09,153.06,7884070
20.03.2014,149.39,154.58,149.39,155.52,148.59,7247779
21.03.2014,152.97,150.02,152.97,154.22,150.02,8082959
24.03.2014,153.42,152.88,153.42,156.32,151.99,5789070
25.03.2014,158.78,152.88,158.78,159.58,152.79,7715272
26.03.2014,156.63,160.21,156.63,162.22,155.2,8251239
27.03.2014,156.37,157.13,156.37,160.48,153.91,14345150
28.03.2014,157.22,158.15,157.22,158.78,155.7,8201155
31.03.2014,157.75,158.24,157.75,160.03,155.61,12220242
01.04.2014,156.46,158.91,156.46,158.91,152.97,7495537
02.04.2014,157.89,157.35,157.89,159.9,154.94,12739524
03.04.2014,153.55,158.69,153.55,158.69,151.27,9076725
04.04.2014,157.39,152.34,157.39,158.24,151.81,15723521
07.04.2014,152.92,157.8,152.92,159.36,150.24,10798384
09.04.2014,157.89,154.44,157.89,158.24,154.18,9943496
10.04.2014,159.67,159.14,159.67,165.4,157.26,27802096
11.04.2014,157.62,157.3,157.62,161.37,155.16,14172904
15.04.2014,148.5,158.24,148.5,158.87,147.16,10752346
16.04.2014,141.3,148.41,141.3,149.97,139.33,12114652
17.04.2014,142.73,142.15,142.73,144.3,139.51,13879067
21.04.2014,141.08,143.49,141.08,143.49,139.92,8263084
22.04.2014,140.41,141.7,140.41,143.85,140.01,10438729
23.04.2014,136.21,136.92,136.21,139.96,135.31,16197519
24.04.2014,136.21,136.21,136.21,136.21,136.21,0
25.04.2014,137.32,136.97,137.32,141.26,136.38,11959585
28.04.2014,137.59,135.98,137.59,138.49,134.86,9132253
29.04.2014,137.46,136.52,137.46,140.23,136.52,9396244
30.04.2014,125.3,136.79,125.3,137.99,124.27,24535978
02.05.2014,124.99,126.51,124.99,127.76,123.47,16101101
05.05.2014,124.31,124.99,124.31,126.59,123.02,12555583
06.05.2014,125.48,124.31,125.48,127.71,124.31,8651800
07.05.2014,125.39,125.52,125.39,126.64,124.27,8856565
08.05.2014,124.85,125.39,124.85,126.37,123.56,10142516
09.05.2014,129.41,125.16,129.41,130.44,125.12,10508094
12.05.2014,130.71,129.28,130.71,135.27,127.98,11354398
13.05.2014,136.21,133.03,136.21,139.47,132.76,13236382
14.05.2014,143.58,137.5,143.58,145.73,134.1,16457211
15.05.2014,143.0,144.83,143.0,151.09,141.48,11637280
16.05.2014,151.72,149.12,151.72,160.66,146.67,23893422
19.05.2014,162.98,155.56,162.98,164.28,154.22,21952904
20.05.2014,164.86,163.61,164.86,170.49,159.14,16677976
21.05.2014,172.37,165.31,172.37,174.34,161.46,16249397
22.05.2014,188.64,174.34,188.64,195.35,173.84,40429032
23.05.2014,194.14,191.01,194.14,198.79,189.09,21664306
26.05.2014,182.65,196.6,182.65,200.98,175.41,17180732
27.05.2014,182.78,183.28,182.78,185.42,174.43,12407505
28.05.2014,183.86,184.17,183.86,186.85,177.42,12381901
29.05.2014,182.16,184.44,182.16,187.12,180.64,8622894
30.05.2014,187.84,179.7,187.84,189.53,174.78,20070580
02.06.2014,187.17,188.82,187.17,190.25,184.71,15178797
03.06.2014,196.24,187.61,196.24,198.12,186.85,18963756
04.06.2014,195.93,198.92,195.93,199.64,193.69,13402604
05.06.2014,196.42,197.09,196.42,199.37,192.53,10761631
06.06.2014,208.44,199.1,208.44,209.47,197.58,21701918
09.06.2014,215.77,210.77,215.77,217.2,209.56,14522467
10.06.2014,208.53,213.41,208.53,214.34,204.55,9348761
11.06.2014,197.49,208.31,197.49,209.65,196.24,11552956
12.06.2014,199.37,197.49,199.37,201.87,193.69,9645873
