Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
02.01.2014,32.55,32.65,32.55,33.44,32.44,2584000
03.01.2014,32.79,32.78,32.79,33.07,32.34,1215000
06.01.2014,32.72,33.23,32.72,33.32,32.59,1147000
07.01.2014,32.81,33.09,32.81,33.39,32.76,2426200
08.01.2014,32.56,32.75,32.56,32.94,32.24,1603200
09.01.2014,32.7,32.74,32.7,33.05,32.31,894000
10.01.2014,32.9,32.92,32.9,33.21,32.71,1846500
13.01.2014,33.04,33.01,33.04,33.48,32.86,1421500
14.01.2014,33.69,33.33,33.69,33.76,33.14,1641800
15.01.2014,34.55,33.71,34.55,34.79,33.71,2190000
16.01.2014,34.76,34.63,34.76,34.95,34.52,2754300
17.01.2014,34.06,34.67,34.06,34.87,33.77,1410800
21.01.2014,34.89,34.31,34.89,34.96,34.29,2377500
22.01.2014,34.38,34.95,34.38,35.02,33.93,1763700
23.01.2014,34.51,34.37,34.51,34.58,34.2,1249900
24.01.2014,34.44,34.44,34.44,34.72,34.15,2246800
27.01.2014,33.89,34.48,33.89,34.56,33.88,1266300
28.01.2014,34.29,33.88,34.29,34.78,33.81,1134500
29.01.2014,33.09,32.83,33.09,33.71,32.36,3014600
30.01.2014,32.86,33.46,32.86,33.52,32.83,1859100
31.01.2014,33.55,32.59,33.55,33.68,32.46,1756800
03.02.2014,32.97,33.59,32.97,33.61,32.88,1491600
04.02.2014,34.11,33.07,34.11,34.15,33.07,1215600
05.02.2014,34.17,34.21,34.17,34.25,33.83,936000
06.02.2014,33.85,34.15,33.85,34.34,33.46,1343100
07.02.2014,34.12,33.87,34.12,34.34,33.71,1448000
10.02.2014,34.78,34.24,34.78,34.86,33.86,997700
11.02.2014,34.29,34.61,34.29,34.74,33.98,1075700
12.02.2014,34.81,34.54,34.81,34.81,34.29,1068700
13.02.2014,35.25,34.83,35.25,35.5,34.74,1234700
14.02.2014,35.13,35.14,35.13,35.33,34.95,659500
18.02.2014,35.21,35.27,35.21,35.38,35.06,1169500
19.02.2014,34.63,35.16,34.63,35.24,34.48,1555700
20.02.2014,34.27,34.62,34.27,34.9,34.08,1665500
21.02.2014,35.19,34.33,35.19,35.23,34.33,1764500
24.02.2014,35.62,35.16,35.62,35.86,35.08,2668700
25.02.2014,35.23,36.21,35.23,37.85,34.46,3925900
26.02.2014,35.26,35.53,35.26,35.53,34.76,1658100
27.02.2014,35.34,35.29,35.34,35.56,34.87,695700
28.02.2014,35.63,35.25,35.63,35.82,35.15,1213700
03.03.2014,35.76,35.33,35.76,35.83,35.24,845300
04.03.2014,36.15,36.15,36.15,36.19,35.92,885700
05.03.2014,36.03,36.24,36.03,36.25,35.77,828900
06.03.2014,35.73,36.15,35.73,36.24,35.63,786500
07.03.2014,34.45,35.68,34.45,35.69,34.13,1533200
10.03.2014,34.47,34.44,34.47,34.71,34.28,1046100
11.03.2014,35.04,34.38,35.04,35.16,34.38,834700
12.03.2014,35.2,34.81,35.2,35.24,34.61,1170500
13.03.2014,34.27,35.14,34.27,35.28,34.13,1211200
14.03.2014,34.43,34.17,34.43,34.77,34.17,646900
17.03.2014,35.27,34.82,35.27,35.42,34.65,851000
18.03.2014,34.69,35.04,34.69,35.19,33.47,2321300
19.03.2014,33.61,34.73,33.61,35.39,33.53,1466100
20.03.2014,33.26,33.51,33.26,33.65,32.65,2193800
21.03.2014,33.4,33.31,33.4,33.57,33.16,1510700
24.03.2014,33.65,33.47,33.65,33.79,33.24,1112500
25.03.2014,34.59,34.01,34.59,34.59,33.88,1243400
26.03.2014,34.81,34.76,34.81,35.24,34.26,1372200
27.03.2014,35.53,34.7,35.53,35.86,34.7,2258500
28.03.2014,35.76,35.72,35.76,36.25,35.16,1760200
31.03.2014,35.48,35.88,35.48,35.89,35.29,1231000
01.04.2014,35.38,35.63,35.38,35.8,34.99,1467800
02.04.2014,34.9,35.3,34.9,35.36,34.76,1293600
03.04.2014,35.5,34.88,35.5,35.67,34.63,1616500
04.04.2014,35.54,35.36,35.54,36.53,35.28,2543800
07.04.2014,35.64,35.5,35.64,35.86,35.28,2520900
08.04.2014,35.82,35.56,35.82,36.3,35.56,4115200
09.04.2014,36.21,35.84,36.21,36.33,35.29,3936200
10.04.2014,35.34,36.38,35.34,36.81,35.06,1658200
11.04.2014,34.54,35.13,34.54,35.29,34.31,3158000
14.04.2014,34.83,34.69,34.83,35.15,34.45,1250400
15.04.2014,35.64,34.97,35.64,35.85,34.84,1405600
16.04.2014,35.98,35.84,35.98,36.19,35.53,1115200
17.04.2014,35.74,36.02,35.74,36.1,35.38,1277100
21.04.2014,35.81,35.9,35.81,36.15,35.64,1174300
22.04.2014,35.71,35.86,35.71,35.96,35.67,1603200
23.04.2014,35.26,35.77,35.26,35.82,34.93,3886100
24.04.2014,35.33,35.3,35.33,35.5,35.11,2262400
25.04.2014,35.17,35.3,35.17,35.42,35.02,2208800
28.04.2014,35.25,35.18,35.25,35.34,35.02,2617200
29.04.2014,35.6,35.26,35.6,35.7,35.24,1613500
30.04.2014,35.69,35.59,35.69,35.72,35.42,2183800
01.05.2014,35.78,35.62,35.78,35.98,35.28,1425300
02.05.2014,36.09,35.66,36.09,36.19,35.62,970900
05.05.2014,36.21,35.92,36.21,36.31,35.82,803600
06.05.2014,36.43,36.15,36.43,36.54,35.94,1722800
07.05.2014,37.29,36.95,37.29,37.73,36.43,2806500
08.05.2014,37.58,37.35,37.58,37.6,37.25,2680900
09.05.2014,38.68,37.49,38.68,38.85,37.49,2258100
12.05.2014,39.09,38.7,39.09,39.69,38.7,2788300
13.05.2014,39.16,39.19,39.16,39.66,38.95,3207000
14.05.2014,39.3,39.14,39.3,39.49,38.9,2077600
15.05.2014,38.93,39.16,38.93,39.28,38.69,1683100
16.05.2014,39.65,39.11,39.65,39.71,38.91,2743100
19.05.2014,39.42,39.51,39.42,39.64,39.16,1077000
20.05.2014,39.31,39.37,39.31,39.61,39.12,1159400
21.05.2014,38.6,38.93,38.6,38.98,37.99,1446400
22.05.2014,38.4,38.6,38.4,38.76,38.28,1136200
23.05.2014,38.34,38.5,38.34,38.77,38.07,1344200
27.05.2014,38.48,38.61,38.48,38.68,38.3,927000
28.05.2014,38.52,38.5,38.52,38.77,38.25,964000
29.05.2014,38.36,38.22,38.36,38.5,37.77,1341200
30.05.2014,38.43,38.41,38.43,38.75,38.28,1351500
02.06.2014,38.83,38.46,38.83,38.87,38.41,828700
03.06.2014,38.81,38.62,38.81,38.81,38.44,785500
04.06.2014,39.02,38.74,39.02,39.17,38.64,900500
05.06.2014,39.63,38.81,39.63,39.67,38.81,1949900
06.06.2014,39.21,39.77,39.21,39.77,39.11,1003200
09.06.2014,38.78,39.23,38.78,39.37,38.74,1137800
10.06.2014,38.96,38.79,38.96,38.99,38.61,900300
11.06.2014,38.44,38.85,38.44,38.99,38.17,1267700
12.06.2014,38.43,38.48,38.43,38.66,37.94,1051500
13.06.2014,38.42,38.46,38.42,38.51,38.13,736900
16.06.2014,39.06,38.84,39.06,39.44,38.84,1006300
17.06.2014,39.24,38.88,39.24,39.32,38.73,855700
