Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,30.58,30.73,30.91,30.47,1520600,30.73,-2.2321072216713342,-2.243573869495858,-2.2321072216713342,-2.241072219577664,-2.2276550378280775
03.01.2014,30.77,30.99,31.09,30.68,1300200,30.99,-2.2086253105713856,-2.2264329821350044,-2.2086253105713856,-2.2249666594023645,-2.208502055417845
06.01.2014,31.05,31.23,31.43,30.99,1562000,31.23,-2.186949700325279,-2.201172727076904,-2.186949700325279,-2.19454504573791,-2.180228605193217
07.01.2014,31.3,31.28,31.42,31.19,1180200,31.28,-2.1824339481906736,-2.1786189279178862,-2.1824339481906736,-2.195439799080982,-2.161987669564424
08.01.2014,31.2,31.56,31.56,31.15,2038800,31.56,-2.1571457362368824,-2.1876404475814932,-2.1571457362368824,-2.1829132522779715,-2.1656358566901828
09.01.2014,31.68,31.58,31.73,31.33,2154100,31.58,-2.1553394353830404,-2.144337153196179,-2.1553394353830404,-2.167702445445744,-2.1492190146242693
10.01.2014,31.74,31.66,31.85,31.51,2115300,31.66,-2.1481142319676714,-2.1389242413980147,-2.1481142319676714,-2.1569654053288776,-2.1328021725583555
13.01.2014,31.51,31.45,31.69,31.39,1917400,31.45,-2.1670803909330147,-2.159673736624311,-2.1670803909330147,-2.171281458818033,-2.1437467339356315
14.01.2014,31.52,31.61,31.8,31.47,1816200,31.61,-2.152629984102277,-2.1587715846579507,-2.152629984102277,-2.1614391720442385,-2.1364503596841145
15.01.2014,31.77,31.78,31.88,31.68,1926000,31.78,-2.1372764268446183,-2.136217785498933,-2.1372764268446183,-2.1542811452996613,-2.117297377273882
16.01.2014,31.84,31.85,31.97,31.73,1680100,31.85,-2.1309543738561705,-2.1299027217344078,-2.1309543738561705,-2.1462283652120115,-2.112737143366684
17.01.2014,31.88,31.82,31.95,31.69,1794100,31.82,-2.1336638251369338,-2.1262941138689646,-2.1336638251369338,-2.1480178718981557,-2.1163853304924425
21.01.2014,31.99,32.16,32.24,31.88,2155800,32.16,-2.1029567106216165,-2.116370442238997,-2.1029567106216165,-2.122070024949062,-2.0990564416450894
22.01.2014,32.17,31.9,32.42,31.88,2342800,31.9,-2.126438621721565,-2.1001317068445036,-2.126438621721565,-2.1059644647737623,-2.0990564416450894
23.01.2014,31.74,31.78,31.81,31.61,2306300,31.78,-2.1372764268446183,-2.1389242413980147,-2.1372764268446183,-2.1605444187011664,-2.1236817047439596
24.01.2014,32.35,31.74,32.35,31.61,2667000,31.74,-2.140889028552303,-2.0838929714500107,-2.140889028552303,-2.112227738175268,-2.1236817047439596
27.01.2014,31.66,31.54,31.95,31.44,4027300,31.54,-2.158952037090725,-2.1461414571289006,-2.158952037090725,-2.1480178718981557,-2.139186500028433
28.01.2014,31.51,31.83,31.88,31.5,2243300,31.83,-2.132760674710013,-2.159673736624311,-2.132760674710013,-2.1542811452996613,-2.1337142193397955
29.01.2014,31.68,31.88,32.0,31.59,3138300,31.88,-2.128244922575407,-2.144337153196179,-2.128244922575407,-2.143544105182795,-2.125505798306839
30.01.2014,32.03,32.59,32.65,31.91,2690400,32.59,-2.064121242264008,-2.1127618343735537,-2.064121242264008,-2.085385137883102,-2.0963203013007705
31.01.2014,32.32,32.73,32.86,32.22,3483600,32.73,-2.0514771362871134,-2.086599427349093,-2.0514771362871134,-2.0665953176785856,-2.0680468510761423
03.02.2014,32.64,32.39,32.65,32.27,3092100,32.39,-2.0821842508024306,-2.05773056442555,-2.0821842508024306,-2.085385137883102,-2.0634866171689437
04.02.2014,32.52,32.73,32.8,32.36,3303500,32.73,-2.0514771362871134,-2.0685563880218787,-2.0514771362871134,-2.071963837737019,-2.0552781961359874
05.02.2014,32.5,32.97,33.07,32.24,3253900,32.97,-2.0298015260410067,-2.0703606919546003,-2.0298015260410067,-2.04780549747407,-2.0662227575132626
06.02.2014,32.9,33.38,33.4,32.89,3199000,33.38,-1.992772358537241,-2.034274613300172,-1.992772358537241,-2.018278637152687,-2.0069397167196867
07.02.2014,33.57,33.61,33.77,33.43,2175700,33.61,-1.9719998987180558,-1.9738304315540036,-1.9719998987180558,-1.9851727634590155,-1.957689190521947
10.02.2014,33.63,34.04,34.09,33.55,2247100,34.04,-1.9331644303604483,-1.9684175197558391,-1.9331644303604483,-1.9565406564807053,-1.9467446291446717
11.02.2014,33.96,34.29,34.45,33.91,1986000,34.29,-1.9105856696874206,-1.9386465048659356,-1.9105856696874206,-1.9243295361301063,-1.913910945012845
