Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
03.12.2007,5.61,5.53,5.61,5.53,112700,5.53,-1.5339963916488977,-1.5150660402433758,-1.5339963916488977,-1.5277164278165578,-1.520541584462048
04.12.2007,5.52,5.5,5.52,5.5,61800,5.5,-1.5411424528596718,-1.5364915186424468,-1.5411424528596718,-1.5489068748862964,-1.5277717658934635
05.12.2007,5.48,5.48,5.5,5.48,244800,5.48,-1.5459064936668545,-1.546013953486478,-1.5459064936668545,-1.553615863124016,-1.5325918868477404
06.12.2007,5.48,5.48,5.48,5.48,62400,5.48,-1.5459064936668545,-1.546013953486478,-1.5459064936668545,-1.5583248513617356,-1.5325918868477404
07.12.2007,5.47,5.47,5.47,5.47,1000,5.47,-1.5482885140704459,-1.548394562197486,-1.5482885140704459,-1.5606793454805956,-1.535001947324879
10.12.2007,5.46,5.46,5.5,5.46,55500,5.46,-1.5506705344740372,-1.5507751709084938,-1.5506705344740372,-1.553615863124016,-1.5374120078020173
11.12.2007,5.47,5.47,5.48,5.46,24800,5.47,-1.5482885140704459,-1.548394562197486,-1.5482885140704459,-1.5583248513617356,-1.5374120078020173
12.12.2007,5.46,5.46,5.47,5.46,202900,5.46,-1.5506705344740372,-1.5507751709084938,-1.5506705344740372,-1.5606793454805956,-1.5374120078020173
13.12.2007,5.47,5.47,5.47,5.46,144900,5.47,-1.5482885140704459,-1.548394562197486,-1.5482885140704459,-1.5606793454805956,-1.5374120078020173
14.12.2007,5.47,5.53,5.53,5.47,2100,5.53,-1.5339963916488977,-1.548394562197486,-1.5339963916488977,-1.5465523807674366,-1.535001947324879
17.12.2007,5.5,5.47,5.5,5.47,17000,5.47,-1.5482885140704459,-1.5412527360644623,-1.5482885140704459,-1.553615863124016,-1.535001947324879
18.12.2007,5.47,5.48,5.5,5.47,215000,5.48,-1.5459064936668545,-1.548394562197486,-1.5459064936668545,-1.553615863124016,-1.535001947324879
19.12.2007,5.48,5.47,5.48,5.47,95100,5.47,-1.5482885140704459,-1.546013953486478,-1.5482885140704459,-1.5583248513617356,-1.535001947324879
20.12.2007,5.47,5.47,5.48,5.47,1175400,5.47,-1.5482885140704459,-1.548394562197486,-1.5482885140704459,-1.5583248513617356,-1.535001947324879
21.12.2007,5.47,5.53,5.53,5.47,1906600,5.53,-1.5339963916488977,-1.548394562197486,-1.5339963916488977,-1.5465523807674366,-1.535001947324879
24.12.2007,5.54,5.51,5.54,5.51,17000,5.51,-1.5387604324560806,-1.5317303012204309,-1.5387604324560806,-1.5441978866485768,-1.525361705416325
26.12.2007,5.46,5.46,5.46,5.46,1000,5.46,-1.5506705344740372,-1.5507751709084938,-1.5506705344740372,-1.5630338395994554,-1.5374120078020173
27.12.2007,5.5,5.5,5.5,5.5,4000,5.5,-1.5411424528596718,-1.5412527360644623,-1.5411424528596718,-1.553615863124016,-1.5277717658934635
28.12.2007,5.5,5.44,5.5,5.44,71000,5.44,-1.55543457528122,-1.5412527360644623,-1.55543457528122,-1.553615863124016,-1.5422321287562941
31.12.2007,5.5,5.56,5.56,5.5,5300,5.56,-1.5268503304381238,-1.5412527360644623,-1.5268503304381238,-1.5394888984108572,-1.5277717658934635
02.01.2008,5.56,5.5,5.56,5.5,554400,5.5,-1.5411424528596718,-1.5269690837984153,-1.5411424528596718,-1.5394888984108572,-1.5277717658934635
03.01.2008,5.53,5.56,5.56,5.53,137200,5.56,-1.5268503304381238,-1.5341109099314387,-1.5268503304381238,-1.5394888984108572,-1.520541584462048
04.01.2008,5.54,5.48,5.54,5.43,2900,5.48,-1.5459064936668545,-1.5317303012204309,-1.5459064936668545,-1.5441978866485768,-1.5446421892334328
07.01.2008,5.53,5.53,5.54,5.5,33000,5.53,-1.5339963916488977,-1.5341109099314387,-1.5339963916488977,-1.5441978866485768,-1.5277717658934635
08.01.2008,5.56,5.57,5.59,5.56,399900,5.57,-1.5244683100345322,-1.5269690837984153,-1.5244683100345322,-1.5324254160542776,-1.5133114030306327
09.01.2008,5.61,5.58,5.61,5.58,7100,5.58,-1.522086289630941,-1.5150660402433758,-1.522086289630941,-1.5277164278165578,-1.5084912820763556
10.01.2008,5.56,5.57,5.57,5.56,4300,5.57,-1.5244683100345322,-1.5269690837984153,-1.5244683100345322,-1.5371344042919972,-1.5133114030306327
11.01.2008,5.56,5.57,5.57,5.56,27100,5.57,-1.5244683100345322,-1.5269690837984153,-1.5244683100345322,-1.5371344042919972,-1.5133114030306327
14.01.2008,5.56,5.57,5.57,5.56,52500,5.57,-1.5244683100345322,-1.5269690837984153,-1.5244683100345322,-1.5371344042919972,-1.5133114030306327
15.01.2008,5.59,5.59,5.59,5.59,25000,5.59,-1.5197042692273497,-1.5198272576653917,-1.5197042692273497,-1.5324254160542776,-1.5060812215992172
16.01.2008,5.59,5.57,5.59,5.57,45200,5.57,-1.5244683100345322,-1.5198272576653917,-1.5244683100345322,-1.5324254160542776,-1.510901342553494
17.01.2008,5.56,5.56,5.56,5.56,3400,5.56,-1.5268503304381238,-1.5269690837984153,-1.5268503304381238,-1.5394888984108572,-1.5133114030306327
18.01.2008,5.56,5.53,5.56,5.53,14800,5.53,-1.5339963916488977,-1.5269690837984153,-1.5339963916488977,-1.5394888984108572,-1.520541584462048
22.01.2008,5.54,5.54,5.54,5.53,6100,5.54,-1.5316143712453065,-1.5317303012204309,-1.5316143712453065,-1.5441978866485768,-1.520541584462048
23.01.2008,5.5,5.51,5.54,5.5,13900,5.51,-1.5387604324560806,-1.5412527360644623,-1.5387604324560806,-1.5441978866485768,-1.5277717658934635
24.01.2008,5.55,5.51,5.55,5.51,3100,5.51,-1.5387604324560806,-1.529349692509423,-1.5387604324560806,-1.541843392529717,-1.525361705416325
25.01.2008,5.52,5.52,5.52,5.52,10400,5.52,-1.5363784120524893,-1.5364915186424468,-1.5363784120524893,-1.5489068748862964,-1.5229516449391867
28.01.2008,5.53,5.53,5.61,5.53,9600,5.53,-1.5339963916488977,-1.5341109099314387,-1.5339963916488977,-1.5277164278165578,-1.520541584462048
29.01.2008,5.53,5.53,5.54,5.53,9000,5.53,-1.5339963916488977,-1.5341109099314387,-1.5339963916488977,-1.5441978866485768,-1.520541584462048
30.01.2008,5.54,5.53,5.54,5.53,1500,5.53,-1.5339963916488977,-1.5317303012204309,-1.5339963916488977,-1.5441978866485768,-1.520541584462048
31.01.2008,5.53,5.51,5.56,5.51,345300,5.51,-1.5387604324560806,-1.5341109099314387,-1.5387604324560806,-1.5394888984108572,-1.525361705416325
01.02.2008,5.55,5.54,5.56,5.52,433600,5.54,-1.5316143712453065,-1.529349692509423,-1.5316143712453065,-1.5394888984108572,-1.5229516449391867
04.02.2008,5.54,5.54,5.54,5.54,0,5.54,-1.5316143712453065,-1.5317303012204309,-1.5316143712453065,-1.5441978866485768,-1.5181315239849096
05.02.2008,5.61,5.57,5.61,5.53,506600,5.57,-1.5244683100345322,-1.5150660402433758,-1.5244683100345322,-1.5277164278165578,-1.520541584462048
06.02.2008,5.57,5.57,5.57,5.57,0,5.57,-1.5244683100345322,-1.5245884750874072,-1.5244683100345322,-1.5371344042919972,-1.510901342553494
07.02.2008,5.56,5.53,5.56,5.53,107000,5.53,-1.5339963916488977,-1.5269690837984153,-1.5339963916488977,-1.5394888984108572,-1.520541584462048
08.02.2008,5.54,5.53,5.54,5.53,1000,5.53,-1.5339963916488977,-1.5317303012204309,-1.5339963916488977,-1.5441978866485768,-1.520541584462048
11.02.2008,5.53,5.53,5.53,5.53,0,5.53,-1.5339963916488977,-1.5341109099314387,-1.5339963916488977,-1.5465523807674366,-1.520541584462048
12.02.2008,5.54,5.54,5.54,5.54,24000,5.54,-1.5316143712453065,-1.5317303012204309,-1.5316143712453065,-1.5441978866485768,-1.5181315239849096
13.02.2008,5.54,5.54,5.55,5.54,48400,5.54,-1.5316143712453065,-1.5317303012204309,-1.5316143712453065,-1.541843392529717,-1.5181315239849096
14.02.2008,5.55,5.55,5.55,5.55,3000,5.55,-1.5292323508417152,-1.529349692509423,-1.5292323508417152,-1.541843392529717,-1.5157214635077711
15.02.2008,5.54,5.52,5.54,5.52,74800,5.52,-1.5363784120524893,-1.5317303012204309,-1.5363784120524893,-1.5441978866485768,-1.5229516449391867
