Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
06.01.2014,2640.2,2674.49,2640.2,2700.21,2610.2,5156000
07.01.2014,2610.2,2623.06,2610.2,2635.92,2597.34,2468000
08.01.2014,2631.63,2631.63,2631.63,2648.78,2588.77,3406000
09.01.2014,2563.06,2657.35,2563.06,2670.21,2556.2,6865000
10.01.2014,2521.91,2548.48,2521.91,2562.2,2517.62,6787000
14.01.2014,2459.33,2487.62,2459.33,2487.62,2443.05,6476000
15.01.2014,2529.62,2503.05,2529.62,2533.05,2491.05,4561000
16.01.2014,2506.48,2539.05,2506.48,2548.48,2491.91,3864000
17.01.2014,2523.62,2497.91,2523.62,2544.2,2495.34,4936000
20.01.2014,2487.62,2524.48,2487.62,2524.48,2464.48,3662000
21.01.2014,2479.05,2497.91,2479.05,2517.62,2479.05,3400000
22.01.2014,2466.19,2460.19,2466.19,2473.05,2432.76,5383000
23.01.2014,2431.9,2485.91,2431.9,2494.48,2430.19,3984000
24.01.2014,2401.04,2395.9,2401.04,2406.19,2374.47,7261000
27.01.2014,2312.75,2340.18,2312.75,2340.18,2289.61,8488000
28.01.2014,2294.75,2317.89,2294.75,2325.61,2284.46,7031000
29.01.2014,2307.61,2284.46,2307.61,2320.47,2260.46,8284000
30.01.2014,2215.89,2218.46,2215.89,2224.46,2188.46,9997000
31.01.2014,2181.6,2214.17,2181.6,2217.6,2161.03,8353000
03.02.2014,2118.16,2152.45,2118.16,2197.89,2118.16,8130000
04.02.2014,2069.3,2065.87,2069.3,2105.31,2053.02,8926000
05.02.2014,2126.74,2091.59,2126.74,2161.03,2076.16,9673000
06.02.2014,2158.45,2178.17,2158.45,2225.32,2155.88,11054000
07.02.2014,2203.03,2203.03,2203.03,2206.46,2177.31,7384000
10.02.2014,2200.46,2233.89,2200.46,2243.32,2180.74,5953000
12.02.2014,2203.89,2224.46,2203.89,2227.89,2195.31,5437000
13.02.2014,2150.74,2216.74,2150.74,2216.74,2137.88,7908000
14.02.2014,2107.02,2132.74,2107.02,2166.17,2078.73,10798000
17.02.2014,2101.88,2083.02,2101.88,2111.31,2069.3,6283000
18.02.2014,2186.74,2107.88,2186.74,2200.46,2088.16,9290000
19.02.2014,2182.46,2203.03,2182.46,2212.46,2150.74,5701000
20.02.2014,2120.74,2182.46,2120.74,2187.6,2113.88,4811000
21.02.2014,2153.31,2136.17,2153.31,2159.31,2118.16,5513000
24.02.2014,2118.16,2152.45,2118.16,2182.46,2092.45,6935000
25.02.2014,2143.88,2140.45,2143.88,2156.74,2122.45,4750000
26.02.2014,2141.31,2135.31,2141.31,2165.31,2131.02,4691000
27.02.2014,2074.45,2125.88,2074.45,2125.88,2065.87,8603000
28.02.2014,2059.87,2069.3,2059.87,2077.02,2031.59,6273000
03.03.2014,2032.44,2017.01,2032.44,2035.87,1983.58,6881000
04.03.2014,2077.88,2043.59,2077.88,2121.59,2036.73,9187000
05.03.2014,2185.03,2151.6,2185.03,2199.6,2146.45,11949000
06.03.2014,2217.6,2185.88,2217.6,2241.6,2163.6,8808000
07.03.2014,2237.32,2257.03,2237.32,2269.03,2220.17,5988000
10.03.2014,2187.6,2230.46,2187.6,2238.17,2179.88,4694000
11.03.2014,2197.03,2215.89,2197.03,2234.75,2190.17,4655000
12.03.2014,2143.02,2166.17,2143.02,2188.46,2137.02,4499000
13.03.2014,2112.16,2138.74,2112.16,2140.45,2108.74,3809000
14.03.2014,2075.3,2065.87,2075.3,2081.3,2041.02,9489000
17.03.2014,2036.73,2061.59,2036.73,2077.02,2017.01,5258000
18.03.2014,2031.59,2066.73,2031.59,2068.45,2023.01,5668000
19.03.2014,2061.59,2060.73,2061.59,2089.88,2041.02,7432000
20.03.2014,1978.44,2056.45,1978.44,2061.59,1978.44,7300000
24.03.2014,1980.15,1954.44,1980.15,2016.16,1944.15,10311000
25.03.2014,1974.15,1931.29,1974.15,1983.58,1890.15,7651000
26.03.2014,1995.58,1975.01,1995.58,2030.73,1969.87,5733000
27.03.2014,2020.51,1947.46,2020.51,2033.4,1927.69,6485000
28.03.2014,2067.78,2041.13,2067.78,2069.49,2020.51,5483000
31.03.2014,2102.15,2105.59,2102.15,2115.04,2072.93,6084000
01.04.2014,2106.45,2102.15,2106.45,2109.89,2075.51,3967000
02.04.2014,2157.16,2125.36,2157.16,2202.71,2123.64,8698000
03.04.2014,2163.17,2156.3,2163.17,2189.81,2138.25,6298000
04.04.2014,2205.28,2164.89,2205.28,2222.47,2153.72,7093000
07.04.2014,2156.3,2165.75,2156.3,2188.09,2148.56,4419000
08.04.2014,2103.87,2133.95,2103.87,2139.97,2100.43,5352000
09.04.2014,2004.18,2054.02,2004.18,2057.46,1986.99,8451000
10.04.2014,1999.02,2023.94,1999.02,2045.43,1989.57,6228000
11.04.2014,1951.75,1931.13,1951.75,1983.55,1914.8,9590000
14.04.2014,1962.07,1933.71,1962.07,1989.57,1928.55,4501000
15.04.2014,1957.77,1991.29,1957.77,1998.16,1944.88,3348000
16.04.2014,2009.33,1981.83,2009.33,2030.82,1973.24,5465000
17.04.2014,1993.87,1993.87,1993.87,2020.51,1973.24,4059000
18.04.2014,2001.6,2000.74,2001.6,2017.93,1989.57,1962000
21.04.2014,1972.38,2000.74,1972.38,2019.65,1968.94,3535000
22.04.2014,1953.47,1979.26,1953.47,1993.01,1953.47,3045000
23.04.2014,1988.71,1978.4,1988.71,1995.58,1954.33,4797000
24.04.2014,1974.96,1971.52,1974.96,1988.71,1964.64,2969000
25.04.2014,1956.05,1950.89,1956.05,1983.55,1938.86,5082000
28.04.2014,1956.05,1935.42,1956.05,1973.24,1934.56,3873000
30.04.2014,1988.71,1970.66,1988.71,2009.33,1966.36,7571000
01.05.2014,2043.71,1999.88,2043.71,2052.31,1999.02,5283000
02.05.2014,2095.28,2066.92,2095.28,2110.75,2066.06,7865000
07.05.2014,2075.51,2086.68,2075.51,2096.14,2058.32,10362000
08.05.2014,2070.35,2103.01,2070.35,2118.48,2062.62,6820000
09.05.2014,2083.25,2075.51,2083.25,2121.06,2074.65,5599000
12.05.2014,2051.45,2073.79,2051.45,2073.79,2041.13,4352000
13.05.2014,2103.87,2077.23,2103.87,2124.5,2071.21,5926000
14.05.2014,2149.42,2104.73,2149.42,2153.72,2102.15,4589000
15.05.2014,2159.73,2135.67,2159.73,2164.89,2115.04,4104000
16.05.2014,2112.47,2130.51,2112.47,2131.37,2082.39,6741000
19.05.2014,2085.82,2114.18,2085.82,2121.92,2084.96,3323000
20.05.2014,2103.01,2089.26,2103.01,2124.5,2088.4,4285000
21.05.2014,2048.87,2080.67,2048.87,2087.54,2036.84,6763000
22.05.2014,2066.06,2050.59,2066.06,2075.51,2026.52,6378000
23.05.2014,2128.79,2088.4,2128.79,2163.17,2088.4,6732000
26.05.2014,2154.58,2145.98,2154.58,2170.05,2139.11,4185000
27.05.2014,2173.48,2153.72,2173.48,2210.44,2144.26,5292000
28.05.2014,2157.16,2109.89,2157.16,2165.75,2103.01,8758000
29.05.2014,2139.97,2147.7,2139.97,2155.44,2120.2,6476000
30.05.2014,2123.64,2139.11,2123.64,2144.26,2114.18,7110000
02.06.2014,2196.69,2133.95,2196.69,2210.44,2133.09,7995000
03.06.2014,2181.22,2231.07,2181.22,2241.38,2177.78,5251000
04.06.2014,2146.84,2182.94,2146.84,2188.09,2136.53,4879000
05.06.2014,2130.51,2147.7,2130.51,2149.42,2110.75,5595000
06.06.2014,2134.81,2145.12,2134.81,2149.42,2127.08,4079000
09.06.2014,2145.12,2146.84,2145.12,2151.14,2129.65,4685000
10.06.2014,2152.0,2155.44,2152.0,2176.06,2146.84,4239000
11.06.2014,2145.98,2133.95,2145.98,2147.7,2112.47,5243000
12.06.2014,2128.79,2131.37,2128.79,2137.39,2105.59,4159000
13.06.2014,2150.28,2097.0,2150.28,2157.16,2085.82,8710000
16.06.2014,2115.9,2133.09,2115.9,2141.69,2108.17,5167000
17.06.2014,2109.03,2109.89,2109.03,2115.9,2088.4,5421000
18.06.2014,2112.47,2109.03,2112.47,2123.64,2090.98,4759000
19.06.2014,2176.06,2106.45,2176.06,2181.22,2097.0,8356000
20.06.2014,2208.72,2179.5,2208.72,2240.52,2172.62,9602000
