Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,27.04,26.98,27.05,26.72,1985500,26.98,-1.2897392570144885,-1.2873180857568256,-1.2897392570144885,-1.2925574156807842,-1.2908488735332277
03.01.2014,26.93,27.22,27.31,26.92,1840100,27.22,-1.2831974005645872,-1.2903144428728277,-1.2831974005645872,-1.2855558423792321,-1.2853287480987583
06.01.2014,27.5,27.34,27.59,27.16,3030600,27.34,-1.2799264723396364,-1.2747878650899083,-1.2799264723396364,-1.2780156865160224,-1.2787045975773952
07.01.2014,27.4,27.58,27.72,27.34,2850100,27.58,-1.273384615889735,-1.2775118261044556,-1.273384615889735,-1.2745148998652467,-1.2737364846863723
08.01.2014,27.54,27.54,27.66,27.25,2382900,27.54,-1.274474925298052,-1.2736982806840893,-1.274474925298052,-1.27613064755022,-1.2762205411318837
09.01.2014,27.57,27.19,27.59,26.88,2916900,27.19,-1.284015132620825,-1.2728810923797251,-1.284015132620825,-1.2780156865160224,-1.2864327731856524
10.01.2014,27.33,27.49,27.58,27.26,1721500,27.49,-1.2758378120584482,-1.2794185988146387,-1.2758378120584482,-1.2782849777968515,-1.2759445348601601
13.01.2014,27.27,26.86,27.44,26.75,2397400,26.86,-1.2930101852394393,-1.281052975423367,-1.2930101852394393,-1.2820550557284565,-1.2900208547180574
14.01.2014,26.98,27.21,27.32,26.91,1597000,27.21,-1.2834699779166663,-1.288952462365554,-1.2834699779166663,-1.2852865510984033,-1.2856047543704818
15.01.2014,27.24,27.42,27.53,27.19,1909400,27.42,-1.2777458535230026,-1.2818701637277312,-1.2777458535230026,-1.279631434200996,-1.2778765787622246
16.01.2014,27.4,27.26,27.47,27.15,2250400,27.26,-1.2821070911562702,-1.2775118261044556,-1.2821070911562702,-1.2812471818859696,-1.2789806038491185
17.01.2014,27.32,27.03,27.4,26.91,2432500,27.03,-1.2883763702540925,-1.2796909949160933,-1.2883763702540925,-1.2831322208517721,-1.2856047543704818
21.01.2014,27.19,27.29,27.43,26.94,1522300,27.29,-1.2812893591000325,-1.2832321442350048,-1.2812893591000325,-1.2823243470092853,-1.2847767355553115
22.01.2014,27.41,27.59,27.71,27.36,1995700,27.59,-1.2731120385376558,-1.2772394300030008,-1.2731120385376558,-1.2747841911460756,-1.2731844721429255
23.01.2014,27.4,27.35,27.5,27.2,2216800,27.35,-1.279653894987557,-1.2775118261044556,-1.279653894987557,-1.2804393080434828,-1.277600572490501
24.01.2014,27.14,26.86,27.2,26.69,2849400,26.86,-1.2930101852394393,-1.2845941247422783,-1.2930101852394393,-1.2885180464683503,-1.2916768923483983
27.01.2014,26.79,26.69,26.97,26.56,3319400,26.69,-1.2976440002247862,-1.294127988293194,-1.2976440002247862,-1.2947117459274156,-1.2952649738808033
28.01.2014,26.73,27.21,27.29,26.67,2752900,27.21,-1.2834699779166663,-1.295762364901922,-1.2834699779166663,-1.28609442494089,-1.2922289048918452
29.01.2014,26.94,27.05,27.2,26.7,3230200,27.05,-1.287831215549934,-1.2900420467713731,-1.287831215549934,-1.2885180464683503,-1.2914008860766746
30.01.2014,26.68,28.37,28.61,26.68,4294300,28.37,-1.251851005075476,-1.2971243454091959,-1.251851005075476,-1.2505479758714728,-1.2919528986201216
31.01.2014,27.92,28.33,28.63,27.82,4104500,28.33,-1.252941314483793,-1.2633472288288095,-1.252941314483793,-1.250009393309815,-1.2604881836436457
03.02.2014,28.38,27.9,28.43,27.78,2916100,27.9,-1.2646621406232,-1.2508170081618921,-1.2646621406232,-1.2553952189263935,-1.2615922087305396
04.02.2014,27.89,28.33,28.46,27.82,3044000,28.33,-1.252941314483793,-1.2641644171331736,-1.252941314483793,-1.2545873450839067,-1.2604881836436457
05.02.2014,28.24,28.6,28.64,28.08,3138900,28.6,-1.245581725977654,-1.2546305535822584,-1.245581725977654,-1.249740102028986,-1.2533120205788355
06.02.2014,28.63,28.93,29.01,28.5,3014100,28.93,-1.2365866733590396,-1.244007105625524,-1.2365866733590396,-1.239776324638316,-1.2417197571664496
07.02.2014,29.03,29.19,29.33,28.84,2452200,29.19,-1.2294996622049799,-1.2331112615673345,-1.2294996622049799,-1.2311590036517908,-1.2323355439278514
10.02.2014,29.19,29.49,29.55,29.06,1942400,29.49,-1.2213223416426031,-1.228752923944059,-1.2213223416426031,-1.2252345954735546,-1.2262634059499349
11.02.2014,29.42,29.69,29.9,29.31,2496600,29.69,-1.2158707946010185,-1.2224878136106,-1.2158707946010185,-1.2158094006445423,-1.219363249156848
12.02.2014,29.69,29.76,29.85,29.58,1673000,29.76,-1.2139627531364636,-1.2151331188713226,-1.2139627531364636,-1.217155857048687,-1.2119110798203143
13.02.2014,29.61,29.85,30.01,29.57,1759300,29.85,-1.2115095569677508,-1.2173122876829605,-1.2115095569677508,-1.2128471965554242,-1.2121870860920378
14.02.2014,29.77,29.73,29.96,29.69,2022800,29.73,-1.2147804851927015,-1.2129539500596849,-1.2147804851927015,-1.2141936529595687,-1.2088750108313562
18.02.2014,29.75,29.82,29.83,29.45,2594100,29.82,-1.2123272890239885,-1.2134987422625942,-1.2123272890239885,-1.2176944396103448,-1.2154991613527195
19.02.2014,29.74,29.77,30.23,29.66,2051700,29.77,-1.2136901757843848,-1.213771138364049,-1.2136901757843848,-1.206922788377188,-1.2097030296465268
20.02.2014,29.79,29.52,29.9,29.38,2063400,29.52,-1.2205046095863654,-1.2124091578567753,-1.2205046095863654,-1.2158094006445423,-1.217431205254784
21.02.2014,29.5,29.69,29.77,29.39,2416500,29.69,-1.2158707946010185,-1.2203086447989624,-1.2158707946010185,-1.2193101872953185,-1.2171551989830605
24.02.2014,29.69,29.74,30.16,29.65,3029000,29.74,-1.2145079078406225,-1.2151331188713226,-1.2145079078406225,-1.2088078273429905,-1.20997903591825
25.02.2014,29.74,29.9,30.04,29.71,1804800,29.9,-1.2101466702073547,-1.213771138364049,-1.2101466702073547,-1.2120393227129376,-1.2083229982879091
