Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,6.66,6.64,6.67,6.61,131477,6.64,-1.2891910729588123,-1.2880980675119142,-1.2891910729588123,-1.2927156641177688,-1.2845900679414402
05.01.2004,6.64,6.6,6.68,6.56,214656,6.6,-1.2913667967983276,-1.2891858093110384,-1.2913667967983276,-1.292176000414881,-1.287331295745941
06.01.2004,6.58,6.57,6.6,6.55,220022,6.57,-1.292998589677964,-1.2924490347084108,-1.292998589677964,-1.2964933100379816,-1.2878795413068411
07.01.2004,6.55,6.6,6.6,6.54,173376,6.6,-1.2913667967983276,-1.294080647407097,-1.2913667967983276,-1.2964933100379816,-1.2884277868677414
08.01.2004,6.57,6.57,6.63,6.56,259651,6.57,-1.292998589677964,-1.2929929056079728,-1.292998589677964,-1.294874318929319,-1.287331295745941
09.01.2004,6.56,6.64,6.64,6.56,176472,6.64,-1.2891910729588123,-1.293536776507535,-1.2891910729588123,-1.2943346552264312,-1.287331295745941
12.01.2004,6.65,6.65,6.66,6.62,165739,6.65,-1.2886471419989336,-1.2886419384114765,-1.2886471419989336,-1.2932553278206562,-1.2840418223805399
13.01.2004,6.66,6.65,6.66,6.6,194842,6.65,-1.2886471419989336,-1.2880980675119142,-1.2886471419989336,-1.2932553278206562,-1.2851383135023404
14.01.2004,6.68,6.7,6.7,6.63,360994,6.7,-1.2859274871995394,-1.28701032571279,-1.2859274871995394,-1.291096673009106,-1.2834935768196398
15.01.2004,6.72,6.7,6.73,6.69,136430,6.7,-1.2859274871995394,-1.284834842114542,-1.2859274871995394,-1.2894776819004432,-1.2802041034542386
16.01.2004,6.66,6.64,6.71,6.64,214037,6.64,-1.2891910729588123,-1.2880980675119142,-1.2891910729588123,-1.2905570093062184,-1.2829453312587396
20.01.2004,6.62,6.68,6.68,6.62,198557,6.68,-1.287015349119297,-1.2902735511101624,-1.287015349119297,-1.292176000414881,-1.2840418223805399
21.01.2004,6.7,6.7,6.7,6.66,188237,6.7,-1.2859274871995394,-1.285922583913666,-1.2859274871995394,-1.291096673009106,-1.2818488401369392
22.01.2004,6.71,6.69,6.72,6.68,147576,6.69,-1.2864714181594181,-1.285378713014104,-1.2864714181594181,-1.2900173456033308,-1.280752349015139
23.01.2004,6.68,6.73,6.73,6.67,157070,6.73,-1.2842956943199029,-1.28701032571279,-1.2842956943199029,-1.2894776819004432,-1.2813005945760392
26.01.2004,6.73,6.74,6.74,6.7,170280,6.74,-1.283751763360024,-1.2842909712149797,-1.283751763360024,-1.2889380181975558,-1.2796558578933386
27.01.2004,6.74,6.82,6.82,6.72,341798,6.82,-1.2794003156809937,-1.2837471003154175,-1.2794003156809937,-1.2846207085744552,-1.2785593667715383
28.01.2004,6.82,6.83,6.87,6.8,177504,6.83,-1.278856384721115,-1.2793961331189212,-1.278856384721115,-1.2819223900600174,-1.2741734022843367
29.01.2004,6.82,6.83,6.83,6.77,188237,6.83,-1.278856384721115,-1.2793961331189212,-1.278856384721115,-1.2840810448715676,-1.2758181389670373
30.01.2004,6.83,6.89,6.89,6.8,202272,6.89,-1.2755927989618419,-1.2788522622193592,-1.2755927989618419,-1.2808430626542424,-1.2741734022843367
02.02.2004,6.92,6.96,6.96,6.86,165739,6.96,-1.27178528224269,-1.2739574241233005,-1.27178528224269,-1.2770654167340294,-1.2708839289189358
03.02.2004,6.94,6.94,6.98,6.92,150053,6.94,-1.2728731441624477,-1.2728696823241763,-1.2728731441624477,-1.2759860893282542,-1.2675944555535348
04.02.2004,6.95,6.83,6.97,6.83,259858,6.83,-1.278856384721115,-1.2723258114246143,-1.278856384721115,-1.276525753031142,-1.2725286656016361
