Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,18.13,18.06,18.19,17.94,573511,18.06,-1.6086048460384093,-1.6067073764676876,-1.6086048460384093,-1.6171918550287214,-1.5989098195124234
05.01.2004,18.22,18.33,18.46,18.14,1168785,18.33,-1.6016289815567477,-1.6043824659376524,-1.6016289815567477,-1.6102589766816278,-1.593708206391656
06.01.2004,18.37,18.64,18.69,18.37,859889,18.64,-1.5936196556703957,-1.6005076150542605,-1.5936196556703957,-1.6043531914229925,-1.587726351302773
07.01.2004,18.64,18.51,18.67,18.43,1356795,18.51,-1.59697840523564,-1.5935328834641556,-1.59697840523564,-1.6048667379672215,-1.5861658673665429
08.01.2004,18.57,18.71,18.71,18.53,834031,18.71,-1.591811098212187,-1.5953411472097383,-1.591811098212187,-1.603839644878763,-1.583565060806159
09.01.2004,18.78,18.84,18.88,18.62,744174,18.84,-1.5884523486469424,-1.5899163559729899,-1.5884523486469424,-1.5994744992528154,-1.5812243349018138
12.01.2004,18.94,18.76,19.01,18.76,1166092,18.76,-1.5905192714563237,-1.585783181697372,-1.5905192714563237,-1.5961364467153256,-1.5775832057172765
13.01.2004,19.08,19.12,19.12,18.78,972803,19.12,-1.5812181188141083,-1.5821666542062063,-1.5812181188141083,-1.5933119407220653,-1.5770630444051998
14.01.2004,19.08,19.39,19.43,19.06,679960,19.39,-1.5742422543324468,-1.5821666542062063,-1.5742422543324468,-1.5853519692865135,-1.5697807860361253
15.01.2004,19.41,19.2,19.41,19.2,682546,19.2,-1.579151196004727,-1.5736419822627445,-1.579151196004727,-1.5858655158307426,-1.566139656851588
16.01.2004,19.28,19.15,19.35,19.06,602601,19.15,-1.5804430227605906,-1.577000186361684,-1.5804430227605906,-1.58740615546343,-1.5697807860361253
20.01.2004,19.11,19.05,19.15,18.97,530522,19.05,-1.583026676272317,-1.581391684029528,-1.583026676272317,-1.5925416209057217,-1.5721215119404708
21.01.2004,19.06,19.1,19.1,19.0,623072,19.1,-1.5817348495164536,-1.5826833009906585,-1.5817348495164536,-1.5938254872662945,-1.5713412699723555
22.01.2004,19.1,19.17,19.27,19.01,939941,19.17,-1.579926292058245,-1.581650007421754,-1.579926292058245,-1.5894603416403468,-1.571081189316317
23.01.2004,19.18,19.43,19.47,19.18,655502,19.43,-1.5732087929277563,-1.5795834202839452,-1.5732087929277563,-1.584324876198055,-1.5666598181636648
26.01.2004,19.39,19.75,19.75,19.36,749777,19.75,-1.5649411016902315,-1.5741586290471967,-1.5649411016902315,-1.5771352245788468,-1.561978366354974
27.01.2004,19.77,19.94,20.03,19.63,767770,19.94,-1.5600321600179512,-1.5643423401426042,-1.5600321600179512,-1.5699455729596385,-1.5549561886419379
28.01.2004,19.98,19.97,20.28,19.9,1146160,19.97,-1.5592570639644332,-1.5589175489058555,-1.5592570639644332,-1.5635262411567739,-1.5479340109289017
29.01.2004,20.02,20.29,20.29,19.89,805264,20.29,-1.5509893727269084,-1.5578842553369514,-1.5509893727269084,-1.5632694678846595,-1.5481940915849401
30.01.2004,20.27,20.35,20.45,20.05,739433,20.35,-1.5494391806198724,-1.5514261705312984,-1.5494391806198724,-1.559161095530826,-1.5440328010883262
02.02.2004,20.45,20.78,20.78,20.42,899215,20.78,-1.5383294705194483,-1.546776349471228,-1.5383294705194483,-1.550687577551045,-1.534409816814906
03.02.2004,20.77,20.61,20.97,20.58,1386532,20.61,-1.5427216814893834,-1.5385100009199926,-1.5427216814893834,-1.545808885380868,-1.5302485263182921
04.02.2004,20.56,20.33,20.69,20.1,1470678,20.33,-1.5499559113222177,-1.5439347921567408,-1.5499559113222177,-1.5529985370000763,-1.5427323978081342
05.02.2004,20.33,20.47,20.5,20.13,787917,20.47,-1.5463387964058006,-1.5498762301779416,-1.5463387964058006,-1.5578772291702532,-1.541952155840019
06.02.2004,20.52,21.04,21.05,20.23,1102955,21.04,-1.5316119713889595,-1.5449680857256456,-1.5316119713889595,-1.5437546992039513,-1.5393513492796351
09.02.2004,21.04,20.99,21.04,20.86,643543,20.99,-1.5329037981448228,-1.5315352693298874,-1.5329037981448228,-1.5440114724760658,-1.5229662679492175
