Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
05.01.2010,35.0,35.0,35.0,35.0,10000,35.0,-1.298541360370255,-1.298103348750146,-1.298541360370255,-1.3011693586329398,-1.2949345369953043
06.01.2010,35.0,35.0,35.0,35.0,0,35.0,-1.298541360370255,-1.298103348750146,-1.298541360370255,-1.3011693586329398,-1.2949345369953043
07.01.2010,35.25,35.0,35.5,35.0,9800,35.0,-1.298541360370255,-1.2968021093899798,-1.298541360370255,-1.2985974716401398,-1.2949345369953043
08.01.2010,34.55,33.5,34.55,33.5,32200,33.5,-1.3063493317799497,-1.3004455795984458,-1.3063493317799497,-1.3034840569264599,-1.3028304310055725
11.01.2010,33.5,33.5,33.5,33.5,3700,33.5,-1.3063493317799497,-1.3059107849111449,-1.3063493317799497,-1.3088850196113402,-1.3028304310055725
12.01.2010,33.5,33.5,33.55,33.5,5100,33.5,-1.3063493317799497,-1.3059107849111449,-1.3063493317799497,-1.30862783091206,-1.3028304310055725
13.01.2010,33.01,32.75,33.01,32.5,226300,32.75,-1.3102533174847972,-1.308461214057071,-1.3102533174847972,-1.3114054688642842,-1.308094360345751
14.01.2010,32.75,32.75,32.75,32.75,150500,32.75,-1.3102533174847972,-1.3098145029916441,-1.3102533174847972,-1.3127428501005403,-1.3067783780107065
15.01.2010,32.5,32.25,32.5,32.25,45500,32.25,-1.3128559746213622,-1.3111157423518107,-1.3128559746213622,-1.3140287935969404,-1.309410342680796
19.01.2010,32.25,32.0,32.25,31.75,19400,32.0,-1.3141573031896447,-1.312416981711977,-1.3141573031896447,-1.3153147370933405,-1.3120423073508853
20.01.2010,31.5,31.75,31.75,31.5,600,31.75,-1.315458631757927,-1.3163206997924766,-1.315458631757927,-1.3178866240861404,-1.31335828968593
21.01.2010,31.5,31.6,31.6,31.5,600,31.6,-1.3162394288988968,-1.3163206997924766,-1.3162394288988968,-1.3186581901839804,-1.31335828968593
22.01.2010,31.5,31.5,31.5,31.5,200,31.5,-1.3167599603262097,-1.3163206997924766,-1.3167599603262097,-1.3191725675825405,-1.31335828968593
25.01.2010,31.1,31.25,31.25,31.0,1300,31.25,-1.318061288894492,-1.3184026827687427,-1.318061288894492,-1.3204585110789406,-1.3159902543560194
26.01.2010,31.0,30.75,31.0,30.75,300,30.75,-1.3206639460310572,-1.3189231785128093,-1.3206639460310572,-1.3217444545753405,-1.317306236691064
