Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,20.59,20.46,20.63,20.38,19522400,20.46,-1.6025454902183525,-1.5868409214201409,-1.6025454902183525,-1.6053119776561353,-1.586749570913153
03.01.2014,20.53,20.3,20.56,20.22,13371400,20.3,-1.6212682538407543,-1.5938606222178784,-1.6212682538407543,-1.6134184891273324,-1.605660703839569
06.01.2014,20.33,20.28,20.52,20.15,17987800,20.28,-1.6236085992935545,-1.6172596248770041,-1.6236085992935545,-1.6180507813965879,-1.613934324494876
07.01.2014,20.41,21.0,21.15,20.32,37161400,21.0,-1.5393561629927466,-1.6079000238133538,-1.5393561629927466,-1.5450921781558136,-1.5938412457605589
08.01.2014,20.95,20.97,21.25,20.88,29731600,20.97,-1.542866681171947,-1.5447227166337152,-1.542866681171947,-1.5335114474826745,-1.5276522805181028
09.01.2014,21.03,21.02,21.14,20.8,20919200,21.02,-1.5370158175399464,-1.5353631155700647,-1.5370158175399464,-1.5462502512231273,-1.5371078469813106
10.01.2014,21.08,21.29,21.36,20.91,21307600,21.29,-1.5054211539271434,-1.5295133649052837,-1.5054211539271434,-1.520772643742222,-1.5241064430943996
13.01.2014,21.27,20.74,21.35,20.67,23041800,20.74,-1.5697806538791497,-1.5072843123791144,-1.5697806538791497,-1.5219307168095357,-1.5524731424840235
14.01.2014,20.89,21.0,21.01,20.67,17588800,21.0,-1.5393561629927466,-1.5517424174314527,-1.5393561629927466,-1.5613052010982076,-1.5524731424840235
15.01.2014,21.17,21.5,21.73,21.14,29155000,21.5,-1.480847526672741,-1.5189838137086769,-1.480847526672741,-1.4779239402516084,-1.4969216895126765
16.01.2014,21.5,21.29,21.59,21.16,20263000,21.29,-1.5054211539271434,-1.48037545932112,-1.5054211539271434,-1.4941369631940027,-1.4945577978968745
17.01.2014,21.2,21.29,21.33,21.1,24300800,21.29,-1.5054211539271434,-1.5154739633098082,-1.5054211539271434,-1.5242468629441637,-1.5016494727442804
21.01.2014,21.49,21.2,21.59,21.1,17160200,21.2,-1.5159527084647444,-1.4815454094540765,-1.5159527084647444,-1.4941369631940027,-1.5016494727442804
22.01.2014,21.18,21.37,21.38,21.07,16374800,21.37,-1.4960597721159423,-1.5178138635757208,-1.4960597721159423,-1.5184564976075943,-1.5051953101679834
23.01.2014,21.16,21.1,21.3,21.0,18490600,21.1,-1.5276544357287452,-1.5201537638416334,-1.5276544357287452,-1.5277210821461051,-1.5134689308232905
24.01.2014,20.96,20.83,21.02,20.75,28670400,20.83,-1.5592490993415486,-1.5435527665007587,-1.5592490993415486,-1.5601471280308938,-1.5430175760208156
27.01.2014,20.88,20.87,21.42,20.61,37906400,20.87,-1.554568408435948,-1.5529123675644092,-1.554568408435948,-1.5138242053383384,-1.5595648173314298
28.01.2014,21.47,21.21,21.52,21.0,33004600,21.21,-1.514782535738344,-1.4838853097199889,-1.514782535738344,-1.5022434746651998,-1.5134689308232905
29.01.2014,21.18,21.1,21.25,20.88,30432000,21.1,-1.5276544357287452,-1.5178138635757208,-1.5276544357287452,-1.5335114474826745,-1.5276522805181028
30.01.2014,21.2,21.55,21.61,21.06,28997600,21.55,-1.4749966630407403,-1.5154739633098082,-1.4749966630407403,-1.491820817059375,-1.5063772559758846
31.01.2014,21.03,21.65,21.75,21.03,32120400,21.65,-1.4632949357767393,-1.5353631155700647,-1.4632949357767393,-1.4756077941169807,-1.5099230933995873
03.02.2014,21.76,20.98,21.85,20.89,38305400,20.98,-1.5416965084455467,-1.4499567558642568,-1.5416965084455467,-1.4640270634438417,-1.5264703347102015
04.02.2014,21.04,21.28,21.31,20.75,28050200,21.28,-1.5065913266535433,-1.5341931654371086,-1.5065913266535433,-1.5265630090787914,-1.5430175760208156
05.02.2014,21.11,21.22,21.33,21.0,18229000,21.22,-1.5136123630119442,-1.5260035145064148,-1.5136123630119442,-1.5242468629441637,-1.5134689308232905
06.02.2014,21.37,21.48,21.53,21.23,15802000,21.48,-1.4831878721255412,-1.4955848110495515,-1.4831878721255412,-1.5010854015978858,-1.4862841772415674
07.02.2014,21.62,21.72,21.8,21.55,19533200,21.72,-1.4551037266919387,-1.4663360577256446,-1.4551037266919387,-1.469817428780411,-1.4484619113887351
10.02.2014,21.78,21.61,21.78,21.55,13889200,21.61,-1.4679756266823398,-1.4476168555983442,-1.4679756266823398,-1.4721335749150388,-1.4484619113887351
11.02.2014,21.59,21.87,21.89,21.58,15863800,21.87,-1.4375511357959367,-1.4698459081245137,-1.4375511357959367,-1.4593947711745863,-1.4449160739650324
12.02.2014,21.96,21.96,21.98,21.88,16028000,21.96,-1.4270195812583357,-1.4265577532051312,-1.4270195812583357,-1.4489721135687614,-1.4094576997280022
13.02.2014,21.28,21.06,21.58,20.98,166539600,21.06,-1.5323351266343461,-1.506114362246158,-1.5323351266343461,-1.4952950362613169,-1.5158328224390925
14.02.2014,21.08,21.35,21.51,21.07,71649800,21.35,-1.4984001175687425,-1.5295133649052837,-1.4984001175687425,-1.5034015477325136,-1.5051953101679834
18.02.2014,21.45,21.28,21.46,21.15,40541400,21.28,-1.5065913266535433,-1.4862252099859015,-1.5065913266535433,-1.509191913069083,-1.4957397437047757
19.02.2014,21.18,20.5,21.22,20.36,80405600,20.5,-1.5978647993127522,-1.5178138635757208,-1.5978647993127522,-1.5369856666846164,-1.589113462528955
20.02.2014,20.59,20.58,20.73,20.41,51477200,20.58,-1.5885034175015516,-1.5868409214201409,-1.5885034175015516,-1.5937312469829963,-1.5832037334894498
21.02.2014,20.7,20.3,20.7,20.28,48104800,20.3,-1.6212682538407543,-1.573971469957622,-1.6212682538407543,-1.597205466184938,-1.5985690289921628
24.02.2014,20.56,20.34,20.62,20.33,32759800,20.34,-1.616587562935154,-1.59035077181901,-1.616587562935154,-1.6064700507234488,-1.592659299952658
25.02.2014,20.38,20.19,20.46,19.95,40828000,20.19,-1.6341401538311555,-1.6114098742122227,-1.6341401538311555,-1.624999219800471,-1.6375732406528962
26.02.2014,20.25,20.15,20.25,19.96,30516400,20.15,-1.6388208447367563,-1.6266192259406542,-1.6388208447367563,-1.6493187542140626,-1.636391294844995
27.02.2014,20.14,20.31,20.42,20.08,35472600,20.31,-1.6200980811143544,-1.6394886774031732,-1.6200980811143544,-1.6296315120697265,-1.6222079451501832
28.02.2014,20.4,20.55,20.71,20.32,38390000,20.55,-1.5920139356807514,-1.6090699739463104,-1.5920139356807514,-1.596047393117624,-1.5938412457605589
