Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
01.01.2004,1757.75,1757.75,1757.75,1757.75,0,1757.75,1.7838516678830805,1.782022208763352,1.7838516678830805,1.7209774769451105,1.8472644960051268
02.01.2004,1757.75,1757.75,1757.75,1757.75,0,1757.75,1.7838516678830805,1.782022208763352,1.7838516678830805,1.7209774769451105,1.8472644960051268
05.01.2004,1785.02,1775.93,1797.14,1772.9,160000,1775.93,1.845052756091764,1.8738146250256535,1.845052756091764,1.852039373130607,1.8988655221267148
06.01.2004,1785.02,1797.14,1809.27,1785.02,460000,1797.14,1.9164540256685614,1.8738146250256535,1.9164540256685614,1.8923993833040027,1.9401463430239845
07.01.2004,1766.84,1709.26,1775.93,1703.2,640000,1709.26,1.6206151020283468,1.8126196808507855,1.6206151020283468,1.7814675828768782,1.661466741884163
08.01.2004,1736.53,1706.23,1736.53,1706.23,660000,1706.23,1.610414920660233,1.7105944466406513,1.610414920660233,1.6503724138058307,1.6717869471084805
09.01.2004,1712.29,1621.37,1724.41,1609.25,2240000,1621.37,1.3247425144232208,1.6290011877408277,1.3247425144232208,1.610045676517986,1.3414722597638227
12.01.2004,1621.37,1621.37,1621.37,1621.37,0,1621.37,1.3247425144232208,1.3229591456957792,1.3247425144232208,1.2672018638002012,1.3827530806610924
13.01.2004,1439.53,1448.62,1463.78,1384.98,11980000,1448.62,0.7431975205810837,0.7108750616056831,0.7431975205810837,0.7428544604015637,0.5776067727480835
14.01.2004,1460.75,1500.15,1500.15,1454.69,4300000,1500.15,0.9166679317688431,0.7823028237283837,0.9166679317688431,0.86386794515065,0.8150396130738836
15.01.2004,1515.3,1484.99,1518.33,1484.99,1760000,1484.99,0.8656333609633621,0.9659213168383415,0.8656333609633621,0.9243580510824169,0.9182416653170586
16.01.2004,1484.99,1491.05,1491.05,1466.81,1180000,1491.05,0.8860337236995897,0.8638960826282074,0.8860337236995897,0.8335896192992148,0.8563204339711533
19.01.2004,1500.15,1494.08,1509.24,1454.69,2300000,1494.08,0.8962339050677035,0.9149255300259521,0.8962339050677035,0.8941129981165334,0.8150396130738836
20.01.2004,1478.93,1466.81,1484.99,1463.78,1560000,1466.81,0.8044322727546784,0.8434977679032516,0.8044322727546784,0.8134262506552925,0.8460002287468359
21.01.2004,1463.78,1463.78,1475.9,1457.72,1120000,1463.78,0.7942320913865647,0.7925019810908616,0.7942320913865647,0.783181197689409,0.825359818298201
22.01.2004,1463.78,1472.87,1475.9,1460.75,1440000,1472.87,0.8248326354909061,0.7925019810908616,0.8248326354909061,0.783181197689409,0.8356800235225185
23.01.2004,1472.87,1466.81,1488.02,1463.78,1740000,1466.81,0.8044322727546784,0.8230994531782951,0.8044322727546784,0.8235079349772536,0.8460002287468359
26.01.2004,1475.9,1497.11,1500.15,1469.84,3000000,1497.11,0.9064340864358172,0.8332986105407738,0.9064340864358172,0.86386794515065,0.8666406391954707
27.01.2004,1515.3,1515.3,1542.57,1503.18,4740000,1515.3,0.9676688386094121,0.9659213168383415,0.9676688386094121,1.005011525658107,0.9801969567462125
28.01.2004,1524.39,1503.18,1530.45,1503.18,2500000,1503.18,0.9268681131369569,0.9965187889257758,0.9268681131369569,0.9646847883702623,0.9801969567462125
29.01.2004,1500.15,1484.99,1503.18,1469.84,2440000,1484.99,0.8656333609633621,0.9149255300259521,0.8656333609633621,0.8739496294726111,0.8666406391954707
30.01.2004,1475.9,1469.84,1488.02,1469.84,900000,1469.84,0.8146324541227923,0.8332986105407738,0.8146324541227923,0.8235079349772536,0.8666406391954707
