Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
12.03.2019,34.93,34.93,34.93,34.93,10000,34.93,0.6208954403715586,0.6200897055294016,0.6208954403715586,0.5187578014112927,0.7185090083891474
13.03.2019,35.85,36.54,36.67,35.57,20477400,36.54,1.0003242430571353,0.8374119449588789,1.0003242430571353,0.9290787252776727,0.8690258951609376
14.03.2019,36.54,37.36,38.05,36.54,6248600,37.36,1.1935736953566216,1.0004036245309862,1.1935736953566216,1.2545056648958346,1.0971530516744317
15.03.2019,38.03,38.33,38.48,37.91,7107300,38.33,1.4221736572230868,1.3523711644765526,1.4221736572230868,1.3559068127478708,1.419353262420294
18.03.2019,38.56,38.33,38.56,37.73,4020900,38.33,1.4221736572230868,1.477567671973969,1.4221736572230868,1.374772142580809,1.3770203880157281
19.03.2019,38.19,37.08,38.33,36.62,10118500,37.08,1.1275860774982602,1.3901663365512433,1.1275860774982602,1.3205343193111143,1.115967662520905
20.03.2019,37.22,35.5,37.51,35.15,15683200,35.5,0.7552273767260796,1.1610331058484256,0.7552273767260796,1.12716468852351,0.77024918821695
21.03.2019,35.85,36.78,36.83,35.62,12751700,36.78,1.0568850583643024,0.8374119449588789,1.0568850583643024,0.9668093849435458,0.8807850269399831
22.03.2019,36.7,35.59,36.76,34.64,10898000,35.59,0.776437682466268,1.0381987966056787,0.776437682466268,0.9503022213397259,0.6503060440706804
25.03.2019,35.75,34.41,35.81,34.37,9338900,34.41,0.4983470072060301,0.8137899624121964,0.4983470072060301,0.7262764295736002,0.5868067324638306
26.03.2019,34.61,34.5,35.18,34.48,6287100,34.5,0.5195573129462184,0.5444993613800182,0.5195573129462184,0.5777119571392209,0.6126768223777319
27.03.2019,34.49,33.93,34.84,33.79,5578100,33.93,0.3852253765916974,0.5161529823240001,0.3852253765916974,0.4975343053492395,0.4504008038268964
28.03.2019,33.87,33.46,34.15,33.4,5326200,33.46,0.2744604466151629,0.36969669053456883,0.2744604466151629,0.33482083554015685,0.3586795759503367
29.03.2019,33.59,33.74,33.93,33.23,5895300,33.74,0.34044806447352427,0.30355513940385986,0.34044806447352427,0.2829411784995804,0.3186985279015796
01.04.2019,33.93,33.87,34.15,33.74,5311200,33.87,0.3710851727649052,0.38386988006257877,0.3710851727649052,0.33482083554015685,0.438641672047851
02.04.2019,33.97,33.35,34.17,33.0,6704600,33.35,0.24853673959937825,0.39331867308125146,0.24853673959937825,0.33953716799839184,0.26460652171796833
03.04.2019,33.43,33.16,33.6,33.0,8393500,33.16,0.2037594274812035,0.26575996732916735,0.2037594274812035,0.20512169293871574,0.26460652171796833
04.04.2019,33.27,33.79,33.82,33.1,4908400,33.79,0.3522315676625167,0.22796479525447652,0.3522315676625167,0.2570013499792922,0.28812478527606084
05.04.2019,33.82,34.63,34.79,33.72,7344900,34.63,0.550194421237601,0.3578856992612284,0.550194421237601,0.4857434742036529,0.43393801933623183
08.04.2019,34.56,34.44,34.63,34.25,3393300,34.44,0.5054171091194262,0.5326883701066777,0.5054171091194262,0.4480128145377797,0.5585848161941207
09.04.2019,34.39,34.29,34.61,34.16,5725900,34.29,0.47006659955244734,0.49253099977731746,0.47006659955244734,0.4432964820795447,0.5374183789918369
10.04.2019,34.31,33.53,34.5,33.42,4828400,33.53,0.29095735107975323,0.47363341373997203,0.29095735107975323,0.4173566535592565,0.3633832286619559
11.04.2019,33.61,34.09,34.16,33.08,4791400,34.09,0.4229325867964761,0.3082795359131954,0.4229325867964761,0.3371790017692735,0.2834211325644417
12.04.2019,34.15,34.5,34.58,33.52,6368500,34.5,0.5195573129462184,0.4358382416652795,0.5195573129462184,0.4362219833921931,0.38690149222004844
15.04.2019,34.43,34.5,34.53,34.0,3927100,34.5,0.5195573129462184,0.5019797927959901,0.5195573129462184,0.42443115224660816,0.4997891572988902
16.04.2019,34.62,34.7,34.79,34.44,5722000,34.7,0.5666913257021914,0.546861559634686,0.5666913257021914,0.4857434742036529,0.6032695169544953
17.04.2019,34.81,35.7,35.71,34.71,7603800,35.7,0.8023613894820526,0.5917433264733835,0.8023613894820526,0.7026947672824286,0.6667688285613449
18.04.2019,35.76,35.33,35.85,35.32,4737400,35.33,0.7151634658835029,0.8161521606668641,0.7151634658835029,0.7357090944900685,0.8102302362657071
22.04.2019,35.26,34.65,35.33,34.58,7675300,34.65,0.5549078225131973,0.6980422479334527,0.5549078225131973,0.6130844505759773,0.6361950859358245
23.04.2019,34.73,35.0,35.29,34.59,6328800,35.0,0.637392344836149,0.5728457404360363,0.637392344836149,0.603651785659509,0.638546912291635
24.04.2019,34.88,34.89,35.21,34.75,5323500,34.89,0.6114686378203644,0.6082787142560611,0.6114686378203644,0.5847864558265724,0.6761761339845817
25.04.2019,34.91,35.07,35.11,34.5,5309700,35.07,0.6538892493007394,0.6153653090200644,0.6538892493007394,0.5612047935354009,0.6173804750893511
26.04.2019,35.0,35.37,35.41,34.84,5297400,35.37,0.7245902684346971,0.6366250933120793,0.7245902684346971,0.6319497804089139,0.6973425711868654
29.04.2019,35.42,36.03,36.33,35.21,6885200,36.03,0.8801325105294064,0.7358374200081452,0.8801325105294064,0.8489010734876896,0.7843601463518058
30.04.2019,36.02,35.84,36.15,35.36,5044400,35.84,0.8353551984112333,0.8775693152882392,0.8353551984112333,0.8064540813635815,0.8196375416889439
01.05.2019,35.96,36.21,36.3,35.53,5149800,36.21,0.9225531220097815,0.8633961257602293,0.9225531220097815,0.8418265748003381,0.8596185897377009
02.05.2019,36.06,34.27,36.28,34.08,11495900,34.27,0.46535319827685107,0.887018108306912,0.46535319827685107,0.8371102423421047,0.5186037681453636
03.05.2019,34.38,34.44,34.7,34.12,4809800,34.44,0.5054171091194262,0.4901688015226497,0.5054171091194262,0.4645199781415996,0.5280110735686002
06.05.2019,34.16,34.85,34.92,33.97,4801300,34.85,0.6020418352691702,0.4382004399199473,0.6020418352691702,0.516399635182176,0.49273367823146225
07.05.2019,34.54,34.25,34.75,34.12,6053300,34.25,0.46063979700125307,0.5279639735973405,0.46063979700125307,0.47631080928718456,0.5280110735686002
08.05.2019,34.32,34.39,34.65,33.87,8635300,34.39,0.4936336059304338,0.4759956119946398,0.4936336059304338,0.452729146996013,0.46921541467336975
09.05.2019,35.39,35.39,36.08,34.48,15210200,35.39,0.729303669710295,0.7287508252441403,0.729303669710295,0.7899469177597616,0.6126768223777319
