Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
18.05.2012,41.92,38.12,44.86,37.89,573576400,38.12,-1.1787537744874919,-1.14634021726418,-1.1787537744874919,-1.1264287759735234,-1.1762150599968606
21.05.2012,36.42,33.93,36.55,32.9,168192700,33.93,-1.2143557641793683,-1.1930987317164046,-1.2143557641793683,-1.1961814043107841,-1.2191667291837849
22.05.2012,32.51,30.91,33.49,30.85,101786600,30.91,-1.240016386821246,-1.2263397847178954,-1.240016386821246,-1.221866487669631,-1.2368122045010586
23.05.2012,31.28,31.9,32.4,31.27,73600000,31.9,-1.2316044608558623,-1.2367966888590292,-1.2316044608558623,-1.2310157493889589,-1.2331970339482512
24.05.2012,32.85,32.93,33.11,31.67,50237200,32.93,-1.2228526590938973,-1.2234492583699397,-1.2228526590938973,-1.225056138544259,-1.2297540143741492
25.05.2012,32.8,31.81,32.85,31.02,37149800,31.81,-1.2323691813981699,-1.2238743357740505,-1.2323691813981699,-1.2272385312479521,-1.235348921182065
29.05.2012,31.39,28.75,31.59,28.56,78063400,28.75,-1.2583696798366286,-1.2358615185699848,-1.2583696798366286,-1.2378147420427714,-1.2565234915627932
30.05.2012,28.61,28.11,29.46,27.78,57267900,28.11,-1.2638076925819273,-1.2594958222385635,-1.2638076925819273,-1.2556935745768707,-1.2632373797322924
31.05.2012,28.46,29.51,29.58,26.75,111639200,29.51,-1.2519120397015866,-1.260771054450897,-1.2519120397015866,-1.2546863164059356,-1.2721031551356055
01.06.2012,28.8,27.64,29.06,27.31,41855500,27.64,-1.2678012331917556,-1.2578805281029413,-1.2678012331917556,-1.2590511018133212,-1.2672829277318625
04.06.2012,27.12,26.82,27.57,26.36,35230300,26.82,-1.2747686870216697,-1.2721631288810753,-1.2747686870216697,-1.2715578907690999,-1.2754600992203553
05.06.2012,26.62,25.79,27.68,25.67,42473400,25.79,-1.2835204887836345,-1.2764139029221868,-1.2835204887836345,-1.2706345707790758,-1.2813993079856814
06.06.2012,25.99,26.73,27.09,25.44,61489200,26.73,-1.2755334075639773,-1.281769878213987,-1.2755334075639773,-1.2755869234528403,-1.28337904424079
07.06.2012,26.92,26.23,27.27,26.07,26159500,26.23,-1.2797818550212416,-1.2738634384975198,-1.2797818550212416,-1.2740760361964376,-1.2779562884115792
08.06.2012,26.47,27.02,27.68,26.36,38034000,27.02,-1.2730693080387636,-1.27768913513452,-1.2730693080387636,-1.2706345707790758,-1.2754600992203553
11.06.2012,27.1,26.93,27.99,26.76,28219600,26.93,-1.2738340285810712,-1.2723331598427199,-1.2738340285810712,-1.2680324871708266,-1.272017079646253
