Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
01.01.2004,1002.84,1002.84,1002.84,1002.84,0,1002.84,-0.5614846045380395,-0.5630300507603349,-0.5614846045380395,-0.5883882358234271,-0.5349548925998195
02.01.2004,1002.84,1002.84,1002.84,1002.84,0,1002.84,-0.5614846045380395,-0.5630300507603349,-0.5614846045380395,-0.5883882358234271,-0.5349548925998195
05.01.2004,1014.75,1013.5,1019.14,1004.72,133000,1013.5,-0.5316899653822644,-0.5297283882423922,-0.5316899653822644,-0.5433612403122224,-0.5296380750042708
06.01.2004,1051.1,1034.81,1051.1,1034.81,846000,1034.81,-0.47212863701363733,-0.4280898128832639,-0.47212863701363733,-0.45507518040190925,-0.4445407125308348
07.01.2004,1010.36,1016.01,1028.54,1009.74,415000,1016.01,-0.5246745297086252,-0.5420033083476624,-0.5246745297086252,-0.5173947521033068,-0.5154410407863697
08.01.2004,1033.55,1016.01,1040.45,1014.75,381000,1016.01,-0.5246745297086252,-0.477161532210711,-0.5246745297086252,-0.48449465906413786,-0.5012722875131256
09.01.2004,990.93,993.44,1003.47,990.93,515000,993.44,-0.5877575508855334,-0.5963317132782779,-0.5877575508855334,-0.5866479286349573,-0.568637497686514
12.01.2004,993.44,993.44,993.44,993.44,0,993.44,-0.5877575508855334,-0.5893134787761755,-0.5877575508855334,-0.6143547240323428,-0.561538980577563
13.01.2004,984.04,952.7,984.04,948.94,1396000,952.7,-0.7016256183532892,-0.6155969067920164,-0.7016256183532892,-0.6403212122412587,-0.6873891843019868
14.01.2004,977.77,974.01,977.77,961.48,863000,974.01,-0.642064289984662,-0.6331285125004548,-0.642064289984662,-0.657641412355078,-0.6519248797018908
15.01.2004,986.55,977.77,987.17,977.77,1062000,977.77,-0.6315551114456645,-0.6085786722899144,-0.6315551114456645,-0.6316749241461623,-0.6058552208553547
16.01.2004,965.24,960.85,970.25,954.58,913000,960.85,-0.6788464148711535,-0.6681637628236976,-0.6788464148711535,-0.6784146029222106,-0.6714387315153408
19.01.2004,973.38,974.64,977.77,956.46,602000,974.64,-0.6403034435805215,-0.645403432605725,-0.6403034435805215,-0.657641412355078,-0.6661219139197921
20.01.2004,990.31,982.79,996.57,982.79,1221000,982.79,-0.6175242400983858,-0.598065301083578,-0.6175242400983858,-0.6057084359372464,-0.5916581866374534
